,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
344,Wichita State,31,23,8,.742,13.66,5.60,,11,7,,17,2,,5,5,,2227,1977,,1250,669,1713,.391,182,603,.302,457,657,.696,268,1072,314,193,124,443,575
345,William & Mary,32,21,11,.656,-2.46,-3.10,,13,5,,11,2,,10,7,,2288,2208,,1280,811,1905,.426,234,673,.348,352,493,.714,269,1019,364,212,90,316,526
346,Winthrop,34,24,10,.706,1.16,-6.53,,15,3,,11,4,,10,6,,2765,2431,,1375,833,1909,.436,235,729,.322,530,793,.668,295,1127,421,219,111,497,693
347,Wisconsin,31,21,10,.677,15.95,10.95,,14,6,,15,1,,6,6,,2082,1927,,1245,717,1747,.410,188,568,.331,305,442,.690,280,1070,342,154,92,339,518
348,Wofford,35,19,16,.543,0.17,-1.50,,8,10,,10,5,,6,10,,2523,2399,,1415,843,1915,.440,276,827,.334,437,610,.716,272,1086,427,211,84,434,556
349,Wright State,32,25,7,.781,2.46,-6.21,,15,3,,14,2,,9,3,,2580,2264,,1295,842,2026,.416,200,665,.301,380,534,.712,369,1187,339,201,93,455,647
350,Wyoming,33,9,24,.273,-3.05,4.82,,2,16,,4,13,,3,8,,2070,2308,,1335,795,1837,.433,252,764,.330,466,671,.694,318,1265,399,198,84,424,580
351,Xavier,32,19,13,.594,12.57,9.47,,8,10,,12,5,,5,6,,2261,2162,,1305,776,1900,.408,210,689,.305,400,550,.727,328,1127,385,225,108,420,575
352,Yale,30,23,7,.767,6.63,-1.51,,11,3,,10,1,,11,6,,2289,1954,,1240,704,1774,.397,222,718,.309,324,449,.722,237,961,358,202,90,364,521
353,Youngstown State,33,18,15,.545,-5.56,-4.79,,10,8,,13,4,,5,11,,2401,2351,,1335,855,1951,.438,222,646,.344,419,599,.699,347,1160,420,187,110,398,569
