Team1,Team2,Year,Team1Win,SRS,ORB,PF,3P,STL,AST,BLK,FT%,TS%,SEED
UCLA,Michigan State,2021,1,6.5,-1.1071428571428577,-3.7232142857142847,0.45535714285714324,0.4732142857142856,-2.2008928571428577,-1.9330357142857144,-0.01200000000000001,0.03300000000000003,0.0
Mount St. Mary's,Texas Southern,2021,0,0.4800000000000004,-1.5602006688963215,-3.1020066889632094,2.108695652173913,-2.7391304347826084,-0.511705685618729,-0.16220735785953178,-0.028999999999999915,-0.008000000000000007,0.0
Norfolk State,Appalachian State,2021,1,-0.3200000000000003,-1.08,5.653793103448274,-0.2744827586206906,-1.4110344827586214,0.21793103448275808,-0.48965517241379297,-0.03700000000000003,0.010000000000000009,0.0
Wichita State,Drake,2021,0,-0.0600000000000005,1.6378299120234594,-0.16422287390029489,1.0586510263929627,-0.8313782991202343,-0.6451612903225801,0.7595307917888561,-0.03299999999999992,-0.05499999999999994,0.0
Michigan,Texas Southern,2021,1,28.15,-3.1098901098901095,-3.1703296703296697,2.8571428571428568,-2.7142857142857144,3.7445054945054945,-0.24450549450549453,0.07000000000000006,0.05999999999999994,-15.0
St. Bonaventure,Louisiana State,2021,0,-2.26,-0.04597701149424971,-2.0804597701149437,-1.6880131362889976,-1.9014778325123158,2.467980295566502,1.021346469622332,-0.013000000000000012,-0.030000000000000027,1.0
Colorado,Georgetown,2021,1,8.749999999999998,-1.7115384615384617,0.5528846153846168,-0.6201923076923084,-0.665865384615385,0.8173076923076916,-1.1346153846153846,0.06599999999999995,0.03299999999999992,-7.0
UNC Greensboro,Florida State,2021,0,-13.64,1.6866666666666656,-0.29333333333333655,-0.08000000000000007,0.18666666666666654,-2.1866666666666656,-1.2466666666666666,-0.05799999999999994,-0.06899999999999995,9.0
UCLA,Brigham Young,2021,1,1.1100000000000012,0.30555555555555536,-1.9375,-1.9282407407407405,0.34490740740740744,-2.491898148148149,-0.03356481481481488,-0.010000000000000009,-0.028999999999999915,5.0
Texas,Abilene Christian,2021,0,9.24,-0.5670498084291165,0.5632183908046002,0.9719029374201797,-3.205619412515964,-4.467432950191574,1.108556832694764,0.03199999999999992,0.019000000000000017,-11.0
Maryland,Connecticut,2021,1,-1.83,-7.231416549789622,-4.105189340813466,1.4221598877980375,-1.1739130434782608,0.47405329593267886,-1.938288920056101,-0.02300000000000002,0.041999999999999926,3.0
Iona,Alabama,2021,0,-20.779999999999998,-1.585858585858583,3.338383838383834,-3.21212121212121,-1.6515151515151514,-0.44949494949494984,-0.16666666666666607,0.03600000000000003,0.0020000000000000018,13.0
Illinois,Drexel,2021,1,24.22,1.6870967741935488,2.8096774193548395,-0.701612903225806,1.1274193548387101,1.4225806451612915,0.40645161290322607,-0.09000000000000008,0.016000000000000014,-15.0
Georgia Tech,Loyola (IL),2021,0,-2.33,0.465260545905708,1.44665012406948,0.255583126550869,2.1414392059553347,0.0397022332506225,1.0421836228287846,0.007000000000000006,-0.025000000000000022,1.0
Oregon State,Tennessee,2021,1,-5.390000000000001,-0.76767676767677,2.343434343434346,0.37710437710437716,-1.4713804713804715,-0.306397306397308,-1.2996632996632997,0.016000000000000014,0.0040000000000000036,7.0
Liberty,Oklahoma State,2021,0,-9.59,-4.101149425287355,-2.40689655172414,3.9080459770114944,-2.8114942528735636,2.9597701149425255,-1.951724137931035,0.06700000000000006,0.05699999999999994,9.0
Syracuse,San Diego State,2021,1,-1.0899999999999999,0.39285714285714235,-3.7857142857142847,-0.10714285714285765,-0.07142857142857117,1.0357142857142847,2.25,0.06300000000000006,-0.008000000000000007,5.0
Morehead State,West Virginia,2021,0,-16.31,-3.220244716351502,-1.9232480533926584,-0.8353726362625133,-3.199110122358176,-1.2280311457174644,2.172413793103448,-0.038999999999999924,0.02300000000000002,11.0
Rutgers,Clemson,2021,1,1.6500000000000004,1.1309523809523796,1.916666666666666,-2.1071428571428568,1.5238095238095237,0.42261904761904745,2.2678571428571432,-0.133,-0.010000000000000009,3.0
Cleveland State,Houston,2021,0,-26.78,-3.793981481481479,1.4386574074074083,-2.7233796296296298,-1.0057870370370372,-0.19675925925925952,-2.100694444444444,-0.05999999999999994,-0.010000000000000009,13.0
Baylor,Hartford,2021,1,28.279999999999998,4.5083333333333355,1.0166666666666693,2.5083333333333355,1.9833333333333334,5.899999999999999,1.4500000000000002,-0.008000000000000007,0.05599999999999994,-15.0
North Carolina,Wisconsin,2021,0,-2.4299999999999997,7.429365962180199,0.6295884315906548,-3.0912124582869858,1.3893214682981085,1.9210233592880979,0.7563959955506121,-0.09999999999999998,-0.019000000000000017,-1.0
Villanova,Winthrop,2021,1,12.779999999999998,-3.5600000000000005,-2.879999999999999,0.7599999999999998,-2.3600000000000003,0.0,-0.3999999999999999,0.07500000000000007,0.010999999999999899,-7.0
Purdue,North Texas,2021,0,7.970000000000001,2.6428571428571423,1.8214285714285712,-0.4642857142857144,-1.4285714285714288,0.9285714285714288,0.6071428571428572,-0.03400000000000003,-0.028999999999999915,-9.0
Texas Tech,Utah State,2021,1,5.6,-0.9655172413793096,2.275862068965516,0.0,0.4827586206896557,-3.1724137931034484,-1.0,-0.01200000000000001,0.0010000000000000009,-5.0
Colgate,Arkansas,2021,0,-4.140000000000001,-2.3125,-0.6875,1.96875,-0.78125,3.0625,-1.5,-0.017000000000000015,0.04699999999999993,11.0
Florida,Virginia Tech,2021,1,1.1099999999999994,0.5272727272727291,2.1054545454545455,-1.4218181818181819,2.381818181818182,-2.5072727272727278,1.376363636363636,0.05500000000000005,0.014999999999999902,-3.0
Ohio State,Oral Roberts,2021,0,16.52,1.5695216907675196,1.1090100111234733,-3.008898776418242,-2.0700778642936593,0.3381535038932153,-0.34371523915461655,-0.06499999999999995,-0.007000000000000006,-13.0
Gonzaga,Norfolk State,2021,1,33.36,-0.8887499999999999,-2.9587499999999984,-0.2599999999999998,1.4175000000000004,6.70125,-0.3875000000000002,0.025000000000000022,0.10299999999999998,-15.0
Missouri,Oklahoma,2021,0,-1.1500000000000004,0.2150997150997167,4.951566951566953,-0.7749287749287754,-0.49430199430199373,-0.027065527065525785,-0.09116809116809144,-0.04400000000000004,0.0,1.0
Creighton,UC Santa Barbara,2021,1,8.48,-0.9414575866188759,-0.5340501792114694,2.7479091995221028,-0.40262843488649924,-0.5770609318996414,0.5448028673835128,-0.11099999999999999,-0.01100000000000001,-7.0
Virginia,Ohio,2021,0,9.79,-3.119999999999999,-2.92,0.120000000000001,-1.5200000000000005,-3.6799999999999997,2.3600000000000003,0.11299999999999999,0.01100000000000001,-9.0
Southern California,Drake,2021,1,11.08,1.4105571847507328,-0.6187683284457464,-0.5474095796676446,-2.210166177908113,0.2336265884653006,2.12316715542522,-0.06399999999999995,-0.0119999999999999,-5.0
Eastern Washington,Kansas,2021,0,-11.259999999999998,-3.6833333333333327,1.6249999999999982,0.9333333333333336,-2.1083333333333334,1.375,-1.0500000000000003,0.07500000000000007,0.04499999999999993,11.0
Oregon,Virginia Commonwealth,2021,1,4.849999999999998,0.2541507024265659,-2.9974457215836523,1.8467432950191567,-1.7164750957854409,0.5619412515964246,-1.6334610472541504,-0.050000000000000044,0.014999999999999902,-3.0
Grand Canyon,Iowa,2021,0,-16.29,-0.577956989247312,2.295698924731184,-2.918010752688171,-0.7473118279569899,-2.911290322580644,-1.548387096774194,-0.030999999999999917,-0.0040000000000000036,13.0
Michigan,Louisiana State,2021,1,6.300000000000001,-2.450738916256155,-2.699507389162564,-0.7118226600985222,-3.472906403940887,3.717980295566502,1.2475369458128078,0.018000000000000016,0.020999999999999908,-7.0
Colorado,Florida State,2021,0,1.759999999999998,-1.1300000000000008,-1.9224999999999994,0.007500000000000284,-2.0612500000000002,-0.8949999999999996,-2.33,0.07799999999999996,-0.007000000000000006,1.0
UCLA,Abilene Christian,2021,1,10.030000000000001,-1.5948275862068968,-3.0409482758620676,-0.8081896551724137,-4.786637931034482,-4.033405172413794,-0.1842672413793105,0.03699999999999992,0.01100000000000001,-3.0
Maryland,Alabama,2021,0,-5.639999999999999,-6.073313782991202,-3.595307917888567,-2.3841642228738973,-3.4848484848484844,-0.6735092864125125,-1.0107526881720426,-0.009000000000000008,0.019999999999999907,8.0
Loyola (IL),Illinois,2021,1,-8.13,-2.967741935483871,-3.38709677419355,0.5806451612903221,1.258064516129032,-0.5161290322580658,-0.38709677419354893,0.029000000000000026,0.010000000000000009,7.0
Oklahoma State,Oregon State,2021,0,2.17,0.9454545454545471,-1.5878787878787897,-0.6363636363636367,1.6787878787878787,-1.7121212121212093,0.8848484848484852,-0.052000000000000046,0.006000000000000005,-8.0
Syracuse,West Virginia,2021,1,-2.09,-3.235221674876847,-1.7032019704433488,1.0160098522167482,0.5209359605911335,0.9298029556650231,2.2081280788177335,0.06300000000000006,0.019000000000000017,8.0
Rutgers,Houston,2021,0,-7.52,-4.5982142857142865,-0.46875,-2.9508928571428568,-0.36160714285714324,-0.22321428571428648,0.48660714285714324,-0.09499999999999997,-0.02200000000000002,8.0
Baylor,Wisconsin,2021,1,7.609999999999999,4.240860215053765,0.9709677419354854,1.2892473118279586,3.2548387096774194,3.5451612903225787,-0.2677419354838708,-0.06000000000000005,0.052999999999999936,-8.0
North Texas,Villanova,2021,0,-9.889999999999999,-0.7799999999999994,0.2342857142857131,-1.517142857142857,1.42,-1.6385714285714297,1.012857142857143,-0.018000000000000016,0.0050000000000000044,8.0
Arkansas,Texas Tech,2021,1,1.2100000000000009,0.3297413793103434,-0.4353448275862064,0.9019396551724137,0.7058189655172411,1.5625,0.9375,0.030000000000000027,0.01100000000000001,-3.0
Florida,Oral Roberts,2021,0,11.969999999999999,1.6275862068965523,1.2496551724137923,-4.377931034482758,0.613793103448276,-1.038620689655172,1.4124137931034482,-0.06799999999999995,-0.009000000000000008,-8.0
Gonzaga,Oklahoma,2021,1,13.68,-0.5613425925925917,1.5405092592592595,-0.3518518518518521,0.7893518518518521,5.484953703703704,-0.8171296296296298,-0.015000000000000013,0.09099999999999997,-7.0
Ohio,Creighton,2021,0,-10.8,1.2451612903225797,0.48516129032257993,-1.0916129032258066,-0.5277419354838706,1.8348387096774204,-1.2425806451612904,0.06299999999999994,0.008000000000000007,8.0
Southern California,Kansas,2021,1,5.210000000000001,0.536363636363637,-0.2424242424242422,-1.081818181818182,-2.1424242424242426,0.045454545454546746,1.124242424242424,-0.06699999999999995,0.020000000000000018,3.0
Iowa,Oregon,2021,0,5.25,2.092324805339265,-0.09454949944382562,1.640711902113459,-1.5917686318131254,5.747497219132368,0.9966629588431593,0.0040000000000000036,0.009000000000000008,-5.0
Michigan,Florida State,2021,1,4.879999999999999,-1.951428571428572,-3.645714285714286,-0.32285714285714295,-2.9942857142857147,1.3014285714285716,-0.9014285714285712,0.028000000000000025,0.009000000000000008,-3.0
Alabama,UCLA,2021,0,3.2799999999999976,2.6136363636363633,2.210227272727277,3.732954545454543,3.5473484848484844,0.40435606060606055,1.552083333333333,-0.007000000000000006,-0.007000000000000006,-9.0
