Team1,Team2,Year,Team1Win,SRS,ORB,PF,3P,STL,AST,BLK,FT%,TS%,SEED
Tennessee,Iowa,2014,1,-1.2399999999999984,-0.004914004914002845,-1.5970515970515997,-0.24733824733824772,-1.9017199017199014,-3.364455364455365,-0.3210483210483215,-0.016000000000000014,-0.013000000000000012,0.0
Texas Southern,Cal Poly,2014,0,-7.07,0.26470588235294024,-1.7647058823529456,-0.02941176470588225,-1.2647058823529411,2.4117647058823515,0.9117647058823533,0.030000000000000027,0.06399999999999995,0.0
NC State,Xavier,2014,1,-2.8200000000000003,0.5751633986928084,-1.2124183006535958,-0.6732026143790844,-0.9591503267973858,-1.6732026143790826,1.285947712418301,-0.030999999999999917,-0.02200000000000002,0.0
Mount St. Mary's,Albany (NY),2014,0,-3.0100000000000002,-0.14884135472370907,1.6078431372549034,4.1755793226381455,1.618538324420677,0.7290552584670227,0.02941176470588225,-0.01100000000000001,0.015000000000000013,0.0
Virginia,Coastal Carolina,2014,1,23.59,-2.521462639109698,-3.5930047694753604,-0.6677265500794904,-1.136724960254372,2.4340222575516695,1.2305246422893483,-0.017999999999999905,0.014000000000000012,-15.0
Saint Joseph's,Memphis,2014,0,-3.969999999999999,-3.1764705882352917,-2.0,2.0,-4.205882352941175,-3.382352941176471,-0.14705882352941213,0.0010000000000000009,0.015999999999999903,2.0
Harvard,Cincinnati,2014,1,-4.470000000000001,-2.9724264705882355,0.15808823529411598,-0.014705882352941124,-0.288602941176471,1.53125,-0.6856617647058822,0.016000000000000014,0.04499999999999993,7.0
Delaware,Michigan State,2014,0,-16.62,0.6052631578947363,-0.11654135338345739,-0.8789473684210529,-0.8729323308270676,-5.99172932330827,-1.064661654135338,0.0040000000000000036,-0.026999999999999913,9.0
North Carolina,Providence,2014,1,3.870000000000001,1.8630252100840323,3.0655462184873947,-1.9344537815126053,1.780672268907563,1.7823529411764731,-0.20756302521008418,-0.15600000000000003,-0.013000000000000012,-5.0
North Carolina Central,Iowa State,2014,0,-14.549999999999999,1.4362745098039227,2.1062091503267943,-2.9493464052287575,1.761437908496732,-3.710784313725492,1.0849673202614376,0.03500000000000003,-0.009999999999999898,11.0
Connecticut,George Washington,2014,1,6.630000000000001,-2.2643939393939387,-0.05530303030302974,1.5083333333333329,-0.09621212121212075,-1.7696969696969695,1.6590909090909092,0.126,0.016000000000000014,-4.0
