,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
167,168,Marquette,27,13,14,.481,8.51,8.58,8,11,7,7,6,6,1883,1885,1085,666,1609,.414,202,596,.339,351,483,.727,285,913,362,197,86,294,481,68.4,101.7,.300,.370,.513,48.3,54.4,10.6,9.3,.477,13.8,28.3,.218
168,169,Marshall,22,15,7,.682,5.70,-1.66,9,5,9,3,6,3,1758,1596,885,587,1351,.434,175,488,.359,247,372,.664,234,819,263,154,60,321,342,73.1,98.6,.275,.361,.522,51.3,44.8,9.5,7.4,.499,17.4,28.2,.183
169,170,Maryland-Baltimore County,20,14,6,.700,-1.05,-5.70,10,4,5,4,9,2,1391,1298,800,463,1167,.397,158,480,.329,214,299,.716,178,680,212,107,56,245,373,68.7,94.5,.256,.411,.496,48.2,45.8,7.8,8.1,.464,15.8,24.3,.183
170,171,Maryland NCAA,31,17,14,.548,13.94,11.97,9,11,11,6,4,6,2135,2034,1240,729,1777,.410,256,742,.345,320,448,.714,283,1052,377,177,84,342,521,65.9,99.5,.252,.418,.511,50.9,51.7,8.7,9.1,.482,14.7,25.7,.180
171,172,Massachusetts-Lowell,23,11,12,.478,-6.05,-3.61,7,8,3,4,6,6,1575,1631,920,556,1304,.426,150,474,.316,369,515,.717,215,760,234,142,61,260,447,69.3,102.4,.395,.363,.527,48.9,42.1,8.9,7.6,.484,14.4,26.6,.283
172,173,Massachusetts,15,8,7,.533,4.77,1.03,6,4,4,3,3,3,1151,1095,615,403,880,.458,90,266,.338,199,294,.677,131,555,230,105,53,221,280,72.3,98.5,.334,.302,.537,51.8,57.1,9.4,10.3,.509,17.8,25.6,.226
173,174,McNeese State,24,10,14,.417,-18.34,-11.46,4,11,7,5,3,8,1927,1722,960,635,1423,.446,185,513,.361,267,401,.666,219,777,338,181,84,367,415,73.3,97.8,.282,.361,.534,46.4,53.2,10.3,9.0,.511,18.5,25.5,.188
174,175,Memphis,28,20,8,.714,13.81,4.13,11,4,10,1,4,3,2027,1756,1120,606,1557,.389,170,613,.277,374,549,.681,243,916,308,170,86,443,481,72.0,87.1,.353,.394,.483,45.0,50.8,8.4,8.1,.444,19.6,23.7,.240
175,176,Mercer,29,18,11,.621,1.28,-1.60,8,9,9,4,6,6,2225,2082,1180,772,1764,.438,216,679,.318,322,457,.705,261,972,350,182,74,350,437,70.1,100.7,.259,.385,.525,48.0,45.3,8.8,6.9,.499,15.0,24.6,.183
176,177,Merrimack,18,9,9,.500,-9.06,-8.67,9,9,6,3,3,6,1193,1200,725,425,1007,.422,116,337,.344,234,331,.707,200,671,246,121,41,269,300,68.0,97.4,.329,.335,.515,54.7,57.9,9.8,7.2,.480,18.8,31.6,.232
177,178,Miami (FL),27,10,17,.370,3.23,7.75,4,15,7,8,1,8,1794,1916,1085,722,1610,.448,248,656,.378,224,318,.704,245,936,401,188,112,331,420,68.0,103.8,.198,.407,.544,49.8,55.5,10.2,11.0,.525,15.8,26.3,.139
178,179,Miami (OH),23,12,11,.522,-2.67,-2.72,9,8,7,4,5,6,1663,1647,925,598,1335,.448,196,550,.356,255,360,.708,226,809,316,125,85,282,376,67.4,105.6,.270,.412,.547,50.3,52.8,8.0,10.3,.521,15.8,28.3,.191
179,180,Michigan State NCAA,28,15,13,.536,9.80,11.48,9,11,12,3,3,8,1944,1991,1125,693,1625,.426,176,548,.321,429,599,.716,265,959,371,181,86,295,498,68.9,102.7,.369,.337,.521,47.8,53.5,9.3,8.0,.481,13.4,26.3,.264
180,181,Michigan NCAA,28,23,5,.821,22.00,11.25,14,3,13,1,6,2,2123,1822,1125,667,1698,.393,174,541,.322,314,413,.760,254,868,280,139,78,281,462,67.8,95.5,.243,.319,.481,45.3,42.0,7.3,7.4,.444,12.9,24.1,.185
181,182,Middle Tennessee,23,5,18,.217,-10.78,-0.78,3,13,5,6,0,9,1426,1627,920,610,1293,.472,140,437,.320,267,378,.706,186,827,300,174,76,320,329,69.9,101.2,.292,.338,.552,51.8,49.2,10.8,9.6,.526,17.9,25.4,.206
182,183,Milwaukee,22,10,12,.455,-7.71,-6.98,7,10,4,5,6,6,1662,1678,900,582,1288,.452,192,507,.379,322,451,.714,208,830,323,114,62,297,426,71.1,104.9,.350,.394,.559,51.9,55.5,7.1,7.2,.526,16.5,26.6,.250
183,184,Minnesota,29,14,15,.483,11.04,11.73,6,14,13,4,0,10,2103,2123,1175,760,1722,.441,192,546,.352,411,591,.695,332,1158,432,155,78,394,570,70.7,102.2,.343,.317,.530,52.0,56.8,7.5,7.3,.497,16.4,31.4,.239
184,185,Mississippi State,33,18,15,.545,9.24,6.79,8,10,9,6,5,4,2287,2206,1340,791,1958,.404,261,803,.325,363,486,.747,337,1055,468,237,129,389,542,67.2,98.0,.248,.410,.504,45.0,59.2,10.5,9.6,.471,15.1,27.5,.185
185,186,Mississippi Valley State,24,2,22,.083,-38.17,-7.63,2,13,1,5,1,16,1364,2097,960,771,1592,.484,207,578,.358,348,518,.672,322,1087,440,222,67,263,369,73.9,118.3,.325,.363,.570,59.2,57.1,12.5,9.6,.549,12.5,35.7,.219
186,187,Mississippi,28,16,12,.571,11.18,6.00,10,8,10,4,5,6,1927,1782,1125,623,1482,.420,191,541,.353,345,500,.690,255,892,364,194,90,424,483,67.3,94.1,.337,.365,.518,46.6,58.4,10.2,8.2,.485,19.8,27.1,.233
187,188,Kansas City,24,11,13,.458,-4.92,-2.67,7,7,8,3,2,8,1683,1502,960,484,1118,.433,136,418,.325,398,577,.690,175,721,259,127,74,378,392,66.5,94.1,.516,.374,.539,49.7,53.5,8.0,8.4,.494,21.4,24.0,.356
188,189,Missouri State,24,17,7,.708,5.16,-0.02,12,6,9,4,7,2,1762,1594,960,581,1418,.410,164,503,.326,268,390,.687,198,768,250,135,60,246,400,68.7,96.7,.275,.355,.497,46.4,43.0,8.2,7.3,.468,13.3,22.1,.189
189,190,Missouri NCAA,26,16,10,.615,12.37,10.87,8,8,8,4,6,4,1909,1870,1050,654,1518,.431,165,497,.332,397,556,.714,271,916,296,161,105,332,494,70.4,101.2,.366,.327,.525,49.7,45.3,8.7,11.3,.485,15.7,28.7,.262
190,191,Monmouth,20,12,8,.600,-5.88,-7.63,12,6,7,2,5,5,1521,1486,815,504,1200,.420,159,484,.329,319,461,.692,220,792,280,131,85,317,418,74.5,98.0,.384,.403,.524,51.4,55.6,8.6,10.6,.486,18.3,28.5,.266
191,192,Montana State,23,13,10,.565,-5.62,-4.62,8,6,5,3,6,6,1703,1655,935,554,1292,.429,172,499,.345,375,484,.775,193,756,246,135,66,311,471,70.0,101.2,.375,.386,.544,49.3,44.4,8.3,7.6,.495,17.0,25.0,.290
192,193,Montana,28,15,13,.536,-3.65,-1.57,7,9,8,4,5,8,1981,1876,1135,667,1555,.429,162,520,.312,380,567,.670,252,919,324,165,77,351,507,68.0,97.3,.365,.334,.514,49.8,48.6,8.6,7.1,.481,16.1,26.1,.244
193,194,Morehead State NCAA,31,23,8,.742,-0.95,-4.33,17,3,12,1,8,5,2132,1986,1250,736,1806,.408,231,741,.312,283,418,.677,272,954,366,242,98,374,555,67.1,94.7,.231,.410,.495,45.2,49.7,11.5,9.1,.471,15.7,24.5,.157
194,195,Morgan State,22,14,8,.636,-6.55,-11.24,7,5,5,5,7,2,1755,1606,880,533,1263,.422,159,520,.306,381,532,.716,238,792,267,161,76,388,435,75.9,96.2,.421,.412,.530,47.6,50.1,9.6,8.8,.485,20.4,29.2,.302
195,196,Mount St. Mary's NCAA,23,12,11,.522,-5.67,-6.67,9,7,6,3,6,6,1454,1431,930,526,1300,.405,129,422,.306,250,325,.769,198,740,217,151,65,237,402,63.8,96.5,.250,.325,.492,46.3,41.3,10.2,8.3,.454,14.0,24.3,.192
