,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
259,260,Sacred Heart,32,15,17,.469,-7.88,-8.11,11,7,10,3,4,13,2558,2509,1285,885,1926,.460,243,681,.357,545,722,.755,354,1231,471,170,133,465,572,74.0,107.6,.375,.354,.564,53.1,53.2,7.2,10.8,.523,17.0,31.3,.283
260,261,Saint Francis (PA),33,18,15,.545,-8.74,-6.16,12,6,12,4,6,11,2517,2510,1320,885,2035,.435,254,724,.351,493,698,.706,430,1246,413,221,94,402,598,70.8,107.7,.343,.356,.532,52.0,46.7,9.5,7.9,.497,14.5,34.2,.242
261,262,Saint Joseph's,33,14,19,.424,-0.43,1.66,6,12,10,5,2,11,2328,2397,1325,793,1943,.408,280,869,.322,462,615,.751,258,1145,397,186,110,305,497,68.8,102.2,.317,.447,.521,48.3,50.1,8.2,10.1,.480,12.0,21.5,.238
262,263,Saint Louis NCAA,36,23,13,.639,5.06,2.23,10,8,15,2,4,8,2399,2297,1440,855,2052,.417,205,675,.304,484,809,.598,492,1428,460,254,145,464,634,67.0,99.4,.394,.329,.492,54.5,53.8,10.5,11.9,.467,16.0,35.7,.236
263,264,Saint Mary's (CA) NCAA,34,22,12,.647,12.58,4.40,11,5,14,3,5,5,2463,2185,1365,899,1905,.472,253,670,.378,412,555,.742,329,1180,341,201,87,355,572,64.3,112.2,.291,.352,.568,54.4,37.9,9.2,6.9,.538,14.1,30.8,.216
264,265,Saint Peter's,32,10,22,.313,-12.15,-6.40,6,12,7,7,2,14,2012,2196,1305,707,1639,.431,184,567,.325,414,570,.726,293,1032,301,172,177,488,614,64.3,95.9,.348,.346,.527,50.9,42.6,8.2,17.7,.487,20.4,29.2,.253
265,266,Sam Houston State,33,21,12,.636,-3.17,-5.84,16,2,12,2,8,9,2476,2307,1345,889,2011,.442,308,840,.367,390,518,.753,369,1191,555,242,94,413,659,68.6,107.3,.258,.418,.549,51.3,62.4,10.5,8.9,.519,15.5,31.0,.194
266,267,Samford,33,17,16,.515,0.69,-2.03,6,12,11,6,5,9,2583,2487,1355,921,1951,.472,254,687,.370,487,666,.731,316,1225,461,238,127,463,560,71.2,107.1,.341,.352,.570,50.3,50.1,9.9,10.9,.537,17.0,28.1,.250
267,268,San Diego State,34,21,13,.618,5.29,2.47,11,7,14,3,4,7,2437,2291,1360,845,1940,.436,261,721,.362,486,679,.716,346,1228,487,197,113,424,638,68.9,104.1,.350,.372,.539,51.2,57.6,8.4,10.1,.503,15.8,29.4,.251
268,269,San Diego,36,21,15,.583,6.12,3.61,7,9,12,4,5,9,2591,2455,1460,914,2002,.457,284,808,.351,479,641,.747,290,1238,516,204,112,466,667,68.0,104.4,.320,.404,.562,51.9,56.5,8.2,8.4,.527,16.8,24.7,.239
269,270,San Francisco,31,21,10,.677,8.56,1.13,9,7,13,3,6,5,2358,2101,1250,864,1851,.467,258,727,.355,372,568,.655,340,1138,439,188,105,321,543,67.3,112.1,.307,.393,.556,52.2,50.8,8.9,8.9,.536,13.1,30.8,.201
270,271,San Jose State,31,4,27,.129,-16.37,0.59,1,17,4,11,0,12,2042,2534,1250,713,1765,.404,210,641,.328,406,620,.655,323,1130,423,131,52,484,539,71.3,91.7,.351,.363,.496,49.7,59.3,5.9,5.1,.463,19.0,27.9,.230
