,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
0,1,Abilene Christian,32,16,16,.500,-9.14,-6.82,8,10,9,6,6,9,2359,2279,1290,870,1874,.464,213,656,.325,406,579,.701,309,1093,482,260,128,461,671,71.5,102.3,.309,.350,.549,49.7,55.4,11.3,11.6,.521,17.7,28.0,.217
1,2,Air Force,31,12,19,.387,-4.31,1.72,6,12,9,7,3,10,2124,2244,1245,733,1751,.419,250,755,.331,408,556,.734,302,1014,445,201,78,391,557,67.7,100.8,.318,.431,.527,48.7,60.7,9.5,8.1,.490,16.3,27.5,.233
2,3,Akron,32,14,18,.438,-6.82,-1.92,6,12,12,4,2,10,2296,2411,1295,793,1824,.435,305,851,.358,405,582,.696,306,1071,418,189,81,440,637,69.0,102.7,.319,.467,.547,49.2,52.7,8.5,7.5,.518,17.3,27.5,.222
3,4,Alabama A&M,31,3,28,.097,-23.97,-8.04,3,15,2,9,1,18,1873,2367,1245,673,1697,.397,182,601,.303,345,533,.647,335,1046,340,123,49,514,506,68.2,88.2,.314,.354,.480,48.2,50.5,5.8,3.9,.450,20.9,29.9,.203
4,5,UAB,33,20,13,.606,4.90,-0.65,10,8,14,3,5,6,2536,2303,1330,945,1937,.488,223,646,.345,423,564,.750,333,1255,560,178,127,437,490,69.4,109.8,.291,.334,.575,54.8,59.3,7.7,11.6,.545,16.5,31.2,.218
5,6,Alabama State,31,8,23,.258,-18.56,-8.62,8,10,4,8,4,13,2129,2437,1245,751,1839,.408,209,638,.328,418,647,.646,394,1131,313,169,130,437,648,70.5,97.0,.352,.347,.496,47.9,41.7,7.7,11.2,.465,16.9,31.9,.227
6,7,Alabama NCAA,36,20,16,.556,12.34,10.64,8,10,12,4,2,8,2604,2543,1440,910,1975,.461,229,702,.326,555,828,.670,360,1290,458,228,192,513,676,70.2,103.0,.419,.355,.550,50.3,50.3,9.0,14.7,.519,17.8,29.4,.281
7,8,Albany (NY),32,22,10,.688,0.02,-5.40,10,6,14,3,8,7,2375,2182,1280,839,1836,.457,184,502,.367,513,680,.754,377,1191,405,150,91,371,528,67.3,110.3,.370,.273,.550,55.2,48.3,7.0,7.9,.507,14.7,34.9,.279
8,9,Alcorn State,32,11,21,.344,-18.07,-8.60,7,11,9,5,2,16,2244,2388,1285,791,1824,.434,239,697,.343,423,598,.707,305,1104,419,200,85,459,613,70.4,99.2,.328,.382,.532,48.4,53.0,8.8,7.7,.499,17.9,27.2,.232
9,10,American,30,6,24,.200,-14.63,-6.16,3,15,4,8,2,16,1961,2215,1205,698,1615,.432,239,709,.337,326,491,.664,242,869,367,217,98,413,550,67.3,96.7,.304,.439,.531,45.1,52.6,10.7,9.1,.506,18.3,23.7,.202
10,11,Appalachian State,33,15,18,.455,-4.83,-2.67,9,9,9,4,4,11,2520,2448,1340,864,1983,.436,292,859,.340,500,749,.668,389,1292,411,198,117,457,627,72.0,104.6,.378,.433,.539,52.3,47.6,8.2,8.9,.509,16.3,30.8,.252
11,12,Arizona State NCAA,32,20,12,.625,14.37,6.55,8,10,13,4,4,6,2645,2395,1290,888,1920,.463,288,793,.363,581,793,.733,315,1126,458,209,114,343,604,72.2,113.6,.413,.413,.576,49.0,51.6,9.0,9.9,.538,13.0,27.9,.303
12,13,Arizona NCAA,35,27,8,.771,15.67,6.84,14,4,15,1,8,3,2818,2509,1420,1009,2003,.504,237,642,.369,563,741,.760,353,1277,531,173,158,426,603,68.6,115.6,.370,.321,.598,55.6,52.6,7.1,12.0,.563,15.3,33.3,.281
13,14,Little Rock,32,7,25,.219,-10.45,-2.22,4,14,5,10,2,14,2038,2242,1300,750,1756,.427,200,623,.321,338,554,.610,322,1089,391,159,93,459,612,66.6,94.2,.315,.355,.505,49.1,52.1,7.4,9.5,.484,18.5,28.9,.192
14,15,Arkansas-Pine Bluff,35,14,21,.400,-14.84,-9.36,12,6,7,3,6,13,2307,2499,1410,815,1863,.437,217,660,.329,460,681,.675,279,1024,427,275,144,500,684,68.4,95.7,.366,.354,.528,43.6,52.4,11.4,11.7,.496,18.6,24.0,.247
15,16,Arkansas State,32,11,21,.344,-9.65,-3.02,6,12,7,7,4,13,2369,2523,1290,841,1910,.440,236,695,.340,451,628,.718,359,1072,344,215,95,419,589,70.4,104.3,.329,.364,.536,48.6,40.9,9.5,7.9,.502,15.9,30.6,.236
16,17,Arkansas NCAA,35,23,12,.657,14.76,9.85,10,8,15,2,3,7,2819,2647,1415,1005,2119,.474,269,681,.395,540,793,.681,351,1208,501,218,163,381,700,71.3,111.8,.374,.321,.565,48.9,49.9,8.6,13.8,.538,13.2,28.7,.255
17,18,Army,30,13,17,.433,-8.62,-7.17,6,12,6,5,4,12,2230,2223,1205,820,1845,.444,295,771,.383,295,448,.658,302,1073,501,170,83,403,593,71.7,103.3,.243,.418,.542,49.6,61.1,7.9,8.2,.524,16.4,27.1,.160
18,19,Auburn NCAA,34,26,8,.765,15.97,7.29,13,5,15,1,7,4,2783,2488,1360,906,2102,.431,324,908,.357,647,836,.774,407,1290,481,252,180,411,672,73.4,111.5,.398,.432,.557,51.7,53.1,10.1,15.2,.508,14.1,32.0,.308
19,20,Austin Peay,34,19,15,.559,-3.28,-2.50,12,6,13,5,5,9,2512,2446,1370,915,2012,.455,202,592,.341,480,737,.651,444,1209,453,225,103,478,671,70.1,104.7,.366,.294,.532,52.2,49.5,9.4,8.9,.505,16.8,35.7,.239
20,21,Ball State,32,19,13,.594,-1.22,-2.00,10,8,14,2,5,10,2410,2362,1295,856,1895,.452,245,727,.337,453,643,.705,320,1210,453,170,112,423,547,71.1,104.7,.339,.384,.548,51.1,52.9,7.4,8.9,.516,16.1,27.9,.239
