School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Lamar,29,2,27,.069,-15.86,-2.60,0,16,2,9,0,18,1778,2116,1160,722,1621,.445,236,680,.347,436,618,.706,307,1045,483,215,86,347,462,67.5,108.1,.381,.419,.553,50.9,66.9,11.0,7.5,.518,15.3,30.8,.269
Lehigh,32,13,19,.406,-10.82,-7.56,10,8,9,7,4,12,2190,2284,1285,839,1899,.442,174,490,.355,432,599,.721,292,1121,342,241,129,325,476,68.8,103.3,.315,.258,.523,51.2,40.8,10.9,11.7,.488,13.0,25.7,.227
Liberty,33,22,11,.667,1.86,-4.01,12,4,13,3,6,3,2421,2094,1330,729,1809,.403,240,736,.326,396,550,.720,252,1037,347,209,71,383,497,66.0,95.4,.304,.407,.506,47.8,47.6,9.5,7.8,.469,15.6,21.9,.219
Lipscomb,33,14,19,.424,-8.42,-3.29,6,10,9,6,3,13,2442,2536,1320,932,2150,.433,322,878,.367,350,484,.723,356,1194,482,233,137,330,558,71.2,108.0,.225,.408,.533,50.2,51.7,9.9,12.6,.508,12.2,27.6,.163
Long Beach State,33,20,13,.606,-0.65,0.35,14,3,11,3,6,7,2437,2409,1335,872,1961,.445,266,771,.345,399,537,.743,301,1144,464,211,93,479,641,71.7,100.7,.274,.393,.544,49.5,53.2,8.8,7.1,.512,17.8,26.4,.203
Long Island University,30,16,14,.533,-7.62,-7.03,12,6,12,1,4,13,2245,2204,1210,777,1884,.412,248,785,.316,402,561,.717,345,1152,399,212,82,411,496,73.3,99.4,.298,.417,.512,49.4,51.4,9.6,7.2,.478,16.0,29.4,.213
Longwood,33,26,7,.788,-0.35,-6.11,15,1,16,1,7,5,2499,2170,1330,788,1817,.434,253,790,.320,341,462,.738,250,1004,394,191,123,467,601,67.8,96.2,.254,.435,.533,45.2,50.0,8.5,10.1,.503,18.7,23.3,.188
Louisiana,31,16,15,.516,-2.71,-2.91,8,9,7,6,6,8,2203,2151,1250,747,1820,.410,194,602,.322,463,623,.743,311,1051,375,257,98,406,578,70.5,97.6,.342,.331,.508,46.6,50.2,11.7,8.7,.464,16.1,27.2,.254
Louisiana-Monroe,31,13,18,.419,-8.70,-2.59,5,13,8,7,5,10,2246,2304,1255,815,1813,.450,260,731,.356,414,599,.691,354,1148,469,228,120,438,482,69.7,105.3,.330,.403,.549,53.3,57.5,10.4,10.0,.521,17.3,32.7,.228
Louisiana State,34,22,12,.647,17.45,8.30,9,9,15,2,3,8,2467,2156,1370,715,1854,.386,243,863,.282,483,700,.690,379,1182,389,244,117,605,567,70.4,89.4,.378,.465,.493,48.5,54.4,10.1,8.9,.451,21.7,30.9,.261
Louisiana Tech,34,24,10,.706,5.23,0.11,12,6,13,3,8,5,2558,2312,1360,830,2010,.413,260,784,.332,392,536,.731,341,1215,420,218,103,463,585,70.0,97.1,.267,.390,.510,49.7,50.6,9.2,8.8,.478,17.0,27.1,.195
Louisville,32,13,19,.406,4.23,7.01,6,14,8,8,2,10,2154,2243,1290,805,1842,.437,245,702,.349,388,552,.703,280,1130,422,205,101,354,484,67.5,103.0,.300,.381,.533,49.2,52.4,9.4,9.3,.504,14.4,24.8,.211
Loyola (IL),33,25,8,.758,13.39,2.93,13,5,12,2,8,3,2403,2029,1340,725,1770,.410,210,680,.309,369,504,.732,262,1030,303,190,117,446,564,65.7,92.2,.285,.384,.505,47.9,41.8,8.6,11.4,.469,18.2,23.3,.208
Loyola Marymount,29,11,18,.379,-1.93,3.25,3,12,6,7,3,9,2010,2148,1170,770,1605,.480,213,591,.360,395,507,.779,238,938,425,187,100,366,539,67.5,108.8,.316,.368,.582,52.1,55.2,9.5,10.3,.546,16.5,27.4,.246
Loyola (MD),30,14,16,.467,-8.40,-7.95,8,10,10,3,3,12,1984,1970,1210,709,1606,.441,206,606,.340,346,481,.719,251,1001,388,194,84,421,437,66.7,97.6,.300,.377,.537,51.0,54.7,9.6,8.1,.506,18.7,25.9,.215
Maine,29,6,23,.207,-18.38,-5.34,3,15,5,9,1,14,1811,2063,1160,738,1577,.468,209,559,.374,378,518,.730,265,1031,366,190,74,375,389,66.6,106.9,.328,.354,.566,53.1,49.6,9.8,7.3,.534,17.1,28.8,.240
Manhattan,30,15,15,.500,-7.64,-3.85,8,12,8,5,4,9,2126,2179,1215,786,1702,.462,190,566,.336,417,590,.707,308,1010,441,228,78,435,581,69.5,103.3,.347,.333,.550,50.3,56.1,10.8,7.0,.518,18.0,30.7,.245
Marist,30,14,16,.467,-4.26,-4.86,9,11,7,6,7,9,2063,2045,1215,723,1742,.415,238,713,.334,361,496,.728,292,1054,396,179,96,341,472,66.9,100.6,.285,.409,.517,50.0,54.8,8.8,8.9,.483,14.7,27.2,.207
Marquette,32,19,13,.594,11.36,8.96,11,8,13,3,4,7,2369,2292,1290,824,1999,.412,230,719,.320,414,589,.703,399,1262,463,224,102,437,484,71.6,99.3,.295,.360,.503,53.1,56.2,9.7,9.1,.470,16.1,31.6,.207
Marshall,33,12,21,.364,-4.57,0.14,4,14,8,9,3,11,2442,2523,1320,925,2053,.451,242,708,.342,431,555,.777,337,1260,420,253,82,439,479,73.3,104.2,.270,.345,.545,50.7,45.4,10.5,6.4,.509,15.9,27.9,.210
Maryland-Baltimore County,32,18,14,.563,-6.06,-6.51,11,7,11,4,6,10,2359,2307,1285,902,1973,.457,251,723,.347,252,383,.658,314,1157,412,180,78,368,541,68.8,104.3,.194,.366,.535,52.5,45.7,8.1,7.4,.521,14.6,27.9,.128
Maryland-Eastern Shore,27,11,16,.407,-13.10,-7.14,6,8,6,4,5,11,1778,1792,1090,628,1453,.432,185,561,.330,351,512,.686,258,959,343,188,85,470,434,70.1,93.8,.352,.386,.528,50.6,54.6,9.8,9.5,.496,21.7,28.6,.242
Maryland,32,15,17,.469,9.34,9.12,7,13,10,8,3,7,2270,2263,1290,826,1909,.433,264,743,.355,347,470,.738,314,1122,431,180,106,349,578,67.4,104.1,.246,.389,.531,49.9,52.2,8.3,9.2,.502,14.1,27.6,.182
Massachusetts-Lowell,31,15,16,.484,-7.08,-6.65,7,11,8,6,6,9,2191,2040,1250,723,1762,.410,211,590,.358,383,532,.720,303,1078,316,187,115,431,470,68.9,94.8,.302,.335,.506,49.2,43.7,8.7,9.1,.470,17.6,27.7,.217
Massachusetts,32,15,17,.469,-0.67,1.70,7,11,10,5,3,8,2422,2498,1295,920,1896,.485,254,679,.374,404,555,.728,315,1122,529,190,85,403,552,69.2,111.5,.293,.358,.578,51.0,57.5,8.5,7.9,.552,15.7,29.7,.213
McNeese State,33,11,22,.333,-11.76,-5.04,4,10,6,5,2,13,2579,2555,1350,889,1984,.448,236,689,.343,541,747,.724,330,1141,458,275,99,487,615,74.2,102.1,.377,.347,.546,46.1,51.5,11.0,7.1,.508,17.2,27.3,.273
Memphis,33,22,11,.667,14.67,7.86,13,5,13,2,5,6,2480,2255,1320,771,1940,.397,266,831,.320,447,644,.694,387,1079,438,303,117,479,609,71.0,96.2,.332,.428,.502,45.7,56.8,12.9,8.9,.466,17.6,30.9,.230
Mercer,33,16,17,.485,-3.41,-1.15,8,10,10,4,4,11,2325,2328,1330,839,1879,.447,270,781,.346,380,521,.729,294,1062,436,232,87,367,494,66.3,105.7,.277,.416,.547,49.4,52.0,10.5,8.3,.518,14.7,26.2,.202
Merrimack,30,14,16,.467,-10.86,-6.82,9,8,7,7,7,9,1843,1931,1210,687,1600,.429,180,545,.330,377,530,.711,355,1138,411,181,89,447,432,64.0,99.7,.331,.341,.521,57.1,59.8,9.3,9.3,.486,19.4,36.0,.236
Miami (FL),37,26,11,.703,11.22,7.62,14,6,10,5,10,2,2736,2603,1485,979,2135,.459,285,826,.345,360,530,.679,376,1308,562,190,125,515,570,67.8,103.3,.248,.387,.545,53.6,57.4,7.5,9.1,.525,17.7,30.3,.169
Miami (OH),32,14,18,.438,-6.35,-4.14,8,12,9,8,5,9,2408,2351,1290,839,1883,.446,268,771,.348,405,556,.728,325,1166,423,199,94,401,524,68.9,105.7,.295,.409,.547,51.3,50.4,8.9,8.3,.517,15.7,29.1,.215
Michigan State,36,23,13,.639,13.18,9.96,11,9,12,3,5,6,2601,2485,1440,901,2138,.421,254,803,.316,429,606,.708,359,1179,463,228,121,373,607,67.9,101.7,.283,.376,.512,47.0,51.4,9.3,8.9,.481,13.3,27.1,.201
Michigan,34,19,15,.559,14.26,11.02,11,9,10,5,5,7,2470,2360,1360,880,1995,.441,225,695,.324,375,511,.734,278,1029,377,185,110,338,542,67.5,102.9,.256,.348,.527,45.9,42.8,8.1,8.3,.497,13.1,24.0,.188
Middle Tennessee,37,26,11,.703,4.50,-1.16,13,5,15,0,5,9,2771,2486,1510,851,2059,.413,236,764,.309,548,734,.747,376,1254,377,235,118,544,644,68.2,96.5,.356,.371,.516,49.0,44.3,9.1,9.6,.471,18.4,28.9,.266
Milwaukee,32,10,22,.313,-13.19,-6.32,8,14,6,10,4,10,2073,2264,1280,782,1948,.401,269,804,.335,431,564,.764,365,1182,416,213,100,326,474,68.0,104.1,.290,.413,.511,50.7,53.2,9.8,8.5,.470,12.8,29.7,.221
Minnesota,30,13,17,.433,5.93,8.13,4,16,8,7,3,9,2010,2076,1210,793,1747,.454,204,606,.337,286,407,.703,279,1125,403,145,111,313,444,65.5,104.8,.233,.347,.535,55.0,50.8,7.3,10.4,.512,13.9,27.4,.164
Mississippi State,34,18,16,.529,11.83,7.60,8,10,14,3,1,10,2396,2252,1375,808,1880,.430,250,784,.319,386,532,.726,294,1037,468,241,110,445,571,66.6,98.3,.283,.417,.528,45.7,57.9,10.5,8.1,.496,17.3,25.7,.205
Mississippi Valley State,28,2,26,.071,-22.15,-6.40,2,16,0,11,2,15,1882,2323,1145,841,1671,.503,208,521,.399,433,608,.712,316,1203,437,191,102,429,472,72.6,111.8,.364,.312,.593,57.6,52.0,9.2,9.5,.566,18.0,33.8,.259
Mississippi,32,13,19,.406,6.72,7.25,4,14,10,8,2,7,2180,2197,1295,816,1792,.455,209,648,.323,356,502,.709,280,1094,486,220,105,420,510,67.0,101.3,.280,.362,.541,50.6,59.6,10.1,9.2,.514,17.1,26.6,.199
Kansas City,31,19,12,.613,-5.49,-5.23,12,6,11,3,8,7,2311,2085,1240,703,1595,.441,179,561,.319,500,670,.746,211,1028,339,152,106,483,532,70.2,95.8,.420,.352,.545,51.5,48.2,7.0,9.0,.497,20.2,21.8,.313
Missouri State,34,23,11,.676,8.29,1.05,13,5,12,4,8,5,2628,2342,1370,837,1991,.420,252,760,.332,416,551,.755,279,1099,366,178,99,364,577,68.1,100.4,.277,.382,.520,47.8,43.7,7.6,8.1,.484,13.9,23.2,.209
Missouri,33,12,21,.364,2.94,9.10,5,13,8,8,2,10,2160,2325,1325,819,1848,.443,231,655,.353,456,655,.696,335,1103,395,241,119,405,531,67.4,104.2,.354,.354,.538,48.8,48.2,10.8,9.6,.506,15.8,29.7,.247
Monmouth,34,21,13,.618,-0.39,-1.68,11,9,9,5,10,7,2333,2289,1370,786,1929,.407,254,787,.323,463,649,.713,342,1195,395,185,108,408,637,67.1,99.6,.336,.408,.512,49.1,50.3,8.0,8.6,.473,15.4,27.9,.240
Montana State,35,27,8,.771,-0.26,-5.54,16,4,13,1,9,6,2679,2425,1415,841,1965,.428,228,693,.329,515,685,.752,273,1085,336,226,98,450,696,69.5,98.6,.349,.353,.529,46.9,40.0,9.2,8.0,.486,16.4,22.8,.262
Montana,32,18,14,.563,-6.48,-6.21,11,9,14,3,4,10,2310,2141,1285,741,1683,.440,181,508,.356,478,658,.726,260,1084,323,132,89,421,575,67.5,98.7,.391,.302,.536,52.5,43.6,6.1,8.0,.494,17.4,25.0,.284
Morehead State,34,23,11,.676,0.79,-3.43,13,5,12,2,8,8,2379,2158,1365,813,1992,.408,215,658,.327,317,461,.688,346,1121,411,256,108,410,542,66.6,95.0,.231,.330,.488,47.4,50.6,11.3,9.7,.462,15.6,27.9,.159
Morgan State,28,13,15,.464,-12.62,-8.12,7,6,8,3,3,10,2100,2025,1125,682,1563,.436,205,594,.345,456,650,.702,279,1014,340,212,110,537,498,75.7,95.1,.416,.380,.541,49.6,49.9,10.0,9.1,.502,22.3,28.7,.292
Mount St. Mary's,30,14,16,.467,-8.20,-7.20,9,7,8,5,6,11,1984,1958,1210,723,1687,.429,186,562,.331,326,438,.744,288,989,332,210,81,370,480,65.3,99.2,.260,.333,.517,48.5,45.9,10.6,6.9,.484,16.3,28.3,.193
Murray State,34,31,3,.912,9.87,-3.07,18,0,15,0,11,1,2690,2150,1365,788,1912,.412,232,774,.300,342,504,.679,302,1063,351,183,134,471,572,68.3,92.3,.264,.405,.500,44.5,44.5,7.9,10.5,.473,18.0,25.0,.179
Navy,32,21,11,.656,-2.94,-6.36,12,6,9,6,11,5,2079,1924,1290,678,1668,.406,209,637,.328,359,524,.685,262,1006,383,223,108,432,536,64.7,92.3,.314,.382,.502,45.7,56.5,10.7,8.8,.469,18.4,24.3,.215
Omaha,30,5,25,.167,-16.99,-2.27,4,14,5,9,0,15,2088,2505,1200,869,1809,.480,276,699,.395,491,669,.734,296,1116,418,193,85,319,506,71.4,116.9,.370,.386,.589,53.1,48.1,9.0,7.4,.557,13.0,29.1,.271
Nebraska,32,10,22,.313,3.00,8.25,4,16,7,12,3,8,2345,2513,1305,900,2022,.445,283,816,.347,430,595,.723,375,1284,457,227,120,429,581,72.0,107.0,.294,.404,.545,54.8,50.8,9.7,10.2,.515,15.7,31.3,.213
Nevada-Las Vegas,32,18,14,.563,7.20,4.58,10,8,14,4,4,7,2236,2099,1280,735,1796,.409,235,749,.314,394,548,.719,290,1120,394,162,92,367,541,67.0,97.9,.305,.417,.510,49.2,53.6,7.6,8.7,.475,15.1,25.5,.219
Nevada,31,13,18,.419,3.71,6.07,6,12,7,7,3,9,2249,2284,1240,807,1829,.441,287,804,.357,381,528,.722,276,1067,451,186,83,403,563,71.2,103.4,.289,.440,.549,49.8,55.9,8.4,7.3,.520,16.2,25.2,.208
New Hampshire,28,15,13,.536,-6.32,-7.21,10,8,10,4,5,9,1925,1819,1120,662,1535,.431,206,605,.340,289,385,.751,196,886,272,138,73,265,429,63.6,102.2,.251,.394,.529,46.9,41.1,7.8,7.7,.498,13.4,21.3,.188
