School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
New Mexico State,34,27,7,.794,7.11,1.24,13,4,13,2,9,3,2464,2197,1365,768,1976,.389,254,843,.301,407,545,.747,310,1058,382,234,70,406,638,68.3,94.3,.276,.427,.492,44.9,49.7,10.0,6.4,.453,15.4,25.0,.206
New Mexico,32,13,19,.406,1.25,4.32,5,12,11,7,2,9,2376,2411,1290,863,1893,.456,211,649,.325,474,647,.733,317,1206,449,192,102,422,570,71.5,104.5,.342,.343,.548,52.6,52.0,8.3,8.5,.512,16.1,28.1,.250
New Orleans,32,18,14,.563,-7.88,-7.16,10,4,12,2,3,10,2469,2385,1290,851,1990,.428,242,788,.307,441,636,.693,376,1203,479,226,120,493,629,74.9,98.7,.320,.396,.520,50.7,56.3,9.4,8.1,.488,17.7,30.2,.222
Niagara,30,14,16,.467,-3.09,-2.98,9,11,7,4,5,10,2022,1965,1215,704,1694,.416,207,624,.332,350,469,.746,267,1024,369,153,85,345,482,65.7,98.4,.277,.368,.513,51.3,52.4,7.7,7.9,.477,15.3,26.5,.207
Nicholls State,33,21,12,.636,-3.62,-5.90,11,3,11,1,7,8,2590,2352,1330,816,1963,.416,245,732,.335,475,666,.713,368,1216,441,186,83,504,487,72.5,97.6,.339,.373,.516,49.1,54.0,7.7,6.2,.478,18.1,29.7,.242
NJIT,29,11,18,.379,-14.63,-6.17,6,12,6,8,5,10,1826,2030,1175,741,1712,.433,233,696,.335,315,453,.695,281,1083,399,197,95,335,491,67.3,102.7,.265,.407,.527,52.1,53.8,10.0,9.2,.501,14.8,27.1,.184
Norfolk State,31,24,7,.774,-3.91,-9.30,12,2,11,0,7,6,2302,1997,1240,687,1807,.380,238,816,.292,385,598,.644,322,1041,379,179,101,424,564,70.7,91.1,.331,.452,.478,46.6,55.2,8.2,8.9,.446,16.9,26.9,.213
North Alabama,30,9,21,.300,-11.33,-3.21,2,14,6,7,3,12,2081,2056,1210,707,1673,.423,183,565,.324,459,661,.694,300,1166,318,182,115,446,426,70.6,96.3,.395,.338,.517,51.8,45.0,8.5,10.3,.477,18.3,28.4,.274
UNC Asheville,32,17,15,.531,-4.52,-5.28,8,8,9,6,6,7,2410,2201,1310,842,1919,.439,179,627,.285,338,506,.668,368,1145,395,208,94,432,597,68.0,98.9,.264,.327,.510,51.3,46.9,9.3,8.6,.485,16.7,31.9,.176
North Carolina A&T,32,12,20,.375,-9.91,-4.46,6,10,7,4,3,13,2167,2250,1290,769,1792,.429,252,737,.342,460,654,.703,336,1169,445,218,76,446,498,68.5,101.9,.365,.411,.535,50.7,57.9,9.9,6.1,.499,17.5,30.1,.257
North Carolina Central,31,16,15,.516,-11.39,-7.47,8,5,9,2,5,11,2256,2120,1255,703,1662,.423,223,699,.319,491,693,.709,304,1022,386,216,138,522,592,70.9,95.4,.417,.421,.532,47.7,54.9,9.7,11.5,.490,20.8,28.7,.295
UNC Greensboro,32,17,15,.531,-2.47,-1.99,9,9,9,5,7,6,2083,2079,1295,712,1701,.419,287,821,.350,368,479,.768,258,954,401,221,84,382,508,63.2,101.7,.282,.483,.539,46.0,56.3,10.8,7.9,.503,16.5,25.1,.216
NC State,32,11,21,.344,3.77,6.37,4,16,7,10,3,7,2336,2419,1305,887,1879,.472,234,651,.359,411,553,.743,333,1204,468,179,134,407,537,67.9,109.2,.294,.346,.565,51.9,52.8,8.1,11.0,.534,16.0,31.1,.219
UNC Wilmington,36,27,9,.750,-0.66,-2.84,15,3,12,2,9,5,2596,2483,1470,890,2023,.440,235,664,.354,468,676,.692,387,1331,363,160,104,486,632,66.7,101.2,.334,.328,.530,52.5,40.8,6.5,7.7,.498,17.2,31.6,.231
North Carolina,39,29,10,.744,15.50,8.89,15,5,15,2,8,3,3038,2780,1575,1048,2464,.425,301,893,.337,383,528,.725,319,1276,498,259,139,378,645,70.3,100.4,.214,.362,.512,44.2,47.5,9.4,9.3,.486,12.2,21.5,.155
North Dakota State,33,23,10,.697,-1.60,-4.66,13,5,12,3,9,6,2469,2267,1340,845,2014,.420,210,657,.320,367,493,.744,268,1078,321,179,73,302,581,68.2,99.2,.245,.326,.504,46.6,38.0,7.8,6.2,.472,11.8,21.8,.182
North Dakota,31,6,25,.194,-16.57,-5.26,2,16,4,11,1,13,2178,2444,1245,908,1859,.488,247,667,.370,381,549,.694,270,1126,421,197,95,308,579,69.4,113.2,.295,.359,.576,50.6,46.4,9.1,9.3,.555,12.7,25.5,.205
North Florida,31,11,20,.355,-8.35,0.08,7,9,7,5,4,15,2124,2206,1250,830,1964,.423,188,589,.319,358,523,.685,430,1224,437,256,89,373,502,69.1,102.2,.266,.300,.499,53.8,52.7,11.9,10.2,.470,14.4,35.9,.182
North Texas,32,25,7,.781,8.98,1.28,16,2,13,3,9,1,2083,1783,1290,654,1581,.414,134,471,.285,341,503,.678,248,945,262,186,80,388,547,60.6,91.2,.318,.298,.490,46.4,40.1,9.5,8.5,.456,17.6,24.7,.216
Northeastern,31,9,22,.290,-6.00,-1.19,2,16,6,8,0,12,1993,2142,1250,792,1744,.454,221,644,.343,337,446,.756,230,929,367,227,69,320,498,65.4,104.8,.256,.369,.548,48.4,46.3,11.1,7.1,.517,14.1,23.7,.193
Northern Arizona,32,9,23,.281,-13.50,-4.10,5,15,5,11,3,11,2161,2347,1290,829,1823,.455,237,657,.361,452,622,.727,245,1078,376,189,97,311,525,67.8,107.4,.341,.360,.554,47.8,45.4,8.6,9.0,.520,12.8,22.6,.248
Northern Colorado,38,22,16,.579,-4.53,-3.67,13,7,9,4,8,9,2962,2924,1535,1070,2330,.459,286,772,.370,498,681,.731,310,1278,415,234,85,374,666,70.7,107.8,.292,.331,.551,49.5,38.8,8.6,7.1,.521,12.4,23.4,.214
Northern Illinois,30,9,21,.300,-10.50,-3.07,6,14,3,8,6,11,1923,2146,1205,734,1643,.447,194,600,.323,484,668,.725,298,1090,398,193,139,407,517,68.6,103.9,.407,.365,.547,52.9,54.2,9.3,12.7,.506,17.2,29.4,.295
Northern Iowa,32,20,12,.625,5.79,3.43,14,4,10,4,9,5,2383,2273,1305,828,1840,.450,315,896,.352,302,415,.728,230,1041,423,202,73,395,523,67.6,103.0,.226,.487,.558,49.9,51.1,9.2,7.2,.536,16.2,21.7,.164
Northern Kentucky,32,20,12,.625,-3.19,-6.19,14,6,12,4,7,7,2237,2083,1300,762,1786,.427,225,700,.321,334,447,.747,324,1053,428,205,86,458,461,65.6,97.7,.250,.392,.521,48.1,56.2,9.6,8.1,.490,18.6,30.5,.187
Northwestern State,32,9,23,.281,-14.06,-3.20,5,9,6,6,2,14,2363,2573,1280,930,2010,.463,244,711,.343,469,634,.740,369,1216,468,255,105,404,504,73.2,109.8,.315,.354,.557,51.5,50.3,10.9,7.9,.523,14.9,31.7,.233
Northwestern,31,15,16,.484,8.91,7.11,7,13,10,6,3,8,2262,2168,1260,739,1726,.428,263,713,.369,427,594,.719,264,1129,453,157,111,420,527,68.8,100.0,.344,.413,.540,50.7,61.3,7.2,9.4,.504,17.3,24.7,.247
Notre Dame,35,24,11,.686,11.87,7.01,15,5,14,1,7,5,2540,2349,1420,898,2083,.431,236,734,.322,317,457,.694,310,1179,407,209,106,352,526,65.9,100.4,.219,.352,.511,49.8,45.3,8.9,9.3,.488,13.3,24.8,.152
Oakland,32,20,12,.625,-1.52,-4.06,12,7,10,3,7,8,2381,2194,1285,833,1934,.431,247,810,.305,281,399,.704,379,1132,520,193,98,471,539,69.0,98.9,.206,.419,.517,50.6,62.4,8.7,8.9,.495,18.2,33.3,.145
Ohio State,32,20,12,.625,14.17,9.08,12,8,13,3,5,6,2329,2166,1290,772,1860,.415,226,669,.338,396,542,.731,329,1023,369,198,80,325,551,65.1,103.1,.291,.360,.511,48.0,47.8,9.4,7.6,.476,13.3,28.7,.213
Ohio,35,25,10,.714,1.50,-4.17,14,6,15,2,8,6,2591,2378,1400,868,1958,.443,231,734,.315,411,540,.761,295,1225,397,199,114,498,641,69.0,98.5,.276,.375,.537,50.6,45.7,8.2,10.0,.502,18.4,25.9,.210
Oklahoma State,30,15,15,.500,13.28,10.58,8,10,10,6,3,8,2051,1970,1230,677,1730,.391,225,694,.324,391,539,.725,351,1079,345,247,103,482,505,68.8,93.1,.312,.401,.496,49.2,51.0,11.7,8.6,.456,19.5,31.4,.226
Oklahoma,35,19,16,.543,14.12,10.10,7,11,12,6,3,8,2417,2276,1420,846,1927,.439,211,664,.318,373,508,.734,300,1072,374,268,96,477,532,66.1,97.0,.264,.345,.525,49.0,44.2,11.4,8.8,.494,18.0,26.2,.194
Old Dominion,32,13,19,.406,-1.32,-0.09,8,10,10,4,3,11,2127,2145,1285,758,1810,.419,279,818,.341,350,516,.678,313,1082,416,178,86,360,503,65.7,101.7,.285,.452,.522,47.5,54.9,8.4,6.5,.496,14.9,27.4,.193
Oral Roberts,31,19,12,.613,-0.84,-4.49,12,6,10,5,8,6,2582,2306,1250,867,1984,.437,234,705,.332,338,481,.703,279,1115,339,170,104,326,479,72.2,102.2,.242,.355,.521,47.2,39.1,7.5,9.4,.496,12.8,23.4,.170
Oregon State,31,3,28,.097,-1.44,8.40,1,19,3,13,0,12,2117,2422,1260,886,1851,.479,265,739,.359,385,538,.716,347,1135,467,209,93,374,507,67.8,113.4,.291,.399,.575,54.3,52.7,9.8,7.5,.550,15.1,34.0,.208
Oregon,35,20,15,.571,10.05,8.05,11,9,12,5,6,6,2532,2440,1410,886,2050,.432,244,757,.322,424,601,.705,386,1243,443,203,94,465,601,68.4,101.2,.293,.369,.522,50.3,50.0,8.4,7.1,.492,16.6,31.0,.207
Pacific,30,8,22,.267,-8.02,0.41,3,11,7,7,0,13,1976,2182,1205,777,1693,.459,275,713,.386,353,461,.766,211,1034,383,168,69,393,507,69.5,104.2,.272,.421,.571,51.2,49.3,8.0,6.1,.540,17.1,22.1,.209
Penn State,31,14,17,.452,8.72,9.10,7,13,10,5,1,10,2003,2015,1255,725,1741,.416,232,660,.352,333,457,.729,256,972,400,186,98,271,441,62.8,102.2,.262,.379,.515,47.0,55.2,9.4,10.0,.483,12.2,24.1,.191
Pennsylvania,28,12,16,.429,-3.93,-0.50,9,5,6,3,5,10,2017,2113,1130,771,1695,.455,224,646,.347,347,489,.710,279,1012,341,164,89,299,408,69.0,108.4,.288,.381,.548,51.2,44.2,8.4,8.9,.521,13.4,28.0,.205
Pepperdine,32,7,25,.219,-7.04,3.42,1,15,7,9,0,13,2183,2480,1290,906,1953,.464,237,718,.330,431,604,.714,346,1216,496,237,85,421,545,71.7,107.2,.309,.368,.554,52.4,54.7,10.2,6.8,.525,15.8,30.5,.221
Pittsburgh,32,11,21,.344,0.45,6.98,6,14,8,11,3,9,1969,2178,1280,769,1744,.441,276,749,.368,364,513,.710,271,995,464,211,99,340,550,64.2,106.0,.294,.429,.548,47.9,60.3,10.3,9.1,.520,14.6,26.1,.209
Portland State,31,14,17,.452,-7.70,-5.67,10,10,7,7,5,9,2280,2237,1250,771,1733,.445,231,653,.354,464,672,.690,332,1178,377,185,98,535,581,72.2,99.1,.388,.377,.545,52.9,48.9,8.2,7.7,.512,20.7,31.2,.268
Portland,34,19,15,.559,-1.71,-1.11,7,7,11,4,6,9,2524,2454,1365,885,2108,.420,288,852,.338,396,538,.736,331,1221,418,209,86,425,702,72.0,99.8,.255,.404,.519,49.8,47.2,8.5,7.1,.488,15.2,25.8,.188
Prairie View,27,8,19,.296,-10.47,-3.66,8,8,5,4,3,13,1877,2061,1095,698,1563,.447,198,554,.357,467,701,.666,337,978,343,236,107,404,507,71.8,104.9,.448,.354,.544,50.9,49.1,12.0,10.5,.510,17.6,34.2,.299
Presbyterian,32,12,20,.375,-8.47,-3.65,4,12,7,7,3,12,2170,2174,1325,737,1643,.449,228,613,.372,472,651,.725,242,1006,385,217,105,489,551,66.5,98.7,.396,.373,.557,46.9,52.2,9.9,8.7,.518,20.0,24.4,.287
Princeton,30,23,7,.767,2.65,-3.95,12,2,13,1,8,4,2395,2103,1215,814,1793,.454,188,570,.330,287,398,.721,239,1008,323,166,90,346,436,68.7,100.7,.222,.318,.531,48.6,39.7,8.0,8.8,.506,14.9,23.0,.160
Providence,33,27,6,.818,13.08,7.75,14,3,16,1,7,2,2360,2184,1345,802,1960,.409,212,707,.300,368,529,.696,337,1136,369,193,122,345,603,65.9,98.5,.270,.361,.494,47.8,46.0,8.7,10.6,.463,13.5,27.4,.188
Purdue,37,29,8,.784,19.15,8.23,14,6,16,1,5,5,2936,2532,1495,943,2225,.424,300,903,.332,346,480,.721,318,1076,503,220,90,351,716,66.7,101.6,.216,.406,.516,42.9,53.3,8.8,7.1,.491,12.5,23.8,.156
Quinnipiac,31,14,17,.452,-5.56,-4.20,7,13,8,7,4,9,2226,2216,1245,803,1852,.434,252,692,.364,358,498,.719,308,1067,384,215,118,377,460,69.3,102.7,.269,.374,.531,49.3,47.8,10.0,11.5,.502,15.3,28.1,.193
Radford,29,11,18,.379,-9.23,-3.90,7,9,8,4,3,12,1832,1955,1175,681,1497,.455,195,560,.348,398,551,.722,230,953,331,204,95,391,473,65.4,101.7,.368,.374,.556,49.7,48.6,10.6,10.0,.520,18.2,25.5,.266
Rhode Island,31,15,16,.484,2.92,1.22,5,12,10,5,3,9,2081,2015,1240,686,1749,.392,235,725,.324,408,557,.732,312,1059,395,229,90,407,557,68.2,95.3,.318,.415,.500,48.5,57.6,10.8,7.5,.459,16.8,27.4,.233
Rice,33,16,17,.485,-2.74,-1.19,7,11,10,5,4,8,2446,2421,1340,936,2088,.448,247,743,.332,302,425,.711,331,1135,455,228,110,336,543,68.4,105.7,.204,.356,.529,49.2,48.6,10.0,10.1,.507,12.8,27.3,.145
Richmond,37,24,13,.649,7.07,4.48,10,8,11,4,7,5,2628,2532,1490,951,2147,.443,266,775,.343,364,502,.725,346,1316,470,197,115,474,576,67.4,100.9,.234,.361,.531,52.4,49.4,7.9,9.3,.505,16.6,27.5,.170
Rider,33,14,19,.424,-5.87,-3.56,8,12,7,6,4,11,2237,2286,1335,783,1884,.416,286,836,.342,434,626,.693,333,1201,430,198,126,422,539,68.3,100.3,.332,.444,.524,49.5,54.9,8.7,8.8,.492,16.2,27.8,.230
Robert Morris,32,8,24,.250,-12.50,-5.47,5,16,4,10,4,14,2220,2390,1290,874,1905,.459,253,697,.363,389,538,.723,352,1071,480,235,110,372,461,67.7,109.5,.282,.366,.553,50.7,54.9,10.8,9.1,.525,14.7,31.7,.204
Rutgers,32,18,14,.563,8.78,6.81,12,8,14,3,4,9,2192,2129,1300,756,1807,.418,243,717,.339,374,516,.725,300,1079,397,185,100,379,486,65.5,100.0,.286,.397,.519,48.6,52.5,8.7,7.9,.486,15.6,26.9,.207
Sacramento State,29,11,18,.379,-12.06,-5.36,6,14,5,8,4,9,1898,2035,1165,729,1598,.456,201,584,.344,376,523,.719,258,1039,386,158,91,353,461,66.4,105.2,.327,.365,.551,53.5,52.9,8.2,8.5,.519,16.0,27.6,.235
Sacred Heart,30,10,20,.333,-13.41,-8.79,6,10,6,7,4,13,2180,2254,1210,850,1854,.458,244,703,.347,310,469,.661,324,1047,446,220,109,335,478,69.3,107.5,.253,.379,.543,49.1,52.5,10.5,9.9,.524,13.9,30.2,.167
Saint Francis (PA),30,9,21,.300,-14.57,-7.91,5,13,4,8,5,13,2058,2205,1215,821,1829,.449,250,699,.358,313,455,.688,336,1130,446,206,106,387,494,68.9,105.4,.249,.382,.539,50.7,54.3,9.8,8.5,.517,15.9,31.1,.171
Saint Joseph's,30,11,19,.367,1.00,2.46,5,13,9,7,1,10,2028,2072,1210,774,1813,.427,180,566,.318,344,488,.705,266,1055,356,208,108,283,411,68.5,100.0,.269,.312,.507,48.3,46.0,10.0,11.1,.477,12.2,24.1,.190
Saint Louis,35,23,12,.657,9.83,3.45,12,6,14,5,5,6,2666,2376,1415,850,2016,.422,230,713,.323,446,659,.677,339,1129,402,242,161,448,591,69.0,97.3,.327,.354,.510,45.5,47.3,9.9,11.1,.479,16.1,26.6,.221
Saint Mary's (CA),34,26,8,.765,14.82,6.58,12,3,16,0,6,4,2370,2061,1360,779,1826,.427,175,516,.339,328,455,.721,242,1002,290,204,104,429,504,65.5,92.6,.249,.283,.505,46.6,37.2,9.2,8.5,.475,17.4,22.1,.180
Saint Peter's,34,22,12,.647,2.96,-0.47,14,6,9,4,7,7,2277,2125,1370,699,1811,.386,192,659,.291,535,738,.725,343,1146,370,233,166,467,613,66.7,93.0,.408,.364,.492,48.5,52.9,10.2,12.8,.439,17.8,28.7,.295
Sam Houston State,33,19,14,.576,0.07,-1.16,13,5,11,2,5,8,2272,2082,1325,710,1740,.408,234,743,.315,428,594,.721,236,1128,399,193,83,485,522,68.8,91.4,.341,.427,.515,47.8,56.2,8.5,7.2,.475,19.3,21.0,.246
Samford,32,21,11,.656,-3.01,-1.76,10,8,13,2,5,8,2390,2363,1290,824,1868,.441,292,851,.343,423,603,.701,321,1091,488,243,72,434,532,70.5,104.0,.323,.456,.548,48.9,59.2,10.7,6.6,.519,16.8,28.7,.226
San Diego State,32,23,9,.719,13.13,5.85,13,4,14,1,5,5,2093,1860,1295,654,1702,.384,193,643,.300,359,528,.680,303,1056,336,187,97,463,543,65.3,88.0,.310,.378,.476,48.5,51.4,8.8,8.0,.441,19.2,27.3,.211
San Diego,31,15,16,.484,-3.32,1.48,7,9,8,6,5,8,2041,2086,1250,801,1831,.437,165,507,.325,319,444,.718,282,1085,391,184,88,348,501,67.4,99.0,.242,.277,.511,49.4,48.8,8.7,6.8,.483,14.6,25.7,.174
San Francisco,34,24,10,.706,14.12,5.24,10,6,14,4,7,2,2630,2304,1365,834,1957,.426,175,596,.294,461,647,.713,287,1123,364,208,99,440,589,70.9,95.2,.331,.305,.509,46.6,43.6,8.6,8.8,.471,16.3,23.7,.236
San Jose State,31,8,23,.258,-7.01,3.79,1,17,7,9,1,13,1993,2242,1245,839,1802,.466,217,612,.355,347,484,.717,303,1122,438,193,79,328,447,66.3,108.6,.269,.340,.552,53.8,52.2,9.4,8.4,.526,13.9,29.4,.193
Santa Clara,33,21,12,.636,8.98,3.61,10,5,14,4,5,6,2550,2373,1325,898,2097,.428,238,684,.348,339,445,.762,321,1154,446,181,104,389,541,71.4,100.3,.212,.326,.514,49.6,49.7,7.7,7.8,.485,14.4,25.7,.162
Seattle,32,23,9,.719,1.96,-4.10,14,4,17,2,6,6,2395,2132,1285,727,1806,.403,207,660,.314,471,700,.673,297,1187,373,179,110,469,567,71.8,92.4,.388,.365,.498,49.7,51.3,7.8,10.2,.460,18.0,25.1,.261
Seton Hall,32,21,11,.656,12.75,8.52,11,8,13,3,6,5,2302,2125,1285,764,1899,.402,200,645,.310,397,512,.775,346,1146,369,204,133,405,524,68.7,96.3,.270,.340,.496,48.2,48.3,9.2,10.8,.455,15.9,29.0,.209
Siena,29,15,14,.517,-6.40,-3.50,12,8,8,5,7,8,1922,2006,1175,745,1689,.441,168,505,.333,348,493,.706,285,1025,330,210,90,342,457,67.2,101.6,.292,.299,.522,51.8,44.3,10.6,8.4,.491,15.1,28.5,.206
South Alabama,33,21,12,.636,0.23,-3.59,9,7,15,3,4,8,2362,2111,1330,747,1846,.405,227,717,.317,390,547,.713,358,1145,397,186,81,486,559,67.5,94.0,.296,.388,.501,50.2,53.1,8.3,6.7,.466,18.8,30.5,.211
South Carolina State,31,15,16,.484,-13.04,-8.39,7,7,8,5,5,8,2227,2249,1255,767,1816,.422,243,719,.338,472,679,.695,306,1155,420,216,120,474,552,73.7,97.3,.374,.396,.526,47.1,54.8,9.3,8.7,.489,18.1,27.1,.260
South Carolina Upstate,32,15,17,.469,-9.01,-4.11,10,6,6,7,8,9,2287,2341,1290,805,1833,.439,246,749,.328,485,693,.700,327,1154,445,205,108,406,519,69.4,104.5,.378,.409,.541,52.6,55.3,9.2,9.7,.506,15.8,29.1,.265
South Carolina,31,18,13,.581,7.14,8.37,9,9,12,4,4,7,2200,2178,1245,735,1783,.412,204,638,.320,504,719,.701,356,1125,408,257,105,480,552,72.2,97.0,.403,.358,.513,48.7,55.5,11.4,8.4,.469,18.4,31.2,.283
South Dakota State,35,30,5,.857,6.60,-3.77,18,0,14,0,10,3,3005,2561,1405,954,2184,.437,317,897,.353,336,454,.740,297,1112,425,172,90,411,625,71.7,101.7,.208,.411,.534,47.3,44.5,6.8,6.7,.509,14.6,23.2,.154
South Dakota,31,19,12,.613,-4.43,-5.61,11,7,11,4,6,7,2329,2198,1250,777,1716,.453,231,638,.362,413,572,.722,215,948,297,141,72,342,589,67.5,104.3,.333,.372,.553,47.1,38.2,6.7,6.1,.520,14.7,21.3,.241
South Florida,31,8,23,.258,-3.05,4.40,3,15,6,10,2,9,1781,2012,1240,689,1669,.413,235,695,.338,399,560,.713,280,1112,410,175,115,386,477,65.9,98.5,.336,.416,.520,50.0,59.5,8.6,9.3,.483,16.6,26.8,.239
Southeast Missouri State,32,14,18,.438,-7.19,-4.69,8,9,8,5,5,10,2418,2473,1285,846,1868,.453,241,697,.346,540,738,.732,312,1149,419,211,89,432,620,72.6,106.0,.395,.373,.557,51.9,49.5,9.0,8.4,.517,16.3,28.7,.289
Southeastern Louisiana,34,19,15,.559,-9.03,-5.77,10,4,10,1,5,11,2679,2643,1365,992,2131,.466,276,816,.338,383,543,.705,386,1236,475,256,93,507,638,73.4,105.5,.255,.383,.553,52.5,47.9,10.2,8.2,.530,17.5,32.4,.180
Southern California,34,26,8,.765,12.50,6.09,14,6,13,3,9,3,2461,2243,1370,806,2067,.390,235,710,.331,396,554,.715,352,1145,404,224,114,333,586,67.5,97.0,.268,.343,.481,45.7,50.1,9.7,8.4,.447,12.5,26.7,.192
SIU Edwardsville,32,11,21,.344,-10.37,-4.71,5,13,8,5,3,13,2161,2238,1295,760,1840,.413,235,739,.318,483,665,.726,336,1130,439,244,112,441,567,69.1,100.0,.361,.402,.519,48.6,57.8,10.9,9.3,.477,17.0,29.9,.263
Southern Illinois,31,16,15,.516,2.83,0.73,9,9,11,4,4,8,1985,1902,1240,705,1590,.443,164,509,.322,328,437,.751,214,957,328,178,103,362,455,62.9,97.5,.275,.320,.529,50.4,46.5,9.1,11.1,.495,16.8,22.8,.206
Southern Methodist,33,24,9,.727,11.14,4.44,13,4,17,1,6,5,2436,2215,1325,819,2074,.395,210,705,.298,367,527,.696,400,1223,432,233,134,390,579,69.5,96.2,.254,.340,.476,49.5,52.7,10.1,12.3,.446,14.4,30.0,.177
Southern Mississippi,33,7,26,.212,-13.58,-0.38,1,17,3,11,1,14,2126,2471,1330,887,1955,.454,314,837,.375,383,541,.708,324,1199,506,228,94,379,492,68.3,108.9,.277,.428,.559,52.0,57.0,10.0,7.2,.534,14.6,27.9,.196
Southern Utah,35,23,12,.657,-1.51,-4.57,14,6,13,3,8,8,2720,2538,1420,912,2076,.439,275,810,.340,439,584,.752,272,1150,431,207,117,429,617,70.8,101.0,.281,.390,.539,46.6,47.3,8.2,9.5,.506,15.4,22.0,.211
Southern,31,17,14,.548,-5.17,-6.90,11,6,9,2,8,11,2229,2105,1245,713,1611,.443,169,580,.291,510,720,.708,297,1070,355,205,120,588,582,72.1,93.8,.447,.360,.539,52.3,49.8,9.1,10.1,.495,23.1,30.4,.317
St. Bonaventure,33,23,10,.697,8.27,4.79,12,5,13,2,7,4,2309,2194,1325,805,1881,.428,284,830,.342,300,418,.718,308,1111,477,170,90,419,491,66.2,100.0,.222,.441,.528,50.0,59.3,7.7,6.9,.503,16.8,27.5,.159
St. Francis (NY),30,10,20,.333,-13.49,-7.93,7,11,3,9,7,9,2017,2116,1210,782,1701,.460,171,524,.326,381,553,.689,295,1083,391,188,116,393,442,68.2,102.5,.325,.308,.539,50.6,50.0,9.1,10.0,.510,16.7,29.1,.224
St. John's (NY),32,17,15,.531,11.95,6.51,8,11,12,7,4,7,2547,2373,1290,827,1950,.424,255,747,.341,464,648,.716,380,1245,418,196,130,509,536,74.2,99.2,.332,.383,.526,50.7,50.5,8.2,9.0,.489,18.4,31.5,.238
St. Thomas (MN),30,10,20,.333,-11.15,-5.59,4,14,5,8,3,12,2241,2260,1200,814,1661,.490,257,673,.382,375,515,.728,213,1061,387,102,88,337,463,68.2,110.4,.310,.405,.593,54.5,47.5,5.0,10.0,.567,15.0,23.3,.226
Stanford,32,16,16,.500,6.27,8.59,8,12,10,5,3,9,2124,2198,1285,806,1791,.450,229,700,.327,357,519,.688,241,963,395,230,117,352,530,66.8,102.4,.290,.391,.539,44.9,49.0,10.7,10.7,.514,14.7,22.9,.199
Stephen F. Austin,32,22,10,.688,2.43,-1.60,14,4,13,3,7,4,2385,2190,1285,756,1764,.429,217,671,.323,461,645,.715,342,1044,401,230,114,575,614,71.9,94.8,.366,.380,.529,48.1,53.0,10.0,8.9,.490,21.7,31.1,.261
Stetson,30,11,19,.367,-10.34,-4.07,5,11,7,8,4,11,2090,2144,1220,798,1772,.450,254,729,.348,294,427,.689,275,1028,443,188,89,355,429,67.5,104.2,.241,.411,.543,49.0,55.5,9.1,8.5,.522,15.2,26.8,.166
Stony Brook,31,18,13,.581,-6.63,-5.43,10,8,13,4,5,9,2261,2267,1245,855,1878,.455,259,766,.338,298,436,.683,322,1129,436,180,87,378,501,68.6,106.2,.232,.408,.544,51.2,51.0,8.4,7.8,.524,15.3,29.2,.159
Syracuse,33,16,17,.485,10.12,7.82,9,11,11,5,3,8,2553,2477,1345,887,2083,.426,335,1014,.330,368,490,.751,401,1248,624,214,111,385,483,68.5,107.6,.235,.487,.535,51.0,70.3,9.3,9.0,.506,14.3,32.1,.177
Tarleton State,31,14,17,.452,-3.18,-0.50,9,9,10,5,4,12,2002,2025,1245,708,1591,.445,215,669,.321,394,560,.704,313,1064,417,160,156,505,558,65.7,99.0,.352,.420,.545,52.9,58.9,7.8,13.3,.513,21.4,32.4,.248
Temple,29,17,12,.586,4.61,4.30,10,7,11,3,5,6,1936,1927,1170,678,1690,.401,182,618,.294,389,536,.726,318,1050,382,188,101,338,560,67.1,98.2,.317,.366,.495,48.3,56.3,9.6,9.9,.455,14.8,29.3,.230
Tennessee-Martin,30,8,22,.267,-11.13,-3.02,4,14,5,8,2,13,2067,2206,1200,762,1759,.433,223,682,.327,459,639,.718,331,1129,423,206,147,386,454,70.6,104.2,.363,.388,.535,50.5,55.5,9.7,12.8,.497,15.8,30.5,.261
Tennessee State,32,14,18,.438,-9.34,-7.31,8,10,8,5,5,11,2282,2246,1285,770,1774,.434,221,666,.332,485,677,.716,308,1070,422,222,122,453,531,69.8,100.2,.382,.375,.536,48.9,54.8,9.9,9.8,.496,17.8,28.1,.273
Tennessee Tech,32,11,21,.344,-7.27,-3.03,7,10,7,7,3,12,2328,2357,1290,883,1988,.444,258,795,.325,333,456,.730,344,1147,549,213,106,420,456,70.6,103.5,.229,.400,.535,49.1,62.2,9.4,7.9,.509,16.0,29.7,.168
Tennessee,35,27,8,.771,20.46,9.94,14,4,16,0,6,5,2571,2203,1410,770,1912,.403,235,750,.313,428,602,.711,329,1179,401,232,99,554,601,68.6,91.0,.315,.392,.501,47.8,52.1,9.6,7.9,.464,20.1,27.2,.224
Texas A&M-Corpus Christi,35,23,12,.657,-6.78,-9.10,7,7,9,4,7,6,2682,2454,1405,809,1942,.417,262,842,.311,574,764,.751,344,1188,447,226,146,578,692,72.3,96.6,.393,.434,.532,47.0,55.3,8.9,10.0,.484,20.0,27.8,.296
