School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,31,10,21,0.323,-17.2,-6.34,4.0,14.0,7,6,1,14,63.74193548387097,70.51612903225806,1240,22.419354838709676,54.32258064516129,0.413,7.483870967741935,19.677419354838708,0.38,11.419354838709678,15.709677419354838,0.727,20.096774193548388,8.838709677419354,28.93548387096774,12.709677419354838,6.548387096774194,1.2258064516129032,12.870967741935484,21.322580645161292,65.9,96.7,0.289,0.362,0.516,44.6,56.7,9.9,3.6,0.482,17.2,25.5,0.21,,,
Air Force,31,14,17,0.452,-1.85,-0.71,6.0,12.0,11,5,1,11,65.70967741935483,65.06451612903226,1245,23.93548387096774,50.483870967741936,0.474,7.483870967741935,20.161290322580644,0.371,10.35483870967742,15.709677419354838,0.659,21.451612903225808,8.548387096774194,30.0,15.580645161290322,6.290322580645161,2.096774193548387,11.806451612903226,17.806451612903224,61.1,107.1,0.311,0.399,0.567,49.4,65.1,10.3,7.4,0.548,16.9,29.1,0.205,,,
Akron,35,21,14,0.6,3.65,-0.47,9.0,9.0,15,3,2,9,68.05714285714286,62.94285714285714,1406,23.542857142857144,56.628571428571426,0.416,9.371428571428572,26.771428571428572,0.35,11.6,17.62857142857143,0.658,23.685714285714287,12.0,35.68571428571428,12.428571428571429,6.571428571428571,4.428571428571429,12.057142857142857,18.685714285714287,64.7,104.8,0.311,0.473,0.523,50.5,52.8,10.1,12.1,0.498,15.6,33.4,0.205,,,
Alabama,34,19,15,0.559,10.52,8.09,8.0,10.0,14,5,4,8,67.05882352941177,64.11764705882354,1371,22.352941176470587,50.705882352941174,0.441,6.5,20.5,0.317,15.852941176470589,22.11764705882353,0.717,23.441176470588236,9.558823529411764,33.0,10.294117647058824,6.4411764705882355,3.676470588235294,11.970588235294118,19.235294117647058,63.1,105.4,0.436,0.404,0.548,49.7,46.1,10.1,11.1,0.505,16.4,30.0,0.313,,,
Alabama A&M,29,9,20,0.31,-17.15,-9.62,8.0,10.0,4,7,5,12,61.96551724137931,68.55172413793103,1165,20.96551724137931,52.86206896551724,0.397,5.724137931034483,19.896551724137932,0.288,14.310344827586206,22.17241379310345,0.645,21.75862068965517,12.655172413793103,34.41379310344828,12.206896551724139,5.689655172413793,2.3448275862068964,14.241379310344827,19.75862068965517,64.5,95.6,0.419,0.376,0.489,49.5,58.2,8.8,6.1,0.451,18.3,35.8,0.271,,,
Alabama State,29,19,10,0.655,-8.97,-12.71,14.0,4.0,9,3,8,5,72.06896551724138,66.79310344827586,1165,26.24137931034483,59.93103448275862,0.438,5.931034482758621,16.551724137931036,0.358,13.655172413793103,21.0,0.65,26.275862068965516,13.413793103448276,39.689655172413794,13.551724137931034,6.344827586206897,4.206896551724138,13.689655172413794,17.93103448275862,69.8,102.9,0.35,0.276,0.515,53.5,51.6,9.1,10.6,0.487,16.4,35.9,0.228,,,
Albany (NY),33,24,9,0.727,-0.34,-5.18,15.0,1.0,12,3,12,5,65.33333333333333,60.484848484848484,1325,22.09090909090909,50.484848484848484,0.438,6.212121212121212,17.333333333333332,0.358,14.93939393939394,19.696969696969695,0.758,23.545454545454547,10.121212121212121,33.666666666666664,10.575757575757576,5.666666666666667,1.606060606060606,11.545454545454545,16.484848484848484,61.2,106.4,0.39,0.343,0.546,53.5,47.9,9.2,5.5,0.499,16.2,32.6,0.296,14.0,R64,EAST
Alcorn State,32,6,26,0.188,-20.75,-9.95,4.0,14.0,4,7,1,15,64.5625,74.28125,1280,22.625,58.25,0.388,4.84375,17.28125,0.28,14.46875,22.0,0.658,20.6875,11.75,32.4375,8.90625,5.96875,2.6875,11.46875,17.84375,68.2,94.6,0.378,0.297,0.47,46.4,39.4,8.7,6.7,0.43,14.3,31.2,0.248,,,
American,33,17,16,0.515,-3.56,-3.71,8.0,10.0,8,3,7,13,58.72727272727273,58.57575757575758,1339,20.696969696969695,44.81818181818182,0.462,6.454545454545454,17.303030303030305,0.373,10.878787878787879,15.424242424242424,0.705,19.363636363636363,5.696969696969697,25.060606060606062,12.363636363636363,5.9393939393939394,2.5454545454545454,11.212121212121213,14.666666666666666,57.1,101.5,0.344,0.386,0.563,45.7,59.7,10.3,8.0,0.534,17.7,21.4,0.243,,,
Appalachian State,29,12,17,0.414,-9.81,-3.18,9.0,11.0,7,5,5,12,63.48275862068966,70.10344827586206,1160,21.96551724137931,55.241379310344826,0.398,6.413793103448276,20.275862068965516,0.316,13.137931034482758,18.517241379310345,0.709,23.482758620689655,11.344827586206897,34.827586206896555,10.96551724137931,4.206896551724138,2.103448275862069,13.689655172413794,19.0,66.5,95.4,0.335,0.367,0.496,49.9,49.9,6.3,5.4,0.456,17.6,31.2,0.238,,,
Arizona,38,34,4,0.895,24.33,7.41,16.0,2.0,17,0,8,3,76.60526315789474,59.68421052631579,1525,26.55263157894737,54.421052631578945,0.488,5.078947368421052,14.105263157894736,0.36,18.42105263157895,25.63157894736842,0.719,26.0,10.81578947368421,36.81578947368421,13.894736842105264,7.2368421052631575,3.4473684210526314,11.026315789473685,17.92105263157895,66.5,114.7,0.471,0.259,0.575,56.8,52.3,10.8,9.8,0.535,14.2,34.5,0.338,2.0,E8,WEST
Arizona State,34,18,16,0.529,9.52,6.66,9.0,9.0,15,3,3,10,69.41176470588235,66.55882352941177,1385,23.794117647058822,53.470588235294116,0.445,6.794117647058823,19.41176470588235,0.35,15.029411764705882,22.529411764705884,0.667,24.08823529411765,10.735294117647058,34.8235294117647,12.676470588235293,5.852941176470588,2.323529411764706,13.941176470588236,18.764705882352942,66.0,103.3,0.421,0.363,0.541,52.9,53.3,8.7,6.1,0.509,17.8,31.8,0.281,,,
Arkansas,36,27,9,0.75,14.07,6.79,13.0,5.0,17,2,7,5,77.41666666666667,70.13888888888889,1450,27.166666666666668,61.0,0.445,6.611111111111111,18.916666666666668,0.349,16.47222222222222,22.75,0.724,22.77777777777778,13.055555555555555,35.833333333333336,16.083333333333332,7.694444444444445,4.666666666666667,11.944444444444445,19.0,70.1,109.6,0.373,0.31,0.539,50.2,59.2,10.9,12.0,0.5,14.3,35.7,0.27,5.0,R32,WEST
Arkansas State,29,11,18,0.379,-10.1,-3.81,6.0,14.0,5,9,6,9,64.44827586206897,69.58620689655173,1170,22.896551724137932,56.241379310344826,0.407,5.827586206896552,17.724137931034484,0.329,12.827586206896552,18.275862068965516,0.702,24.82758620689655,10.96551724137931,35.793103448275865,11.068965517241379,5.310344827586207,3.0689655172413794,13.448275862068966,17.103448275862068,66.9,95.5,0.325,0.315,0.496,49.1,48.3,7.9,8.1,0.459,17.2,30.3,0.228,,,
Arkansas-Pine Bluff,32,12,20,0.375,-15.65,-8.61,9.0,9.0,5,4,5,13,59.75,66.875,1285,20.5,51.1875,0.4,6.34375,19.09375,0.332,12.40625,18.25,0.68,18.78125,10.1875,28.96875,10.09375,8.84375,3.375,15.28125,19.46875,64.7,92.1,0.357,0.373,0.499,45.0,49.2,13.6,10.7,0.462,20.3,30.5,0.242,,,
Army,30,15,15,0.5,-6.5,-4.98,6.0,12.0,7,7,7,8,72.13333333333334,72.1,1215,25.966666666666665,58.93333333333333,0.441,7.566666666666666,23.233333333333334,0.326,12.633333333333333,18.566666666666666,0.68,23.6,10.833333333333334,34.43333333333333,14.566666666666666,6.4,3.533333333333333,13.2,20.4,69.0,103.2,0.315,0.394,0.532,49.3,56.1,9.2,8.8,0.505,16.3,30.4,0.214,,,
Auburn,35,15,20,0.429,3.27,8.15,4.0,14.0,9,8,2,10,67.94285714285714,72.08571428571429,1415,21.714285714285715,53.714285714285715,0.404,7.2,20.771428571428572,0.347,17.314285714285713,26.0,0.666,21.37142857142857,10.17142857142857,31.542857142857144,10.742857142857142,6.8,2.5428571428571427,12.914285714285715,20.228571428571428,67.9,99.0,0.484,0.387,0.514,46.0,49.5,9.9,7.0,0.471,16.4,28.0,0.322,,,
Austin Peay,30,8,22,0.267,-12.45,-2.81,3.0,13.0,6,7,1,14,64.56666666666666,72.6,1200,22.1,55.56666666666667,0.398,5.166666666666667,17.1,0.302,15.2,22.833333333333332,0.666,22.333333333333332,12.433333333333334,34.766666666666666,12.0,6.366666666666666,4.133333333333334,14.266666666666667,17.133333333333333,68.2,94.6,0.411,0.308,0.486,50.3,54.3,9.3,12.1,0.444,17.7,33.0,0.274,,,
Ball State,30,7,23,0.233,-5.06,0.04,2.0,16.0,6,9,1,14,65.36666666666666,69.0,1226,22.3,52.666666666666664,0.423,7.8,22.8,0.342,12.966666666666667,18.7,0.693,22.566666666666666,10.1,32.666666666666664,12.766666666666667,5.3,2.3666666666666667,14.133333333333333,19.2,64.0,99.9,0.355,0.433,0.531,50.2,57.2,8.1,6.8,0.497,18.7,30.2,0.246,,,
Baylor,34,24,10,0.706,17.85,9.33,11.0,7.0,16,2,6,5,69.08823529411765,60.23529411764706,1370,23.91176470588235,55.11764705882353,0.434,6.9411764705882355,18.41176470588235,0.377,14.323529411764707,21.264705882352942,0.674,24.58823529411765,14.617647058823529,39.205882352941174,14.617647058823529,7.735294117647059,3.8823529411764706,12.764705882352942,16.61764705882353,62.8,109.2,0.386,0.334,0.53,55.9,61.1,12.2,11.2,0.497,16.4,42.4,0.26,3.0,R64,WEST
Belmont,33,22,11,0.667,0.35,-2.77,11.0,5.0,12,2,7,8,74.24242424242425,70.60606060606061,1320,26.0,54.63636363636363,0.476,9.969696969696969,26.242424242424242,0.38,12.272727272727273,17.727272727272727,0.692,23.818181818181817,9.303030303030303,33.121212121212125,15.272727272727273,6.333333333333333,2.0,13.666666666666666,16.636363636363637,67.5,109.9,0.324,0.48,0.589,50.3,58.7,9.4,5.5,0.567,17.8,29.0,0.225,15.0,R64,EAST
Bethune-Cookman,32,11,21,0.344,-15.52,-10.45,7.0,9.0,6,8,4,11,59.34375,62.59375,1280,19.59375,48.96875,0.4,5.09375,16.9375,0.301,15.0625,21.0,0.717,21.375,11.625,33.0,8.25,5.4375,2.625,14.03125,19.46875,61.3,96.7,0.429,0.346,0.503,51.1,42.1,8.9,8.1,0.452,19.2,35.6,0.308,,,
Binghamton,32,6,26,0.188,-13.45,-3.49,5.0,11.0,5,9,1,15,57.65625,66.375,1285,19.78125,49.9375,0.396,5.34375,17.3125,0.309,12.75,19.3125,0.66,22.0,9.0,31.0,8.6875,5.8125,2.5,13.53125,18.03125,63.4,90.7,0.387,0.347,0.488,46.9,43.9,9.1,7.8,0.45,18.6,26.5,0.255,,,
Boise State,34,25,9,0.735,10.01,1.38,14.0,4.0,13,1,8,5,70.29411764705883,60.14705882352941,1385,24.441176470588236,53.61764705882353,0.456,8.735294117647058,22.294117647058822,0.392,12.676470588235293,17.38235294117647,0.729,24.147058823529413,8.764705882352942,32.911764705882355,12.029411764705882,6.0588235294117645,2.323529411764706,10.235294117647058,17.11764705882353,62.4,110.5,0.324,0.416,0.568,52.1,49.2,9.5,7.0,0.537,14.2,28.4,0.236,11.0,R68,EAST
