School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,29,24,5,0.828,6.27,-6.37,13.0,2.0,13.0,0.0,5.0,4.0,75.72413793103448,60.44827586206897,1160.0,27.103448275862068,60.41379310344828,0.449,7.620689655172414,22.17241379310345,0.344,13.89655172413793,20.482758620689655,0.678,24.75862068965517,11.344827586206897,36.10344827586207,17.689655172413794,9.724137931034482,2.9655172413793105,13.586206896551724,19.103448275862068,72.0,105.2,0.339,0.367,0.54,51.5,65.3,13.5,8.9,0.512,16.2,31.3,0.23,14.0,R32,EAST
Air Force,25,5,20,0.2,-12.98,0.22,3.0,17.0,3.0,8.0,1.0,10.0,58.72,71.92,1000.0,20.88,46.8,0.446,6.96,21.08,0.33,10.0,14.44,0.693,18.8,4.4,23.2,12.32,7.08,2.48,14.44,16.6,63.9,91.9,0.309,0.45,0.547,40.1,59.0,11.1,8.0,0.521,21.2,15.3,0.214,,,
Akron,23,15,8,0.652,1.85,-1.96,12.0,6.0,9.0,1.0,5.0,5.0,78.17391304347827,72.17391304347827,930.0,27.304347826086957,61.52173913043478,0.444,9.434782608695652,28.347826086956523,0.333,14.130434782608695,18.652173913043477,0.758,27.52173913043478,11.391304347826088,38.91304347826087,13.26086956521739,4.913043478260869,3.652173913043478,11.782608695652174,17.956521739130434,70.1,110.2,0.303,0.461,0.555,51.7,48.6,6.9,8.9,0.52,14.3,31.0,0.23,,,
Alabama,33,26,7,0.788,19.58,10.01,16.0,2.0,12.0,1.0,7.0,3.0,79.66666666666667,70.0909090909091,1325.0,28.0,64.39393939393939,0.435,10.545454545454545,29.96969696969697,0.352,13.121212121212121,18.545454545454547,0.708,28.333333333333332,12.363636363636363,40.696969696969695,14.06060606060606,8.484848484848484,4.333333333333333,13.878787878787879,18.272727272727273,74.7,106.3,0.288,0.465,0.544,51.7,50.2,11.3,10.6,0.517,15.9,31.8,0.204,2.0,S16,EAST
Alabama A&M,15,6,9,0.4,-18.86,-14.99,4.0,9.0,5.0,2.0,1.0,7.0,63.333333333333336,67.2,610.0,23.133333333333333,57.86666666666667,0.4,5.533333333333333,19.066666666666666,0.29,11.533333333333333,18.4,0.627,27.8,10.666666666666666,38.46666666666667,10.933333333333334,5.466666666666667,3.6,15.266666666666667,18.133333333333333,70.1,88.9,0.318,0.329,0.475,49.8,47.3,7.7,9.1,0.448,18.6,28.1,0.199,,,
Alabama State,18,4,14,0.222,-24.28,-16.95,4.0,14.0,3.0,6.0,1.0,8.0,64.22222222222223,71.55555555555556,720.0,21.27777777777778,56.05555555555556,0.38,6.166666666666667,19.444444444444443,0.317,15.5,23.944444444444443,0.647,24.88888888888889,11.38888888888889,36.27777777777778,9.722222222222221,6.111111111111111,2.388888888888889,16.166666666666668,19.055555555555557,72.4,88.8,0.427,0.347,0.476,49.1,45.7,8.4,6.1,0.435,19.3,29.5,0.277,,,
Albany (NY),16,7,9,0.438,-4.53,-5.22,6.0,6.0,4.0,5.0,2.0,4.0,69.375,68.6875,640.0,24.6875,55.1875,0.447,6.375,18.9375,0.337,13.625,18.8125,0.724,23.125,6.875,30.0,11.6875,6.125,1.8125,12.5625,17.8125,69.7,99.6,0.341,0.343,0.541,47.9,47.3,8.8,5.1,0.505,16.4,22.3,0.247,,,
Alcorn State,19,6,13,0.316,-19.58,-10.06,6.0,7.0,4.0,3.0,2.0,9.0,66.10526315789474,75.63157894736842,760.0,22.894736842105264,58.26315789473684,0.393,5.947368421052632,19.789473684210527,0.301,14.368421052631579,19.789473684210527,0.726,21.157894736842106,10.842105263157896,32.0,9.31578947368421,7.578947368421052,1.5789473684210527,14.526315789473685,20.736842105263158,71.3,92.8,0.34,0.34,0.488,47.8,40.7,10.6,5.0,0.444,17.7,29.7,0.247,,,
American,10,4,6,0.4,-6.32,-1.82,4.0,5.0,2.0,2.0,2.0,4.0,69.1,73.6,420.0,24.8,55.7,0.445,9.0,23.8,0.378,10.5,14.9,0.705,24.8,7.8,32.6,12.8,7.3,4.7,15.8,19.3,67.5,97.5,0.268,0.427,0.55,48.2,51.6,10.3,11.4,0.526,20.1,24.1,0.189,,,
Appalachian State,29,17,12,0.586,-5.84,-5.72,7.0,8.0,9.0,4.0,4.0,7.0,70.3103448275862,64.13793103448276,1185.0,23.79310344827586,58.206896551724135,0.409,8.03448275862069,25.413793103448278,0.316,14.689655172413794,19.79310344827586,0.742,25.310344827586206,11.0,36.310344827586206,11.862068965517242,7.931034482758621,3.689655172413793,11.827586206896552,13.586206896551724,66.8,103.1,0.34,0.437,0.52,50.8,49.9,11.6,10.4,0.478,14.9,29.8,0.252,16.0,R68,WEST
Arizona,26,17,9,0.654,15.02,8.18,11.0,9.0,12.0,4.0,5.0,5.0,75.42307692307692,68.57692307692308,1050.0,25.653846153846153,57.38461538461539,0.447,6.6923076923076925,18.0,0.372,17.423076923076923,23.96153846153846,0.727,26.615384615384617,11.73076923076923,38.34615384615385,15.5,5.846153846153846,4.0,11.884615384615385,17.807692307692307,68.4,109.2,0.418,0.314,0.548,55.1,60.4,8.5,11.2,0.505,14.7,34.0,0.304,,,
Arizona State,25,11,14,0.44,7.48,10.24,7.0,10.0,7.0,6.0,2.0,6.0,74.32,77.08,1010.0,26.24,60.6,0.433,7.16,21.48,0.333,14.68,20.16,0.728,24.04,7.84,31.88,13.08,7.28,3.28,10.96,19.12,72.6,101.4,0.333,0.354,0.53,44.6,49.8,9.9,8.8,0.492,13.5,21.1,0.242,,,
Arkansas,32,25,7,0.781,17.8,7.18,13.0,4.0,16.0,1.0,5.0,4.0,81.375,70.75,1285.0,29.21875,64.71875,0.451,7.28125,21.9375,0.332,15.65625,21.15625,0.74,27.90625,11.8125,39.71875,14.5625,7.84375,4.9375,12.875,16.875,75.1,108.0,0.327,0.339,0.544,52.6,49.8,10.4,13.0,0.508,14.7,31.3,0.242,3.0,E8,SOUTH
Arkansas State,24,11,13,0.458,-7.97,-5.87,7.0,8.0,9.0,3.0,1.0,9.0,72.54166666666667,69.45833333333333,965.0,25.875,57.916666666666664,0.447,6.416666666666667,16.75,0.383,14.375,19.916666666666668,0.722,26.125,11.041666666666666,37.166666666666664,14.458333333333334,6.583333333333333,2.8333333333333335,13.041666666666666,16.041666666666668,69.3,104.1,0.344,0.289,0.538,52.5,55.9,9.4,7.1,0.502,16.2,31.9,0.248,,,
Arkansas-Pine Bluff,25,4,21,0.16,-22.67,-7.79,3.0,12.0,2.0,3.0,2.0,17.0,61.96,76.84,1010.0,20.96,54.24,0.386,4.92,16.0,0.308,15.12,20.92,0.723,22.68,9.6,32.28,9.6,6.4,3.8,15.76,18.2,69.5,88.2,0.386,0.295,0.483,46.7,45.8,9.1,9.9,0.432,19.7,26.7,0.279,,,
Army,22,12,10,0.545,0.06,0.63,7.0,7.0,5.0,5.0,5.0,3.0,71.72727272727273,69.5,885.0,26.681818181818183,58.45454545454545,0.456,7.818181818181818,23.954545454545453,0.326,10.545454545454545,16.545454545454547,0.637,26.5,8.090909090909092,34.59090909090909,14.363636363636363,6.2727272727272725,1.4545454545454546,12.5,15.545454545454545,70.0,101.9,0.283,0.41,0.541,49.5,53.8,8.9,4.2,0.523,15.9,23.2,0.18,,,
