School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,32,16,16,0.5,-9.14,-6.82,8,10,9,6,6,9,73.71875,71.21875,1290,27.1875,58.5625,0.464,6.65625,20.5,0.325,12.6875,18.09375,0.701,24.5,9.65625,34.15625,15.0625,8.125,4.0,14.40625,671,71.5,102.3,0.309,0.35,0.549,49.7,55.4,11.3,11.6,0.521,17.7,28.0,0.217,,,
Air Force,31,12,19,0.387,-4.31,1.72,6,12,9,7,3,10,68.51612903225806,72.38709677419355,1245,23.64516129032258,56.483870967741936,0.419,8.064516129032258,24.35483870967742,0.331,13.161290322580646,17.93548387096774,0.734,22.967741935483872,9.741935483870968,32.70967741935484,14.35483870967742,6.483870967741935,2.5161290322580645,12.612903225806452,557,67.7,100.8,0.318,0.431,0.527,48.7,60.7,9.5,8.1,0.49,16.3,27.5,0.233,,,
Akron,32,14,18,0.438,-6.82,-1.92,6,12,12,4,2,10,71.75,75.34375,1295,24.78125,57.0,0.435,9.53125,26.59375,0.358,12.65625,18.1875,0.696,23.90625,9.5625,33.46875,13.0625,5.90625,2.53125,13.75,637,69.0,102.7,0.319,0.467,0.547,49.2,52.7,8.5,7.5,0.518,17.3,27.5,0.222,,,
Alabama,36,20,16,0.556,12.34,10.64,8,10,12,4,2,8,72.33333333333333,70.63888888888889,1440,25.27777777777778,54.861111111111114,0.461,6.361111111111111,19.5,0.326,15.416666666666666,23.0,0.67,25.833333333333332,10.0,35.833333333333336,12.722222222222221,6.333333333333333,5.333333333333333,14.25,676,70.2,103.0,0.419,0.355,0.55,50.3,50.3,9.0,14.7,0.519,17.8,29.4,0.281,9.0,R32,EAST
Alabama A&M,31,3,28,0.097,-23.97,-8.04,3,15,2,9,1,18,60.41935483870968,76.35483870967742,1245,21.70967741935484,54.74193548387097,0.397,5.870967741935484,19.387096774193548,0.303,11.129032258064516,17.193548387096776,0.647,22.93548387096774,10.806451612903226,33.74193548387097,10.96774193548387,3.967741935483871,1.5806451612903225,16.580645161290324,506,68.2,88.2,0.314,0.354,0.48,48.2,50.5,5.8,3.9,0.45,20.9,29.9,0.203,,,
Alabama State,31,8,23,0.258,-18.56,-8.62,8,10,4,8,4,13,68.6774193548387,78.61290322580645,1245,24.225806451612904,59.32258064516129,0.408,6.741935483870968,20.580645161290324,0.328,13.483870967741936,20.870967741935484,0.646,23.774193548387096,12.709677419354838,36.483870967741936,10.096774193548388,5.451612903225806,4.193548387096774,14.096774193548388,648,70.5,97.0,0.352,0.347,0.496,47.9,41.7,7.7,11.2,0.465,16.9,31.9,0.227,,,
Albany (NY),32,22,10,0.688,0.02,-5.4,10,6,14,3,8,7,74.21875,68.1875,1280,26.21875,57.375,0.457,5.75,15.6875,0.367,16.03125,21.25,0.754,25.4375,11.78125,37.21875,12.65625,4.6875,2.84375,11.59375,528,67.3,110.3,0.37,0.273,0.55,55.2,48.3,7.0,7.9,0.507,14.7,34.9,0.279,,,
Alcorn State,32,11,21,0.344,-18.07,-8.6,7,11,9,5,2,16,70.125,74.625,1285,24.71875,57.0,0.434,7.46875,21.78125,0.343,13.21875,18.6875,0.707,24.96875,9.53125,34.5,13.09375,6.25,2.65625,14.34375,613,70.4,99.2,0.328,0.382,0.532,48.4,53.0,8.8,7.7,0.499,17.9,27.2,0.232,,,
American,30,6,24,0.2,-14.63,-6.16,3,15,4,8,2,16,65.36666666666666,73.83333333333333,1205,23.266666666666666,53.833333333333336,0.432,7.966666666666667,23.633333333333333,0.337,10.866666666666667,16.366666666666667,0.664,20.9,8.066666666666666,28.966666666666665,12.233333333333333,7.233333333333333,3.2666666666666666,13.766666666666667,550,67.3,96.7,0.304,0.439,0.531,45.1,52.6,10.7,9.1,0.506,18.3,23.7,0.202,,,
Appalachian State,33,15,18,0.455,-4.83,-2.67,9,9,9,4,4,11,76.36363636363636,74.18181818181819,1340,26.181818181818183,60.09090909090909,0.436,8.848484848484848,26.03030303030303,0.34,15.151515151515152,22.696969696969695,0.668,27.363636363636363,11.787878787878787,39.15151515151515,12.454545454545455,6.0,3.5454545454545454,13.848484848484848,627,72.0,104.6,0.378,0.433,0.539,52.3,47.6,8.2,8.9,0.509,16.3,30.8,0.252,,,
Arizona,35,27,8,0.771,15.67,6.84,14,4,15,1,8,3,80.51428571428572,71.68571428571428,1420,28.82857142857143,57.22857142857143,0.504,6.771428571428571,18.34285714285714,0.369,16.085714285714285,21.17142857142857,0.76,26.4,10.085714285714285,36.48571428571429,15.17142857142857,4.942857142857143,4.514285714285714,12.17142857142857,603,68.6,115.6,0.37,0.321,0.598,55.6,52.6,7.1,12.0,0.563,15.3,33.3,0.281,4.0,R64,SOUTH
Arizona State,32,20,12,0.625,14.37,6.55,8,10,13,4,4,6,82.65625,74.84375,1290,27.75,60.0,0.463,9.0,24.78125,0.363,18.15625,24.78125,0.733,25.34375,9.84375,35.1875,14.3125,6.53125,3.5625,10.71875,604,72.2,113.6,0.413,0.413,0.576,49.0,51.6,9.0,9.9,0.538,13.0,27.9,0.303,11.0,R68,MIDWEST
Arkansas,35,23,12,0.657,14.76,9.85,10,8,15,2,3,7,80.54285714285714,75.62857142857143,1415,28.714285714285715,60.542857142857144,0.474,7.685714285714286,19.457142857142856,0.395,15.428571428571429,22.65714285714286,0.681,24.485714285714284,10.028571428571428,34.51428571428571,14.314285714285715,6.228571428571429,4.6571428571428575,10.885714285714286,700,71.3,111.8,0.374,0.321,0.565,48.9,49.9,8.6,13.8,0.538,13.2,28.7,0.255,7.0,R64,EAST
Arkansas State,32,11,21,0.344,-9.65,-3.02,6,12,7,7,4,13,74.03125,78.84375,1290,26.28125,59.6875,0.44,7.375,21.71875,0.34,14.09375,19.625,0.718,22.28125,11.21875,33.5,10.75,6.71875,2.96875,13.09375,589,70.4,104.3,0.329,0.364,0.536,48.6,40.9,9.5,7.9,0.502,15.9,30.6,0.236,,,
Arkansas-Pine Bluff,35,14,21,0.4,-14.84,-9.36,12,6,7,3,6,13,65.91428571428571,71.4,1410,23.285714285714285,53.22857142857143,0.437,6.2,18.857142857142858,0.329,13.142857142857142,19.457142857142856,0.675,21.285714285714285,7.9714285714285715,29.257142857142856,12.2,7.857142857142857,4.114285714285714,14.285714285714286,684,68.4,95.7,0.366,0.354,0.528,43.6,52.4,11.4,11.7,0.496,18.6,24.0,0.247,,,
Army,30,13,17,0.433,-8.62,-7.17,6,12,6,5,4,12,74.33333333333333,74.1,1205,27.333333333333332,61.5,0.444,9.833333333333334,25.7,0.383,9.833333333333334,14.933333333333334,0.658,25.7,10.066666666666666,35.766666666666666,16.7,5.666666666666667,2.7666666666666666,13.433333333333334,593,71.7,103.3,0.243,0.418,0.542,49.6,61.1,7.9,8.2,0.524,16.4,27.1,0.16,,,
Auburn,34,26,8,0.765,15.97,7.29,13,5,15,1,7,4,81.8529411764706,73.17647058823529,1360,26.647058823529413,61.8235294117647,0.431,9.529411764705882,26.705882352941178,0.357,19.029411764705884,24.58823529411765,0.774,25.970588235294116,11.970588235294118,37.94117647058823,14.147058823529411,7.411764705882353,5.294117647058823,12.088235294117647,672,73.4,111.5,0.398,0.432,0.557,51.7,53.1,10.1,15.2,0.508,14.1,32.0,0.308,4.0,R32,MIDWEST
Austin Peay,34,19,15,0.559,-3.28,-2.5,12,6,13,5,5,9,73.88235294117646,71.94117647058823,1370,26.91176470588235,59.1764705882353,0.455,5.9411764705882355,17.41176470588235,0.341,14.117647058823529,21.676470588235293,0.651,22.5,13.058823529411764,35.55882352941177,13.323529411764707,6.617647058823529,3.0294117647058822,14.058823529411764,671,70.1,104.7,0.366,0.294,0.532,52.2,49.5,9.4,8.9,0.505,16.8,35.7,0.239,,,
Ball State,32,19,13,0.594,-1.22,-2.0,10,8,14,2,5,10,75.3125,73.8125,1295,26.75,59.21875,0.452,7.65625,22.71875,0.337,14.15625,20.09375,0.705,27.8125,10.0,37.8125,14.15625,5.3125,3.5,13.21875,547,71.1,104.7,0.339,0.384,0.548,51.1,52.9,7.4,8.9,0.516,16.1,27.9,0.239,,,
Baylor,34,19,15,0.559,14.6,9.17,8,10,15,5,2,9,75.61764705882354,69.67647058823529,1375,27.676470588235293,59.029411764705884,0.469,6.382352941176471,17.88235294117647,0.357,13.823529411764707,18.823529411764707,0.734,26.235294117647058,11.764705882352942,38.0,15.176470588235293,5.4411764705882355,4.470588235294118,13.617647058823529,608,68.5,109.1,0.319,0.303,0.556,54.2,54.8,7.9,12.2,0.523,16.7,35.6,0.234,,,
Belmont,33,24,9,0.727,5.54,-2.88,15,3,14,2,9,6,77.63636363636364,69.21212121212122,1320,27.303030303030305,56.15151515151515,0.486,11.454545454545455,30.454545454545453,0.376,11.575757575757576,15.666666666666666,0.739,26.515151515151516,7.818181818181818,34.333333333333336,16.03030303030303,4.878787878787879,2.484848484848485,12.424242424242424,531,68.5,113.3,0.279,0.542,0.61,51.5,58.7,7.1,6.5,0.588,16.3,25.2,0.206,,,
Bethune-Cookman,32,18,14,0.563,-12.19,-12.46,12,4,10,3,8,10,81.90625,79.46875,1290,28.21875,63.71875,0.443,7.53125,23.71875,0.318,17.96875,25.625,0.701,28.8125,13.25,42.0625,15.65625,6.3125,3.84375,15.84375,670,77.7,104.6,0.402,0.372,0.54,52.1,55.5,8.1,8.9,0.502,17.3,33.5,0.282,,,
Binghamton,31,11,20,0.355,-10.27,-6.34,2,14,7,7,3,12,69.25806451612904,70.35483870967742,1245,25.387096774193548,57.25806451612903,0.443,7.580645161290323,21.64516129032258,0.35,10.903225806451612,17.032258064516128,0.64,25.258064516129032,9.129032258064516,34.38709677419355,12.129032258064516,5.483870967741935,4.225806451612903,12.290322580645162,522,67.9,101.6,0.297,0.378,0.53,49.6,47.8,8.0,11.6,0.51,15.8,26.0,0.19,,,
Boise State,32,23,9,0.719,11.21,3.05,13,5,15,1,6,6,78.1875,69.0625,1300,27.4375,59.46875,0.461,9.59375,25.28125,0.379,13.71875,18.59375,0.738,28.46875,10.03125,38.5,13.34375,5.71875,2.1875,13.53125,573,70.7,108.9,0.313,0.425,0.572,55.9,48.6,8.0,5.9,0.542,16.5,29.4,0.231,,,
Boston College,35,19,16,0.543,9.0,7.2,7,11,14,3,2,11,76.37142857142857,74.57142857142857,1415,27.085714285714285,60.142857142857146,0.45,8.514285714285714,23.742857142857144,0.359,13.685714285714285,18.457142857142856,0.741,26.4,10.542857142857143,36.94285714285714,14.057142857142857,5.0,3.142857142857143,12.6,570,70.1,107.7,0.307,0.395,0.554,51.6,51.9,7.1,8.8,0.521,15.5,29.6,0.228,,,
Boston University,31,15,16,0.484,-8.33,-5.83,10,8,6,7,9,9,70.51612903225806,71.80645161290323,1240,25.806451612903224,55.806451612903224,0.462,7.387096774193548,19.806451612903224,0.373,11.516129032258064,18.032258064516128,0.639,23.967741935483872,9.709677419354838,33.67741935483871,13.548387096774194,7.387096774193548,3.3225806451612905,13.774193548387096,531,68.7,102.6,0.323,0.355,0.548,50.1,52.5,10.8,9.8,0.529,17.6,29.0,0.206,,,
