School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,29,13,16,0.448,-11.86,-7.1,7,11,9,5,4,11,69.27586206896552,71.48275862068965,1180,24.862068965517242,53.62068965517241,0.464,7.137931034482759,18.96551724137931,0.376,12.413793103448276,18.724137931034484,0.663,23.517241379310345,7.655172413793103,31.17241379310345,14.068965517241379,7.241379310344827,2.8620689655172415,14.206896551724139,631,68.0,100.1,0.349,0.354,0.554,47.1,56.6,10.5,8.5,0.53,18.5,23.5,0.232,,,
Air Force,33,12,21,0.364,-3.06,1.0,4,14,11,7,0,11,73.06060606060606,75.06060606060606,1335,24.757575757575758,56.84848484848485,0.436,8.0,22.060606060606062,0.363,15.545454545454545,21.666666666666668,0.717,25.424242424242426,9.393939393939394,34.81818181818182,14.969696969696969,5.96969696969697,1.7272727272727273,11.818181818181818,594,68.9,104.8,0.381,0.388,0.544,50.3,60.5,8.6,5.7,0.506,15.0,26.5,0.273,,,
Akron,36,27,9,0.75,3.59,-1.21,14,4,13,2,7,6,77.0,70.83333333333333,1440,26.36111111111111,56.52777777777778,0.466,10.166666666666666,27.333333333333332,0.372,14.11111111111111,20.666666666666668,0.683,24.694444444444443,9.916666666666666,34.611111111111114,14.36111111111111,5.5,3.2777777777777777,11.722222222222221,653,68.0,113.1,0.366,0.484,0.58,51.2,54.5,8.1,8.6,0.556,15.0,29.8,0.25,,,
Alabama,34,19,15,0.559,11.29,7.47,10,8,11,6,5,6,68.52941176470588,64.70588235294117,1380,23.794117647058822,56.14705882352941,0.424,6.617647058823529,20.88235294117647,0.317,14.323529411764707,21.941176470588236,0.653,26.735294117647058,12.294117647058824,39.029411764705884,11.470588235294118,5.882352941176471,4.147058823529412,13.941176470588236,664,67.4,100.3,0.391,0.372,0.515,53.8,48.2,8.6,11.6,0.483,17.3,34.1,0.255,,,
Alabama A&M,29,2,27,0.069,-26.99,-11.09,2,16,1,9,1,18,61.86206896551724,77.75862068965517,1175,21.655172413793103,53.41379310344828,0.405,4.310344827586207,15.413793103448276,0.28,14.172413793103448,21.17241379310345,0.669,21.20689655172414,10.310344827586206,31.517241379310345,11.241379310344827,3.4482758620689653,1.7241379310344827,13.241379310344827,526,65.4,93.4,0.396,0.289,0.487,46.4,51.9,5.2,4.4,0.446,17.3,30.0,0.265,,,
Alabama State,31,8,23,0.258,-19.75,-10.75,6,12,6,5,1,17,65.87096774193549,74.35483870967742,1260,23.193548387096776,59.16129032258065,0.392,6.451612903225806,21.741935483870968,0.297,13.03225806451613,20.451612903225808,0.637,24.548387096774192,13.774193548387096,38.32258064516129,9.67741935483871,4.838709677419355,3.161290322580645,15.741935483870968,629,69.6,93.2,0.346,0.368,0.478,50.4,41.7,6.8,8.0,0.447,18.6,34.6,0.22,,,
Albany (NY),35,21,14,0.6,-0.16,-4.69,10,6,11,5,9,8,71.31428571428572,65.74285714285715,1400,25.914285714285715,55.457142857142856,0.467,5.485714285714286,14.742857142857142,0.372,14.0,18.485714285714284,0.757,25.085714285714285,10.82857142857143,35.91428571428571,12.685714285714285,5.085714285714285,1.7142857142857142,11.885714285714286,617,65.3,109.2,0.333,0.266,0.555,55.5,49.0,7.8,5.6,0.517,15.6,33.7,0.252,,,
Alcorn State,32,18,14,0.563,-12.33,-10.95,13,5,11,2,6,11,69.40625,67.96875,1285,25.0,58.3125,0.429,6.9375,20.90625,0.332,12.46875,19.125,0.652,26.75,12.09375,38.84375,13.28125,6.53125,3.59375,14.125,610,69.2,100.0,0.328,0.359,0.515,51.4,53.1,9.4,9.2,0.488,17.3,32.5,0.214,,,
American,30,8,22,0.267,-10.3,-3.5,5,13,4,11,4,11,61.5,68.3,1205,23.066666666666666,51.4,0.449,5.6,17.633333333333333,0.318,9.766666666666667,15.8,0.618,22.133333333333333,6.8,28.933333333333334,11.3,6.966666666666667,2.433333333333333,13.2,548,65.2,94.0,0.307,0.343,0.522,46.6,49.0,10.6,6.9,0.503,18.3,21.7,0.19,,,
Appalachian State,30,9,21,0.3,-8.67,-1.6,4,14,8,6,1,14,73.6,75.96666666666667,1205,24.966666666666665,59.36666666666667,0.421,8.366666666666667,24.733333333333334,0.338,15.3,22.466666666666665,0.681,26.233333333333334,11.3,37.53333333333333,13.8,5.566666666666666,3.033333333333333,13.8,641,72.1,101.7,0.378,0.417,0.525,50.7,55.3,7.7,7.6,0.491,16.5,29.4,0.258,,,
Arizona,37,32,5,0.865,18.25,7.63,16,2,15,1,9,1,76.56756756756756,65.94594594594595,1480,26.405405405405407,55.351351351351354,0.477,6.594594594594595,16.89189189189189,0.39,17.16216216216216,22.43243243243243,0.765,26.43243243243243,10.27027027027027,36.7027027027027,13.54054054054054,5.4324324324324325,3.2162162162162162,11.162162162162161,625,67.3,113.8,0.405,0.305,0.58,55.1,51.3,8.1,8.8,0.537,14.5,33.1,0.31,2.0,S16,WEST
Arizona State,33,15,18,0.455,4.02,7.11,7,11,9,7,4,6,78.57575757575758,81.66666666666667,1325,26.90909090909091,62.03030303030303,0.434,9.93939393939394,27.151515151515152,0.366,14.818181818181818,19.78787878787879,0.749,23.363636363636363,9.212121212121213,32.57575757575758,13.030303030303031,5.878787878787879,3.212121212121212,10.424242424242424,556,72.5,108.0,0.319,0.438,0.55,45.1,48.4,8.1,8.8,0.514,12.7,24.4,0.239,,,
Arkansas,36,26,10,0.722,14.04,8.6,12,6,15,3,6,5,79.30555555555556,73.86111111111111,1440,27.694444444444443,60.138888888888886,0.461,6.472222222222222,17.72222222222222,0.365,17.444444444444443,22.916666666666668,0.761,24.916666666666668,11.13888888888889,36.05555555555556,13.805555555555555,7.722222222222222,4.722222222222222,11.88888888888889,739,71.7,110.7,0.381,0.295,0.558,49.5,49.8,10.8,12.4,0.514,14.3,31.7,0.29,8.0,R32,SOUTH
Arkansas State,32,20,12,0.625,0.87,-2.1,11,7,12,1,7,9,73.3125,69.09375,1285,25.8125,56.0,0.461,6.875,18.09375,0.38,14.8125,23.21875,0.638,25.53125,11.0,36.53125,12.40625,5.375,2.59375,12.9375,652,68.8,106.1,0.415,0.323,0.547,52.1,48.1,7.8,7.3,0.522,16.2,31.4,0.265,,,
Arkansas-Pine Bluff,32,7,25,0.219,-22.81,-10.28,6,12,6,6,1,19,61.78125,72.5,1305,21.71875,53.90625,0.403,6.5,19.40625,0.335,11.84375,18.15625,0.652,21.1875,10.46875,31.65625,10.4375,8.71875,2.90625,18.0625,718,68.7,88.2,0.337,0.36,0.494,46.8,48.1,12.4,9.5,0.463,22.4,29.8,0.22,,,
Army,32,13,19,0.406,-5.84,-4.1,6,12,9,8,4,10,72.625,73.125,1295,26.3125,59.5625,0.442,9.09375,25.78125,0.353,10.90625,16.65625,0.655,28.0,9.90625,37.90625,16.25,5.5625,1.90625,15.09375,620,72.0,99.7,0.28,0.433,0.538,51.8,61.8,7.6,4.9,0.518,18.3,27.1,0.183,,,
Auburn,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,80.40625,79.5625,1290,26.90625,61.53125,0.437,9.03125,24.65625,0.366,17.5625,26.125,0.672,25.0625,11.53125,36.59375,13.0,7.3125,5.0625,13.5625,668,75.2,106.1,0.425,0.401,0.544,48.4,48.3,9.6,13.4,0.511,15.5,30.3,0.285,,,
Austin Peay,30,11,19,0.367,-11.0,-2.32,7,9,5,8,4,11,77.7,83.83333333333333,1215,26.866666666666667,57.266666666666666,0.469,7.566666666666666,21.333333333333332,0.355,16.4,23.166666666666668,0.708,22.266666666666666,8.166666666666666,30.433333333333334,10.8,5.7,2.433333333333333,12.433333333333334,547,71.8,106.9,0.405,0.373,0.569,44.9,40.2,7.8,6.3,0.535,15.4,24.4,0.286,,,
Ball State,34,21,13,0.618,-1.45,-3.57,11,7,11,5,7,7,78.73529411764706,75.5,1380,27.323529411764707,59.23529411764706,0.461,9.382352941176471,24.735294117647058,0.379,14.705882352941176,20.470588235294116,0.718,27.823529411764707,9.852941176470589,37.6764705882353,15.558823529411764,5.970588235294118,3.4705882352941178,14.588235294117647,658,72.7,106.7,0.346,0.418,0.571,51.2,56.9,8.1,8.8,0.54,17.5,28.3,0.248,,,
Baylor,35,27,8,0.771,19.75,11.87,12,6,15,2,6,4,72.85714285714286,63.65714285714286,1400,26.314285714285713,55.885714285714286,0.471,6.571428571428571,18.314285714285713,0.359,13.657142857142857,18.885714285714286,0.723,25.085714285714285,12.885714285714286,37.97142857142857,15.542857142857143,5.142857142857143,4.742857142857143,13.4,617,65.3,111.5,0.338,0.328,0.562,56.5,59.1,7.9,13.0,0.53,17.1,40.2,0.244,3.0,S16,EAST
Belmont,30,23,7,0.767,4.28,-1.69,15,1,12,1,11,4,76.73333333333333,69.26666666666667,1205,26.6,56.766666666666666,0.469,10.2,29.833333333333332,0.342,13.333333333333334,17.366666666666667,0.768,26.766666666666666,8.466666666666667,35.233333333333334,16.033333333333335,4.366666666666666,2.6666666666666665,12.666666666666666,531,69.0,110.7,0.306,0.526,0.59,52.1,60.3,6.3,6.8,0.558,16.3,26.3,0.235,,,
Bethune-Cookman,32,10,22,0.313,-19.44,-11.21,6,10,7,7,2,13,71.09375,77.8125,1315,26.25,63.1875,0.415,7.125,22.25,0.32,11.46875,17.3125,0.662,23.0625,12.40625,35.46875,14.0,7.65625,3.0,12.90625,644,70.1,98.7,0.274,0.352,0.498,47.0,53.3,10.6,7.9,0.472,15.3,31.1,0.182,,,
Binghamton,32,12,20,0.375,-11.99,-5.79,3,13,7,7,4,13,67.96875,70.9375,1285,24.0,54.90625,0.437,7.75,21.40625,0.362,12.21875,17.34375,0.705,25.125,7.84375,32.96875,12.8125,5.21875,2.4375,12.40625,545,67.4,100.4,0.316,0.39,0.538,48.6,53.4,7.7,6.9,0.508,16.4,23.4,0.223,,,
Boise State,32,20,12,0.625,5.52,2.72,12,6,11,3,8,7,75.125,71.1875,1280,25.34375,56.3125,0.45,7.90625,22.6875,0.348,16.53125,23.21875,0.712,25.9375,9.65625,35.59375,12.09375,4.9375,2.40625,12.78125,662,70.4,106.7,0.412,0.403,0.558,51.3,47.7,7.0,6.1,0.52,16.0,28.2,0.294,,,
Boston College,32,9,23,0.281,2.2,8.08,2,16,8,10,0,9,72.5,78.375,1280,26.34375,58.75,0.448,8.0,21.40625,0.374,11.8125,17.375,0.68,25.84375,9.125,34.96875,14.78125,5.59375,2.71875,14.59375,597,72.5,100.0,0.296,0.364,0.541,50.2,56.1,7.7,7.3,0.516,17.9,25.7,0.201,,,
Boston University,32,18,14,0.563,-2.43,-3.66,12,6,11,5,6,9,73.09375,70.75,1300,25.53125,57.625,0.443,8.5625,24.15625,0.354,13.46875,19.34375,0.696,25.625,10.03125,35.65625,14.03125,8.28125,2.53125,13.875,610,69.8,103.1,0.336,0.419,0.547,50.1,55.0,11.7,7.7,0.517,17.2,28.2,0.234,,,
Bowling Green State,32,13,19,0.406,-6.0,-2.0,7,11,10,7,3,12,73.59375,76.65625,1295,26.0,61.15625,0.425,6.875,20.125,0.342,14.71875,22.0625,0.667,25.0,11.03125,36.03125,12.1875,6.90625,2.71875,12.75,623,72.7,100.1,0.361,0.329,0.514,48.8,46.9,9.4,7.1,0.481,15.1,28.2,0.241,,,
Bradley,33,13,20,0.394,-2.84,2.94,7,11,8,7,3,10,65.54545454545455,70.6969696969697,1325,22.151515151515152,52.18181818181818,0.425,6.575757575757576,18.454545454545453,0.356,14.666666666666666,21.78787878787879,0.673,26.03030303030303,9.0,35.03030303030303,11.272727272727273,6.151515151515151,3.5757575757575757,15.121212121212121,672,68.6,95.1,0.418,0.354,0.524,49.2,50.9,8.9,10.5,0.488,19.5,26.2,0.281,,,
Brigham Young,34,22,12,0.647,8.22,1.87,12,6,14,4,5,4,80.61764705882354,74.26470588235294,1360,27.558823529411764,60.5,0.456,6.764705882352941,19.647058823529413,0.344,18.735294117647058,25.558823529411764,0.733,31.029411764705884,10.676470588235293,41.705882352941174,15.705882352941176,6.588235294117647,4.588235294117647,13.794117647058824,657,75.6,106.7,0.422,0.325,0.555,53.5,57.0,8.7,11.7,0.511,16.0,29.2,0.31,,,
Brown,30,13,17,0.433,-8.55,-4.08,4,10,9,7,4,8,75.83333333333333,77.93333333333334,1200,24.5,55.333333333333336,0.443,8.133333333333333,22.166666666666668,0.367,18.7,24.633333333333333,0.759,21.933333333333334,9.166666666666666,31.1,13.3,7.6,1.8666666666666667,14.333333333333334,597,72.1,105.1,0.445,0.401,0.566,47.8,54.3,10.5,5.3,0.516,17.6,27.1,0.338,,,
Bryant,32,12,20,0.375,-9.69,-5.43,9,9,9,5,2,15,74.15625,77.4375,1315,26.21875,59.90625,0.438,7.40625,21.90625,0.338,14.3125,19.875,0.72,25.09375,10.78125,35.875,14.375,6.8125,2.15625,13.375,680,70.0,103.2,0.332,0.366,0.535,49.4,54.8,9.5,5.8,0.499,16.2,29.5,0.239,,,
Bucknell,35,26,9,0.743,5.89,-2.48,15,3,14,2,9,6,76.25714285714285,67.88571428571429,1400,26.914285714285715,56.02857142857143,0.48,8.17142857142857,21.542857142857144,0.379,14.2,20.857142857142858,0.681,25.742857142857144,8.628571428571428,34.371428571428574,14.571428571428571,7.2,3.8285714285714287,13.314285714285715,655,70.7,107.9,0.372,0.384,0.578,50.6,54.1,10.2,9.7,0.553,16.8,26.7,0.253,13.0,R64,WEST
Buffalo,32,17,15,0.531,0.92,-1.01,11,7,8,4,8,7,77.6875,74.21875,1285,27.40625,60.78125,0.451,7.5,22.71875,0.33,15.375,22.21875,0.692,28.0625,12.40625,40.46875,14.34375,5.65625,3.96875,14.15625,735,72.9,106.1,0.366,0.374,0.545,53.1,52.3,7.7,10.2,0.513,16.6,33.7,0.253,,,
Butler,34,25,9,0.735,17.7,10.23,12,6,13,3,7,4,76.32352941176471,68.8529411764706,1370,26.647058823529413,55.8235294117647,0.477,7.676470588235294,21.0,0.366,15.352941176470589,20.705882352941178,0.741,23.647058823529413,8.441176470588236,32.088235294117645,13.323529411764707,6.0588235294117645,2.823529411764706,10.176470588235293,640,67.3,112.6,0.371,0.376,0.581,50.6,50.0,8.9,8.4,0.546,13.4,27.1,0.275,4.0,S16,SOUTH
Cal Poly,31,11,20,0.355,-10.71,-4.22,6,10,6,6,5,11,67.16129032258064,72.3225806451613,1250,23.419354838709676,58.064516129032256,0.403,8.32258064516129,24.451612903225808,0.34,12.0,17.225806451612904,0.697,22.677419354838708,9.67741935483871,32.354838709677416,10.387096774193548,5.225806451612903,3.6451612903225805,10.741935483870968,574,66.7,99.9,0.297,0.421,0.507,46.5,44.4,7.8,9.2,0.475,14.0,26.0,0.207,,,
Cal State Bakersfield,35,25,10,0.714,3.21,-1.94,12,2,12,1,11,6,71.48571428571428,63.857142857142854,1425,25.571428571428573,58.142857142857146,0.44,6.542857142857143,18.62857142857143,0.351,13.8,21.571428571428573,0.64,26.2,12.342857142857143,38.542857142857144,14.485714285714286,8.17142857142857,3.914285714285714,14.82857142857143,794,69.7,100.8,0.371,0.32,0.523,52.3,56.6,11.5,12.3,0.496,17.8,33.9,0.237,,,
