School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,31,13,18,0.419,-13.93,-7.53,8,10,10,5,2,12,71.25806451612904,73.29032258064517,1250,24.870967741935484,54.96774193548387,0.452,6.741935483870968,18.387096774193548,0.367,14.774193548387096,21.06451612903226,0.701,23.29032258064516,8.67741935483871,31.967741935483872,13.612903225806452,7.516129032258065,2.5161290322580645,13.483870967741936,681,69.7,101.4,0.383,0.335,0.548,49.0,54.7,10.7,6.6,0.514,17.2,26.0,0.269,,,
Air Force,32,14,18,0.438,-5.51,0.66,5,13,12,5,2,13,68.40625,72.8125,1300,23.5,54.9375,0.428,6.3125,18.625,0.339,15.09375,22.09375,0.683,25.6875,8.90625,34.59375,13.125,6.125,1.8125,13.21875,617,68.9,97.7,0.402,0.339,0.523,48.3,55.9,8.7,5.9,0.485,16.8,24.9,0.275,,,
Akron,35,26,9,0.743,5.55,-1.24,13,5,15,0,6,8,76.62857142857143,68.02857142857142,1405,26.02857142857143,60.31428571428572,0.432,11.685714285714285,30.542857142857144,0.383,12.885714285714286,18.82857142857143,0.684,26.771428571428572,10.657142857142857,37.42857142857143,14.485714285714286,5.428571428571429,3.914285714285714,10.885714285714286,618,69.2,110.4,0.312,0.506,0.553,49.9,55.7,7.8,9.8,0.528,13.6,29.0,0.214,,,
Alabama,33,18,15,0.545,7.14,8.62,8,10,10,4,5,8,66.45454545454545,67.93939393939394,1330,22.363636363636363,53.03030303030303,0.422,7.848484848484849,23.12121212121212,0.339,13.878787878787879,21.575757575757574,0.643,24.666666666666668,9.909090909090908,34.57575757575758,10.515151515151516,5.818181818181818,5.303030303030303,13.272727272727273,631,66.1,99.7,0.407,0.436,0.525,47.5,47.0,8.7,14.2,0.496,17.3,28.3,0.262,,,
Alabama A&M,29,11,18,0.379,-13.47,-10.75,6,12,6,5,4,12,68.06896551724138,70.41379310344827,1175,23.482758620689655,56.275862068965516,0.417,6.0344827586206895,20.655172413793103,0.292,15.137931034482758,22.137931034482758,0.684,23.103448275862068,11.379310344827585,34.48275862068966,12.620689655172415,5.620689655172414,2.103448275862069,11.724137931034482,561,65.7,102.3,0.393,0.367,0.51,49.4,53.7,8.4,5.7,0.471,14.9,31.5,0.269,,,
Alabama State,31,14,17,0.452,-13.11,-9.35,9,9,8,3,5,12,71.51612903225806,74.45161290322581,1260,25.419354838709676,61.87096774193548,0.411,6.935483870967742,20.870967741935484,0.332,13.741935483870968,20.096774193548388,0.684,24.580645161290324,12.612903225806452,37.193548387096776,12.0,5.838709677419355,3.4516129032258065,11.96774193548387,646,69.5,101.3,0.325,0.337,0.501,49.6,47.2,8.3,9.1,0.467,14.4,31.6,0.222,,,
Albany (NY),33,24,9,0.727,0.93,-7.57,13,3,14,1,10,8,75.60606060606061,66.06060606060606,1335,25.696969696969695,56.06060606060606,0.458,5.696969696969697,17.78787878787879,0.32,18.515151515151516,24.666666666666668,0.751,26.939393939393938,11.727272727272727,38.666666666666664,12.424242424242424,6.545454545454546,1.5757575757575757,12.515151515151516,581,67.8,110.3,0.44,0.317,0.558,55.4,48.3,9.5,4.5,0.509,15.6,35.1,0.33,,,
Alcorn State,30,15,15,0.5,-16.01,-9.94,13,5,9,2,6,9,67.13333333333334,72.13333333333334,1225,23.033333333333335,56.4,0.408,5.8,18.866666666666667,0.307,15.266666666666667,22.533333333333335,0.678,22.933333333333334,12.8,35.733333333333334,9.066666666666666,4.466666666666667,3.7,14.3,548,66.5,99.0,0.4,0.335,0.5,50.8,39.4,6.6,10.3,0.46,17.6,35.0,0.271,,,
American,31,12,19,0.387,-14.18,-6.08,9,9,5,7,7,12,57.58064516129032,65.6774193548387,1250,20.35483870967742,47.96774193548387,0.424,6.290322580645161,18.451612903225808,0.341,10.580645161290322,15.193548387096774,0.696,21.161290322580644,7.032258064516129,28.193548387096776,11.225806451612904,5.67741935483871,2.225806451612903,13.806451612903226,566,62.0,92.2,0.317,0.385,0.522,46.8,55.2,9.1,6.3,0.49,20.0,23.5,0.221,,,
Appalachian State,31,9,22,0.29,-7.91,-1.1,7,13,6,7,2,12,70.54838709677419,77.35483870967742,1240,23.193548387096776,57.903225806451616,0.401,8.258064516129032,23.225806451612904,0.356,15.903225806451612,22.612903225806452,0.703,24.161290322580644,12.67741935483871,36.83870967741935,11.516129032258064,4.096774193548387,3.3225806451612905,14.903225806451612,666,70.8,99.6,0.391,0.401,0.514,49.7,49.7,5.8,7.5,0.472,17.8,32.9,0.275,,,
