School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Charleston Southern,32,14,18,0.438,-13.14,-6.98,7,11,9,6,5,11,68.84375,72.0,1295,24.75,58.0,0.427,8.0625,24.84375,0.325,11.28125,15.21875,0.741,24.03125,8.125,32.15625,13.25,5.9375,2.5625,12.625,15.40625,68.6,99.2,0.262,0.428,0.528,46.3,53.5,8.6,7.0,0.496,16.2,22.8,0.195,,
Charlotte,29,16,13,0.552,0.46,-1.09,10,8,13,2,3,11,66.27586206896552,64.72413793103448,1175,23.137931034482758,51.03448275862069,0.453,6.379310344827586,18.75862068965517,0.34,13.620689655172415,19.379310344827587,0.703,24.689655172413794,6.482758620689655,31.17241379310345,12.10344827586207,7.620689655172414,3.413793103448276,13.862068965517242,15.275862068965518,66.6,98.2,0.38,0.368,0.55,49.9,52.3,11.3,10.5,0.516,18.7,21.4,0.267,,
Chattanooga,33,20,13,0.606,0.39,-1.9,10,8,10,4,7,8,73.03030303030303,68.51515151515152,1325,26.303030303030305,57.78787878787879,0.455,8.515151515151516,23.848484848484848,0.357,11.909090909090908,16.727272727272727,0.712,26.09090909090909,9.121212121212121,35.21212121212121,13.818181818181818,4.787878787878788,1.4848484848484849,11.969696969696969,15.333333333333334,68.2,106.6,0.289,0.413,0.556,51.7,52.5,7.0,4.1,0.529,15.4,26.8,0.206,,
Chicago State,29,4,25,0.138,-28.2,-2.85,0,14,3,11,1,12,61.41379310344828,81.79310344827586,1160,20.551724137931036,49.86206896551724,0.412,5.586206896551724,17.482758620689655,0.32,14.724137931034482,20.413793103448278,0.721,22.103448275862068,7.137931034482759,29.24137931034483,10.344827586206897,4.9655172413793105,2.5172413793103448,17.689655172413794,20.448275862068964,70.3,87.4,0.409,0.351,0.516,45.9,50.3,7.1,7.2,0.468,22.9,22.6,0.295,,
Cincinnati,30,20,10,0.667,12.33,6.73,13,5,13,2,5,6,72.73333333333333,67.13333333333334,1240,25.433333333333334,57.1,0.445,6.566666666666666,20.6,0.319,15.3,22.6,0.677,26.733333333333334,10.966666666666667,37.7,14.566666666666666,6.533333333333333,4.866666666666666,14.4,18.0,68.9,102.2,0.396,0.361,0.536,52.5,57.3,9.2,12.5,0.503,17.5,32.0,0.268,,
Clemson,31,16,15,0.516,10.26,7.88,9,11,11,6,3,8,66.51612903225806,64.12903225806451,1255,23.70967741935484,55.38709677419355,0.428,8.096774193548388,25.70967741935484,0.315,11.0,16.032258064516128,0.686,25.70967741935484,8.0,33.70967741935484,12.935483870967742,6.806451612903226,2.3870967741935485,12.451612903225806,15.225806451612904,66.6,98.7,0.289,0.464,0.528,49.3,54.6,10.1,7.8,0.501,16.5,23.3,0.199,,
Cleveland State,32,11,21,0.344,-11.16,-2.45,7,11,6,8,3,13,64.15625,71.8125,1290,23.0625,55.375,0.416,3.75,12.75,0.294,14.28125,21.5,0.664,23.4375,11.5625,35.0,11.84375,7.6875,2.625,15.21875,20.25,68.9,92.4,0.388,0.23,0.489,49.2,51.4,11.1,7.5,0.45,18.8,32.0,0.258,,
Coastal Carolina,33,16,17,0.485,-0.83,-0.31,8,12,9,9,7,7,77.96969696969697,76.3030303030303,1320,27.727272727272727,61.515151515151516,0.451,7.333333333333333,21.78787878787879,0.337,15.181818181818182,21.21212121212121,0.716,26.939393939393938,13.333333333333334,40.27272727272727,13.515151515151516,7.515151515151516,2.787878787878788,16.060606060606062,22.03030303030303,74.0,105.4,0.345,0.354,0.545,54.1,48.7,10.2,8.7,0.51,18.3,35.9,0.247,,
Colgate,34,25,9,0.735,1.47,-5.63,14,4,15,2,9,7,76.11764705882354,68.08823529411765,1365,27.41176470588235,61.14705882352941,0.448,10.058823529411764,28.147058823529413,0.357,11.235294117647058,15.029411764705882,0.748,26.61764705882353,10.029411764705882,36.64705882352941,14.441176470588236,6.0588235294117645,2.8823529411764706,10.882352941176471,15.117647058823529,68.8,110.3,0.246,0.46,0.557,51.0,52.7,8.8,7.9,0.531,13.7,28.0,0.184,,
College of Charleston,31,17,14,0.548,0.53,-0.84,11,7,10,5,6,6,70.19354838709677,68.03225806451613,1240,24.35483870967742,55.38709677419355,0.44,7.645161290322581,22.032258064516128,0.347,13.838709677419354,18.193548387096776,0.761,24.774193548387096,7.67741935483871,32.45161290322581,10.870967741935484,6.67741935483871,2.5161290322580645,10.774193548387096,16.870967741935484,66.9,105.0,0.328,0.398,0.548,47.4,44.6,10.0,7.2,0.509,14.4,22.9,0.25,,
Colorado,32,21,11,0.656,14.91,8.31,10,8,13,3,4,7,70.875,64.28125,1290,24.28125,55.5625,0.437,7.53125,21.46875,0.351,14.78125,20.09375,0.736,26.78125,10.0625,36.84375,13.1875,5.71875,3.0625,13.1875,14.6875,68.2,103.2,0.362,0.386,0.544,53.9,54.3,8.3,7.9,0.505,16.8,30.2,0.266,,
Colorado State,32,20,12,0.625,6.7,3.96,11,7,12,4,5,6,75.53125,72.09375,1300,26.28125,56.03125,0.469,8.0625,22.03125,0.366,14.84375,21.875,0.679,26.84375,8.875,35.71875,15.53125,6.53125,2.0,13.0625,15.28125,69.7,106.8,0.39,0.393,0.569,52.0,59.1,9.2,5.8,0.541,16.4,26.5,0.265,,
Columbia,30,6,24,0.2,-10.19,-2.5,1,13,5,7,0,16,66.26666666666667,72.7,1215,24.8,60.63333333333333,0.409,6.733333333333333,22.366666666666667,0.301,9.933333333333334,13.6,0.73,26.766666666666666,7.6,34.36666666666667,10.933333333333334,5.466666666666667,3.1,11.233333333333333,15.5,69.6,94.0,0.224,0.369,0.494,47.1,44.1,7.8,8.4,0.465,14.3,20.4,0.164,,
Connecticut,31,19,12,0.613,11.15,5.34,10,8,14,3,3,7,72.83870967741936,67.03225806451613,1280,25.225806451612904,60.064516129032256,0.42,6.967741935483871,21.516129032258064,0.324,15.419354838709678,20.774193548387096,0.742,25.193548387096776,12.67741935483871,37.87096774193548,12.903225806451612,7.096774193548387,5.967741935483871,14.161290322580646,18.612903225806452,69.0,102.3,0.346,0.358,0.521,51.9,51.2,10.0,15.0,0.478,16.8,34.1,0.257,,
Coppin State,31,11,20,0.355,-14.36,-8.27,7,9,5,5,6,15,68.03225806451613,74.12903225806451,1250,23.741935483870968,60.38709677419355,0.393,7.967741935483871,28.35483870967742,0.281,12.580645161290322,19.774193548387096,0.636,28.70967741935484,9.387096774193548,38.096774193548384,10.161290322580646,6.741935483870968,3.032258064516129,14.35483870967742,17.612903225806452,74.4,90.7,0.327,0.47,0.487,47.4,42.8,9.0,8.1,0.459,17.1,23.4,0.208,,
Cornell,27,7,20,0.259,-8.37,-1.85,4,10,6,6,1,14,67.33333333333333,70.81481481481481,1095,24.77777777777778,56.25925925925926,0.44,7.185185185185185,22.11111111111111,0.325,10.592592592592593,15.148148148148149,0.699,23.703703703703702,8.37037037037037,32.074074074074076,14.074074074074074,6.7407407407407405,2.888888888888889,11.592592592592593,17.037037037037038,66.2,100.3,0.269,0.393,0.531,47.8,56.8,10.0,8.5,0.504,15.4,24.8,0.188,,
Creighton,31,24,7,0.774,17.24,9.61,13,5,17,1,6,5,78.3225806451613,69.74193548387096,1245,27.93548387096774,59.32258064516129,0.471,9.741935483870968,25.258064516129032,0.386,12.709677419354838,17.193548387096776,0.739,26.870967741935484,7.935483870967742,34.806451612903224,15.774193548387096,6.548387096774194,2.5483870967741935,10.870967741935484,15.225806451612904,70.0,111.5,0.29,0.426,0.58,48.5,56.5,9.3,6.6,0.553,13.9,23.6,0.214,,
Dartmouth,29,12,17,0.414,-4.17,-3.2,5,9,6,6,5,10,65.3103448275862,64.55172413793103,1170,24.137931034482758,54.55172413793103,0.442,6.931034482758621,21.689655172413794,0.32,10.10344827586207,14.931034482758621,0.677,28.275862068965516,6.724137931034483,35.0,12.551724137931034,4.620689655172414,2.5517241379310347,12.206896551724139,16.655172413793103,66.6,97.2,0.274,0.398,0.53,51.3,52.0,6.9,8.0,0.506,16.5,20.7,0.185,,
Davidson,30,16,14,0.533,8.85,3.62,10,8,11,1,4,9,72.73333333333333,67.5,1230,25.166666666666668,55.56666666666667,0.453,9.066666666666666,24.7,0.367,13.333333333333334,17.5,0.762,25.1,7.966666666666667,33.06666666666667,14.066666666666666,5.466666666666667,2.6666666666666665,11.033333333333333,16.066666666666666,65.4,108.5,0.315,0.445,0.569,50.4,55.9,8.2,7.7,0.534,14.7,24.7,0.24,,
Dayton,31,29,2,0.935,19.17,3.69,18,0,17,0,9,0,80.0,64.51612903225806,1255,29.193548387096776,55.645161290322584,0.525,8.03225806451613,21.677419354838708,0.371,13.580645161290322,18.870967741935484,0.72,27.193548387096776,7.806451612903226,35.0,17.612903225806452,5.67741935483871,3.5161290322580645,12.161290322580646,17.06451612903226,67.9,116.4,0.339,0.39,0.619,52.5,60.3,8.3,9.2,0.597,15.8,26.4,0.244,,
Delaware,33,22,11,0.667,-1.53,-3.84,11,7,10,3,7,6,74.3030303030303,70.66666666666667,1325,26.696969696969695,55.54545454545455,0.481,7.606060606060606,21.363636363636363,0.356,13.303030303030303,17.545454545454547,0.758,25.90909090909091,7.636363636363637,33.54545454545455,13.06060606060606,5.454545454545454,3.303030303030303,12.818181818181818,16.484848484848484,68.6,107.9,0.316,0.385,0.582,50.4,48.9,7.9,9.3,0.549,16.7,24.5,0.239,,
Delaware State,32,6,26,0.188,-20.87,-9.54,4,12,3,11,2,13,73.4375,82.96875,1290,25.75,62.625,0.411,7.78125,24.71875,0.315,14.15625,20.65625,0.685,25.21875,10.46875,35.6875,10.4375,6.875,2.21875,15.25,20.71875,76.3,95.6,0.33,0.395,0.507,47.3,40.5,8.9,6.2,0.473,17.4,26.4,0.226,,
Denver,31,7,24,0.226,-10.06,-1.99,3,13,6,8,0,14,68.87096774193549,76.12903225806451,1250,24.838709677419356,55.935483870967744,0.444,5.225806451612903,16.258064516129032,0.321,13.96774193548387,20.258064516129032,0.689,26.322580645161292,7.129032258064516,33.45161290322581,11.193548387096774,5.870967741935484,2.2903225806451615,13.806451612903226,20.225806451612904,71.6,95.4,0.362,0.291,0.525,48.3,45.1,8.1,7.0,0.491,17.4,20.8,0.25,,
DePaul,32,16,16,0.5,7.63,8.95,3,15,11,7,4,9,70.6875,71.0625,1290,26.0,59.5625,0.437,5.65625,18.09375,0.313,13.03125,19.8125,0.658,25.625,11.59375,37.21875,13.5625,8.03125,4.96875,14.65625,19.09375,71.7,97.8,0.333,0.304,0.512,50.3,52.2,11.1,14.8,0.484,17.5,30.9,0.219,,
Detroit Mercy,31,8,23,0.258,-9.87,-1.9,6,12,5,8,2,14,70.16129032258064,78.12903225806451,1245,23.35483870967742,59.67741935483871,0.391,8.483870967741936,26.29032258064516,0.323,14.96774193548387,19.129032258064516,0.782,24.451612903225808,11.612903225806452,36.064516129032256,10.387096774193548,5.774193548387097,3.032258064516129,13.580645161290322,16.774193548387096,70.6,99.0,0.321,0.441,0.51,49.5,44.5,8.1,8.2,0.462,16.5,30.8,0.251,,
Drake,34,20,14,0.588,0.43,0.61,8,10,14,2,2,10,69.38235294117646,67.70588235294117,1365,25.11764705882353,54.8235294117647,0.458,7.205882352941177,20.91176470588235,0.345,11.941176470588236,16.735294117647058,0.714,26.294117647058822,7.5,33.794117647058826,14.911764705882353,5.5,3.8823529411764706,12.882352941176471,16.647058823529413,68.0,101.6,0.305,0.381,0.553,51.4,59.4,8.1,11.6,0.524,17.0,23.5,0.218,,
Drexel,33,14,19,0.424,-5.38,-2.2,6,12,10,5,1,13,68.3030303030303,70.39393939393939,1325,24.87878787878788,56.36363636363637,0.441,7.303030303030303,20.90909090909091,0.349,11.242424242424242,16.060606060606062,0.7,24.78787878787879,10.424242424242424,35.21212121212121,14.393939393939394,5.636363636363637,2.8181818181818183,14.575757575757576,16.303030303030305,67.9,100.3,0.285,0.371,0.534,51.8,57.9,8.3,7.0,0.506,18.6,30.4,0.199,,
Duke,31,25,6,0.806,22.55,8.0,15,5,15,2,7,4,82.51612903225806,67.96774193548387,1260,29.677419354838708,63.12903225806452,0.47,7.0,19.903225806451612,0.352,16.161290322580644,22.451612903225808,0.72,27.419354838709676,12.709677419354838,40.12903225806452,15.451612903225806,8.32258064516129,6.064516129032258,13.193548387096774,17.967741935483872,72.9,111.4,0.356,0.315,0.559,53.8,52.1,11.2,13.6,0.526,15.2,34.8,0.256,,
Duquesne,30,21,9,0.7,6.77,1.67,11,7,10,4,6,3,71.53333333333333,66.43333333333334,1215,25.266666666666666,57.03333333333333,0.443,7.833333333333333,24.6,0.318,13.166666666666666,18.733333333333334,0.703,24.6,10.0,34.6,14.266666666666667,6.9,5.366666666666666,12.6,15.433333333333334,67.8,104.2,0.328,0.431,0.542,49.8,56.5,10.1,14.8,0.512,16.0,29.2,0.231,,
East Carolina,31,11,20,0.355,-2.27,1.82,5,13,9,7,1,11,68.09677419354838,72.19354838709677,1250,23.903225806451612,56.74193548387097,0.421,5.225806451612903,18.612903225806452,0.281,15.064516129032258,20.870967741935484,0.722,25.741935483870968,9.580645161290322,35.32258064516129,13.67741935483871,6.516129032258065,3.0,13.741935483870968,20.70967741935484,70.7,95.6,0.368,0.328,0.511,50.3,57.2,9.1,9.2,0.467,17.1,27.3,0.265,,
East Tennessee State,34,30,4,0.882,7.63,-1.82,16,2,16,1,11,3,76.26470588235294,63.11764705882353,1360,27.029411764705884,56.94117647058823,0.475,7.647058823529412,22.11764705882353,0.346,14.558823529411764,20.970588235294116,0.694,24.58823529411765,10.882352941176471,35.470588235294116,13.852941176470589,8.176470588235293,3.5588235294117645,12.117647058823529,17.58823529411765,68.2,111.9,0.368,0.388,0.57,53.4,51.3,12.0,10.9,0.542,15.3,32.7,0.256,,
Eastern Illinois,32,17,15,0.531,-5.08,-7.41,9,9,10,2,5,11,74.28125,69.1875,1290,27.8125,60.75,0.458,6.71875,19.65625,0.342,11.9375,18.09375,0.66,25.84375,10.6875,36.53125,14.03125,7.65625,4.40625,12.5625,16.4375,70.9,104.0,0.298,0.324,0.536,50.4,50.4,10.7,11.5,0.513,15.3,29.2,0.197,,
Eastern Kentucky,33,16,17,0.485,-9.17,-4.46,12,6,10,4,5,10,74.66666666666667,75.39393939393939,1320,25.96969696969697,63.15151515151515,0.411,8.121212121212121,25.303030303030305,0.321,14.606060606060606,20.12121212121212,0.726,23.606060606060606,10.121212121212121,33.72727272727273,12.030303030303031,9.303030303030303,2.121212121212121,13.969696969696969,18.242424242424242,76.2,98.0,0.319,0.401,0.513,45.2,46.3,12.2,5.5,0.476,16.1,25.7,0.231,,
Eastern Michigan,32,16,16,0.5,-3.12,0.95,6,12,11,4,3,12,64.9375,64.0625,1280,22.65625,53.21875,0.426,5.625,20.09375,0.28,14.0,22.3125,0.627,24.125,9.78125,33.90625,9.71875,9.8125,3.28125,14.3125,17.0,68.1,95.4,0.419,0.378,0.509,48.6,42.9,14.4,11.6,0.479,18.3,27.8,0.263,,
Eastern Washington,31,23,8,0.742,2.01,-1.81,16,4,13,2,10,6,80.93548387096774,72.87096774193549,1250,29.451612903225808,64.06451612903226,0.46,9.290322580645162,26.64516129032258,0.349,12.741935483870968,18.35483870967742,0.694,27.677419354838708,10.580645161290322,38.25806451612903,17.548387096774192,7.129032258064516,3.6129032258064515,12.838709677419354,18.64516129032258,74.3,108.0,0.287,0.416,0.556,50.9,59.6,9.5,8.7,0.532,15.0,28.3,0.199,,
Elon,34,13,21,0.382,-7.81,-2.03,7,11,8,8,3,12,68.73529411764706,71.70588235294117,1365,23.676470588235293,56.8235294117647,0.417,10.176470588235293,28.0,0.363,11.205882352941176,15.235294117647058,0.736,24.294117647058822,8.294117647058824,32.588235294117645,13.323529411764707,4.705882352941177,1.8823529411764706,11.529411764705882,19.41176470588235,67.3,101.8,0.268,0.493,0.536,48.2,56.3,7.0,6.0,0.506,15.3,23.5,0.197,,
Evansville,32,9,23,0.281,-7.04,0.61,0,18,5,10,3,10,67.15625,74.0,1310,23.3125,55.28125,0.422,7.53125,23.4375,0.321,13.0,17.8125,0.73,24.40625,7.0,31.40625,12.25,4.75,2.3125,12.6875,16.6875,67.9,96.7,0.322,0.424,0.527,46.6,52.5,6.8,5.7,0.49,16.6,20.3,0.235,,
Fairfield,32,12,20,0.375,-9.65,-4.81,8,12,5,8,6,9,58.03125,62.875,1300,20.34375,52.15625,0.39,4.3125,15.1875,0.284,13.03125,18.75,0.695,24.125,10.21875,34.34375,8.625,5.125,2.75,13.75,16.375,63.6,89.8,0.359,0.291,0.475,51.6,42.4,7.9,8.2,0.431,18.4,30.2,0.25,,
Fairleigh Dickinson,30,11,19,0.367,-9.94,-5.87,9,9,7,5,4,14,72.23333333333333,74.53333333333333,1210,26.233333333333334,58.0,0.452,7.4,20.733333333333334,0.357,12.366666666666667,17.1,0.723,24.466666666666665,9.1,33.56666666666667,11.866666666666667,6.366666666666666,3.3,12.966666666666667,16.3,69.3,103.4,0.295,0.357,0.546,48.3,45.2,9.1,9.4,0.516,16.4,26.8,0.213,,
Florida,31,19,12,0.613,14.94,9.1,11,7,11,4,4,7,71.87096774193549,66.03225806451613,1250,25.516129032258064,55.774193548387096,0.457,7.129032258064516,20.516129032258064,0.347,13.709677419354838,18.967741935483872,0.723,24.741935483870968,10.096774193548388,34.83870967741935,11.870967741935484,5.741935483870968,3.903225806451613,11.903225806451612,17.032258064516128,66.3,107.5,0.34,0.368,0.555,52.4,46.5,8.6,11.1,0.521,15.5,31.1,0.246,,
Florida A&M,27,12,15,0.444,-12.17,-6.24,10,6,8,0,4,13,67.55555555555556,73.48148148148148,1105,24.59259259259259,58.592592592592595,0.42,3.962962962962963,13.962962962962964,0.284,14.407407407407407,22.703703703703702,0.635,23.0,11.962962962962964,34.96296296296296,10.074074074074074,7.481481481481482,1.8888888888888888,15.37037037037037,19.22222222222222,70.8,93.3,0.387,0.238,0.487,48.6,41.0,10.3,5.2,0.454,18.1,31.2,0.246,,
Florida Atlantic,32,17,15,0.531,-1.66,-1.25,8,10,14,3,2,12,71.09375,69.4375,1295,25.6875,60.25,0.426,8.3125,25.40625,0.327,11.40625,16.21875,0.703,25.875,10.65625,36.53125,12.21875,7.3125,2.0625,13.34375,16.9375,70.2,100.0,0.269,0.422,0.523,51.0,47.6,10.3,5.8,0.495,16.4,28.9,0.189,,
Florida Gulf Coast,32,10,22,0.313,-10.26,-4.3,7,9,6,10,4,12,61.84375,66.3125,1295,22.84375,55.6875,0.41,7.28125,23.15625,0.314,8.875,12.875,0.689,24.40625,9.8125,34.21875,12.75,6.09375,4.375,15.46875,15.875,66.8,91.5,0.231,0.416,0.5,49.2,55.8,9.0,12.4,0.476,20.0,28.0,0.159,,
Florida International,32,19,13,0.594,0.9,-1.0,9,9,11,3,6,9,76.71875,72.46875,1285,28.0625,61.5,0.456,8.9375,25.59375,0.349,11.65625,17.9375,0.65,24.8125,10.84375,35.65625,14.65625,8.75,6.4375,15.0625,17.28125,73.9,103.4,0.292,0.416,0.548,47.8,52.2,11.8,16.2,0.529,17.7,29.5,0.19,,
Florida State,31,26,5,0.839,17.28,7.64,16,4,16,0,7,5,75.35483870967742,65.70967741935483,1250,27.225806451612904,59.61290322580645,0.457,7.419354838709677,21.129032258064516,0.351,13.483870967741936,17.967741935483872,0.75,24.161290322580644,11.290322580645162,35.45161290322581,13.193548387096774,8.806451612903226,5.225806451612903,13.225806451612904,17.483870967741936,69.7,107.3,0.301,0.354,0.553,51.9,48.5,12.5,15.9,0.519,16.3,33.4,0.226,,
Fordham,31,9,22,0.29,-3.58,-0.45,2,16,6,12,1,8,58.58064516129032,61.70967741935484,1255,20.838709677419356,54.29032258064516,0.384,7.193548387096774,22.64516129032258,0.318,9.709677419354838,14.67741935483871,0.662,25.322580645161292,7.612903225806452,32.935483870967744,11.32258064516129,7.064516129032258,2.5806451612903225,12.419354838709678,17.258064516129032,65.2,88.8,0.27,0.417,0.478,47.0,54.3,10.7,9.2,0.45,16.9,21.3,0.179,,
Fresno State,30,11,19,0.367,2.08,3.39,7,11,7,7,4,10,69.16666666666667,68.93333333333334,1225,23.766666666666666,56.8,0.418,9.466666666666667,27.833333333333332,0.34,12.166666666666666,17.3,0.703,26.1,10.966666666666667,37.06666666666667,12.4,4.9,3.7666666666666666,12.766666666666667,16.533333333333335,65.3,103.8,0.305,0.49,0.532,52.0,52.2,7.4,11.1,0.502,16.4,30.5,0.214,,
Furman,32,25,7,0.781,6.79,-1.55,15,3,14,1,10,5,76.78125,66.34375,1290,27.53125,58.03125,0.474,9.4375,26.84375,0.352,12.28125,17.53125,0.701,23.78125,7.78125,31.5625,14.84375,8.25,2.8125,11.4375,15.46875,69.3,110.0,0.302,0.463,0.579,47.8,53.9,11.8,8.5,0.556,14.7,23.6,0.212,,
Gardner-Webb,32,16,16,0.5,-5.56,-5.83,11,7,7,5,6,10,72.4375,71.0,1315,25.3125,56.53125,0.448,7.9375,22.0625,0.36,13.875,20.0,0.694,25.59375,9.34375,34.9375,13.6875,6.28125,4.6875,12.46875,16.25,67.7,104.1,0.354,0.39,0.549,49.7,54.1,9.0,13.7,0.518,15.9,27.1,0.245,,
George Mason,32,17,15,0.531,0.86,1.48,5,13,10,7,3,8,67.125,67.75,1285,23.90625,56.40625,0.424,5.90625,19.4375,0.304,13.40625,19.40625,0.691,25.375,11.875,37.25,10.90625,6.0625,4.65625,13.59375,16.78125,67.4,99.2,0.344,0.345,0.511,52.5,45.6,9.0,13.3,0.476,17.2,33.1,0.238,,
George Washington,32,12,20,0.375,-3.99,0.92,6,12,7,9,3,9,65.1875,70.09375,1300,22.75,53.9375,0.422,7.34375,22.90625,0.321,12.34375,17.6875,0.698,25.25,7.78125,33.03125,11.875,5.375,4.0625,13.125,16.625,66.6,96.4,0.328,0.425,0.523,48.3,52.2,7.9,10.1,0.49,17.4,23.0,0.229,,
Georgetown,32,15,17,0.469,10.38,9.6,5,13,10,8,4,7,74.65625,73.875,1280,26.25,60.03125,0.437,6.4375,18.59375,0.346,15.71875,20.375,0.771,26.46875,11.71875,38.1875,14.96875,6.25,4.0625,13.53125,15.96875,71.6,104.3,0.339,0.31,0.535,52.1,57.0,8.7,11.5,0.491,16.3,32.4,0.262,,
Georgia,32,16,16,0.5,8.28,8.06,5,13,12,5,3,9,75.875,75.5625,1300,27.34375,60.65625,0.451,6.96875,23.21875,0.3,14.21875,20.25,0.702,26.0,11.75,37.75,13.46875,7.125,3.25,14.71875,18.875,72.0,103.8,0.334,0.383,0.54,51.4,49.3,9.7,8.0,0.508,17.3,32.3,0.234,,
Georgia Southern,33,20,13,0.606,1.69,-0.83,12,8,11,4,8,8,75.57575757575758,70.66666666666667,1320,26.484848484848484,59.96969696969697,0.442,7.878787878787879,24.0,0.328,14.727272727272727,21.848484848484848,0.674,25.757575757575758,9.848484848484848,35.60606060606061,12.333333333333334,7.878787878787879,3.8484848484848486,12.969696969696969,16.424242424242426,73.3,103.1,0.364,0.4,0.537,48.5,46.6,10.7,10.2,0.507,15.6,26.6,0.246,,
Georgia State,32,19,13,0.594,3.09,0.13,12,8,12,3,6,10,78.09375,72.21875,1290,27.46875,62.65625,0.438,8.6875,23.96875,0.362,14.46875,19.5625,0.74,25.25,11.59375,36.84375,14.59375,7.84375,4.21875,14.125,21.375,74.0,104.6,0.312,0.383,0.543,49.7,53.1,10.5,11.2,0.508,16.4,31.6,0.231,,
Georgia Tech,31,17,14,0.548,10.49,9.19,11,9,10,6,6,7,68.58064516129032,66.41935483870968,1250,25.193548387096776,55.70967741935484,0.452,5.193548387096774,16.64516129032258,0.312,13.0,19.193548387096776,0.677,26.516129032258064,9.64516129032258,36.16129032258065,13.709677419354838,7.096774193548387,4.580645161290323,16.193548387096776,19.06451612903226,70.7,96.3,0.345,0.299,0.529,51.7,54.4,10.0,11.7,0.499,20.0,29.4,0.233,,
Gonzaga,33,31,2,0.939,22.7,3.13,15,1,17,0,10,1,87.42424242424242,67.84848484848484,1325,31.757575757575758,61.666666666666664,0.515,7.454545454545454,19.303030303030305,0.386,16.454545454545453,23.90909090909091,0.688,28.757575757575758,11.363636363636363,40.121212121212125,16.666666666666668,7.363636363636363,3.8484848484848486,11.151515151515152,14.666666666666666,72.5,120.1,0.388,0.313,0.599,56.6,52.5,10.1,9.5,0.575,13.2,33.7,0.267,,
Grambling,32,17,15,0.531,-12.39,-9.79,11,7,11,2,6,12,71.25,68.375,1280,26.0,57.40625,0.453,4.84375,15.8125,0.306,14.40625,21.125,0.682,25.5,10.28125,35.78125,12.875,7.46875,4.0,14.25,18.40625,71.8,99.2,0.368,0.275,0.528,51.9,49.5,10.4,11.4,0.495,17.4,30.5,0.251,,
Grand Canyon,30,13,17,0.433,-6.32,-4.05,8,8,8,8,4,6,70.53333333333333,73.03333333333333,1210,24.666666666666668,54.7,0.451,6.0,18.033333333333335,0.333,15.2,20.366666666666667,0.746,25.066666666666666,7.466666666666667,32.53333333333333,11.833333333333334,4.8,1.3,11.466666666666667,16.166666666666668,67.8,103.2,0.372,0.33,0.548,48.2,48.0,7.0,3.7,0.506,15.1,23.0,0.278,,
Green Bay,33,17,16,0.515,-4.8,-2.8,11,7,10,5,7,10,81.63636363636364,80.0909090909091,1335,29.333333333333332,63.90909090909091,0.459,7.636363636363637,20.696969696969695,0.369,15.333333333333334,20.272727272727273,0.756,26.515151515151516,9.848484848484848,36.36363636363637,16.181818181818183,6.909090909090909,3.090909090909091,12.454545454545455,19.21212121212121,75.3,107.3,0.317,0.324,0.555,48.5,55.2,9.1,8.1,0.519,14.5,26.8,0.24,,
Hampton,34,15,19,0.441,-12.02,-5.8,8,10,11,5,3,13,77.5,79.20588235294117,1370,27.176470588235293,59.55882352941177,0.456,6.264705882352941,18.852941176470587,0.332,16.88235294117647,24.147058823529413,0.699,26.5,10.205882352941176,36.705882352941174,14.617647058823529,5.029411764705882,3.764705882352941,11.676470588235293,19.11764705882353,71.9,107.0,0.405,0.317,0.546,49.5,53.8,6.9,10.0,0.509,14.1,28.2,0.283,,
Hartford,33,18,15,0.545,-6.79,-6.02,9,7,9,8,9,7,66.6969696969697,66.75757575757575,1325,23.424242424242426,56.06060606060606,0.418,7.666666666666667,22.484848484848484,0.341,12.181818181818182,17.333333333333332,0.703,25.96969696969697,8.0,33.96969696969697,12.969696969696969,7.303030303030303,2.3636363636363638,13.454545454545455,17.424242424242426,69.2,96.0,0.309,0.401,0.519,47.0,55.4,10.5,6.5,0.486,17.3,22.9,0.217,,
Harvard,29,21,8,0.724,3.06,-1.55,10,4,11,1,9,4,72.89655172413794,66.48275862068965,1180,26.310344827586206,57.93103448275862,0.454,7.206896551724138,21.896551724137932,0.329,13.068965517241379,18.655172413793103,0.701,27.75862068965517,10.517241379310345,38.275862068965516,11.827586206896552,6.448275862068965,5.275862068965517,13.89655172413793,17.413793103448278,68.9,104.0,0.322,0.378,0.546,53.4,45.0,9.2,14.1,0.516,17.2,30.4,0.226,,
Hawaii,30,17,13,0.567,-1.27,-2.1,8,8,14,6,3,7,68.56666666666666,67.2,1205,24.366666666666667,57.166666666666664,0.426,7.166666666666667,21.733333333333334,0.33,12.666666666666666,18.0,0.704,24.066666666666666,9.566666666666666,33.63333333333333,13.433333333333334,5.466666666666667,2.1,13.066666666666666,17.566666666666666,68.9,99.1,0.315,0.38,0.522,50.1,55.1,7.9,5.1,0.489,16.6,27.8,0.222,,
