School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,30,13,17,0.433,-2.5,1.2,5.0,11.0,9,5,4,8,74.96666666666667,71.1,1210,27.066666666666666,60.0,0.451,7.033333333333333,20.433333333333334,0.344,13.8,19.1,0.723,22.166666666666668,10.233333333333333,32.4,15.7,8.8,2.3666666666666667,12.633333333333333,20.566666666666666,70.9,104.9,0.318,0.341,0.543,0.491,0.58,0.123,0.7,0.51,0.155,0.28600000000000003,0.23,,,
Air Force,32,14,18,0.438,2.31,2.44,5.0,13.0,10,9,4,9,66.9375,67.0625,1295,23.625,51.125,0.462,8.15625,22.90625,0.356,11.53125,15.96875,0.722,22.90625,6.65625,29.5625,15.34375,5.75,3.96875,12.21875,17.0,63.6,104.0,0.312,0.448,0.57,0.47700000000000004,0.649,0.89,0.11000000000000001,0.542,0.172,0.223,0.226,,,
Akron,33,22,11,0.667,4.52,-1.32,13.0,5.0,15,1,5,6,74.63636363636364,66.93939393939394,1330,25.575757575757574,57.515151515151516,0.445,9.090909090909092,25.606060606060606,0.355,14.393939393939394,19.484848484848484,0.739,25.545454545454547,10.151515151515152,35.696969696969695,13.424242424242424,6.03030303030303,2.6363636363636362,11.212121212121213,16.03030303030303,67.2,110.3,0.339,0.445,0.559,0.521,0.525,0.89,0.72,0.524,0.144,0.299,0.25,,,
Alabama,34,29,5,0.853,23.75,10.07,16.0,2.0,15,0,9,3,82.17647058823529,68.5,1390,27.764705882352942,62.205882352941174,0.446,10.058823529411764,29.764705882352942,0.338,16.58823529411765,22.852941176470587,0.726,31.58823529411765,12.764705882352942,44.35294117647059,15.205882352941176,6.0588235294117645,5.0588235294117645,14.088235294117647,18.61764705882353,72.7,110.6,0.367,0.478,0.562,0.545,0.5479999999999999,0.82,0.11300000000000002,0.527,0.16199999999999998,0.33799999999999997,0.267,1.0,,SOUTH
Alabama A&M,33,15,18,0.455,-10.51,-7.44,10.0,8.0,9,8,5,8,69.60606060606061,70.9090909090909,1336,24.939393939393938,56.60606060606061,0.441,6.848484848484849,18.484848484848484,0.37,12.878787878787879,19.666666666666668,0.655,22.575757575757574,10.121212121212121,32.696969696969695,12.696969696969697,8.0,4.03030303030303,15.090909090909092,18.90909090909091,69.9,98.9,0.347,0.327,0.528,0.4779999999999999,0.509,0.11400000000000002,0.12,0.501,0.186,0.3,0.228,,,
Alabama State,31,8,23,0.258,-16.05,-6.02,6.0,12.0,5,5,2,18,63.32258064516129,72.64516129032258,1245,22.032258064516128,58.74193548387097,0.375,5.967741935483871,19.516129032258064,0.306,13.290322580645162,18.838709677419356,0.705,23.548387096774192,12.483870967741936,36.03225806451613,9.96774193548387,5.870967741935484,3.5483870967741935,13.35483870967742,17.967741935483872,68.6,92.0,0.321,0.332,0.468,0.485,0.45200000000000007,0.85,0.9099999999999999,0.426,0.16499999999999998,0.32399999999999995,0.226,,,
Albany (NY),31,8,23,0.258,-14.37,-4.54,3.0,13.0,5,6,2,16,67.29032258064517,75.2258064516129,1245,23.419354838709676,56.61290322580645,0.414,7.645161290322581,23.387096774193548,0.327,12.806451612903226,17.741935483870968,0.722,23.096774193548388,10.225806451612904,33.32258064516129,11.709677419354838,5.741935483870968,1.6451612903225807,13.35483870967742,18.580645161290324,67.9,98.8,0.313,0.413,0.517,0.49799999999999994,0.5,0.8400000000000001,0.45,0.481,0.16999999999999998,0.288,0.226,,,
Alcorn State,32,18,14,0.563,-8.49,-5.55,15.0,3.0,7,2,10,10,67.65625,70.59375,1301,23.84375,58.375,0.408,5.125,17.3125,0.296,14.84375,20.59375,0.721,21.96875,12.0,33.96875,9.875,8.03125,2.5,12.625,18.90625,67.8,98.2,0.353,0.297,0.496,0.502,0.414,0.11699999999999999,0.77,0.452,0.156,0.337,0.254,,,
American,32,17,15,0.531,-8.31,-7.78,7.0,11.0,8,6,9,9,65.40625,65.9375,1300,24.53125,50.9375,0.482,6.375,18.40625,0.346,9.96875,14.21875,0.701,22.21875,8.09375,30.3125,13.625,7.4375,3.9375,14.0,15.0625,62.6,102.9,0.279,0.361,0.567,0.51,0.5549999999999999,0.11699999999999999,0.11400000000000002,0.544,0.195,0.28300000000000003,0.196,,,
Appalachian State,32,16,16,0.5,-1.41,-0.9,9.0,9.0,10,7,6,7,70.25,64.59375,1290,25.59375,57.9375,0.442,7.59375,22.6875,0.335,11.46875,16.96875,0.676,26.6875,9.0,35.6875,13.03125,6.375,4.5625,11.0,13.8125,67.3,103.6,0.293,0.392,0.532,0.49799999999999994,0.509,0.9400000000000001,0.128,0.507,0.14300000000000002,0.258,0.198,,,
Arizona,34,28,6,0.824,20.05,8.87,14.0,6.0,15,2,6,4,82.67647058823529,71.5,1360,29.38235294117647,59.26470588235294,0.496,8.588235294117647,22.5,0.382,15.323529411764707,21.61764705882353,0.709,29.11764705882353,10.264705882352942,39.38235294117647,19.176470588235293,6.117647058823529,3.2058823529411766,13.382352941176471,17.029411764705884,72.9,113.4,0.365,0.38,0.595,0.5429999999999999,0.6529999999999999,0.8400000000000001,0.8300000000000001,0.568,0.161,0.31100000000000005,0.259,2.0,,SOUTH
Arizona State,35,23,12,0.657,11.71,8.46,11.0,9.0,10,5,7,6,71.11428571428571,67.85714285714286,1415,25.285714285714285,60.31428571428572,0.419,7.6,23.82857142857143,0.319,12.942857142857143,18.771428571428572,0.689,25.485714285714284,11.114285714285714,36.6,14.428571428571429,7.2,4.6571428571428575,11.685714285714285,18.485714285714284,69.1,101.8,0.311,0.395,0.514,0.488,0.571,0.10300000000000001,0.13199999999999998,0.482,0.144,0.294,0.215,11.0,,WEST
Arkansas,33,20,13,0.606,16.51,9.48,8.0,10.0,14,3,2,8,74.42424242424242,67.39393939393939,1325,27.060606060606062,56.93939393939394,0.475,5.090909090909091,16.060606060606062,0.317,15.212121212121213,22.060606060606062,0.69,25.181818181818183,10.030303030303031,35.21212121212121,13.424242424242424,8.393939393939394,5.242424242424242,12.909090909090908,19.12121212121212,70.1,105.7,0.387,0.282,0.552,0.518,0.496,0.119,0.134,0.52,0.161,0.305,0.267,8.0,,WEST
Arkansas State,33,13,20,0.394,-7.93,-3.17,4.0,14.0,10,8,2,11,65.72727272727273,67.63636363636364,1325,23.545454545454547,54.515151515151516,0.432,6.333333333333333,17.96969696969697,0.352,12.303030303030303,18.181818181818183,0.677,23.727272727272727,9.848484848484848,33.57575757575758,13.121212121212121,6.666666666666667,3.272727272727273,11.666666666666666,16.757575757575758,64.8,101.0,0.334,0.33,0.52,0.5029999999999999,0.557,0.10200000000000001,0.9199999999999999,0.49,0.156,0.29,0.226,,,
Arkansas-Pine Bluff,31,10,21,0.323,-12.66,-5.03,6.0,12.0,8,5,2,16,66.90322580645162,69.74193548387096,1250,22.612903225806452,57.774193548387096,0.391,7.903225806451613,25.032258064516128,0.316,13.774193548387096,18.93548387096774,0.727,24.419354838709676,10.129032258064516,34.54838709677419,12.774193548387096,8.064516129032258,2.774193548387097,15.258064516129032,19.70967741935484,71.3,93.0,0.328,0.433,0.501,0.487,0.5650000000000001,0.11199999999999999,0.79,0.46,0.186,0.27199999999999996,0.238,,,
Army,33,17,16,0.515,-7.27,-7.72,10.0,8.0,10,5,7,8,73.0909090909091,70.36363636363636,1330,26.818181818181817,56.15151515151515,0.478,7.636363636363637,21.757575757575758,0.351,11.818181818181818,17.272727272727273,0.684,25.818181818181817,8.484848484848484,34.303030303030305,13.090909090909092,5.090909090909091,2.121212121212121,12.93939393939394,16.12121212121212,68.1,106.5,0.308,0.387,0.568,0.53,0.488,0.74,0.6,0.546,0.16699999999999998,0.275,0.21,,,
Auburn,32,20,12,0.625,14.84,9.19,10.0,8.0,14,2,4,8,72.71875,67.0625,1285,25.8125,58.59375,0.441,6.5,20.71875,0.314,14.59375,20.78125,0.702,24.5,11.71875,36.21875,14.1875,8.0,5.125,12.46875,19.21875,68.7,105.4,0.355,0.354,0.531,0.508,0.55,0.11599999999999999,0.138,0.496,0.154,0.33299999999999996,0.249,9.0,,MIDWEST
Austin Peay,31,9,22,0.29,-12.02,-2.45,3.0,15.0,7,8,1,13,66.6774193548387,72.29032258064517,1245,23.967741935483872,57.74193548387097,0.415,7.161290322580645,22.258064516129032,0.322,11.580645161290322,15.96774193548387,0.725,21.29032258064516,10.064516129032258,31.35483870967742,12.483870967741936,7.096774193548387,3.032258064516129,11.741935483870968,16.93548387096774,66.8,99.4,0.277,0.385,0.51,0.471,0.521,0.10600000000000001,0.8800000000000001,0.477,0.152,0.27999999999999997,0.201,,,
Ball State,32,20,12,0.625,-0.82,-3.12,11.0,7.0,12,2,6,7,76.40625,71.625,1285,26.28125,55.78125,0.471,7.5,20.34375,0.369,16.34375,23.71875,0.689,25.3125,10.53125,35.84375,13.1875,5.5,3.84375,12.21875,16.40625,68.5,111.1,0.425,0.365,0.57,0.521,0.502,0.8,0.9800000000000001,0.538,0.154,0.312,0.293,,,
Baylor,32,22,10,0.688,17.96,11.06,11.0,7.0,14,3,5,5,77.15625,70.25,1285,25.71875,57.59375,0.447,9.6875,26.0625,0.372,16.03125,21.40625,0.749,22.625,11.65625,34.28125,14.5,6.65625,2.375,12.3125,17.375,67.9,113.3,0.372,0.453,0.569,0.516,0.564,0.9800000000000001,0.6799999999999999,0.531,0.154,0.34700000000000003,0.278,3.0,,SOUTH
Bellarmine,33,15,18,0.455,-7.32,-1.26,9.0,9.0,8,6,6,12,66.27272727272727,67.15151515151516,1330,24.151515151515152,52.666666666666664,0.459,8.0,22.78787878787879,0.351,9.969696969696969,13.212121212121213,0.755,22.515151515151516,6.575757575757576,29.09090909090909,14.151515151515152,5.575757575757576,1.3636363636363635,11.151515151515152,15.818181818181818,62.8,104.7,0.251,0.433,0.562,0.48,0.5860000000000001,0.8800000000000001,0.54,0.535,0.159,0.221,0.189,,,
Belmont,32,21,11,0.656,2.2,-1.61,14.0,6.0,12,2,7,7,76.46875,71.84375,1290,28.0625,59.4375,0.472,9.59375,24.71875,0.388,10.75,14.8125,0.726,24.625,8.34375,32.96875,15.25,7.03125,3.15625,11.40625,15.59375,69.0,109.9,0.249,0.416,0.575,0.484,0.5429999999999999,0.101,0.8099999999999999,0.553,0.146,0.252,0.181,,,
Bethune-Cookman,33,13,20,0.394,-16.56,-7.59,9.0,10.0,8,5,4,13,67.63636363636364,74.51515151515152,1325,24.03030303030303,58.36363636363637,0.412,6.878787878787879,19.0,0.362,12.696969696969697,18.242424242424242,0.696,22.393939393939394,9.909090909090908,32.303030303030305,11.242424242424242,7.151515151515151,2.9393939393939394,12.727272727272727,17.424242424242426,69.6,96.9,0.313,0.326,0.505,0.45899999999999996,0.46799999999999997,0.10200000000000001,0.8,0.471,0.16,0.27199999999999996,0.218,,,
Binghamton,31,13,18,0.419,-10.47,-5.54,8.0,8.0,8,7,5,11,68.80645161290323,71.51612903225806,1260,25.612903225806452,56.87096774193548,0.45,5.548387096774194,17.193548387096776,0.323,12.03225806451613,16.870967741935484,0.713,25.322580645161292,9.709677419354838,35.03225806451613,11.64516129032258,4.645161290322581,3.161290322580645,13.03225806451613,18.0,67.0,101.0,0.297,0.302,0.53,0.51,0.45499999999999996,0.6799999999999999,0.8400000000000001,0.499,0.16699999999999998,0.29,0.212,,,
Boise State,33,24,9,0.727,13.34,6.31,13.0,5.0,15,1,5,6,72.24242424242425,64.33333333333333,1335,25.818181818181817,56.75757575757576,0.455,7.848484848484849,21.515151515151516,0.365,12.757575757575758,17.363636363636363,0.735,26.87878787878788,8.696969696969697,35.57575757575758,11.212121212121213,5.121212121212121,2.9393939393939394,11.212121212121213,16.303030303030305,67.0,106.7,0.306,0.379,0.556,0.525,0.434,0.76,0.82,0.524,0.147,0.267,0.225,10.0,,WEST
Boston College,33,16,17,0.485,1.0,4.64,9.0,11.0,9,7,4,7,66.57575757575758,70.21212121212122,1330,24.818181818181817,56.75757575757576,0.437,5.696969696969697,17.87878787878788,0.319,11.242424242424242,15.515151515151516,0.725,23.78787878787879,9.333333333333334,33.121212121212125,12.515151515151516,6.363636363636363,3.5757575757575757,12.272727272727273,15.787878787878787,66.7,99.0,0.273,0.315,0.519,0.493,0.504,0.95,0.10400000000000001,0.487,0.161,0.275,0.198,,,
Boston University,32,15,17,0.469,-8.22,-6.64,8.0,10.0,9,4,6,11,67.09375,67.21875,1300,23.78125,57.65625,0.412,7.4375,22.5625,0.33,12.09375,16.375,0.739,25.25,10.25,35.5,10.46875,6.40625,2.46875,12.0,17.53125,66.3,99.7,0.284,0.391,0.513,0.513,0.44000000000000006,0.95,0.75,0.477,0.155,0.28600000000000003,0.21,,,
Bowling Green State,31,11,20,0.355,-8.14,-3.48,5.0,13.0,7,9,4,11,75.96774193548387,78.51612903225806,1240,27.096774193548388,59.96774193548387,0.452,7.225806451612903,21.225806451612904,0.34,14.548387096774194,20.06451612903226,0.725,25.258064516129032,10.516129032258064,35.774193548387096,13.806451612903226,6.064516129032258,3.0,12.193548387096774,17.741935483870968,71.2,106.7,0.335,0.354,0.547,0.508,0.51,0.85,0.8099999999999999,0.512,0.149,0.296,0.243,,,
