School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
UT Arlington,31,16,15,0.516,-3.59,-2.76,10,10,9,5,7,9,2220,2206,1245,727,1781,0.408,228,718,0.318,524,735,0.713,387,1130,391,205,129,432,596,70.2,100.9,0.413,0.403,0.518,49.7,53.8,9.4,11.5,0.472,16.9,32.8,0.294,NA,NA,NA
UTEP,33,22,11,0.667,4.89,-0.51,13,5,13,2,5,7,2282,2104,1325,760,1832,0.415,197,586,0.336,387,584,0.663,352,1108,384,203,96,406,631,65.4,97.1,0.319,0.32,0.499,49.3,50.5,9.4,7.9,0.469,16.1,29.8,0.211,NA,NA,NA
Texas-Rio Grande Valley,31,10,21,0.323,-14.46,-4.68,4,10,8,4,1,15,1927,2179,1240,772,1754,0.44,220,637,0.345,415,574,0.723,391,1120,445,217,104,381,592,65.0,108.1,0.327,0.363,0.538,52.8,57.6,10.8,8.8,0.503,15.8,36.6,0.237,NA,NA,NA
UTSA,30,14,16,0.467,-3.33,-2.61,8,10,7,8,7,7,2120,2111,1205,756,1678,0.451,240,660,0.364,359,495,0.725,311,1004,413,198,163,411,612,66.9,104.7,0.295,0.393,0.552,48.4,54.6,9.8,14.6,0.522,17.7,31.3,0.214,NA,NA,NA
Texas State,31,14,17,0.452,-5.25,-3.36,7,13,9,6,4,10,1905,1854,1265,642,1561,0.411,159,528,0.301,411,574,0.716,316,1079,333,191,102,478,569,63.4,92.5,0.368,0.338,0.506,51.8,51.9,9.5,9.0,0.462,20.7,31.5,0.263,NA,NA,NA
Toledo,33,20,13,0.606,4.86,0.62,11,7,10,4,9,7,2483,2343,1330,844,1935,0.436,234,739,0.317,421,599,0.703,353,1075,425,232,109,361,654,67.2,104.8,0.31,0.382,0.528,47.2,50.4,10.4,8.4,0.497,14.0,29.5,0.218,NA,NA,NA
Towson,32,12,20,0.375,-7.02,-3.8,5,13,4,9,6,10,2034,2080,1300,689,1668,0.413,185,552,0.335,517,736,0.702,318,979,358,194,145,298,638,61.6,103.9,0.441,0.331,0.515,43.8,52.0,9.7,11.6,0.469,12.9,28.8,0.31,NA,NA,NA
Tulane,31,15,16,0.484,-1.51,0.32,6,12,9,8,6,5,1973,1984,1265,722,1615,0.447,158,477,0.331,382,584,0.654,289,1023,365,190,132,414,563,63.6,98.6,0.362,0.295,0.524,48.7,50.6,9.4,12.1,0.496,18.0,28.9,0.237,NA,NA,NA
Utah Valley,30,11,19,0.367,-12.72,-4.87,5,9,8,5,3,13,1758,1923,1200,673,1562,0.431,182,540,0.337,395,555,0.712,283,998,347,205,107,334,523,62.5,102.6,0.355,0.346,0.527,50.2,51.6,10.9,11.0,0.489,15.5,29.0,0.253,NA,NA,NA
VMI,30,11,19,0.367,-9.85,-3.92,7,11,6,7,4,9,2415,2428,1220,873,1845,0.473,154,455,0.338,528,772,0.684,367,1262,407,238,128,505,549,77.5,102.7,0.418,0.247,0.549,51.7,46.6,10.1,12.9,0.515,18.6,33.0,0.286,NA,NA,NA
Wagner,30,10,20,0.333,-11.47,-4.99,8,10,8,5,2,15,2052,2206,1220,721,1542,0.468,200,530,0.377,564,816,0.691,287,1022,410,209,141,424,579,67.9,106.6,0.529,0.344,0.572,47.9,56.9,10.1,11.5,0.532,18.0,30.1,0.366,NA,NA,NA
Washington State,31,13,18,0.419,0.14,6.08,7,11,8,6,3,9,2189,2373,1255,866,1850,0.468,205,548,0.374,436,630,0.692,324,1110,417,187,93,299,594,67.6,111.8,0.341,0.296,0.552,52.0,48.2,8.8,8.6,0.524,12.2,30.3,0.236,NA,NA,NA
Western Carolina,32,15,17,0.469,-5.83,-3.56,9,9,7,5,6,10,2251,2284,1305,714,1681,0.425,243,685,0.355,613,858,0.714,374,1120,396,246,116,462,616,66.8,104.8,0.51,0.407,0.547,49.8,55.5,11.3,9.2,0.497,18.1,33.9,0.365,NA,NA,NA
Western Illinois,28,8,20,0.286,-13.81,-2.93,3,13,8,6,0,13,1747,1983,1125,698,1578,0.442,181,518,0.349,406,577,0.704,269,1054,353,172,93,326,465,67.8,103.9,0.366,0.328,0.535,53.7,50.6,9.0,9.2,0.5,15.0,27.8,0.257,NA,NA,NA
Western Kentucky,32,20,12,0.625,1.12,-0.44,12,6,13,3,5,8,2285,2149,1295,765,1817,0.421,209,639,0.327,410,606,0.677,339,1126,392,204,108,429,605,67.9,97.8,0.334,0.352,0.51,48.6,51.2,9.3,9.5,0.479,16.9,29.1,0.226,NA,NA,NA
William & Mary,33,20,13,0.606,2.82,-1.15,12,6,12,2,6,10,2414,2208,1330,789,1838,0.429,243,700,0.347,387,561,0.69,334,1076,435,228,79,376,564,64.6,102.8,0.305,0.381,0.525,50.3,55.1,10.6,8.0,0.495,15.2,29.0,0.211,NA,NA,NA
Youngstown State,32,11,21,0.344,-7.63,-1.73,2,14,6,9,3,12,2287,2394,1290,843,1858,0.454,240,651,0.369,468,667,0.702,371,1173,470,196,117,392,574,68.2,108.8,0.359,0.35,0.55,52.6,55.8,8.9,9.5,0.518,15.3,33.4,0.252,NA,NA,NA
