School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
NJIT,30,9,21,0.3,-10.14,-4.83,6,10,5,7,4,14,1904,2030,1200,722,1642,0.44,197,580,0.34,389,537,0.724,260,1078,374,157,108,370,491,67.0,101.0,0.327,0.353,0.535,52.0,51.8,7.8,9.5,0.5,16.3,26.5,0.237,NA,NA
North Alabama,30,13,17,0.433,-9.0,-5.82,8,8,9,4,4,13,2062,2092,1205,725,1657,0.438,188,559,0.336,454,650,0.698,277,1033,317,168,112,420,566,70.0,99.2,0.392,0.337,0.532,49.0,43.7,8.0,10.6,0.494,17.6,26.4,0.274,NA,NA
North Carolina A&T,32,17,15,0.531,-9.66,-7.86,12,4,11,1,4,12,2311,2305,1290,795,1909,0.416,212,737,0.288,503,792,0.635,377,1275,418,213,105,526,647,75.2,95.0,0.415,0.386,0.504,50.8,52.6,8.8,8.0,0.472,18.7,30.2,0.263,NA,NA
Northern Arizona,30,16,14,0.533,-4.65,-2.4,10,10,9,5,6,8,2128,2081,1205,764,1674,0.456,219,616,0.356,334,457,0.731,244,994,395,159,77,389,501,67.7,102.1,0.273,0.368,0.55,49.3,51.7,7.8,6.8,0.522,17.1,24.9,0.2,NA,NA
Northern Colorado,31,22,9,0.71,5.72,-2.8,15,5,11,3,9,5,2303,1945,1250,767,1736,0.442,113,404,0.28,298,429,0.695,233,998,252,143,89,348,470,65.9,94.4,0.247,0.233,0.501,48.6,32.9,6.9,9.2,0.474,15.2,22.7,0.172,NA,NA
Northern Illinois,31,18,13,0.581,-1.33,-2.16,11,7,11,4,7,9,2071,1998,1245,691,1719,0.402,229,750,0.305,387,535,0.723,268,1064,357,152,99,358,511,66.2,96.9,0.311,0.436,0.506,47.1,51.7,7.4,8.6,0.469,15.4,24.3,0.225,NA,NA
Northwestern State,30,15,15,0.5,-10.0,-7.07,11,9,9,5,5,10,2265,2270,1205,773,1891,0.409,229,670,0.342,495,696,0.711,388,1134,418,248,77,411,555,74.5,101.2,0.368,0.354,0.511,49.3,54.1,11.1,6.7,0.469,15.6,31.8,0.262,NA,NA
Oakland,33,14,19,0.424,-5.92,-3.1,8,10,8,5,4,12,2239,2301,1340,838,1984,0.422,283,861,0.329,342,509,0.672,369,1194,482,218,94,404,649,67.5,101.7,0.257,0.434,0.517,50.0,57.5,9.6,8.3,0.494,15.4,30.1,0.172,NA,NA
Pacific,33,23,10,0.697,3.81,0.19,11,5,15,3,7,5,2300,2128,1355,711,1710,0.416,209,617,0.339,497,704,0.706,209,924,294,175,83,405,610,65.9,95.4,0.412,0.361,0.52,43.7,41.4,7.8,6.2,0.477,16.5,20.1,0.291,NA,NA
Penn State,31,21,10,0.677,16.12,9.25,11,9,14,3,5,6,2327,2114,1240,758,1846,0.411,197,604,0.326,401,587,0.683,323,1164,374,169,100,411,558,71.4,95.5,0.318,0.327,0.497,49.2,49.3,7.6,8.6,0.464,16.2,27.5,0.217,NA,NA
Pepperdine,32,16,16,0.5,2.82,3.6,8,8,9,5,6,7,2441,2466,1305,867,1891,0.458,263,690,0.381,469,656,0.715,307,1152,499,211,85,442,630,71.6,105.6,0.347,0.365,0.56,51.1,57.6,9.0,7.0,0.528,16.7,27.9,0.248,NA,NA
