School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Auburn,27,13,14,0.481,10.02,9.28,7,11,8,5,3,8,2084.0,2064.0,1090.0,748.0,1708.0,0.438,198.0,606.0,0.327,370.0,540.0,0.685,329.0,980.0,340.0,236.0,101.0,369.0,535.0,73.4,103.1,0.316,0.355,0.525,48.0,45.5,11.8,11.5,0.496,15.8,31.5,0.217,NA,NA,NA
Austin Peay,27,14,13,0.519,-6.66,-8.22,10,10,8,5,4,6,2007.0,1890.0,1090.0,687.0,1457.0,0.472,194.0,541.0,0.359,322.0,477.0,0.675,249.0,856.0,312.0,210.0,70.0,436.0,489.0,69.0,100.4,0.327,0.371,0.561,47.9,45.4,11.2,6.7,0.538,20.6,29.7,0.221,NA,NA,NA
Baylor,30,28,2,0.933,24.83,7.4,13,1,11,0,7,1,2487.0,1964.0,1205.0,711.0,1642.0,0.433,185.0,563.0,0.329,357.0,514.0,0.695,298.0,951.0,368.0,167.0,123.0,510.0,493.0,69.6,93.7,0.313,0.343,0.521,46.8,51.8,8.0,10.6,0.489,21.3,29.7,0.217,1.0,Champion,SOUTH
Belmont,30,26,4,0.867,3.46,-8.71,18,2,11,1,10,2,2439.0,2074.0,1205.0,773.0,1813.0,0.426,223.0,660.0,0.338,305.0,448.0,0.681,307.0,1054.0,386.0,189.0,110.0,441.0,489.0,71.9,95.8,0.247,0.364,0.512,49.6,49.9,8.7,10.6,0.488,17.9,27.5,0.168,NA,NA,NA
Boise State,28,19,9,0.679,9.75,1.71,14,6,11,1,6,6,2122.0,1868.0,1125.0,684.0,1588.0,0.431,182.0,551.0,0.33,318.0,437.0,0.728,223.0,914.0,313.0,149.0,68.0,401.0,540.0,70.2,94.5,0.275,0.347,0.52,47.9,45.8,7.5,6.8,0.488,18.3,23.1,0.2,NA,NA,NA
Bradley,28,12,16,0.429,0.32,1.17,6,12,8,6,2,9,1948.0,1864.0,1130.0,654.0,1570.0,0.417,253.0,683.0,0.37,303.0,457.0,0.663,258.0,944.0,361.0,182.0,59.0,336.0,395.0,66.4,99.4,0.291,0.435,0.522,47.7,55.2,9.7,5.7,0.497,15.8,25.6,0.193,NA,NA,NA
Brigham Young,27,20,7,0.741,15.19,7.23,10,3,11,2,7,2,2109.0,1853.0,1095.0,669.0,1628.0,0.411,188.0,570.0,0.33,327.0,480.0,0.681,239.0,877.0,312.0,169.0,54.0,306.0,500.0,70.2,96.5,0.295,0.35,0.499,45.3,46.6,8.8,5.5,0.469,14.2,22.9,0.201,6.0,R64,EAST
Bucknell,12,5,7,0.417,-7.78,-5.36,4,6,2,3,3,4,899.0,928.0,480.0,334.0,763.0,0.438,89.0,247.0,0.36,171.0,223.0,0.767,128.0,443.0,184.0,84.0,38.0,138.0,210.0,73.1,105.8,0.292,0.324,0.534,52.4,55.1,9.6,9.1,0.496,13.7,28.3,0.224,NA,NA,NA
Buffalo,25,16,9,0.64,6.5,-1.58,12,5,8,3,5,3,2034.0,1823.0,1010.0,663.0,1599.0,0.415,151.0,526.0,0.287,346.0,452.0,0.765,265.0,890.0,326.0,161.0,76.0,327.0,426.0,74.2,97.3,0.283,0.329,0.503,44.9,49.2,8.6,6.6,0.462,15.3,26.8,0.216,NA,NA,NA
Butler,25,10,15,0.4,4.76,9.92,8,12,8,4,1,9,1588.0,1717.0,1015.0,633.0,1362.0,0.465,179.0,512.0,0.35,272.0,388.0,0.701,194.0,848.0,345.0,128.0,92.0,307.0,418.0,65.1,103.9,0.285,0.376,0.555,51.2,54.5,7.7,11.0,0.53,16.6,25.2,0.2,NA,NA,NA
Cal Poly,24,4,20,0.167,-13.69,-1.56,1,15,3,8,0,11,1475.0,1700.0,965.0,597.0,1358.0,0.44,161.0,456.0,0.353,345.0,487.0,0.708,239.0,899.0,309.0,174.0,76.0,308.0,413.0,68.5,102.9,0.359,0.336,0.535,53.6,51.8,10.5,9.2,0.499,16.2,28.8,0.254,NA,NA,NA
Cal State Bakersfield,26,15,11,0.577,-0.13,-2.38,11,7,9,2,6,8,1811.0,1665.0,1045.0,556.0,1303.0,0.427,183.0,534.0,0.343,370.0,524.0,0.706,209.0,746.0,313.0,151.0,75.0,369.0,419.0,65.7,97.1,0.402,0.41,0.536,43.8,56.3,8.8,6.7,0.497,19.2,25.5,0.284,NA,NA,NA
Cal State Fullerton,16,6,10,0.375,-6.32,-3.05,5,9,5,4,1,5,1232.0,1257.0,645.0,467.0,982.0,0.476,133.0,339.0,0.392,190.0,268.0,0.709,158.0,579.0,269.0,109.0,53.0,222.0,306.0,72.7,107.3,0.273,0.345,0.567,52.4,57.6,9.3,8.7,0.543,16.7,29.0,0.193,NA,NA,NA
UC Davis,18,10,8,0.556,-5.83,-4.24,7,5,4,3,4,3,1295.0,1289.0,735.0,448.0,962.0,0.466,118.0,337.0,0.35,275.0,385.0,0.714,155.0,597.0,238.0,112.0,61.0,307.0,358.0,70.7,99.3,0.4,0.35,0.563,51.1,53.1,8.6,8.7,0.527,21.1,27.4,0.286,NA,NA,NA
UC Irvine,27,18,9,0.667,3.46,-0.86,13,4,10,1,6,6,1950.0,1712.0,1090.0,603.0,1559.0,0.387,204.0,624.0,0.327,302.0,430.0,0.702,236.0,862.0,333.0,190.0,64.0,358.0,459.0,69.2,90.8,0.276,0.4,0.485,44.6,55.2,10.1,5.2,0.452,16.9,23.6,0.194,NA,NA,NA
UC Santa Barbara,27,22,5,0.815,7.8,-2.08,15,3,11,0,8,4,2051.0,1696.0,1090.0,623.0,1480.0,0.421,157.0,475.0,0.331,293.0,393.0,0.746,202.0,803.0,288.0,124.0,58.0,373.0,479.0,67.2,92.6,0.266,0.321,0.509,45.8,46.2,6.8,5.7,0.474,18.3,22.4,0.198,12.0,R64,WEST
California,29,9,20,0.31,4.89,9.75,3,17,6,8,1,11,1897.0,2008.0,1160.0,723.0,1557.0,0.464,190.0,508.0,0.374,372.0,521.0,0.714,220.0,941.0,372.0,178.0,82.0,336.0,494.0,66.3,104.5,0.335,0.326,0.556,50.6,51.5,9.3,9.0,0.525,15.7,24.4,0.239,NA,NA,NA
Central Florida,23,11,12,0.478,5.94,8.15,8,10,6,3,4,8,1546.0,1597.0,925.0,564.0,1311.0,0.43,165.0,504.0,0.327,304.0,440.0,0.691,252.0,801.0,321.0,159.0,61.0,307.0,378.0,68.0,101.6,0.336,0.384,0.525,51.1,56.9,10.1,8.1,0.493,16.8,31.5,0.232,NA,NA,NA
Chattanooga,26,18,8,0.692,-1.54,-2.92,9,7,9,3,9,4,1888.0,1801.0,1050.0,688.0,1510.0,0.456,178.0,537.0,0.331,247.0,351.0,0.704,215.0,907.0,338.0,135.0,98.0,344.0,415.0,68.6,99.9,0.232,0.356,0.537,50.7,49.1,7.5,10.7,0.515,17.0,24.5,0.164,NA,NA,NA
Cincinnati,23,12,11,0.522,3.99,7.21,8,6,5,5,5,5,1585.0,1659.0,920.0,568.0,1300.0,0.437,153.0,456.0,0.336,370.0,492.0,0.752,199.0,795.0,319.0,158.0,84.0,305.0,401.0,71.3,101.2,0.378,0.351,0.541,48.9,56.2,9.6,10.3,0.496,16.6,25.3,0.285,NA,NA,NA
Clemson,24,16,8,0.667,12.49,9.49,10,6,11,1,2,5,1558.0,1486.0,965.0,529.0,1265.0,0.418,173.0,518.0,0.334,255.0,366.0,0.697,212.0,787.0,269.0,157.0,74.0,338.0,366.0,64.9,95.0,0.289,0.409,0.516,50.1,50.9,10.0,9.9,0.487,19.0,26.9,0.202,7.0,R64,MIDWEST
Cleveland State,27,19,8,0.704,-5.12,-4.82,16,4,9,2,8,5,1914.0,1922.0,1105.0,651.0,1532.0,0.425,199.0,649.0,0.307,421.0,576.0,0.731,309.0,956.0,342.0,173.0,78.0,373.0,449.0,67.6,103.0,0.376,0.424,0.532,50.6,52.5,9.3,7.6,0.49,17.1,32.2,0.275,15.0,R64,MIDWEST
Coastal Carolina,26,18,8,0.692,-2.74,-7.6,9,5,12,1,3,5,2067.0,1773.0,1050.0,619.0,1588.0,0.39,223.0,720.0,0.31,312.0,457.0,0.683,271.0,873.0,329.0,204.0,63.0,363.0,474.0,72.3,93.4,0.288,0.453,0.491,43.6,53.2,10.7,6.4,0.46,16.7,25.8,0.196,NA,NA,NA
Colgate,16,14,2,0.875,13.66,-1.9,11,1,8,1,6,0,1363.0,1114.0,645.0,417.0,1016.0,0.41,97.0,368.0,0.264,183.0,267.0,0.685,163.0,561.0,178.0,88.0,47.0,191.0,282.0,72.7,95.1,0.263,0.362,0.487,46.8,42.7,7.5,7.4,0.458,14.3,25.1,0.18,14.0,R64,SOUTH
College of Charleston,19,9,10,0.474,-4.96,-3.13,6,4,8,6,1,3,1341.0,1329.0,780.0,465.0,1045.0,0.445,150.0,416.0,0.361,249.0,344.0,0.724,162.0,638.0,241.0,91.0,57.0,222.0,308.0,64.7,105.3,0.329,0.398,0.55,50.6,51.8,7.2,8.9,0.517,15.5,25.8,0.238,NA,NA,NA
Colorado,32,23,9,0.719,18.88,9.57,14,6,11,1,6,6,2340.0,2042.0,1280.0,734.0,1745.0,0.421,204.0,612.0,0.333,370.0,507.0,0.73,270.0,979.0,358.0,152.0,93.0,420.0,529.0,66.5,96.0,0.291,0.351,0.514,46.8,48.8,7.1,8.1,0.479,17.5,25.2,0.212,5.0,R32,EAST
Connecticut,23,15,8,0.652,15.77,8.59,11,6,7,3,6,3,1650.0,1485.0,925.0,514.0,1243.0,0.414,134.0,414.0,0.324,323.0,457.0,0.707,233.0,762.0,242.0,125.0,63.0,299.0,392.0,66.2,97.0,0.368,0.333,0.509,46.4,47.1,8.2,6.8,0.467,17.0,29.1,0.26,7.0,R64,EAST
Creighton,31,22,9,0.71,16.28,8.54,14,6,11,3,7,4,2355.0,2115.0,1250.0,771.0,1889.0,0.408,235.0,741.0,0.317,338.0,482.0,0.701,330.0,1137.0,406.0,172.0,87.0,389.0,497.0,69.6,97.3,0.255,0.392,0.499,50.6,52.7,7.9,8.3,0.47,15.5,28.0,0.179,5.0,S16,WEST
Davidson,22,13,9,0.591,9.02,3.4,7,4,7,4,4,2,1579.0,1411.0,885.0,502.0,1176.0,0.427,162.0,481.0,0.337,245.0,337.0,0.727,157.0,659.0,238.0,104.0,49.0,230.0,352.0,63.6,100.4,0.287,0.409,0.528,46.5,47.4,7.4,7.9,0.496,14.7,21.9,0.208,NA,NA,NA
Dayton,24,14,10,0.583,6.31,4.35,9,7,8,3,4,6,1674.0,1627.0,985.0,607.0,1432.0,0.424,174.0,542.0,0.321,239.0,377.0,0.634,258.0,796.0,306.0,135.0,70.0,285.0,405.0,66.2,99.8,0.263,0.378,0.505,50.1,50.4,8.3,9.7,0.485,15.0,29.0,0.167,NA,NA,NA
Delaware,15,7,8,0.467,-5.19,-5.04,5,4,6,3,1,4,1013.0,1012.0,600.0,361.0,856.0,0.422,101.0,294.0,0.344,189.0,263.0,0.719,138.0,494.0,160.0,97.0,39.0,172.0,269.0,67.8,99.5,0.307,0.343,0.516,48.4,44.3,9.5,8.3,0.481,14.9,25.9,0.221,NA,NA,NA
Drake,31,26,5,0.839,9.42,-0.48,15,3,14,1,9,2,2354.0,1999.0,1250.0,725.0,1718.0,0.422,193.0,618.0,0.312,356.0,495.0,0.719,266.0,967.0,336.0,170.0,97.0,392.0,437.0,66.8,95.8,0.288,0.36,0.512,46.3,46.3,8.1,7.6,0.478,16.7,24.9,0.207,11.0,R64,WEST
Drexel,20,12,8,0.6,-0.97,-3.92,4,5,3,2,4,5,1407.0,1348.0,800.0,504.0,1124.0,0.448,119.0,371.0,0.321,221.0,297.0,0.744,158.0,596.0,214.0,123.0,63.0,210.0,306.0,66.0,102.0,0.264,0.33,0.533,46.8,42.5,9.3,8.9,0.501,14.2,23.9,0.197,16.0,R64,MIDWEST
Duke,24,13,11,0.542,13.04,8.33,9,9,8,5,3,6,1824.0,1711.0,970.0,623.0,1367.0,0.456,157.0,441.0,0.356,308.0,436.0,0.706,236.0,808.0,304.0,153.0,93.0,332.0,362.0,69.1,102.1,0.319,0.323,0.543,48.7,48.8,9.1,10.2,0.513,17.4,28.9,0.225,NA,NA,NA
East Tennessee State,25,13,12,0.52,1.65,0.3,8,7,8,4,3,5,1736.0,1654.0,1005.0,573.0,1370.0,0.418,211.0,617.0,0.342,297.0,429.0,0.692,223.0,823.0,321.0,161.0,77.0,344.0,421.0,67.6,97.4,0.313,0.45,0.525,47.8,56.0,9.5,9.2,0.495,17.9,25.7,0.217,NA,NA,NA
Eastern Kentucky,29,22,7,0.759,-2.68,-8.24,15,5,10,2,9,4,2372.0,2137.0,1180.0,770.0,1735.0,0.444,201.0,619.0,0.325,396.0,546.0,0.725,305.0,1144.0,442.0,179.0,81.0,555.0,479.0,76.2,95.1,0.315,0.357,0.536,52.5,57.4,8.0,6.9,0.502,21.8,29.6,0.228,NA,NA,NA
Eastern Washington,24,16,8,0.667,4.03,-3.15,12,3,7,2,6,5,1879.0,1690.0,960.0,617.0,1479.0,0.417,166.0,529.0,0.314,290.0,401.0,0.723,229.0,826.0,278.0,138.0,53.0,279.0,438.0,71.8,98.0,0.271,0.358,0.506,49.3,45.1,8.0,6.2,0.473,14.3,25.5,0.196,14.0,R64,WEST
Fairleigh Dickinson,24,9,15,0.375,-10.17,-6.46,8,10,4,6,5,9,1801.0,1890.0,970.0,680.0,1460.0,0.466,188.0,562.0,0.335,342.0,495.0,0.691,282.0,889.0,397.0,168.0,80.0,337.0,412.0,71.9,108.3,0.339,0.385,0.557,52.2,58.4,9.6,8.7,0.53,16.6,33.1,0.234,NA,NA,NA
Florida Gulf Coast,18,10,8,0.556,-9.63,-7.13,4,5,7,4,2,2,1292.0,1242.0,720.0,461.0,1095.0,0.421,128.0,409.0,0.313,192.0,279.0,0.688,191.0,675.0,213.0,128.0,63.0,260.0,284.0,72.5,95.2,0.255,0.374,0.506,49.1,46.2,9.8,10.0,0.479,17.5,27.9,0.175,NA,NA,NA
Florida State,25,18,7,0.72,17.12,9.16,11,4,12,1,3,4,1929.0,1730.0,1010.0,582.0,1465.0,0.397,188.0,579.0,0.325,378.0,515.0,0.734,290.0,826.0,299.0,174.0,69.0,344.0,415.0,70.0,97.9,0.352,0.395,0.506,47.4,51.4,9.8,7.3,0.461,16.8,31.0,0.258,4.0,S16,EAST
Florida,25,15,10,0.6,13.7,9.82,9,7,6,3,5,5,1854.0,1757.0,1005.0,616.0,1458.0,0.422,162.0,528.0,0.307,363.0,512.0,0.709,276.0,831.0,316.0,189.0,83.0,357.0,444.0,70.6,99.1,0.351,0.362,0.516,48.5,51.3,10.7,8.9,0.478,17.3,30.2,0.249,7.0,R32,SOUTH
Fresno State,24,12,12,0.5,-3.57,0.07,9,11,7,5,4,6,1591.0,1618.0,965.0,567.0,1309.0,0.433,175.0,501.0,0.349,309.0,422.0,0.732,202.0,774.0,264.0,160.0,76.0,314.0,447.0,66.9,100.2,0.322,0.383,0.536,47.6,46.6,9.9,9.6,0.5,17.2,25.3,0.236,NA,NA,NA
Gardner-Webb,26,11,15,0.423,-3.87,-6.14,10,10,7,4,4,11,1837.0,1778.0,1040.0,598.0,1434.0,0.417,199.0,583.0,0.341,383.0,523.0,0.732,256.0,913.0,334.0,142.0,82.0,317.0,429.0,67.0,102.1,0.365,0.407,0.528,50.5,55.9,8.2,10.0,0.486,15.9,28.1,0.267,NA,NA,NA
George Washington,17,5,12,0.294,-5.75,-1.57,3,5,3,6,1,5,1158.0,1229.0,685.0,463.0,1034.0,0.448,129.0,377.0,0.342,174.0,258.0,0.674,178.0,598.0,252.0,122.0,62.0,197.0,274.0,68.9,104.2,0.25,0.365,0.531,50.7,54.4,10.3,10.1,0.51,14.6,28.5,0.168,NA,NA,NA
Georgetown,26,13,13,0.5,10.13,10.36,7,9,7,6,2,6,1857.0,1863.0,1045.0,679.0,1609.0,0.422,217.0,641.0,0.339,288.0,416.0,0.692,269.0,905.0,390.0,197.0,73.0,298.0,447.0,70.4,101.4,0.259,0.398,0.516,46.7,57.4,10.7,7.9,0.489,14.2,26.8,0.179,12.0,R64,EAST
Georgia State,22,16,6,0.727,-1.7,-4.6,8,4,9,1,5,4,1767.0,1599.0,900.0,554.0,1342.0,0.413,185.0,547.0,0.338,306.0,439.0,0.697,265.0,814.0,268.0,138.0,63.0,324.0,384.0,71.2,99.9,0.327,0.408,0.516,49.6,48.4,8.6,7.1,0.482,17.3,31.5,0.228,NA,NA,NA
Georgia Tech,26,17,9,0.654,12.79,7.91,11,6,11,3,4,5,1948.0,1821.0,1065.0,668.0,1455.0,0.459,189.0,513.0,0.368,296.0,420.0,0.705,251.0,890.0,368.0,141.0,73.0,408.0,394.0,67.9,100.8,0.289,0.353,0.55,53.1,55.1,7.8,7.6,0.524,19.8,30.1,0.203,9.0,R64,MIDWEST
Georgia,26,14,12,0.538,6.62,8.02,7,11,12,5,2,6,2014.0,2027.0,1045.0,736.0,1609.0,0.457,204.0,601.0,0.339,351.0,499.0,0.703,300.0,943.0,355.0,224.0,115.0,431.0,500.0,75.7,102.4,0.31,0.374,0.549,49.2,48.2,11.3,10.5,0.521,18.9,31.4,0.218,NA,NA,NA
Gonzaga,32,31,1,0.969,27.2,5.92,15,0,12,0,7,0,2911.0,2230.0,1285.0,829.0,1966.0,0.422,217.0,663.0,0.327,355.0,505.0,0.703,271.0,971.0,377.0,195.0,89.0,461.0,616.0,74.6,93.1,0.257,0.337,0.505,45.0,45.5,8.1,6.8,0.477,17.3,23.1,0.181,1.0,2ND,WEST
Grand Canyon,24,17,7,0.708,5.11,-3.46,9,3,10,3,5,1,1812.0,1491.0,960.0,521.0,1360.0,0.383,168.0,570.0,0.295,281.0,397.0,0.708,198.0,728.0,241.0,136.0,51.0,279.0,430.0,68.2,91.1,0.292,0.419,0.481,43.2,46.3,8.3,5.7,0.445,15.3,22.0,0.207,15.0,R64,WEST
Green Bay,25,8,17,0.32,-10.15,-5.23,8,12,6,6,2,11,1790.0,1913.0,1030.0,695.0,1468.0,0.473,182.0,503.0,0.362,341.0,468.0,0.729,241.0,899.0,312.0,142.0,67.0,294.0,406.0,67.7,109.8,0.319,0.343,0.566,52.4,44.9,8.1,6.7,0.535,14.8,29.0,0.232,NA,NA,NA
Hampton,25,11,14,0.44,-13.67,-9.27,9,9,5,7,6,7,1721.0,1831.0,1000.0,637.0,1487.0,0.428,190.0,562.0,0.338,367.0,527.0,0.696,301.0,993.0,318.0,161.0,68.0,314.0,379.0,70.1,104.5,0.354,0.378,0.527,54.1,49.9,9.2,7.7,0.492,15.3,31.7,0.247,NA,NA,NA
Hartford,24,15,9,0.625,-3.45,-4.95,8,6,10,1,5,6,1570.0,1534.0,960.0,574.0,1375.0,0.417,163.0,562.0,0.29,223.0,335.0,0.666,245.0,840.0,278.0,138.0,83.0,322.0,388.0,67.0,95.3,0.244,0.409,0.5,51.3,48.4,8.6,11.1,0.477,17.3,28.8,0.162,16.0,R64,SOUTH
Harvard,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,21,11,10,0.524,-2.98,-2.72,9,9,7,5,4,4,1503.0,1452.0,855.0,541.0,1220.0,0.443,121.0,370.0,0.327,249.0,342.0,0.728,174.0,674.0,220.0,148.0,58.0,254.0,383.0,68.4,99.3,0.28,0.303,0.525,47.3,40.7,10.1,7.7,0.493,15.5,24.5,0.204,NA,NA,NA
Holy Cross,16,5,11,0.313,-4.99,0.45,5,11,2,7,3,4,1130.0,1217.0,645.0,436.0,934.0,0.467,110.0,309.0,0.356,235.0,329.0,0.714,171.0,587.0,212.0,111.0,53.0,210.0,254.0,69.9,107.9,0.352,0.331,0.558,52.9,48.6,9.8,8.3,0.526,16.2,31.4,0.252,NA,NA,NA
Houston,32,28,4,0.875,21.66,5.37,14,3,15,0,5,3,2434.0,1863.0,1280.0,621.0,1642.0,0.378,181.0,625.0,0.29,440.0,665.0,0.662,307.0,1010.0,333.0,158.0,80.0,452.0,560.0,66.1,88.1,0.405,0.381,0.476,43.8,53.6,7.5,7.0,0.433,18.8,26.8,0.268,2.0,F4,MIDWEST
Illinois,31,24,7,0.774,23.25,11.34,16,4,11,2,9,3,2497.0,2128.0,1255.0,770.0,1873.0,0.411,201.0,611.0,0.329,387.0,563.0,0.687,257.0,942.0,347.0,208.0,119.0,358.0,608.0,71.2,95.2,0.301,0.326,0.497,43.2,45.1,9.3,9.3,0.465,14.3,21.9,0.207,1.0,R32,MIDWEST
Indiana,27,12,15,0.444,12.79,12.45,7,12,6,6,3,7,1882.0,1873.0,1115.0,655.0,1539.0,0.426,193.0,578.0,0.334,370.0,516.0,0.717,260.0,973.0,319.0,159.0,98.0,330.0,534.0,67.1,100.1,0.335,0.376,0.525,51.0,48.7,8.5,9.6,0.488,15.6,27.3,0.24,NA,NA,NA
Iona,18,12,6,0.667,-1.2,-6.42,6,3,4,2,4,3,1283.0,1189.0,720.0,388.0,963.0,0.403,109.0,361.0,0.302,304.0,444.0,0.685,168.0,577.0,207.0,135.0,46.0,247.0,347.0,69.9,94.5,0.461,0.375,0.506,46.5,53.4,10.7,7.3,0.46,17.4,26.4,0.316,15.0,R64,EAST
Iowa State,24,2,22,0.083,-0.72,10.4,0,18,2,10,0,11,1574.0,1841.0,960.0,652.0,1408.0,0.463,159.0,482.0,0.33,378.0,510.0,0.741,273.0,913.0,318.0,194.0,78.0,312.0,333.0,70.5,108.8,0.362,0.342,0.558,54.6,48.8,11.5,9.0,0.52,15.9,33.1,0.268,NA,NA,NA
Iowa,31,22,9,0.71,21.4,10.43,14,6,14,2,6,4,2595.0,2255.0,1245.0,840.0,2002.0,0.42,275.0,790.0,0.348,300.0,444.0,0.676,357.0,1146.0,506.0,166.0,98.0,355.0,574.0,71.0,102.1,0.222,0.395,0.51,48.2,60.2,7.5,8.3,0.488,13.8,28.7,0.15,2.0,R32,WEST
Jacksonville State,27,18,9,0.667,-3.02,-6.06,13,6,8,3,7,5,2005.0,1851.0,1095.0,675.0,1642.0,0.411,223.0,684.0,0.326,278.0,412.0,0.675,287.0,915.0,354.0,166.0,72.0,307.0,447.0,68.0,99.5,0.251,0.417,0.504,46.6,52.4,8.9,7.6,0.479,14.3,27.7,0.169,NA,NA,NA
Kansas State,29,9,20,0.31,0.76,9.04,4,14,6,12,2,7,1792.0,2037.0,1160.0,720.0,1566.0,0.46,232.0,636.0,0.365,365.0,494.0,0.739,256.0,955.0,392.0,227.0,90.0,386.0,442.0,66.5,105.5,0.315,0.406,0.566,50.1,54.4,11.8,9.7,0.534,17.7,28.0,0.233,NA,NA,NA
Kansas,30,21,9,0.7,15.29,10.26,12,6,14,1,4,6,2191.0,2010.0,1205.0,725.0,1749.0,0.415,222.0,661.0,0.336,336.0,466.0,0.721,279.0,1038.0,351.0,180.0,89.0,417.0,496.0,69.7,95.7,0.266,0.378,0.51,48.0,48.4,8.6,7.8,0.478,17.5,26.1,0.192,3.0,R32,WEST
Kent State,23,15,8,0.652,1.74,-1.9,12,6,9,2,6,5,1764.0,1635.0,925.0,585.0,1385.0,0.422,190.0,550.0,0.345,275.0,390.0,0.705,235.0,776.0,294.0,154.0,60.0,300.0,391.0,70.9,99.8,0.282,0.397,0.521,46.3,50.3,9.4,6.9,0.491,16.0,27.8,0.199,NA,NA,NA
