School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,29,24,5,0.828,6.27,-6.37,13,2,13,0,5,4,2196.0,1753.0,1160.0,601.0,1488.0,0.404,161.0,520.0,0.31,390.0,573.0,0.681,263.0,985.0,299.0,189.0,110.0,578.0,580.0,72.0,84.0,0.385,0.349,0.498,48.5,49.8,9.1,9.9,0.458,24.7,26.8,0.262,14.0,R32,EAST
UAB,29,22,7,0.759,5.8,-3.83,13,5,15,2,6,4,2105.0,1748.0,1160.0,633.0,1566.0,0.404,181.0,569.0,0.318,301.0,434.0,0.694,252.0,994.0,310.0,122.0,105.0,478.0,477.0,68.9,87.4,0.277,0.363,0.493,48.3,49.0,6.1,8.3,0.462,21.2,25.1,0.192,NA,NA,NA
Alabama,33,26,7,0.788,19.58,10.01,16,2,12,1,7,3,2629.0,2313.0,1325.0,837.0,2053.0,0.408,205.0,704.0,0.291,434.0,630.0,0.689,378.0,1254.0,368.0,261.0,161.0,506.0,599.0,74.7,93.5,0.307,0.343,0.492,48.3,44.0,10.6,14.2,0.458,17.7,28.8,0.211,2.0,S16,EAST
Albany (NY),16,7,9,0.438,-4.53,-5.22,6,6,4,5,2,4,1110.0,1099.0,640.0,402.0,894.0,0.45,114.0,330.0,0.345,181.0,262.0,0.691,139.0,522.0,196.0,90.0,64.0,233.0,295.0,69.7,98.6,0.293,0.369,0.54,52.1,48.8,8.1,11.0,0.513,18.6,27.3,0.202,NA,NA,NA
American,10,4,6,0.4,-6.32,-1.82,4,5,2,2,2,4,691.0,736.0,420.0,268.0,584.0,0.459,50.0,172.0,0.291,150.0,224.0,0.67,106.0,351.0,117.0,85.0,25.0,125.0,156.0,67.5,103.8,0.384,0.295,0.533,51.8,43.7,12.0,7.8,0.502,15.3,29.9,0.257,NA,NA,NA
Appalachian State,29,17,12,0.586,-5.84,-5.72,7,8,9,4,4,7,2039.0,1860.0,1185.0,689.0,1648.0,0.418,202.0,622.0,0.325,280.0,394.0,0.711,269.0,1020.0,346.0,164.0,125.0,405.0,507.0,66.8,94.0,0.239,0.377,0.507,49.2,50.2,8.3,13.1,0.479,18.1,26.8,0.17,16.0,R68,WEST
Arizona State,25,11,14,0.44,7.48,10.24,7,10,7,6,2,6,1858.0,1927.0,1010.0,671.0,1460.0,0.46,192.0,530.0,0.362,393.0,527.0,0.746,257.0,990.0,373.0,139.0,80.0,380.0,455.0,72.6,105.1,0.361,0.363,0.563,55.4,55.6,7.6,8.2,0.525,18.2,30.0,0.269,NA,NA,NA
Arizona,26,17,9,0.654,15.02,8.18,11,9,12,4,5,5,1961.0,1783.0,1050.0,631.0,1470.0,0.429,184.0,539.0,0.341,337.0,477.0,0.706,220.0,812.0,292.0,140.0,72.0,322.0,524.0,68.4,99.3,0.324,0.367,0.525,44.9,46.3,7.8,7.0,0.492,16.0,24.1,0.229,NA,NA,NA
Little Rock,26,11,15,0.423,-6.36,-5.4,7,11,7,4,2,8,1786.0,1782.0,1050.0,645.0,1476.0,0.437,201.0,581.0,0.346,291.0,402.0,0.724,241.0,820.0,347.0,172.0,77.0,362.0,486.0,67.9,99.9,0.272,0.394,0.535,47.7,53.8,9.6,8.3,0.505,17.8,27.4,0.197,NA,NA,NA
Arkansas,32,25,7,0.781,17.8,7.18,13,4,16,1,5,4,2604.0,2264.0,1285.0,813.0,1958.0,0.415,248.0,738.0,0.336,390.0,568.0,0.687,313.0,1144.0,393.0,209.0,116.0,483.0,607.0,75.1,93.9,0.29,0.377,0.508,47.4,48.3,8.7,8.5,0.479,17.8,26.0,0.199,3.0,E8,SOUTH
