School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
Vermont,37,23,14,0.622,-1.51,-4.73,11,5,13,3,9,10,2774,2611,1480,904,2124,0.426,257,709,0.362,546,791,0.69,368,1223,464,251,132,431,725,69.3,101.8,0.372,0.334,0.522,48.1,51.3,9.8,9.5,0.486,14.7,27.3,0.257,NA,NA,NA,2016
Villanova,40,35,5,0.875,24.08,9.71,16,2,15,1,10,2,3118,2543,1605,906,2247,0.403,285,840,0.339,446,674,0.662,418,1322,510,232,87,552,757,67.3,94.2,0.3,0.374,0.495,48.8,56.3,8.6,6.8,0.467,17.7,28.8,0.198,2.0,Champions,SOUTH,2016
Virginia Commonwealth,36,25,11,0.694,13.83,4.35,14,4,15,2,7,4,2781,2440,1450,872,1980,0.44,202,599,0.337,494,728,0.679,342,1242,457,205,144,535,641,69.8,96.5,0.368,0.303,0.525,48.0,52.4,8.1,9.6,0.491,18.7,27.5,0.249,10.0,R32,WEST,2016
Virginia Tech,35,20,15,0.571,9.93,7.53,10,8,14,5,4,7,2624,2540,1425,906,2099,0.432,244,778,0.314,484,703,0.688,400,1251,462,200,183,444,773,69.7,102.3,0.335,0.371,0.522,50.4,51.0,8.1,13.3,0.49,15.4,31.8,0.231,NA,NA,NA,2016
Virginia,37,29,8,0.784,22.04,11.12,13,5,15,0,5,6,2626,2222,1485,777,1849,0.42,235,677,0.347,433,617,0.702,287,1047,370,199,83,428,617,61.5,97.3,0.334,0.366,0.519,46.8,47.6,8.7,5.9,0.484,16.7,24.9,0.234,1.0,E8,MIDWEST,2016
Wake Forest,31,11,20,0.355,5.53,10.53,2,16,6,9,3,9,2295,2450,1250,847,1923,0.44,209,626,0.334,547,742,0.737,367,1142,390,247,121,339,652,71.9,109.0,0.386,0.326,0.538,49.1,46.0,11.0,10.2,0.495,13.0,31.2,0.284,NA,NA,NA,2016
Washington,34,19,15,0.559,11.21,8.12,9,9,13,5,3,7,2853,2748,1385,936,2175,0.43,211,638,0.331,665,969,0.686,490,1438,433,205,131,550,786,78.0,101.8,0.446,0.293,0.521,51.4,46.3,7.6,8.7,0.479,17.3,35.6,0.306,NA,NA,NA,2016
Weber State,35,26,9,0.743,0.18,-5.13,15,3,13,1,6,7,2662,2344,1420,880,2113,0.416,202,576,0.351,382,571,0.669,336,1170,358,201,57,382,731,68.6,96.3,0.27,0.273,0.492,47.4,40.7,8.3,5.2,0.464,13.8,25.2,0.181,15.0,R64,EAST,2016
West Virginia,35,26,9,0.743,21.61,9.78,13,5,13,2,7,4,2749,2335,1410,726,1713,0.424,206,622,0.331,677,948,0.714,305,1078,371,244,128,624,812,70.7,93.7,0.553,0.363,0.54,43.9,51.1,9.8,8.8,0.484,22.4,27.1,0.395,3.0,R64,EAST,2016
Western Michigan,32,13,19,0.406,-2.07,0.06,7,11,10,5,2,12,2342,2352,1310,804,1824,0.441,264,754,0.35,480,690,0.696,286,1097,430,187,116,388,683,68.7,104.5,0.378,0.413,0.547,48.0,53.5,8.3,9.2,0.513,15.3,25.6,0.263,NA,NA,NA,2016
Wichita State,35,26,9,0.743,17.39,4.24,16,2,14,1,9,3,2535,2066,1410,659,1705,0.387,203,626,0.324,545,769,0.709,276,1154,315,163,106,539,715,66.1,88.7,0.451,0.367,0.499,46.9,47.8,7.0,8.5,0.446,20.7,23.5,0.32,11.0,R32,SOUTH,2016
Winthrop,32,23,9,0.719,-1.42,-5.7,13,5,14,1,7,7,2631,2429,1280,870,2051,0.424,226,669,0.338,463,651,0.711,407,1202,366,196,102,375,653,72.9,104.1,0.317,0.326,0.515,50.9,42.1,8.4,9.3,0.479,13.7,31.9,0.226,NA,NA,NA,2016
Wisconsin,35,22,13,0.629,13.4,9.4,12,6,13,5,6,5,2373,2233,1410,794,1862,0.426,201,539,0.373,444,627,0.708,314,1121,369,190,116,420,698,64.1,98.9,0.337,0.289,0.517,47.7,46.5,8.4,9.2,0.48,16.3,27.4,0.238,7.0,S16,EAST,2016
Wofford,32,15,17,0.469,-3.75,-2.35,11,7,11,2,4,14,2296,2295,1295,826,1699,0.486,177,502,0.353,466,682,0.683,254,1005,379,192,100,370,607,66.0,107.3,0.401,0.295,0.567,49.8,45.9,9.0,9.4,0.538,15.5,25.6,0.274,NA,NA,NA,2016
Wright State,35,22,13,0.629,0.18,-1.76,13,5,13,2,5,9,2399,2303,1405,745,1768,0.421,206,627,0.329,607,846,0.717,294,1215,373,176,114,488,622,67.5,97.2,0.479,0.355,0.531,52.6,50.1,7.4,9.3,0.48,18.4,25.4,0.343,NA,NA,NA,2016
Wyoming,32,14,18,0.438,0.09,2.19,7,11,10,6,4,8,2193,2302,1295,787,1826,0.431,239,682,0.35,489,701,0.698,340,1181,371,186,71,346,709,65.5,108.5,0.384,0.373,0.533,54.4,47.1,8.8,9.6,0.496,13.8,29.5,0.268,NA,NA,NA,2016
Xavier,34,28,6,0.824,18.58,8.43,14,4,15,1,8,3,2737,2392,1360,834,2010,0.415,253,814,0.311,471,675,0.698,334,1138,456,206,119,474,774,72.4,97.2,0.336,0.405,0.513,45.1,54.7,8.4,8.8,0.478,16.9,26.0,0.234,2.0,R32,EAST,2016
Yale,30,23,7,0.767,9.08,-1.03,13,1,12,0,9,6,2248,1914,1205,678,1654,0.41,183,564,0.324,375,537,0.698,256,881,339,202,107,364,641,66.9,94.9,0.325,0.341,0.501,42.2,50.0,10.0,9.1,0.465,16.0,24.2,0.227,12.0,R32,WEST,2016
Air Force,32,14,18,0.438,-5.51,0.66,5,13,12,5,2,13,2189,2330,1300,784,1823,0.43,290,843,0.344,472,667,0.708,326,1187,470,211,133,436,664,68.9,104.0,0.366,0.462,0.544,51.7,59.9,9.4,11.4,0.51,16.9,28.4,0.259,NA,NA,NA,2016
Akron,35,26,9,0.743,5.55,-1.24,13,5,15,0,6,8,2682,2381,1405,862,2103,0.41,205,698,0.294,452,667,0.678,401,1315,393,206,80,408,630,69.2,98.0,0.317,0.332,0.492,50.1,45.6,8.5,7.7,0.459,14.4,30.0,0.215,NA,NA,NA,2016
Alabama A&M,29,11,18,0.379,-13.47,-10.75,6,12,6,5,4,12,1974,2042,1175,726,1599,0.454,168,520,0.323,422,637,0.662,307,1025,351,171,84,316,590,65.7,105.9,0.398,0.325,0.537,50.6,48.3,8.9,8.1,0.507,14.2,31.4,0.264,NA,NA,NA,2016
Alabama State,31,14,17,0.452,-13.11,-9.35,9,9,8,3,5,12,2217,2308,1260,808,1744,0.463,193,569,0.339,499,768,0.65,324,1170,404,187,106,400,548,69.5,105.4,0.44,0.326,0.547,50.4,50.0,8.5,8.3,0.519,15.9,29.8,0.286,NA,NA,NA,2016
Alcorn State,30,15,15,0.5,-16.01,-9.94,13,5,9,2,6,9,2014,2164,1225,748,1673,0.447,215,592,0.363,453,646,0.701,324,1038,384,205,95,357,583,66.5,106.3,0.386,0.354,0.547,49.2,51.3,10.1,8.4,0.511,15.3,32.0,0.271,NA,NA,NA,2016
Arkansas-Pine Bluff,33,8,25,0.242,-19.31,-5.52,6,12,3,6,4,17,1867,2322,1325,747,1701,0.439,180,557,0.323,648,913,0.71,408,1248,441,271,99,438,524,65.3,107.3,0.537,0.327,0.544,55.4,59.0,12.5,9.4,0.492,17.0,37.4,0.381,NA,NA,NA,2016
Arkansas State,31,11,20,0.355,-7.48,-2.37,7,13,9,6,2,14,2282,2353,1260,791,1983,0.399,259,737,0.351,512,757,0.676,401,1257,399,195,94,355,675,72.7,102.8,0.382,0.372,0.502,50.3,50.4,8.5,7.3,0.464,13.2,30.6,0.258,NA,NA,NA,2016
Army,33,19,14,0.576,-7.32,-8.13,9,9,7,8,11,6,2539,2474,1350,918,2064,0.445,199,575,0.346,439,656,0.669,342,1230,417,235,111,402,646,72.2,101.6,0.318,0.279,0.521,47.9,45.4,9.6,9.2,0.493,14.5,26.9,0.213,NA,NA,NA,2016
Ball State,35,21,14,0.6,0.11,-2.98,10,8,13,6,6,8,2479,2338,1430,790,1951,0.405,242,697,0.347,516,732,0.705,335,1189,399,230,75,397,638,66.2,98.8,0.375,0.357,0.509,48.3,50.5,9.7,6.8,0.467,14.7,26.2,0.264,NA,NA,NA,2016
Bethune-Cookman,32,14,18,0.438,-14.35,-9.18,10,6,9,2,5,13,2258,2330,1295,830,1923,0.432,228,672,0.339,442,647,0.683,428,1258,478,173,86,389,582,68.2,105.6,0.336,0.349,0.522,51.5,57.6,7.8,7.5,0.491,14.9,35.5,0.23,NA,NA,NA,2016
Binghamton,30,8,22,0.267,-14.08,-6.35,5,11,5,9,3,13,1827,2059,1205,728,1675,0.435,204,606,0.337,399,576,0.693,298,1108,397,211,84,372,553,67.4,101.4,0.344,0.362,0.528,52.0,54.5,10.4,8.3,0.496,16.0,28.4,0.238,NA,NA,NA,2016
Boston College,32,7,25,0.219,-1.61,7.67,0,18,6,11,0,10,1959,2256,1285,796,1732,0.46,224,587,0.382,440,641,0.686,302,1175,467,234,110,415,504,67.0,104.8,0.37,0.339,0.554,54.2,58.7,10.9,10.6,0.524,16.9,28.7,0.254,NA,NA,NA,2016
Boston University,34,19,15,0.559,-6.79,-6.37,11,7,9,6,10,9,2483,2464,1375,875,2009,0.436,247,744,0.332,467,681,0.686,346,1184,486,217,90,406,628,69.4,103.3,0.339,0.37,0.528,49.3,55.5,9.1,7.9,0.497,14.8,27.7,0.232,NA,NA,NA,2016
Bowling Green State,34,16,18,0.471,-5.88,-1.85,5,13,7,8,7,8,2400,2457,1360,853,1978,0.431,278,745,0.373,473,685,0.691,350,1208,379,207,103,403,684,69.4,104.2,0.346,0.377,0.533,49.4,44.4,8.8,7.6,0.502,14.9,28.2,0.239,NA,NA,NA,2016
Brown,28,8,20,0.286,-8.05,-2.82,3,11,7,6,1,13,2040,2155,1140,757,1726,0.439,218,613,0.356,423,617,0.686,338,1092,401,217,97,324,551,70.5,107.2,0.357,0.355,0.534,51.7,53.0,10.8,9.8,0.502,13.8,31.2,0.245,NA,NA,NA,2016
Bryant,31,8,23,0.258,-18.58,-6.71,5,13,4,10,4,13,2018,2361,1250,841,1880,0.447,251,759,0.331,428,589,0.727,378,1217,480,215,114,346,501,68.4,110.5,0.313,0.404,0.547,53.7,57.1,10.1,9.6,0.514,13.8,33.6,0.228,NA,NA,NA,2016
Cal State Northridge,30,10,20,0.333,-6.85,-0.85,5,11,5,7,4,12,2143,2261,1225,799,1815,0.44,232,600,0.387,431,630,0.684,348,1150,462,196,113,415,628,71.4,103.5,0.347,0.331,0.535,51.4,57.8,9.0,8.7,0.504,16.4,30.8,0.237,NA,NA,NA,2016
UC Riverside,33,14,19,0.424,-5.66,-3.08,5,11,7,9,7,9,2299,2300,1320,796,1861,0.428,198,583,0.34,510,713,0.715,321,1136,428,208,115,392,608,68.7,101.5,0.383,0.313,0.523,49.4,53.8,9.2,10.2,0.481,15.1,27.7,0.274,NA,NA,NA,2016
Campbell,30,12,18,0.4,-11.07,-6.67,5,13,7,9,5,8,2207,2203,1205,783,1708,0.458,198,538,0.368,439,649,0.676,314,1109,357,180,76,404,596,70.0,104.5,0.38,0.315,0.546,53.4,45.6,8.5,7.6,0.516,16.7,30.2,0.257,NA,NA,NA,2016
Canisius,33,14,19,0.424,-5.62,-3.77,8,12,7,7,4,11,2526,2587,1355,892,1872,0.476,273,718,0.38,530,730,0.726,353,1228,526,175,114,455,663,68.9,110.9,0.39,0.384,0.583,52.4,59.0,7.5,9.7,0.549,17.0,32.8,0.283,NA,NA,NA,2016
Central Arkansas,28,7,21,0.25,-15.17,-6.81,6,12,4,6,2,14,2110,2344,1120,811,1729,0.469,239,618,0.387,483,669,0.722,303,1028,443,196,114,324,553,73.7,113.5,0.387,0.357,0.573,49.6,54.6,9.5,9.8,0.538,13.7,29.8,0.279,NA,NA,NA,2016
Central Connecticut State,29,4,25,0.138,-22.35,-9.24,3,15,3,11,1,14,1888,2268,1175,843,1775,0.475,208,580,0.359,374,542,0.69,309,1096,444,204,114,299,495,68.9,112.1,0.305,0.327,0.558,51.2,52.7,10.1,9.3,0.534,12.8,30.3,0.211,NA,NA,NA,2016
Central Michigan,33,17,16,0.515,-0.67,-1.3,10,8,13,4,4,8,2495,2401,1325,861,1938,0.444,231,665,0.347,448,646,0.693,367,1232,418,141,82,355,611,67.4,107.6,0.333,0.343,0.535,51.7,48.5,6.3,7.8,0.504,13.7,30.7,0.231,NA,NA,NA,2016
Charleston Southern,30,9,21,0.3,-10.92,-2.59,5,13,6,8,3,12,2146,2253,1210,783,1708,0.458,242,658,0.368,445,624,0.713,267,1101,410,173,118,376,513,70.0,106.4,0.365,0.385,0.562,51.1,52.4,8.2,11.8,0.529,15.8,26.4,0.261,NA,NA,NA,2016
Charlotte,33,14,19,0.424,-3.14,-1.72,9,9,8,7,5,8,2584,2631,1340,961,1994,0.482,264,672,0.393,445,617,0.721,314,1200,438,189,117,441,595,72.1,109.0,0.309,0.337,0.575,50.1,45.6,7.8,8.5,0.548,16.2,27.6,0.223,NA,NA,NA,2016
Chicago State,32,4,28,0.125,-17.52,-1.38,0,14,4,9,0,15,2140,2478,1280,826,1821,0.454,291,763,0.381,535,787,0.68,366,1287,552,215,133,469,560,72.0,107.5,0.432,0.419,0.565,52.3,66.8,9.3,10.7,0.533,17.6,32.6,0.294,NA,NA,NA,2016
The Citadel,32,10,22,0.313,-15.95,-4.75,3,15,6,8,3,13,2753,2962,1285,1052,2050,0.513,226,642,0.352,632,900,0.702,413,1440,551,218,130,536,645,81.2,113.6,0.439,0.313,0.598,55.6,52.4,8.4,11.6,0.568,17.8,35.7,0.308,NA,NA,NA,2016
Colorado State,34,18,16,0.529,2.31,1.53,8,10,12,5,3,8,2700,2626,1400,918,2037,0.451,283,804,0.352,507,703,0.721,305,1176,470,206,103,357,774,69.3,108.2,0.345,0.395,0.554,46.4,51.2,8.5,8.8,0.52,13.1,25.0,0.249,NA,NA,NA,2016
Columbia,35,25,10,0.714,3.45,-2.55,10,4,18,4,7,6,2670,2399,1415,842,1916,0.439,262,737,0.355,453,659,0.687,311,1155,454,161,108,449,635,66.7,101.7,0.344,0.385,0.538,48.2,53.9,6.8,9.9,0.508,16.8,26.2,0.236,NA,NA,NA,2016
Coppin State,31,9,22,0.29,-15.75,-6.06,6,10,5,7,3,14,2240,2497,1280,881,1872,0.471,222,602,0.369,513,799,0.642,399,1283,461,176,123,429,647,71.4,109.4,0.427,0.322,0.555,52.9,52.3,7.7,10.1,0.53,16.0,35.1,0.274,NA,NA,NA,2016
Cornell,28,10,18,0.357,-9.55,-1.04,3,11,5,8,5,10,1992,2193,1130,765,1723,0.444,220,613,0.359,443,602,0.736,370,1198,458,156,106,407,512,72.7,106.8,0.349,0.356,0.546,56.8,59.9,7.6,10.7,0.508,16.8,35.7,0.257,NA,NA,NA,2016
Dartmouth,28,10,18,0.357,-5.58,-3.29,4,10,8,6,2,12,1992,1989,1130,678,1505,0.45,212,611,0.347,421,635,0.663,271,934,362,189,133,409,570,69.1,101.9,0.422,0.406,0.55,48.2,53.4,9.7,11.6,0.521,18.5,28.8,0.28,NA,NA,NA,2016
Delaware State,32,7,25,0.219,-20.88,-6.85,5,11,6,7,1,17,1980,2336,1290,791,1821,0.434,248,769,0.322,506,740,0.684,435,1311,478,189,100,425,569,67.3,107.7,0.406,0.422,0.538,55.2,60.4,8.7,9.0,0.502,16.4,37.5,0.278,NA,NA,NA,2016
Denver,31,16,15,0.516,-3.34,-3.24,7,9,8,7,6,6,2021,2024,1240,672,1480,0.454,193,521,0.37,487,642,0.759,276,945,367,177,87,440,549,62.7,104.2,0.434,0.352,0.567,54.8,54.6,9.1,10.4,0.519,19.8,31.0,0.329,NA,NA,NA,2016
DePaul,31,9,22,0.29,0.83,8.34,3,15,5,9,3,10,2092,2325,1245,756,1711,0.442,246,675,0.364,567,766,0.74,317,1034,466,206,98,377,606,68.4,109.2,0.448,0.395,0.56,49.4,61.6,9.7,8.2,0.514,15.4,29.9,0.331,NA,NA,NA,2016
Detroit Mercy,31,16,15,0.516,-2.44,-0.82,9,9,11,4,4,10,2595,2567,1245,862,1869,0.461,239,681,0.351,604,848,0.712,330,1107,447,195,125,414,694,75.7,109.0,0.454,0.364,0.565,48.6,51.9,8.3,9.8,0.525,15.4,29.3,0.323,NA,NA,NA,2016
Duquesne,34,17,17,0.5,1.41,1.35,6,12,10,6,4,8,2704,2677,1370,892,2141,0.417,329,820,0.401,564,803,0.702,387,1277,582,210,99,394,645,73.6,106.2,0.375,0.383,0.531,48.9,65.2,8.3,8.4,0.493,13.5,28.2,0.263,NA,NA,NA,2016
East Carolina,32,12,20,0.375,-0.38,3.22,4,14,8,8,3,10,2186,2301,1305,854,1911,0.447,249,752,0.331,344,511,0.673,370,1161,540,204,116,402,525,67.0,105.2,0.267,0.394,0.534,51.5,63.2,9.3,10.5,0.512,15.7,32.4,0.18,NA,NA,NA,2016
Eastern Illinois,30,13,17,0.433,-8.35,-3.52,9,7,9,5,4,9,2145,2213,1220,766,1722,0.445,212,634,0.334,469,666,0.704,364,1161,419,184,77,410,595,68.3,106.2,0.387,0.368,0.543,53.7,54.7,8.8,7.2,0.506,16.7,34.1,0.272,NA,NA,NA,2016
Eastern Michigan,33,18,15,0.545,-0.14,1.24,9,9,14,3,4,11,2553,2460,1330,823,1956,0.421,276,790,0.349,538,778,0.692,441,1262,482,199,108,529,725,72.5,102.1,0.398,0.404,0.529,51.4,58.6,8.3,7.9,0.491,18.5,35.3,0.275,NA,NA,NA,2016
Elon,32,16,16,0.5,-0.67,0.66,7,11,8,8,8,7,2429,2413,1285,884,1980,0.446,219,606,0.361,426,638,0.668,356,1218,396,204,128,377,621,71.7,104.8,0.322,0.306,0.528,50.7,44.8,8.9,12.1,0.502,14.2,29.5,0.215,NA,NA,NA,2016
Evansville,34,25,9,0.735,8.1,-0.39,12,6,13,3,8,4,2526,2221,1370,794,1962,0.405,206,635,0.324,427,580,0.736,314,1101,406,194,120,436,718,68.9,94.1,0.296,0.324,0.496,47.8,51.1,8.2,8.9,0.457,16.3,25.0,0.218,NA,NA,NA,2016
Fairfield,33,19,14,0.576,-3.84,-3.14,12,8,11,5,7,7,2522,2545,1345,902,2072,0.435,252,748,0.337,489,706,0.693,438,1342,454,193,88,459,636,72.2,104.8,0.341,0.361,0.529,53.9,50.3,7.9,7.6,0.496,16.0,34.1,0.236,NA,NA,NA,2016
Florida A&M,29,8,21,0.276,-21.74,-10.67,4,12,6,6,1,14,1863,2128,1190,746,1691,0.441,194,587,0.33,442,644,0.686,324,1143,339,221,84,434,597,70.8,101.0,0.381,0.347,0.533,53.1,45.4,10.5,8.0,0.499,17.9,31.1,0.261,NA,NA,NA,2016
Florida Atlantic,33,8,25,0.242,-10.3,-1.72,5,13,5,7,2,14,2189,2445,1325,882,1928,0.457,172,484,0.355,507,715,0.709,373,1280,418,198,142,378,564,68.5,107.8,0.371,0.251,0.539,54.4,47.4,8.7,12.1,0.502,14.3,32.1,0.263,NA,NA,NA,2016
Florida International,32,13,19,0.406,-5.25,-4.81,7,11,7,9,5,8,2277,2242,1300,775,1900,0.408,237,729,0.325,455,665,0.684,366,1111,411,190,103,320,566,66.8,103.3,0.35,0.384,0.506,48.2,53.0,8.8,8.0,0.47,12.6,29.7,0.239,NA,NA,NA,2016
Fordham,31,17,14,0.548,1.87,-0.09,8,10,14,5,3,7,2206,2128,1255,728,1622,0.449,213,637,0.334,459,651,0.705,268,1008,458,209,91,485,559,68.3,99.3,0.401,0.393,0.551,48.7,62.9,9.7,8.7,0.514,20.1,26.6,0.283,NA,NA,NA,2016
Furman,35,19,16,0.543,-2.83,-4.2,11,7,14,2,3,12,2487,2333,1400,815,1874,0.435,236,683,0.346,467,688,0.679,326,1099,402,230,97,449,673,66.3,100.5,0.367,0.364,0.53,46.8,49.3,9.9,9.0,0.498,16.9,27.4,0.249,NA,NA,NA,2016
George Mason,32,11,21,0.344,-1.79,3.62,5,13,7,8,2,11,2140,2313,1290,827,1957,0.423,241,682,0.353,418,587,0.712,277,1107,406,175,124,221,589,67.7,106.0,0.3,0.348,0.517,44.9,49.1,8.0,9.5,0.484,9.0,22.8,0.214,NA,NA,NA,2016
Georgia Southern,31,14,17,0.452,-5.65,-3.14,10,10,10,4,4,12,2353,2307,1250,770,1763,0.437,235,713,0.33,532,769,0.692,374,1232,379,148,127,463,598,71.2,103.6,0.436,0.404,0.542,52.1,49.2,6.6,11.9,0.503,17.9,33.1,0.302,NA,NA,NA,2016
Grambling,31,7,24,0.226,-19.62,-8.48,4,14,5,7,2,15,1924,2110,1250,727,1681,0.432,205,623,0.329,451,677,0.666,327,1116,400,204,111,425,572,67.2,100.5,0.403,0.371,0.527,52.4,55.0,9.7,10.6,0.493,17.5,30.9,0.268,NA,NA,NA,2016
High Point,32,21,11,0.656,-0.52,-4.24,13,5,12,3,8,7,2473,2258,1290,811,1787,0.454,234,679,0.345,402,573,0.702,337,1060,381,168,110,467,606,67.7,103.4,0.321,0.38,0.548,49.7,47.0,7.7,8.1,0.519,18.5,31.4,0.225,NA,NA,NA,2016
Hofstra,34,24,10,0.706,5.02,0.77,14,4,11,2,9,5,2681,2509,1390,952,2182,0.436,260,743,0.35,345,514,0.671,392,1253,491,187,119,401,686,70.2,102.9,0.236,0.341,0.517,48.6,51.6,7.7,9.6,0.496,14.2,29.8,0.158,NA,NA,NA,2016
Houston Christian,34,17,17,0.5,-10.39,-5.26,10,8,12,3,4,11,2604,2582,1360,908,2090,0.434,245,683,0.359,521,723,0.721,392,1189,501,234,126,424,747,72.3,105.0,0.346,0.327,0.531,48.8,55.2,9.5,9.4,0.493,14.8,30.4,0.249,NA,NA,NA,2016
Howard,32,12,20,0.375,-14.43,-8.33,6,10,8,7,2,12,2311,2433,1300,844,1983,0.426,242,723,0.335,503,739,0.681,438,1250,421,180,111,446,712,72.2,103.6,0.373,0.365,0.521,50.6,49.9,7.7,8.2,0.487,16.0,35.0,0.254,NA,NA,NA,2016
Idaho State,31,16,15,0.516,-9.83,-6.69,11,7,10,3,5,10,2297,2357,1240,832,1859,0.448,247,738,0.335,446,648,0.688,334,1165,441,188,110,398,606,71.9,105.8,0.349,0.397,0.544,51.9,53.0,8.4,10.2,0.514,15.5,29.6,0.24,NA,NA,NA,2016
Idaho,34,21,13,0.618,-5.19,-5.88,12,6,11,4,8,7,2372,2251,1365,747,1799,0.415,270,804,0.336,487,723,0.674,293,1012,414,247,101,438,710,67.2,98.2,0.402,0.447,0.525,44.6,55.4,10.8,8.3,0.49,17.0,25.2,0.271,NA,NA,NA,2016
Illinois-Chicago,30,5,25,0.167,-14.52,-0.81,3,15,5,10,0,13,2019,2348,1220,803,1878,0.428,225,632,0.356,515,727,0.708,363,1209,489,217,155,351,660,72.7,106.0,0.387,0.337,0.528,49.5,60.9,9.8,11.4,0.487,13.6,30.5,0.274,NA,NA,NA,2016
Illinois State,32,18,14,0.563,3.4,2.59,12,6,13,3,5,8,2149,2114,1285,734,1744,0.421,206,644,0.32,440,648,0.679,312,1128,391,192,93,436,590,67.7,97.2,0.372,0.369,0.515,49.7,53.3,8.8,8.2,0.48,17.5,28.1,0.252,NA,NA,NA,2016
Incarnate Word,29,17,12,0.586,-9.2,-6.2,12,6,10,3,7,9,2145,2140,1165,769,1680,0.458,208,574,0.362,394,603,0.653,290,1069,419,184,115,390,597,71.2,103.1,0.359,0.342,0.544,52.3,54.5,8.9,11.2,0.52,16.6,28.1,0.235,NA,NA,NA,2016
Indiana State,32,15,17,0.469,0.04,2.2,8,10,10,4,2,11,2170,2222,1295,745,1792,0.416,192,594,0.323,540,779,0.693,296,1195,351,195,106,402,659,70.0,98.0,0.435,0.331,0.514,49.6,47.1,8.6,9.4,0.469,15.7,25.4,0.301,NA,NA,NA,2016
Purdue-Fort Wayne,34,24,10,0.706,0.0,-1.66,12,4,12,1,10,7,2701,2585,1370,941,2046,0.46,280,725,0.386,423,616,0.687,312,1163,442,197,103,386,663,70.4,107.2,0.301,0.354,0.553,48.6,47.0,8.2,8.9,0.528,14.2,26.0,0.207,NA,NA,NA,2016
IUPUI,32,13,19,0.406,-5.86,0.11,9,7,9,2,4,15,2181,2362,1290,843,1836,0.459,186,552,0.337,490,697,0.703,309,1147,383,239,142,404,566,70.0,104.7,0.38,0.301,0.545,50.9,45.4,10.6,10.8,0.51,15.7,28.3,0.267,NA,NA,NA,2016
Jackson State,36,20,16,0.556,-8.66,-9.54,12,6,11,2,7,13,2455,2352,1465,751,1918,0.392,209,682,0.306,641,909,0.705,358,1339,390,214,134,519,651,68.3,94.0,0.474,0.356,0.5,48.6,51.9,8.6,9.4,0.446,18.1,27.5,0.334,NA,NA,NA,2016
Jacksonville,32,16,16,0.5,-9.34,-6.09,8,6,12,3,4,11,2444,2431,1290,862,1931,0.446,288,812,0.355,419,633,0.662,305,1200,456,157,101,413,596,72.2,104.4,0.328,0.421,0.545,49.6,52.9,6.7,8.0,0.521,15.6,25.8,0.217,NA,NA,NA,2016
James Madison,32,21,11,0.656,6.17,0.5,11,7,12,6,9,3,2405,2197,1305,742,1874,0.396,231,795,0.291,482,684,0.705,332,1136,386,181,75,344,623,67.9,99.2,0.365,0.424,0.5,47.7,52.0,8.2,7.0,0.458,13.5,26.7,0.257,NA,NA,NA,2016
Kennesaw State,31,11,20,0.355,-8.58,-1.61,7,7,8,6,3,14,2239,2399,1245,857,1833,0.468,216,643,0.336,469,684,0.686,378,1169,415,209,102,398,589,70.4,109.4,0.373,0.351,0.556,52.9,48.4,9.5,7.7,0.526,15.6,34.5,0.256,NA,NA,NA,2016
La Salle,31,9,22,0.29,-6.09,4.65,4,14,7,9,1,12,1987,2279,1240,802,1749,0.459,234,626,0.374,441,608,0.725,353,1173,466,180,121,403,506,67.2,109.4,0.348,0.358,0.559,55.1,58.1,8.6,12.8,0.525,16.5,34.1,0.252,NA,NA,NA,2016
Lamar,30,11,19,0.367,-14.69,-8.77,3,15,7,9,4,10,2263,2310,1200,773,1736,0.445,204,601,0.339,560,799,0.701,345,1125,468,201,101,441,642,73.8,104.4,0.46,0.346,0.546,49.0,60.5,9.1,8.4,0.504,17.2,31.3,0.323,NA,NA,NA,2016
Lehigh,32,17,15,0.531,-4.42,-5.2,13,5,10,5,7,9,2268,2210,1280,795,1825,0.436,254,705,0.36,366,513,0.713,321,1056,475,191,115,399,553,67.2,102.7,0.281,0.386,0.534,49.1,59.7,8.9,9.8,0.505,16.2,28.9,0.201,NA,NA,NA,2016
Long Beach State,35,20,15,0.571,4.09,4.57,12,4,11,2,6,10,2613,2568,1415,890,2016,0.441,258,744,0.347,530,779,0.68,385,1338,489,188,128,497,716,70.7,102.7,0.386,0.369,0.538,51.7,54.9,7.5,9.9,0.505,17.2,30.4,0.263,NA,NA,NA,2016
Longwood,33,10,23,0.303,-11.42,-5.15,5,13,5,8,4,12,2397,2503,1330,853,1913,0.446,306,821,0.373,491,674,0.728,322,1124,487,238,93,407,623,69.8,107.8,0.352,0.429,0.56,48.4,57.1,10.2,7.4,0.526,15.4,27.5,0.257,NA,NA,NA,2016
Louisiana-Monroe,34,20,14,0.588,-0.18,-1.46,15,5,13,0,6,11,2471,2360,1390,827,2005,0.412,252,764,0.33,454,637,0.713,385,1178,391,186,100,403,583,66.5,102.1,0.318,0.381,0.511,48.9,47.3,8.0,7.6,0.475,14.9,31.0,0.226,NA,NA,NA,2016
