School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
Middle Tennessee,33,24,9,0.727,4.77,-0.78,13,3,14,2,8,5,2339,2067,1330,696,1694,0.411,170,527,0.323,505,748,0.675,330,1053,321,208,95,478,662,66.0,94.2,0.442,0.311,0.504,46.5,46.1,9.5,7.5,0.461,18.9,28.9,0.298,NA,NA,NA,2014
Milwaukee,35,21,14,0.6,-1.53,-0.44,7,9,7,6,10,6,2465,2469,1415,869,1991,0.436,204,657,0.311,527,707,0.745,373,1241,415,240,132,445,736,67.9,102.8,0.355,0.33,0.531,51.2,47.8,10.0,11.6,0.488,16.1,30.8,0.265,15.0,R64,EAST,2014
Minnesota,38,25,13,0.658,11.75,8.34,8,10,18,3,4,7,2715,2574,1545,867,2036,0.426,247,721,0.343,593,810,0.732,400,1259,484,227,159,472,722,64.5,103.3,0.398,0.354,0.532,49.5,55.8,9.1,12.4,0.486,16.3,31.1,0.291,NA,NA,NA,2014
Mississippi State,33,14,19,0.424,-0.86,2.75,3,15,11,7,0,10,2234,2353,1330,847,1872,0.452,219,672,0.326,440,617,0.713,350,1163,435,213,114,461,654,68.4,103.4,0.33,0.359,0.543,51.7,51.4,9.4,8.9,0.511,17.6,31.5,0.235,NA,NA,NA,2014
Mississippi,33,19,14,0.576,7.84,5.36,9,9,12,5,4,8,2482,2400,1335,794,1894,0.419,246,709,0.347,566,821,0.689,432,1292,479,178,138,462,651,69.4,103.6,0.433,0.374,0.525,51.6,60.3,7.7,11.1,0.484,16.8,35.6,0.299,NA,NA,NA,2014
Missouri,35,23,12,0.657,10.06,6.86,9,9,16,3,3,7,2553,2441,1415,833,2011,0.414,256,772,0.332,519,759,0.684,403,1123,435,202,122,370,734,65.8,104.9,0.377,0.384,0.515,46.5,52.2,8.7,10.0,0.478,13.5,30.7,0.258,NA,NA,NA,2014
Montana,30,17,13,0.567,-4.52,-5.23,12,8,11,3,6,9,2123,2070,1225,721,1517,0.475,163,452,0.361,465,687,0.677,317,971,311,137,84,356,613,61.4,110.0,0.453,0.298,0.561,54.4,43.1,7.3,9.5,0.529,16.2,34.6,0.307,NA,NA,NA,2014
Morehead State,34,20,14,0.588,-1.88,-3.1,10,6,9,5,9,7,2603,2483,1385,809,1806,0.448,211,609,0.346,654,924,0.708,310,1038,449,237,169,518,798,70.8,101.3,0.512,0.337,0.553,44.2,55.5,9.7,13.0,0.506,18.7,27.2,0.362,NA,NA,NA,2014
Mount St. Mary's,33,16,17,0.485,-6.32,-4.44,9,7,10,3,6,13,2504,2566,1330,960,1939,0.495,155,464,0.334,491,669,0.734,357,1207,435,190,90,439,602,70.0,110.2,0.345,0.239,0.569,53.4,45.3,8.2,8.3,0.535,16.3,33.0,0.253,16.0,R68,SOUTH,2014
Murray State,34,23,11,0.676,0.98,-3.58,13,3,17,1,6,9,2647,2446,1370,896,2012,0.445,185,574,0.322,469,699,0.671,401,1160,414,206,107,400,700,68.4,104.4,0.347,0.285,0.522,48.5,46.2,8.8,8.7,0.491,14.6,32.4,0.233,NA,NA,NA,2014
Nebraska,32,19,13,0.594,10.13,8.5,11,7,15,1,3,8,2137,2085,1280,696,1659,0.42,186,590,0.315,507,744,0.681,319,1121,354,168,101,397,602,65.4,99.7,0.448,0.356,0.518,51.4,50.9,8.0,9.0,0.476,16.5,29.0,0.306,11.0,R64,WEST,2014
Nevada,32,15,17,0.469,1.98,3.48,10,8,7,8,8,6,2316,2364,1320,796,1814,0.439,223,666,0.335,549,734,0.748,353,1133,449,156,105,341,591,65.1,110.0,0.405,0.367,0.547,50.4,56.4,7.3,8.7,0.5,13.6,31.7,0.303,NA,NA,NA,2014
New Mexico State,36,26,10,0.722,6.16,-2.58,12,4,14,1,8,7,2771,2415,1455,863,2153,0.401,162,492,0.329,527,720,0.732,457,1170,340,201,92,397,806,66.9,99.2,0.334,0.229,0.484,46.5,39.4,8.3,6.6,0.438,13.7,33.2,0.245,13.0,R64,WEST,2014
New Mexico,34,27,7,0.794,12.72,4.84,15,3,13,2,8,2,2516,2248,1380,776,1995,0.389,243,699,0.348,453,625,0.725,368,1115,388,193,99,338,703,65.6,99.4,0.313,0.35,0.49,46.2,50.0,8.5,7.9,0.45,12.9,28.2,0.227,7.0,R64,SOUTH,2014
New Orleans,26,11,15,0.423,-15.03,-5.53,8,10,6,6,5,9,1858,1987,1040,698,1500,0.465,155,442,0.351,436,628,0.694,289,906,399,230,115,390,581,72.6,105.3,0.419,0.295,0.552,48.3,57.2,12.2,11.1,0.517,17.8,31.5,0.291,NA,NA,NA,2014
