School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,32,16,16,0.5,-9.14,-6.82,8,10,9,6,6,9,2359,2279,1290,770,1759,0.438,214,657,0.326,525,743,0.707,313,1107,370,205,91,512,556,71.5,98.8,0.422,0.374,0.54,50.3,48.1,8.9,7.5,0.499,19.5,28.5,0.298,NA,NA,NA
UAB,33,20,13,0.606,4.9,-0.65,10,8,14,3,5,6,2536,2303,1330,827,1952,0.424,292,853,0.342,357,513,0.696,301,1035,440,232,100,414,555,69.4,99.7,0.263,0.437,0.524,45.2,53.2,10.0,7.7,0.498,15.9,24.6,0.183,NA,NA,NA
Alabama,36,20,16,0.556,12.34,10.64,8,10,12,4,2,8,2604,2543,1440,877,2109,0.416,262,799,0.328,527,769,0.685,414,1277,427,237,134,473,718,70.2,100.6,0.365,0.379,0.514,49.7,48.7,9.4,10.5,0.478,16.0,30.8,0.25,9.0,R32,EAST
Albany (NY),32,22,10,0.688,0.02,-5.4,10,6,14,3,8,7,2375,2182,1280,807,1808,0.446,215,654,0.329,353,503,0.702,261,965,433,176,135,368,634,67.3,101.3,0.278,0.362,0.533,44.8,53.7,8.2,10.1,0.506,15.2,24.3,0.195,NA,NA,NA
American,30,6,24,0.2,-14.63,-6.16,3,15,4,8,2,16,1961,2215,1205,776,1595,0.487,199,519,0.383,464,650,0.714,282,1059,412,208,108,413,499,67.3,109.3,0.408,0.325,0.582,54.9,53.1,10.3,11.9,0.549,17.8,31.0,0.291,NA,NA,NA
Appalachian State,33,15,18,0.455,-4.83,-2.67,9,9,9,4,4,11,2520,2448,1340,854,1953,0.437,232,641,0.362,508,705,0.721,304,1177,406,219,104,430,686,72.0,101.6,0.361,0.328,0.535,47.7,47.5,9.1,9.3,0.497,15.8,25.2,0.26,NA,NA,NA
Arizona State,32,20,12,0.625,14.37,6.55,8,10,13,4,4,6,2645,2395,1290,841,1919,0.438,262,766,0.342,451,628,0.718,357,1171,479,172,111,474,688,72.2,102.8,0.327,0.399,0.54,51.0,57.0,7.4,9.8,0.507,17.6,30.6,0.235,11.0,R68,MIDWEST
Arizona,35,27,8,0.771,15.67,6.84,14,4,15,1,8,3,2818,2509,1420,890,2047,0.435,261,729,0.358,468,638,0.734,310,1018,443,214,92,406,686,68.6,103.0,0.312,0.356,0.534,44.4,49.8,8.8,6.8,0.499,14.7,25.1,0.229,4.0,R64,SOUTH
Little Rock,32,7,25,0.219,-10.45,-2.22,4,14,5,10,2,14,2038,2242,1300,754,1744,0.432,269,761,0.353,465,687,0.677,336,1130,436,173,115,436,529,66.6,103.7,0.394,0.436,0.541,50.9,57.8,8.0,10.2,0.509,17.4,30.5,0.267,NA,NA,NA
Arkansas,35,23,12,0.657,14.76,9.85,10,8,15,2,3,7,2819,2647,1415,872,2028,0.43,301,844,0.357,602,828,0.727,394,1264,477,167,125,490,680,71.3,105.0,0.408,0.416,0.547,51.1,54.7,6.6,8.7,0.504,16.8,31.5,0.297,7.0,R64,EAST
Auburn,34,26,8,0.765,15.97,7.29,13,5,15,1,7,4,2783,2488,1360,838,1961,0.427,273,777,0.351,539,747,0.722,341,1207,439,207,111,516,700,73.4,99.6,0.381,0.396,0.537,48.3,52.4,8.3,9.3,0.497,18.2,27.9,0.275,4.0,R32,MIDWEST
Austin Peay,34,19,15,0.559,-3.28,-2.5,12,6,13,5,5,9,2512,2446,1370,845,1821,0.464,240,661,0.363,516,721,0.716,309,1107,408,200,130,549,720,70.1,101.9,0.396,0.363,0.565,47.8,48.3,8.3,9.2,0.53,20.2,28.8,0.283,NA,NA,NA
