,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
43,Canisius,30,10,20,.333,-6.94,-3.35,,8,12,,7,7,,3,12,,2111,2169,,67.5,104.9,.274,.317,.549,51.6,49.1,9.1,8.9,.525,16.7,30.0,.191
44,Central Arkansas,31,9,22,.290,-13.57,-3.01,,4,14,,6,8,,2,13,,2261,2527,,72.7,110.7,.291,.392,.566,51.8,46.8,9.9,9.0,.541,14.7,30.1,.205
45,Central Connecticut State,32,10,22,.313,-13.95,-9.77,,7,9,,6,7,,4,14,,2111,2245,,65.7,105.6,.264,.372,.543,50.5,56.5,10.1,9.0,.513,14.5,28.2,.197
46,Central Florida,33,19,14,.576,11.83,5.22,,8,10,,11,6,,5,6,,2378,2160,,65.9,96.7,.329,.388,.517,48.5,53.2,10.0,8.7,.478,18.9,31.0,.239
47,Central Michigan,31,10,21,.323,-11.63,-2.28,,5,13,,6,8,,3,12,,2038,2263,,69.0,105.4,.396,.418,.542,50.2,51.9,12.0,8.2,.510,16.6,31.7,.268
48,Charleston Southern,31,10,21,.323,-9.41,-4.44,,5,13,,6,8,,3,12,,2251,2305,,67.1,110.3,.354,.403,.565,49.0,51.1,8.2,8.1,.532,14.6,29.4,.255
49,Charlotte,32,18,14,.563,3.68,-0.29,,9,11,,11,4,,5,8,,2135,2008,,61.5,100.1,.254,.385,.531,49.8,42.2,9.0,9.3,.502,15.7,23.8,.187
50,Chattanooga,35,18,17,.514,-2.20,-3.20,,7,11,,9,7,,6,9,,2702,2523,,68.9,104.3,.279,.425,.531,48.3,45.5,9.0,8.6,.494,13.4,25.8,.214
51,Chicago State,31,11,20,.355,-10.97,-3.19,,,,,8,0,,3,20,,2180,2264,,66.8,108.9,.326,.381,.550,48.8,55.5,10.0,11.1,.521,14.8,31.6,.228
52,Cincinnati,34,22,12,.647,12.23,5.26,,11,7,,16,3,,4,6,,2629,2356,,69.8,98.5,.284,.312,.513,48.3,49.8,7.6,7.3,.477,15.2,26.9,.211
