School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Abilene Christian,29,13,16,0.448,-11.86,-7.1,7,11,9,5,4,11,2009,2073,1180,708,1557,0.455,210,581,0.361,447,671,0.666,294,1017,393,178,88,427,502,68.0,103.3,0.431,0.373,0.553,52.9,55.5,8.9,8.8,0.522,18.5,30.1,0.287,NA,NA
UAB,33,17,16,0.515,-1.17,-1.83,9,9,11,5,4,8,2369,2316,1330,836,1941,0.431,250,731,0.342,394,569,0.692,339,1080,420,219,100,381,593,67.8,102.8,0.293,0.377,0.524,47.6,50.2,9.7,8.2,0.495,14.7,28.1,0.203,NA,NA
Alabama,34,19,15,0.559,11.29,7.47,10,8,11,6,5,6,2330,2200,1380,748,1848,0.405,209,628,0.333,495,738,0.671,329,1138,325,215,100,460,662,67.4,94.7,0.399,0.34,0.5,46.2,43.4,9.3,8.3,0.461,17.3,26.6,0.268,NA,NA
Albany (NY),35,21,14,0.6,-0.16,-4.69,10,6,11,5,9,8,2496,2301,1400,808,1873,0.431,276,809,0.341,409,578,0.708,262,1008,442,197,144,399,630,65.3,100.7,0.309,0.432,0.536,44.5,54.7,8.6,10.1,0.505,15.7,23.0,0.218,NA,NA
American,30,8,22,0.267,-10.3,-3.5,5,13,4,11,4,11,1845,2049,1205,716,1528,0.469,172,468,0.368,445,632,0.704,258,996,384,198,84,397,493,65.2,104.4,0.414,0.306,0.56,53.4,53.6,10.1,8.3,0.525,17.8,28.0,0.291,NA,NA
Appalachian State,30,9,21,0.3,-8.67,-1.6,4,14,8,6,1,14,2208,2279,1205,788,1718,0.459,194,516,0.376,509,742,0.686,284,1097,394,180,105,382,621,72.1,104.9,0.432,0.3,0.55,49.3,50.0,8.3,10.1,0.515,15.6,26.5,0.296,NA,NA
Arizona State,33,15,18,0.455,4.02,7.11,7,11,9,7,4,6,2593,2695,1325,978,2040,0.479,304,835,0.364,435,611,0.712,366,1310,621,171,130,440,604,72.5,112.2,0.3,0.409,0.578,54.9,63.5,7.1,11.3,0.554,15.9,32.2,0.213,NA,NA
Arizona,37,32,5,0.865,18.25,7.63,16,2,15,1,9,1,2833,2440,1480,893,2121,0.421,239,772,0.31,415,607,0.684,339,1107,477,175,109,432,729,67.3,98.0,0.286,0.364,0.506,44.9,53.4,7.0,7.7,0.477,15.2,25.7,0.196,2.0,S16
Little Rock,32,15,17,0.469,-6.07,-3.8,6,12,9,6,4,9,2188,2185,1290,739,1661,0.445,228,633,0.36,479,668,0.717,280,1034,404,172,79,430,528,66.1,102.6,0.402,0.381,0.552,49.4,54.7,8.1,6.9,0.514,17.9,27.1,0.288,NA,NA
Arkansas,36,26,10,0.722,14.04,8.6,12,6,15,3,6,5,2855,2659,1440,901,2159,0.417,263,792,0.332,594,843,0.705,460,1322,454,187,118,477,670,71.7,103.1,0.39,0.367,0.519,50.5,50.4,7.2,7.7,0.478,15.7,33.9,0.275,8.0,R32
Auburn,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,1290,861,1972,0.437,273,765,0.357,551,765,0.72,398,1248,435,197,93,482,725,75.2,105.0,0.388,0.388,0.545,51.6,50.5,8.1,7.9,0.506,17.1,33.2,0.279,NA,NA
Austin Peay,30,11,19,0.367,-11.0,-2.32,7,9,5,8,4,11,2331,2515,1215,922,1877,0.491,264,714,0.37,407,558,0.729,364,1122,473,167,85,407,616,71.8,115.3,0.297,0.38,0.587,55.1,51.3,7.7,7.9,0.562,16.0,35.3,0.217,NA,NA
Baylor,35,27,8,0.771,19.75,11.87,12,6,15,2,6,4,2550,2228,1400,794,1960,0.405,222,687,0.323,418,586,0.713,351,1023,462,189,126,397,645,65.3,97.5,0.299,0.351,0.498,43.5,58.2,8.3,9.6,0.462,15.1,28.6,0.213,3.0,S16
Belmont,30,23,7,0.767,4.28,-1.69,15,1,12,1,11,4,2302,2078,1205,742,1739,0.427,178,559,0.318,416,558,0.746,263,973,340,171,87,340,534,69.0,100.0,0.321,0.321,0.518,47.9,45.8,8.2,10.8,0.478,14.5,24.7,0.239,NA,NA
Boise State,32,20,12,0.625,5.52,2.72,12,6,11,3,8,7,2404,2278,1280,775,1815,0.427,183,544,0.336,545,748,0.729,296,1081,378,192,147,378,650,70.4,101.1,0.412,0.3,0.525,48.7,48.8,8.5,13.7,0.477,14.8,26.3,0.3,NA,NA
Bradley,33,13,20,0.394,-2.84,2.94,7,11,8,7,3,10,2163,2333,1325,775,1854,0.418,248,725,0.342,535,748,0.715,359,1195,453,258,103,432,652,68.6,102.6,0.403,0.391,0.528,50.8,58.5,11.3,9.3,0.485,16.4,29.5,0.289,NA,NA
Brigham Young,34,22,12,0.647,8.22,1.87,12,6,14,4,5,4,2741,2525,1360,906,2175,0.417,274,846,0.324,437,677,0.645,349,1230,484,237,101,416,726,75.6,98.2,0.311,0.389,0.506,46.5,53.4,9.2,7.3,0.48,14.3,24.9,0.201,NA,NA
Bucknell,35,26,9,0.743,5.89,-2.48,15,3,14,2,9,6,2669,2376,1400,860,2017,0.426,216,631,0.342,440,667,0.66,347,1176,424,246,105,487,673,70.7,96.1,0.331,0.313,0.509,49.4,49.3,9.9,8.7,0.48,17.3,27.8,0.218,13.0,R64
Buffalo,32,17,15,0.531,0.92,-1.01,11,7,8,4,8,7,2486,2375,1285,794,1914,0.415,233,671,0.347,554,812,0.682,362,1144,405,204,106,410,630,72.9,101.4,0.424,0.351,0.516,46.9,51.0,8.7,8.7,0.476,15.1,28.7,0.289,NA,NA
Butler,34,25,9,0.735,17.7,10.23,12,6,13,3,7,4,2595,2341,1370,818,1837,0.445,231,693,0.333,474,680,0.697,293,1065,366,171,87,451,653,67.3,101.6,0.37,0.377,0.542,49.4,44.7,7.4,7.3,0.508,17.3,26.7,0.258,4.0,S16
Cal Poly,31,11,20,0.355,-10.71,-4.22,6,10,6,6,5,11,2082,2242,1250,791,1696,0.466,184,471,0.391,476,664,0.717,300,1155,397,147,94,372,553,66.7,107.5,0.392,0.278,0.557,53.5,50.2,7.1,9.0,0.521,15.6,29.9,0.281,NA,NA
Cal State Bakersfield,35,25,10,0.714,3.21,-1.94,12,2,12,1,11,6,2502,2235,1425,696,1874,0.371,242,762,0.318,601,870,0.691,389,1232,385,213,118,584,686,69.7,90.1,0.464,0.407,0.489,47.7,55.3,8.6,8.5,0.436,20.3,29.8,0.321,NA,NA
Cal State Fullerton,32,17,15,0.531,-7.55,-6.85,10,6,12,4,4,8,2351,2280,1315,771,1823,0.423,212,639,0.332,526,729,0.722,297,1094,384,196,105,457,642,70.7,98.0,0.4,0.351,0.526,47.8,49.8,8.4,8.6,0.481,17.4,25.9,0.289,NA,NA
UC Davis,36,23,13,0.639,-5.21,-4.68,11,5,11,0,6,9,2525,2506,1455,889,2086,0.426,253,768,0.329,475,666,0.713,347,1241,479,248,122,503,759,70.2,98.1,0.319,0.368,0.522,49.2,53.9,9.7,8.9,0.487,17.3,27.5,0.228,16.0,R64
UC Irvine,36,21,15,0.583,0.18,-2.7,12,4,11,2,8,9,2514,2331,1450,779,2034,0.383,221,682,0.324,552,789,0.7,352,1191,407,201,97,379,638,67.1,95.8,0.388,0.335,0.484,45.5,52.2,8.3,7.3,0.437,13.6,25.5,0.271,NA,NA
UC Santa Barbara,28,6,22,0.214,-13.49,-2.0,4,12,5,8,1,12,1701,1987,1125,702,1572,0.447,236,698,0.338,347,502,0.691,275,1049,449,151,87,326,452,66.2,106.7,0.319,0.444,0.549,50.5,64.0,8.1,7.8,0.522,15.3,29.0,0.221,NA,NA
California,34,21,13,0.618,11.11,6.34,10,8,15,4,3,6,2316,2154,1380,757,1893,0.4,202,616,0.328,438,647,0.677,292,1095,390,162,123,379,636,66.3,94.2,0.342,0.325,0.489,45.3,51.5,7.1,9.9,0.453,14.7,23.9,0.231,NA,NA
Central Florida,36,24,12,0.667,9.58,3.69,11,7,15,3,6,6,2414,2202,1445,793,2175,0.365,273,873,0.313,343,485,0.707,370,1174,483,231,103,351,708,66.2,92.1,0.223,0.401,0.458,44.4,60.9,9.7,9.0,0.427,12.7,25.5,0.158,NA,NA
Chattanooga,31,19,12,0.613,1.1,-2.08,10,8,11,3,7,7,2314,2132,1245,748,1682,0.445,175,511,0.342,461,610,0.756,325,1040,365,196,106,463,602,68.1,100.6,0.363,0.304,0.541,50.9,48.8,9.2,10.1,0.497,19.0,32.2,0.274,NA,NA
Cincinnati,36,30,6,0.833,18.43,5.49,16,2,18,0,8,3,2674,2208,1450,767,1974,0.389,251,731,0.343,423,575,0.736,368,1162,405,130,113,475,606,65.1,93.6,0.291,0.37,0.491,46.7,52.8,5.5,8.4,0.452,17.4,29.2,0.214,6.0,R32
Clemson,33,17,16,0.515,13.22,9.98,6,12,11,6,3,7,2468,2361,1325,875,1930,0.453,254,713,0.356,357,467,0.764,360,1158,424,168,112,451,627,67.7,105.2,0.242,0.369,0.549,50.7,48.5,7.5,8.8,0.519,17.3,32.2,0.185,NA,NA
Cleveland State,31,9,22,0.29,-6.73,-1.53,5,13,5,6,2,14,2083,2222,1260,771,1685,0.458,212,606,0.35,468,684,0.684,324,1153,463,157,105,485,557,68.8,102.6,0.406,0.36,0.553,53.0,60.1,7.2,9.3,0.52,19.4,32.1,0.278,NA,NA
Coastal Carolina,39,20,19,0.513,-3.94,-1.48,10,8,15,6,3,12,2833,2858,1570,979,2345,0.417,369,1098,0.336,531,751,0.707,385,1449,512,232,131,470,700,71.0,102.5,0.32,0.468,0.529,48.0,52.3,8.3,9.0,0.496,14.8,26.1,0.226,NA,NA
Colgate,32,10,22,0.313,-8.47,-3.6,8,10,4,8,6,12,2145,2273,1305,782,1732,0.452,252,672,0.375,457,660,0.692,263,1049,419,239,100,380,560,66.4,104.9,0.381,0.388,0.556,50.3,53.6,11.0,10.4,0.524,15.7,25.4,0.264,NA,NA
College of Charleston,35,25,10,0.714,3.99,-0.19,14,4,12,2,10,5,2416,2260,1405,813,1942,0.419,229,744,0.308,405,612,0.662,360,1237,393,135,116,432,677,65.6,98.1,0.315,0.383,0.506,50.9,48.3,5.9,9.7,0.478,16.2,28.8,0.209,NA,NA
