School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Texas-Rio Grande Valley,32,15,17,.469,-6.16,-0.23,5,12,12,6,3,10,2518,2502,1290,868,1852,.469,222,655,.339,560,802,.698,345,1211,505,151,104,514,641,74.3,105.1,.433,.354,.564,52.4,58.2,6.3,8.3,.529,18.7,30.9,.302,,,
The Citadel,32,10,22,.313,-12.01,-3.66,5,13,5,9,4,11,2158,2374,1280,771,1786,.432,228,702,.325,388,514,.755,234,1015,365,176,85,393,539,68.2,98.9,.288,.393,.531,46.1,47.3,8.1,7.8,.496,16.2,21.8,.217,,,
Toledo,36,28,8,.778,6.39,-1.92,16,2,13,1,10,4,3082,2776,1440,1091,2202,.495,307,778,.395,593,772,.768,364,1227,535,248,106,355,581,71.2,120.2,.351,.353,.600,50.0,49.0,9.7,7.7,.565,12.1,30.3,.269,,,
Towson,33,21,12,.636,0.28,-4.75,12,6,10,2,8,7,2368,2202,1335,860,1922,.447,243,663,.367,405,572,.708,407,1232,461,205,113,404,538,65.7,108.1,.298,.345,.540,54.4,53.6,9.4,10.2,.511,15.6,35.7,.211,,,
Troy,33,20,13,.606,1.49,-1.15,11,7,11,3,7,8,2414,2204,1330,858,1945,.441,255,798,.320,443,632,.701,362,1151,447,288,86,424,559,69.2,105.0,.325,.410,.538,50.3,52.1,12.5,7.4,.507,15.9,30.8,.228,,,
Tulane,31,20,11,.645,5.86,3.08,12,6,12,3,5,4,2478,2392,1260,861,1873,.460,241,713,.338,515,663,.777,211,1037,485,262,130,351,511,74.0,106.3,.354,.381,.566,45.5,56.3,11.2,11.4,.524,13.8,19.3,.275,,,
Tulsa,30,5,25,.167,-8.01,4.13,1,17,4,10,0,12,1959,2323,1210,715,1733,.413,230,735,.313,299,463,.646,271,958,348,164,45,397,464,68.7,94.2,.267,.424,.502,45.2,48.7,7.9,4.1,.479,16.9,24.8,.173,,,
UAB,36,26,10,.722,10.43,1.20,14,6,16,2,6,5,2941,2561,1480,1038,2278,.456,262,733,.357,603,819,.736,489,1465,524,298,155,470,629,71.4,111.4,.360,.322,.551,53.9,50.5,11.3,11.3,.513,15.0,36.2,.265,,,
UC Davis,32,18,14,.563,0.00,-1.43,11,8,10,4,5,9,2392,2274,1295,809,1820,.445,214,630,.340,560,790,.709,377,1186,389,227,90,471,600,70.9,104.2,.434,.346,.545,53.0,48.1,9.9,6.9,.503,17.7,33.7,.308,,,
UC Irvine,35,23,12,.657,4.45,-0.31,15,5,11,4,9,7,2617,2352,1405,969,2082,.465,247,656,.377,432,600,.720,341,1296,517,245,87,431,666,70.0,106.4,.288,.315,.553,52.2,53.4,10.0,6.7,.525,15.4,28.6,.207,,,
UC Riverside,34,22,12,.647,1.04,-0.02,14,6,9,4,9,7,2463,2352,1380,906,2047,.443,284,784,.362,367,526,.698,390,1251,450,175,61,417,629,67.4,105.9,.257,.383,.536,53.7,49.7,7.5,4.7,.512,15.4,32.0,.179,,,
UC San Diego,30,10,20,.333,-6.66,-0.48,5,13,4,10,6,9,2057,2189,1230,740,1720,.430,228,695,.328,349,472,.739,249,1004,359,174,67,362,482,67.0,99.9,.274,.404,.529,47.6,48.5,8.4,5.8,.497,15.7,23.7,.203,,,
UC Santa Barbara,34,27,7,.794,3.74,-2.32,15,5,12,3,10,4,2454,2231,1365,901,1826,.493,190,539,.353,462,635,.728,275,1090,483,219,86,383,547,65.6,109.7,.348,.295,.577,51.5,53.6,9.8,6.8,.545,15.3,27.0,.253,14,,SOUTH
UCLA,34,29,5,.853,22.64,9.02,18,2,17,0,9,2,2513,2050,1360,949,2071,.458,209,602,.347,406,562,.722,394,1213,483,287,131,349,533,67.3,109.8,.271,.291,.537,52.7,50.9,12.5,11.9,.509,13.0,33.6,.196,2,,WEST
UNC Asheville,34,27,7,.794,-1.47,-5.18,16,2,13,0,10,6,2551,2332,1380,878,1839,.477,268,687,.390,527,759,.694,287,1194,437,216,136,480,527,69.5,106.4,.413,.374,.580,50.8,49.8,9.0,10.1,.550,17.9,26.4,.287,15,,WEST
UNC Greensboro,32,20,12,.625,1.71,-2.85,14,4,11,3,8,6,2306,2064,1291,816,1831,.446,254,718,.354,420,587,.716,330,1180,465,228,83,376,535,67.2,106.4,.321,.392,.546,52.6,57.0,10.5,7.8,.515,15.1,30.2,.229,,,
UNC Wilmington,34,24,10,.706,-1.19,-3.07,12,6,11,3,8,6,2343,2187,1375,813,1832,.444,209,624,.335,508,697,.729,324,1130,365,230,95,408,624,65.4,104.2,.380,.341,.542,50.5,44.9,10.2,8.4,.501,15.9,29.0,.277,,,
UT Arlington,32,11,21,.344,-4.76,2.34,6,12,6,8,4,9,2125,2190,1285,772,1863,.414,207,643,.322,374,570,.656,407,1148,432,204,96,443,619,67.6,97.9,.306,.345,.498,51.5,56.0,9.4,9.0,.470,17.2,34.5,.201,,,
Utah,32,17,15,.531,11.79,6.98,10,10,12,5,4,7,2197,2043,1285,791,1852,.427,232,698,.332,383,541,.708,357,1254,462,161,126,384,487,66.5,102.9,.292,.377,.521,52.8,58.4,7.5,10.1,.490,15.4,31.3,.207,,,
Utah State,34,26,8,.765,14.97,7.00,13,5,14,2,6,4,2671,2370,1365,919,1916,.480,321,816,.393,512,670,.764,291,1210,573,170,115,411,578,69.2,113.1,.350,.426,.598,52.9,62.4,7.2,8.6,.563,15.5,27.3,.267,10,,SOUTH
Utah Tech,33,14,19,.424,0.16,1.33,5,13,9,5,3,13,2495,2420,1330,828,1802,.459,285,749,.381,554,787,.704,321,1125,434,219,74,497,647,70.8,105.9,.437,.416,.573,51.5,52.4,9.3,6.4,.539,18.6,29.3,.307,,,
Utah Valley,34,26,8,.765,7.86,1.24,15,3,13,1,11,5,2624,2320,1375,933,2012,.464,223,674,.331,535,722,.741,347,1364,550,223,229,469,607,72.1,105.8,.359,.335,.557,52.5,58.9,9.0,15.7,.519,16.6,29.5,.266,,,
