School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
North Dakota State,33,20,13,0.606,-0.93,-2.99,8,8,12,1,4,11,2271,2129,1325,772,1830,0.422,185,573,0.323,400,568,0.704,295,1114,375,177,93,378,589,65.8,97.7,0.31,0.313,0.507,49.2,48.6,8.1,7.7,0.472,15.3,25.8,0.219,NA,NA
North Dakota,33,17,16,0.515,-3.68,-4.91,10,8,10,5,4,9,2474,2366,1340,838,1913,0.438,252,737,0.342,438,702,0.624,311,1196,447,208,94,481,679,72.3,97.6,0.367,0.385,0.527,49.7,53.3,8.6,6.9,0.504,17.6,25.3,0.229,NA,NA
North Florida,34,22,12,0.647,-1.41,-3.92,10,4,14,3,7,9,2865,2704,1360,1049,2261,0.464,205,609,0.337,401,598,0.671,443,1312,500,212,83,368,615,72.4,109.9,0.264,0.269,0.531,52.9,47.7,8.6,7.8,0.509,12.6,33.6,0.177,NA,NA
North Texas,32,12,20,0.375,-9.83,-3.23,7,11,11,7,1,12,2386,2505,1285,864,1878,0.46,232,645,0.36,545,784,0.695,347,1179,428,226,118,400,689,71.9,108.4,0.417,0.343,0.557,50.4,49.5,9.8,9.3,0.522,15.1,30.4,0.29,NA,NA
Northeastern,33,18,15,0.545,1.6,1.35,9,9,7,7,8,7,2376,2339,1365,883,1935,0.456,221,655,0.337,352,540,0.652,335,1161,485,188,109,395,634,66.0,103.8,0.279,0.339,0.534,51.1,54.9,8.3,10.5,0.513,15.3,29.1,0.182,NA,NA
Northern Iowa,36,23,13,0.639,8.78,4.44,11,7,11,3,6,8,2475,2303,1455,850,2011,0.423,255,795,0.321,348,483,0.72,326,1238,434,172,95,420,667,64.1,98.8,0.24,0.395,0.514,53.2,51.1,7.4,8.9,0.486,15.8,26.7,0.173,11.0,R32
Northern Kentucky,30,9,21,0.3,-6.87,-0.69,5,13,7,7,2,13,2116,2233,1210,754,1721,0.438,202,559,0.361,523,711,0.736,311,1071,397,201,112,347,529,69.4,106.4,0.413,0.325,0.542,50.9,52.7,9.6,10.5,0.497,14.4,29.3,0.304,NA,NA
Northwestern,32,20,12,0.625,10.16,4.12,8,10,14,4,5,6,2304,2111,1305,716,1784,0.401,227,658,0.345,452,625,0.723,325,1105,448,157,97,345,544,64.4,100.5,0.35,0.369,0.507,48.6,62.6,7.5,9.0,0.465,14.2,28.3,0.253,NA,NA
Notre Dame,36,24,12,0.667,14.1,9.57,11,7,14,2,5,5,2704,2541,1445,930,2154,0.432,274,742,0.369,407,559,0.728,410,1210,493,194,110,346,615,65.0,108.3,0.26,0.344,0.525,48.9,53.0,8.3,8.2,0.495,12.5,31.7,0.189,6.0,E8
Ohio State,35,21,14,0.6,9.39,7.08,11,7,15,6,4,6,2462,2381,1420,839,2076,0.404,257,770,0.334,446,632,0.706,391,1263,427,175,78,412,665,67.7,99.1,0.304,0.371,0.501,48.7,50.9,7.3,5.8,0.466,14.8,29.1,0.215,NA,NA
Ohio,35,23,12,0.657,1.9,-1.18,11,7,16,3,5,6,2746,2617,1410,919,2117,0.434,261,720,0.363,518,704,0.736,326,1197,412,209,89,356,690,70.4,105.5,0.333,0.34,0.534,48.9,44.8,8.4,7.3,0.496,12.7,25.3,0.245,NA,NA
Oklahoma State,32,12,20,0.375,8.18,8.81,3,15,8,8,1,9,2128,2148,1295,725,1769,0.41,216,631,0.342,482,723,0.667,383,1151,359,205,94,368,617,65.0,102.0,0.409,0.357,0.508,50.9,49.5,9.7,8.7,0.471,14.8,32.3,0.272,NA,NA
Oklahoma,37,29,8,0.784,19.76,11.14,12,6,14,1,7,5,2948,2629,1495,953,2314,0.412,278,825,0.337,445,656,0.678,434,1341,411,268,118,468,694,71.0,99.0,0.283,0.357,0.501,48.6,43.1,10.1,8.9,0.472,15.1,30.0,0.192,2.0,F4
Old Dominion,38,25,13,0.658,4.66,-2.31,12,6,11,4,7,6,2604,2339,1530,797,2007,0.397,231,733,0.315,514,718,0.716,356,1229,399,161,121,413,684,62.8,97.3,0.358,0.365,0.498,45.5,50.1,6.7,7.1,0.455,15.0,26.8,0.256,NA,NA
Oral Roberts,31,14,17,0.452,-2.69,0.59,6,10,8,4,4,12,2356,2384,1245,861,1909,0.451,227,619,0.367,435,595,0.731,324,1092,386,184,82,352,594,71.2,107.6,0.312,0.324,0.544,49.8,44.8,8.3,6.3,0.51,13.8,28.8,0.228,NA,NA
Oregon State,32,19,13,0.594,10.39,9.26,9,9,12,3,4,7,2301,2244,1280,766,1788,0.428,226,695,0.325,486,699,0.695,364,1180,445,160,121,430,599,68.4,102.5,0.391,0.389,0.529,51.7,58.1,7.3,9.6,0.492,16.9,32.2,0.272,7.0,R64
Oregon,38,31,7,0.816,18.05,8.64,14,4,18,0,5,5,2990,2614,1525,931,2199,0.423,272,754,0.361,480,690,0.696,408,1257,486,174,114,533,779,69.5,98.6,0.314,0.343,0.517,47.6,52.2,6.6,7.7,0.485,17.4,30.3,0.218,1.0,E8
Pennsylvania,28,11,17,0.393,-6.18,-2.15,5,9,9,6,2,11,1911,2013,1130,732,1653,0.443,181,520,0.348,368,550,0.669,308,1030,347,175,102,323,512,68.4,104.2,0.333,0.315,0.526,50.7,47.4,9.1,10.7,0.498,14.4,30.1,0.223,NA,NA
Pittsburgh,33,21,12,0.636,15.47,8.75,9,9,15,4,3,6,2476,2220,1330,798,1844,0.433,222,631,0.352,402,608,0.661,310,1022,437,186,110,379,597,66.4,100.6,0.33,0.342,0.52,44.8,54.8,8.4,8.3,0.493,15.1,27.0,0.218,10.0,R64
Prairie View,31,7,24,0.226,-17.43,-6.82,7,11,4,6,3,16,1873,2202,1240,748,1637,0.457,164,536,0.306,542,776,0.698,366,1167,415,221,140,498,591,68.9,103.0,0.474,0.327,0.549,53.9,55.5,10.3,11.1,0.507,19.9,36.3,0.331,NA,NA
Princeton,29,22,7,0.759,7.17,-1.72,12,2,13,0,9,6,2294,1989,1175,737,1691,0.436,169,486,0.348,346,519,0.667,272,985,335,164,115,372,532,69.4,97.5,0.307,0.287,0.513,48.0,45.5,8.0,11.6,0.486,16.1,25.8,0.205,NA,NA
