School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,34,27,7,0.794,-1.91,-7.34,14,4,13,2,10,4,2502,2161,1370,753,1737,0.434,191,578,0.33,464,643,0.722,295,1098,356,192,92,560,592,67.2,93.8,0.37,0.333,0.529,49.7,47.3,8.3,7.4,0.488,21.5,27.3,0.267,15.0,R64,MIDWEST
UAB,35,20,15,0.571,0.36,-1.52,10,8,11,5,6,6,2470,2370,1410,811,1960,0.414,297,873,0.34,451,616,0.732,310,1149,444,178,110,421,562,66.6,100.9,0.314,0.445,0.526,47.3,54.7,7.6,8.4,0.49,15.7,25.4,0.23,,,
Alabama,34,18,16,0.529,9.45,9.01,8,10,10,6,4,8,2448,2433,1365,890,2047,0.435,223,670,0.333,430,605,0.711,350,1185,384,221,144,402,644,69.8,102.1,0.296,0.327,0.521,48.0,43.1,9.3,11.7,0.489,14.7,28.0,0.21,,,
Albany (NY),32,12,20,0.375,-9.38,-6.7,7,9,6,8,6,10,2150,2216,1300,807,1797,0.449,253,703,0.36,349,533,0.655,301,1092,462,206,118,406,556,66.7,102.3,0.297,0.391,0.54,50.3,57.2,9.5,12.3,0.519,16.5,27.7,0.194,,,
American,30,15,15,0.5,-4.19,-7.23,9,9,8,7,6,8,2161,2070,1220,747,1709,0.437,152,520,0.292,424,595,0.713,287,999,375,191,98,366,526,67.7,100.2,0.348,0.304,0.52,49.6,50.2,9.2,9.2,0.482,15.5,27.3,0.248,,,
Appalachian State,32,11,21,0.344,-3.73,0.1,6,12,9,5,2,12,2557,2539,1290,916,1960,0.467,242,659,0.367,465,659,0.706,329,1190,418,225,100,428,636,73.7,106.8,0.336,0.336,0.559,51.4,45.6,9.5,8.9,0.529,15.8,28.7,0.237,,,
Arizona State,34,23,11,0.676,10.28,6.04,12,6,13,3,6,5,2638,2494,1380,828,2007,0.413,292,874,0.334,546,774,0.705,343,1218,449,221,113,476,735,72.5,99.6,0.386,0.435,0.525,47.4,54.2,8.8,8.7,0.485,16.7,26.5,0.272,11.0,R64,WEST
Arizona,32,17,15,0.531,8.32,6.32,8,10,12,5,4,7,2269,2205,1290,787,1756,0.448,213,648,0.329,418,615,0.68,277,1094,376,173,123,450,621,68.6,99.7,0.35,0.369,0.538,49.5,47.8,7.8,10.6,0.509,18.0,25.9,0.238,,,
Little Rock,31,10,21,0.323,-4.87,-2.07,5,13,7,9,3,12,2301,2353,1250,792,1799,0.44,278,788,0.353,491,692,0.71,301,1068,434,175,79,439,648,72.7,103.5,0.385,0.438,0.553,50.2,54.8,7.7,7.1,0.518,17.1,26.9,0.273,,,
Arkansas,34,18,16,0.529,11.75,8.78,8,10,12,6,5,8,2559,2458,1370,817,1929,0.424,270,811,0.333,554,804,0.689,426,1301,441,212,113,553,729,71.7,100.1,0.417,0.42,0.532,53.0,54.0,8.6,9.0,0.494,19.3,34.5,0.287,,,
