School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
Long Island University,30,12,18,0.4,-9.09,-5.32,8,10,5,6,6,9,2022.0,2135.0,1230.0,760.0,1755.0,0.433,178.0,585.0,0.304,437.0,625.0,0.699,339.0,1145.0,392.0,182.0,131.0,381.0,634.0,68.1,101.9,0.356,0.333,0.52,50.5,51.6,8.7,11.6,0.484,15.7,31.0,0.249,,,,2015
Louisiana,36,22,14,0.611,0.82,-3.61,13,7,12,4,8,8,2789.0,2520.0,1450.0,897.0,2107.0,0.426,202.0,627.0,0.322,524.0,767.0,0.683,368.0,1191.0,385.0,247.0,130.0,486.0,696.0,71.6,97.1,0.364,0.298,0.51,45.6,42.9,9.5,8.9,0.474,16.4,27.5,0.249,,,,2015
Louisiana State,33,22,11,0.667,11.39,5.63,11,7,13,4,8,3,2423.0,2233.0,1350.0,824.0,2052.0,0.402,185.0,599.0,0.309,400.0,604.0,0.662,438.0,1219.0,386.0,264.0,123.0,450.0,584.0,69.6,95.0,0.294,0.292,0.477,48.5,46.8,11.2,8.8,0.447,16.1,32.9,0.195,9.0,R64,EAST,2015
Louisville,36,27,9,0.75,18.12,8.98,12,6,15,4,7,3,2483.0,2154.0,1450.0,767.0,1958.0,0.392,189.0,623.0,0.303,431.0,652.0,0.661,400.0,1256.0,424.0,206.0,99.0,506.0,692.0,65.6,90.7,0.333,0.318,0.475,48.2,55.3,8.7,7.1,0.44,18.2,30.8,0.22,4.0,E8,EAST,2015
Loyola (IL),37,24,13,0.649,2.35,0.46,8,10,13,6,8,6,2324.0,2235.0,1485.0,818.0,1893.0,0.432,226.0,704.0,0.321,373.0,551.0,0.677,373.0,1120.0,442.0,236.0,122.0,462.0,616.0,60.4,99.7,0.291,0.372,0.519,51.0,54.0,10.5,10.1,0.492,17.7,32.2,0.197,,,,2015
Manhattan,33,19,14,0.576,-1.34,-3.34,13,7,9,2,5,9,2300.0,2234.0,1340.0,736.0,1683.0,0.437,148.0,457.0,0.324,614.0,880.0,0.698,357.0,1128.0,440.0,227.0,127.0,545.0,725.0,68.2,97.9,0.523,0.272,0.532,51.4,59.8,9.9,11.5,0.481,20.6,33.1,0.365,16.0,R68,MIDWEST,2015
Marquette,32,13,19,0.406,7.08,9.02,4,14,9,8,1,9,2083.0,2145.0,1290.0,762.0,1787.0,0.426,234.0,650.0,0.36,387.0,542.0,0.714,398.0,1147.0,478.0,200.0,124.0,438.0,577.0,64.6,102.9,0.303,0.364,0.525,53.4,62.7,9.6,11.3,0.492,17.6,36.4,0.217,,,,2015
Marshall,32,11,21,0.344,-6.45,-0.22,7,11,10,7,1,12,2137.0,2288.0,1285.0,818.0,1916.0,0.427,218.0,681.0,0.32,434.0,685.0,0.634,396.0,1264.0,440.0,258.0,90.0,432.0,591.0,71.0,100.3,0.358,0.355,0.51,51.4,53.8,11.3,8.6,0.484,16.2,32.1,0.227,,,,2015
Maryland-Baltimore County,30,4,26,0.133,-16.17,-5.14,2,14,2,11,2,15,1682.0,2013.0,1205.0,720.0,1604.0,0.449,203.0,562.0,0.361,370.0,530.0,0.698,297.0,1038.0,408.0,261.0,92.0,383.0,545.0,64.4,103.8,0.33,0.35,0.542,53.5,56.7,13.5,9.5,0.512,17.1,30.5,0.231,,,,2015
Maryland,35,28,7,0.8,13.32,7.63,14,4,18,1,6,4,2417.0,2218.0,1410.0,800.0,2026.0,0.395,242.0,759.0,0.319,376.0,570.0,0.66,399.0,1170.0,385.0,200.0,105.0,391.0,706.0,64.7,97.3,0.281,0.375,0.483,48.9,48.1,8.8,9.6,0.455,14.5,30.5,0.186,4.0,R32,MIDWEST,2015
Massachusetts,32,17,15,0.531,3.59,4.69,10,8,10,5,5,8,2220.0,2255.0,1290.0,810.0,1860.0,0.435,191.0,546.0,0.35,444.0,655.0,0.678,360.0,1108.0,456.0,232.0,139.0,386.0,625.0,68.3,102.3,0.352,0.294,0.519,48.5,56.3,10.5,10.7,0.487,15.1,31.2,0.239,,,,2015
Memphis,32,18,14,0.563,7.15,2.9,10,8,12,6,4,5,2155.0,2019.0,1290.0,694.0,1749.0,0.397,164.0,540.0,0.304,467.0,677.0,0.69,363.0,1060.0,376.0,238.0,113.0,406.0,517.0,65.6,95.4,0.387,0.309,0.488,47.0,54.2,11.2,8.6,0.444,16.4,31.6,0.267,,,,2015
Mercer,35,19,16,0.543,-2.01,-4.1,12,6,12,4,5,9,2334.0,2196.0,1430.0,771.0,1869.0,0.413,262.0,757.0,0.346,392.0,595.0,0.659,383.0,1153.0,441.0,188.0,123.0,424.0,643.0,61.2,100.4,0.318,0.405,0.51,49.2,57.2,8.6,10.0,0.483,16.5,32.2,0.21,,,,2015
Miami (FL),38,25,13,0.658,12.0,7.05,10,8,12,6,8,4,2592.0,2404.0,1545.0,888.0,2111.0,0.421,232.0,717.0,0.324,396.0,602.0,0.658,390.0,1287.0,446.0,192.0,127.0,417.0,661.0,62.5,99.5,0.285,0.34,0.501,49.4,50.2,7.9,10.3,0.476,14.8,29.3,0.188,,,,2015
Michigan State,39,27,12,0.692,17.46,10.0,12,6,12,4,7,4,2773.0,2482.0,1605.0,833.0,2104.0,0.396,224.0,712.0,0.315,592.0,820.0,0.722,378.0,1247.0,409.0,217.0,110.0,416.0,701.0,63.0,98.2,0.39,0.338,0.498,46.1,49.1,8.6,7.8,0.449,14.3,27.0,0.281,7.0,F4,EAST,2015
Michigan,32,16,16,0.5,9.56,9.59,8,10,12,6,2,8,2071.0,2048.0,1310.0,764.0,1702.0,0.449,208.0,606.0,0.343,310.0,444.0,0.698,310.0,1090.0,410.0,142.0,95.0,387.0,502.0,60.7,103.0,0.261,0.356,0.535,53.0,53.7,7.1,9.2,0.51,16.8,30.7,0.182,,,,2015
Middle Tennessee,36,19,17,0.528,0.21,-0.39,9,9,12,4,4,10,2285.0,2247.0,1475.0,773.0,1761.0,0.439,201.0,570.0,0.353,500.0,731.0,0.684,289.0,1118.0,418.0,223.0,140.0,472.0,644.0,62.1,98.2,0.415,0.324,0.533,47.9,54.1,9.7,11.7,0.496,18.3,25.8,0.284,,,,2015
Milwaukee,30,14,16,0.467,-4.85,0.15,9,7,10,4,3,11,1963.0,2077.0,1200.0,759.0,1683.0,0.451,186.0,475.0,0.392,373.0,524.0,0.712,291.0,1007.0,365.0,210.0,98.0,320.0,553.0,65.4,105.9,0.311,0.282,0.538,50.6,48.1,10.7,10.4,0.506,14.2,28.8,0.222,,,,2015
Minnesota,33,18,15,0.545,12.34,7.21,6,12,13,6,3,7,2449.0,2233.0,1330.0,783.0,1794.0,0.436,240.0,660.0,0.364,427.0,608.0,0.702,373.0,1171.0,488.0,212.0,148.0,553.0,606.0,68.2,98.5,0.339,0.368,0.536,51.9,62.3,9.3,11.5,0.503,21.0,33.7,0.238,,,,2015
Mississippi State,32,13,19,0.406,2.53,4.72,6,12,9,8,3,8,1977.0,2032.0,1280.0,713.0,1713.0,0.416,210.0,641.0,0.328,396.0,622.0,0.637,347.0,1017.0,373.0,220.0,117.0,388.0,611.0,64.1,99.1,0.363,0.374,0.506,48.1,52.3,10.7,10.4,0.478,16.2,30.9,0.231,,,,2015
Mississippi,34,21,13,0.618,11.39,7.01,11,7,9,7,8,4,2475.0,2326.0,1369.0,762.0,1885.0,0.404,270.0,755.0,0.358,532.0,777.0,0.685,391.0,1197.0,484.0,167.0,122.0,430.0,635.0,67.0,101.4,0.412,0.401,0.516,48.2,63.5,7.3,9.1,0.476,16.0,31.4,0.282,11.0,R64,WEST,2015
Missouri,32,9,23,0.281,1.13,9.26,3,15,8,8,1,10,1935.0,2173.0,1290.0,726.0,1691.0,0.429,206.0,601.0,0.343,515.0,735.0,0.701,355.0,1130.0,377.0,190.0,111.0,353.0,568.0,63.4,106.3,0.435,0.355,0.533,51.8,51.9,9.3,10.1,0.49,14.8,32.9,0.305,,,,2015
Montana,33,20,13,0.606,-1.75,-3.78,14,4,13,4,7,9,2347.0,2219.0,1370.0,737.0,1690.0,0.436,229.0,638.0,0.359,516.0,718.0,0.719,300.0,1052.0,387.0,192.0,94.0,440.0,591.0,63.2,102.5,0.425,0.378,0.546,49.9,52.5,8.9,9.0,0.504,17.8,28.3,0.305,,,,2015
Morehead State,34,17,17,0.5,-0.66,-3.31,10,6,7,6,7,9,2420.0,2255.0,1370.0,717.0,1651.0,0.434,182.0,537.0,0.339,639.0,909.0,0.703,296.0,1053.0,404.0,196.0,164.0,507.0,620.0,67.0,98.3,0.551,0.325,0.541,46.6,56.3,8.5,12.7,0.489,19.6,27.4,0.387,,,,2015
Mount St. Mary's,30,15,15,0.5,-6.14,-4.4,11,7,9,4,5,11,1893.0,1945.0,1225.0,702.0,1578.0,0.445,162.0,465.0,0.348,379.0,561.0,0.676,314.0,1050.0,342.0,190.0,82.0,411.0,504.0,63.1,100.6,0.356,0.295,0.527,51.7,48.7,9.8,8.6,0.496,18.2,32.4,0.24,,,,2015
Murray State,35,29,6,0.829,7.13,-2.81,16,0,15,1,12,2,2764.0,2367.0,1410.0,811.0,1980.0,0.41,227.0,680.0,0.334,518.0,727.0,0.713,410.0,1158.0,418.0,196.0,103.0,462.0,680.0,67.5,99.5,0.367,0.343,0.509,47.3,51.5,8.2,7.8,0.467,16.6,32.0,0.262,,,,2015
Nebraska,31,13,18,0.419,5.9,7.58,5,13,10,6,1,11,1905.0,1957.0,1260.0,657.0,1627.0,0.404,208.0,622.0,0.334,435.0,627.0,0.694,323.0,1085.0,324.0,182.0,96.0,415.0,562.0,63.8,97.3,0.385,0.382,0.508,51.5,49.3,9.1,9.2,0.468,17.7,30.2,0.267,,,,2015
Nevada,31,9,22,0.29,-6.03,1.08,5,13,7,8,2,11,1874.0,2061.0,1245.0,707.0,1711.0,0.413,198.0,584.0,0.339,449.0,676.0,0.664,359.0,1040.0,397.0,191.0,134.0,313.0,575.0,63.8,103.8,0.395,0.341,0.507,46.0,56.2,9.6,10.7,0.471,13.3,32.0,0.262,,,,2015
New Mexico State,34,23,11,0.676,3.71,-3.67,13,1,15,2,6,8,2316.0,2033.0,1370.0,754.0,1774.0,0.425,129.0,421.0,0.306,396.0,572.0,0.692,339.0,983.0,370.0,186.0,76.0,448.0,652.0,62.9,94.3,0.322,0.237,0.497,45.1,49.1,8.6,5.9,0.461,18.0,30.5,0.223,15.0,R64,MIDWEST,2015
New Mexico,31,15,16,0.484,2.8,1.03,7,11,10,5,4,8,1921.0,1866.0,1255.0,643.0,1601.0,0.402,210.0,668.0,0.314,370.0,526.0,0.703,268.0,933.0,384.0,188.0,103.0,361.0,559.0,61.9,96.1,0.329,0.417,0.504,46.3,59.7,9.7,9.3,0.467,16.3,26.3,0.231,,,,2015
New Orleans,29,11,18,0.379,-11.86,-6.36,6,12,8,4,2,13,2062.0,2133.0,1170.0,753.0,1565.0,0.481,181.0,484.0,0.374,446.0,688.0,0.648,302.0,957.0,374.0,219.0,127.0,446.0,645.0,70.0,104.3,0.44,0.309,0.564,48.6,49.7,10.7,10.3,0.539,19.1,31.8,0.285,,,,2015
Norfolk State,34,20,14,0.588,-4.66,-6.35,12,4,10,3,7,10,2385.0,2254.0,1380.0,763.0,1863.0,0.41,251.0,748.0,0.336,477.0,728.0,0.655,367.0,1057.0,416.0,194.0,117.0,423.0,639.0,65.4,99.9,0.391,0.402,0.51,46.3,54.5,8.6,9.3,0.477,16.1,30.1,0.256,,,,2015
UNC Asheville,31,15,16,0.484,-7.19,-5.65,10,8,8,6,6,10,2242.0,2183.0,1245.0,742.0,1749.0,0.424,200.0,605.0,0.331,499.0,726.0,0.687,365.0,1098.0,414.0,237.0,105.0,411.0,547.0,69.0,101.7,0.415,0.346,0.521,49.5,55.8,11.0,9.4,0.481,16.4,32.2,0.285,,,,2015
North Carolina Central,33,25,8,0.758,0.66,-8.67,16,0,12,0,9,7,2278.0,1821.0,1325.0,594.0,1649.0,0.36,163.0,577.0,0.282,470.0,696.0,0.675,342.0,992.0,274.0,172.0,92.0,439.0,596.0,62.6,87.8,0.422,0.35,0.46,46.9,46.1,8.3,8.6,0.41,18.2,29.7,0.285,,,,2015
UNC Greensboro,33,11,22,0.333,-7.99,-4.36,6,12,6,10,4,9,2290.0,2337.0,1330.0,767.0,1742.0,0.44,223.0,634.0,0.352,580.0,814.0,0.713,328.0,1122.0,385.0,196.0,104.0,422.0,567.0,67.1,104.8,0.467,0.364,0.549,49.6,50.2,8.8,8.0,0.504,16.5,29.8,0.333,,,,2015
NC State,36,22,14,0.611,14.11,9.72,10,8,14,6,5,5,2525.0,2367.0,1450.0,827.0,2052.0,0.403,212.0,643.0,0.33,501.0,712.0,0.704,402.0,1247.0,426.0,191.0,141.0,349.0,681.0,64.5,101.2,0.347,0.313,0.495,47.7,51.5,8.2,10.1,0.455,12.7,30.1,0.244,8.0,S16,EAST,2015
UNC Wilmington,32,18,14,0.563,-2.53,-1.92,12,6,10,2,7,11,2239.0,2200.0,1295.0,737.0,1736.0,0.425,176.0,533.0,0.33,550.0,803.0,0.685,363.0,1144.0,367.0,199.0,113.0,449.0,581.0,67.9,100.1,0.463,0.307,0.519,50.3,49.8,9.1,8.3,0.475,17.5,32.0,0.317,,,,2015
North Carolina,38,26,12,0.684,20.63,11.76,11,7,10,5,7,4,2953.0,2616.0,1530.0,889.0,2232.0,0.398,247.0,822.0,0.3,591.0,843.0,0.701,460.0,1250.0,466.0,255.0,147.0,468.0,693.0,69.2,98.9,0.378,0.368,0.497,44.8,52.4,9.6,8.2,0.454,15.1,31.2,0.265,4.0,S16,WEST,2015
North Dakota State,33,23,10,0.697,-1.72,-3.63,12,4,14,0,5,8,2141.0,2057.0,1335.0,727.0,1726.0,0.421,213.0,578.0,0.369,388.0,525.0,0.739,248.0,1043.0,373.0,151.0,80.0,347.0,565.0,61.9,99.6,0.304,0.335,0.521,48.7,51.3,7.3,7.2,0.483,14.9,23.1,0.225,15.0,R64,SOUTH,2015
North Dakota,30,8,22,0.267,-12.16,-3.73,4,14,3,9,4,12,2032.0,2201.0,1211.0,765.0,1644.0,0.465,187.0,492.0,0.38,484.0,680.0,0.712,289.0,1068.0,397.0,193.0,103.0,400.0,565.0,68.2,106.7,0.414,0.299,0.559,52.6,51.9,9.4,9.4,0.522,16.9,29.2,0.294,,,,2015
North Florida,35,23,12,0.657,-0.82,-5.94,12,2,12,2,9,9,2651.0,2385.0,1400.0,879.0,2033.0,0.432,176.0,565.0,0.312,451.0,666.0,0.677,400.0,1187.0,413.0,229.0,95.0,425.0,648.0,67.7,100.7,0.328,0.278,0.508,49.3,47.0,9.7,8.6,0.476,15.3,31.3,0.222,16.0,R68,SOUTH,2015
North Texas,31,14,17,0.452,-4.95,-0.71,8,10,11,6,3,10,2025.0,2113.0,1245.0,727.0,1729.0,0.42,232.0,689.0,0.337,427.0,633.0,0.675,364.0,1115.0,369.0,215.0,101.0,424.0,573.0,67.0,101.3,0.366,0.398,0.521,50.5,50.8,10.3,8.5,0.488,17.3,32.5,0.247,,,,2015
Northeastern,35,23,12,0.657,2.03,-1.34,12,6,9,3,8,7,2397.0,2279.0,1415.0,875.0,1952.0,0.448,193.0,561.0,0.344,336.0,488.0,0.689,291.0,980.0,437.0,249.0,118.0,349.0,643.0,63.5,101.5,0.25,0.287,0.522,45.8,49.9,11.1,9.8,0.498,13.8,25.2,0.172,14.0,R64,MIDWEST,2015
Northern Iowa,35,31,4,0.886,12.54,2.0,16,2,16,0,9,3,2281.0,1912.0,1420.0,684.0,1732.0,0.395,211.0,657.0,0.321,333.0,468.0,0.712,301.0,991.0,332.0,167.0,83.0,391.0,646.0,57.4,93.8,0.27,0.379,0.489,48.1,48.5,8.2,8.5,0.456,16.7,26.9,0.192,5.0,R32,EAST,2015
Northern Kentucky,30,13,17,0.433,-6.85,-4.49,7,7,9,6,4,11,2117.0,2079.0,1210.0,684.0,1588.0,0.431,197.0,579.0,0.34,514.0,714.0,0.72,297.0,1008.0,340.0,165.0,102.0,325.0,487.0,65.1,105.6,0.45,0.365,0.539,49.9,49.7,8.4,9.8,0.493,14.4,29.3,0.324,,,,2015
Northwestern,32,15,17,0.469,6.11,7.2,6,12,11,7,3,8,2031.0,2066.0,1305.0,724.0,1740.0,0.416,237.0,629.0,0.377,381.0,571.0,0.667,347.0,1073.0,431.0,167.0,81.0,305.0,480.0,60.5,104.8,0.328,0.361,0.514,50.5,59.5,8.5,7.8,0.484,13.2,30.9,0.219,,,,2015
Notre Dame,38,32,6,0.842,19.23,7.02,14,4,17,2,7,2,2963.0,2499.0,1545.0,946.0,2214.0,0.427,227.0,697.0,0.326,380.0,533.0,0.713,435.0,1243.0,473.0,196.0,93.0,425.0,632.0,63.7,101.5,0.241,0.315,0.506,50.2,50.0,8.0,7.2,0.479,14.7,32.2,0.172,3.0,E8,MIDWEST,2015
Ohio State,35,24,11,0.686,19.68,7.37,11,7,18,2,4,6,2635.0,2204.0,1410.0,790.0,1959.0,0.403,238.0,739.0,0.322,384.0,545.0,0.705,401.0,1168.0,454.0,179.0,100.0,503.0,623.0,66.0,94.7,0.278,0.377,0.497,48.5,57.5,7.7,7.4,0.464,18.5,32.0,0.196,10.0,R32,WEST,2015
Ohio,30,10,20,0.333,-4.15,0.45,5,13,8,7,1,11,2028.0,2166.0,1205.0,764.0,1775.0,0.43,221.0,615.0,0.359,417.0,571.0,0.73,331.0,1096.0,356.0,188.0,85.0,313.0,491.0,67.2,106.9,0.322,0.346,0.529,51.7,46.6,9.3,8.2,0.493,13.3,30.5,0.235,,,,2015
Oklahoma State,32,18,14,0.563,12.95,9.63,8,10,12,4,3,8,2160.0,2011.0,1290.0,675.0,1673.0,0.403,183.0,538.0,0.34,478.0,697.0,0.686,352.0,1099.0,354.0,194.0,112.0,438.0,583.0,64.6,96.5,0.417,0.322,0.502,51.4,52.4,9.3,11.0,0.458,17.9,31.9,0.286,9.0,R64,WEST,2015
Oklahoma,35,24,11,0.686,18.65,9.94,12,6,14,1,5,6,2501.0,2196.0,1410.0,794.0,2057.0,0.386,225.0,710.0,0.317,383.0,585.0,0.655,432.0,1277.0,392.0,224.0,131.0,468.0,625.0,67.4,92.4,0.284,0.345,0.47,48.9,49.4,9.4,9.7,0.441,16.7,31.4,0.186,3.0,S16,EAST,2015
Old Dominion,35,27,8,0.771,7.68,-0.15,13,5,20,0,5,5,2273.0,1999.0,1410.0,672.0,1678.0,0.4,204.0,654.0,0.312,451.0,685.0,0.658,305.0,1084.0,338.0,165.0,96.0,451.0,591.0,61.1,92.9,0.408,0.39,0.499,46.1,50.3,7.7,7.4,0.461,18.4,26.9,0.269,,,,2015
Oral Roberts,34,19,15,0.559,-3.83,-1.99,10,6,12,2,5,11,2377.0,2343.0,1370.0,829.0,1859.0,0.446,208.0,570.0,0.365,477.0,675.0,0.707,345.0,1173.0,383.0,198.0,114.0,444.0,705.0,66.4,102.9,0.363,0.307,0.537,50.3,46.2,8.7,8.9,0.502,16.9,30.3,0.257,,,,2015
Oregon State,31,17,14,0.548,5.93,4.97,8,10,15,2,2,9,1887.0,1834.0,1245.0,576.0,1494.0,0.386,184.0,609.0,0.302,498.0,673.0,0.74,326.0,1044.0,348.0,190.0,97.0,456.0,555.0,62.1,94.9,0.45,0.408,0.506,51.8,60.4,9.8,9.0,0.447,20.1,32.4,0.333,,,,2015
Oregon,36,26,10,0.722,11.43,7.65,13,5,17,2,6,4,2713.0,2550.0,1460.0,902.0,2136.0,0.422,232.0,704.0,0.33,514.0,739.0,0.696,418.0,1252.0,429.0,201.0,96.0,413.0,624.0,68.0,102.7,0.346,0.33,0.513,49.1,47.6,8.1,6.8,0.477,14.2,31.1,0.241,8.0,R32,WEST,2015
Pennsylvania,28,9,19,0.321,-8.32,-1.36,4,10,4,9,5,10,1687.0,1882.0,1125.0,637.0,1441.0,0.442,201.0,534.0,0.376,407.0,573.0,0.71,258.0,871.0,371.0,191.0,112.0,322.0,478.0,63.1,106.0,0.398,0.371,0.549,49.6,58.2,10.8,12.0,0.512,15.8,29.1,0.282,,,,2015
Pittsburgh,34,19,15,0.559,8.45,7.36,8,10,14,4,2,8,2279.0,2230.0,1375.0,785.0,1752.0,0.448,194.0,551.0,0.352,466.0,657.0,0.709,331.0,1070.0,429.0,165.0,115.0,368.0,588.0,61.2,106.1,0.375,0.314,0.54,48.5,54.6,7.8,8.3,0.503,15.1,31.2,0.266,,,,2015
Prairie View,33,15,18,0.455,-10.86,-8.2,12,6,7,3,7,12,2211.0,2280.0,1320.0,765.0,1750.0,0.437,156.0,534.0,0.292,594.0,893.0,0.665,450.0,1269.0,387.0,216.0,133.0,553.0,580.0,69.2,99.8,0.51,0.305,0.524,54.2,50.6,9.5,9.6,0.482,20.3,39.7,0.339,,,,2015
Princeton,31,16,14,0.533,-1.34,-2.92,9,5,11,3,4,9,2066.0,1972.0,1200.0,676.0,1548.0,0.437,170.0,464.0,0.366,450.0,637.0,0.706,254.0,956.0,321.0,178.0,105.0,361.0,574.0,65.0,101.1,0.411,0.3,0.533,51.2,47.5,9.1,13.3,0.492,16.3,26.0,0.291,,,,2015
Providence,34,22,12,0.647,13.71,9.5,11,7,13,4,5,6,2370.0,2227.0,1370.0,760.0,1804.0,0.421,218.0,654.0,0.333,489.0,709.0,0.69,334.0,1093.0,411.0,196.0,107.0,442.0,656.0,65.7,99.0,0.393,0.363,0.52,47.1,54.1,8.7,8.0,0.482,17.1,29.0,0.271,6.0,R64,EAST,2015
Purdue,34,21,13,0.618,12.93,7.64,12,6,14,3,4,6,2375.0,2195.0,1375.0,749.0,1868.0,0.401,200.0,570.0,0.351,497.0,717.0,0.693,376.0,1087.0,382.0,236.0,110.0,394.0,685.0,64.9,98.3,0.384,0.305,0.497,46.5,51.0,10.6,8.8,0.454,15.1,30.9,0.266,9.0,R64,MIDWEST,2015
Radford,34,22,12,0.647,-3.89,-5.53,12,6,12,3,8,8,2476.0,2301.0,1380.0,824.0,1925.0,0.428,183.0,550.0,0.333,470.0,672.0,0.699,385.0,1142.0,369.0,223.0,116.0,432.0,592.0,66.1,100.8,0.349,0.286,0.513,47.9,44.8,9.8,8.8,0.476,16.1,31.7,0.244,,,,2015
Rhode Island,33,23,10,0.697,9.31,2.87,13,5,14,2,7,5,2232.0,1986.0,1325.0,678.0,1688.0,0.402,120.0,452.0,0.265,510.0,772.0,0.661,336.0,1082.0,331.0,218.0,132.0,481.0,668.0,66.5,90.1,0.457,0.268,0.483,47.8,48.8,9.9,10.6,0.437,19.0,29.0,0.302,,,,2015
Robert Morris,35,20,15,0.571,-3.02,-3.5,12,6,10,6,8,8,2414.0,2397.0,1410.0,837.0,1941.0,0.431,241.0,707.0,0.341,482.0,730.0,0.66,446.0,1262.0,521.0,224.0,121.0,512.0,624.0,66.7,101.9,0.376,0.364,0.524,52.1,62.2,9.5,9.1,0.493,18.3,35.9,0.248,16.0,R64,SOUTH,2015
Rutgers,32,10,22,0.313,0.23,8.11,2,16,6,10,2,10,1898.0,2150.0,1280.0,771.0,1775.0,0.434,225.0,668.0,0.337,383.0,568.0,0.674,347.0,1164.0,435.0,205.0,105.0,378.0,536.0,64.9,103.5,0.32,0.376,0.526,51.0,56.4,9.9,8.5,0.498,15.6,31.4,0.216,,,,2015
Saint Joseph's,31,13,18,0.419,-0.23,2.58,7,11,10,5,3,11,1912.0,1999.0,1260.0,722.0,1702.0,0.424,199.0,572.0,0.348,356.0,533.0,0.668,327.0,1095.0,414.0,191.0,105.0,383.0,554.0,64.1,99.1,0.313,0.336,0.511,49.9,57.3,9.5,9.2,0.483,16.4,30.4,0.209,,,,2015
Saint Louis,32,11,21,0.344,-5.38,2.43,3,15,9,9,1,10,1912.0,2122.0,1290.0,729.0,1607.0,0.454,190.0,532.0,0.357,474.0,700.0,0.677,322.0,1096.0,420.0,219.0,140.0,436.0,638.0,63.7,103.3,0.436,0.331,0.547,52.8,57.6,10.7,13.2,0.513,18.4,31.8,0.295,,,,2015
Saint Mary's (CA),31,21,10,0.677,8.68,3.78,13,5,14,5,7,4,2141.0,1984.0,1260.0,710.0,1660.0,0.428,176.0,529.0,0.333,388.0,548.0,0.708,254.0,902.0,393.0,189.0,93.0,303.0,560.0,62.5,100.9,0.33,0.319,0.517,44.7,55.4,9.6,8.9,0.481,13.6,24.4,0.234,,,,2015
San Diego State,36,27,9,0.75,11.81,4.24,14,4,16,1,6,5,2226.0,1939.0,1455.0,716.0,1864.0,0.384,181.0,598.0,0.303,326.0,469.0,0.695,351.0,1152.0,332.0,198.0,139.0,470.0,602.0,60.8,87.7,0.252,0.321,0.465,47.6,46.4,9.0,10.5,0.433,18.4,29.7,0.175,8.0,R32,SOUTH,2015
Seton Hall,31,16,15,0.516,7.95,7.56,6,12,10,5,3,9,2119.0,2107.0,1250.0,752.0,1749.0,0.43,167.0,557.0,0.3,436.0,663.0,0.658,363.0,1100.0,411.0,207.0,116.0,371.0,589.0,66.0,102.1,0.379,0.318,0.51,49.5,54.7,10.0,10.2,0.478,15.2,33.2,0.249,,,,2015
South Carolina,33,17,16,0.515,10.55,8.24,6,12,10,6,3,7,2146.0,2046.0,1320.0,658.0,1699.0,0.387,196.0,617.0,0.318,534.0,744.0,0.718,355.0,1103.0,338.0,196.0,136.0,456.0,623.0,65.3,94.9,0.438,0.363,0.498,48.4,51.4,9.1,11.1,0.445,18.2,31.5,0.314,,,,2015
South Dakota State,35,24,11,0.686,3.32,-3.23,12,4,13,0,7,9,2572.0,2277.0,1411.0,782.0,1912.0,0.409,207.0,616.0,0.336,506.0,771.0,0.656,361.0,1194.0,391.0,220.0,104.0,431.0,734.0,66.6,96.9,0.403,0.322,0.5,48.8,50.0,9.4,8.8,0.463,15.9,28.2,0.265,,,,2015
Southern California,32,12,20,0.375,2.15,6.15,3,15,8,8,2,9,2143.0,2271.0,1300.0,811.0,1923.0,0.422,224.0,679.0,0.33,425.0,600.0,0.708,408.0,1205.0,430.0,220.0,119.0,427.0,574.0,68.8,101.7,0.312,0.353,0.514,51.2,53.0,9.8,8.8,0.48,16.2,34.3,0.221,,,,2015
Southern Methodist,34,27,7,0.794,12.94,3.57,15,3,16,2,8,4,2350.0,2032.0,1365.0,691.0,1815.0,0.381,268.0,823.0,0.326,382.0,562.0,0.68,357.0,1016.0,421.0,224.0,124.0,441.0,642.0,63.3,94.1,0.31,0.453,0.488,45.0,60.9,10.4,9.2,0.455,17.5,29.4,0.21,6.0,R64,SOUTH,2015
Southern,35,18,17,0.514,-9.95,-8.23,13,5,9,4,7,10,2259.0,2226.0,1410.0,744.0,1908.0,0.39,181.0,605.0,0.299,557.0,833.0,0.669,436.0,1276.0,343.0,211.0,120.0,484.0,682.0,66.3,95.3,0.437,0.317,0.483,50.3,46.1,9.0,8.5,0.437,17.4,33.7,0.292,,,,2015
St. Bonaventure,31,18,13,0.581,3.93,1.34,10,8,8,6,7,6,2085.0,2005.0,1250.0,707.0,1677.0,0.422,209.0,577.0,0.362,382.0,569.0,0.671,314.0,1028.0,407.0,184.0,112.0,401.0,581.0,65.1,98.6,0.339,0.344,0.515,47.1,57.6,9.0,9.2,0.484,17.1,29.0,0.228,,,,2015
