School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Abilene Christian,31,20,11,0.645,-2.87,-6.87,15,5,13,3,7,8,2352,2024,1260,668,1545,0.432,154,517,0.298,534,728,0.734,271,1036,297,211,114,616,616,71.1,90.4,0.471,0.335,0.535,49.9,44.5,9.4,10.0,0.482,24.6,27.8,0.346,,
UAB,32,19,13,0.594,-0.94,-1.64,9,9,11,6,5,7,2154,2088,1280,748,1804,0.415,247,738,0.335,345,481,0.717,275,981,353,217,102,392,555,67.2,97.2,0.267,0.409,0.514,45.3,47.2,10.1,8.5,0.483,16.2,24.3,0.191,,
Alabama,31,16,15,0.516,11.12,8.12,8,10,10,5,4,8,2542,2449,1260,850,2002,0.425,217,695,0.312,532,718,0.741,382,1233,369,263,124,435,629,76.1,102.2,0.359,0.347,0.523,50.3,43.4,11.0,12.4,0.479,15.7,30.8,0.266,,
Albany (NY),32,14,18,0.438,-8.78,-5.91,7,9,7,7,5,11,2127,2190,1285,788,1876,0.42,251,732,0.343,363,523,0.694,287,1104,430,246,109,409,574,69.7,97.9,0.279,0.39,0.515,50.2,54.6,11.0,11.0,0.487,16.1,25.5,0.193,,
American,30,16,14,0.533,-4.37,-6.5,12,6,10,4,6,10,2149,2085,1205,745,1668,0.447,168,526,0.319,427,612,0.698,296,1038,356,179,96,411,472,69.0,100.3,0.367,0.315,0.532,51.5,47.8,8.6,8.4,0.497,17.3,29.4,0.256,,
Appalachian State,33,18,15,0.545,-0.81,-0.01,11,9,10,5,7,9,2256,2222,1325,813,1886,0.431,241,746,0.323,355,494,0.719,322,1166,447,225,86,476,645,68.6,97.8,0.262,0.396,0.524,50.3,55.0,9.9,7.8,0.495,18.3,28.0,0.188,,
Arizona State,31,20,11,0.645,11.46,8.1,11,7,13,3,6,5,2288,2184,1240,769,1796,0.428,227,686,0.331,419,615,0.681,318,1182,388,203,119,508,569,73.7,95.5,0.342,0.382,0.523,51.5,50.5,8.9,9.9,0.491,19.6,28.4,0.233,,
Arizona,32,21,11,0.656,19.49,8.4,10,8,13,4,4,6,2445,2090,1290,708,1797,0.394,211,677,0.312,463,632,0.733,296,1083,363,155,99,465,614,70.3,92.2,0.352,0.377,0.498,47.5,51.3,6.8,8.0,0.453,18.1,25.9,0.258,,
Little Rock,31,21,10,0.677,2.27,-1.07,15,5,13,2,8,8,2270,2152,1240,750,1769,0.424,238,687,0.346,414,595,0.696,310,1002,377,210,99,430,650,70.2,98.9,0.336,0.388,0.524,47.8,50.3,9.7,8.9,0.491,17.3,28.2,0.234,,
Arkansas,32,20,12,0.625,13.46,7.27,7,11,14,4,4,8,2426,2228,1300,773,1808,0.428,164,602,0.272,518,739,0.701,351,1226,324,160,95,512,687,71.4,96.0,0.409,0.333,0.516,54.8,41.9,6.9,8.7,0.473,19.2,31.3,0.287,,
Auburn,31,25,6,0.806,15.04,7.39,12,6,16,1,5,5,2419,2182,1270,759,1840,0.413,217,667,0.325,447,623,0.717,319,1090,346,207,97,418,656,70.4,97.6,0.339,0.363,0.511,46.3,45.6,9.3,9.3,0.471,16.4,27.4,0.243,,
