School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
Abilene Christian,32.0,16.0,16.0,0.5,-9.14,-6.82,8.0,10.0,9.0,6.0,6.0,9.0,73.71875,71.21875,1290.0,27.1875,58.5625,0.464,6.65625,20.5,0.325,12.6875,18.09375,0.701,24.5,9.65625,34.15625,15.0625,8.125,4.0,14.40625,20.96875,71.5,102.3,0.309,0.35,0.549,0.497,0.5539999999999999,0.113,0.1159999999999999,0.521,0.177,0.28,0.217,NA,NA,NA,2018
Air Force,31.0,12.0,19.0,0.387,-4.31,1.72,6.0,12.0,9.0,7.0,3.0,10.0,68.51612903225806,72.38709677419355,1245.0,23.64516129032258,56.483870967741936,0.419,8.064516129032258,24.35483870967742,0.331,13.161290322580646,17.93548387096774,0.734,22.967741935483872,9.741935483870968,32.70967741935484,14.35483870967742,6.483870967741935,2.5161290322580645,12.612903225806452,17.967741935483872,67.7,100.8,0.318,0.431,0.527,0.487,0.607,0.95,0.81,0.49,0.163,0.275,0.233,NA,NA,NA,2018
Akron,32.0,14.0,18.0,0.438,-6.82,-1.92,6.0,12.0,12.0,4.0,2.0,10.0,71.75,75.34375,1295.0,24.78125,57.0,0.435,9.53125,26.59375,0.358,12.65625,18.1875,0.696,23.90625,9.5625,33.46875,13.0625,5.90625,2.53125,13.75,19.90625,69.0,102.7,0.319,0.467,0.547,0.492,0.527,0.85,0.75,0.518,0.173,0.275,0.222,NA,NA,NA,2018
Alabama,36.0,20.0,16.0,0.556,12.34,10.64,8.0,10.0,12.0,4.0,2.0,8.0,72.33333333333333,70.63888888888889,1440.0,25.27777777777778,54.86111111111112,0.461,6.361111111111111,19.5,0.326,15.416666666666666,23.0,0.67,25.83333333333333,10.0,35.833333333333336,12.72222222222222,6.333333333333333,5.333333333333333,14.25,18.77777777777778,70.2,103.0,0.419,0.355,0.55,0.503,0.503,0.09,0.147,0.519,0.178,0.294,0.281,9.0,R32,EAST,2018
Alabama A&M,31.0,3.0,28.0,0.97,-23.97,-8.04,3.0,15.0,2.0,9.0,1.0,18.0,60.41935483870968,76.35483870967742,1245.0,21.70967741935484,54.74193548387097,0.397,5.870967741935484,19.387096774193548,0.303,11.129032258064516,17.193548387096776,0.647,22.93548387096774,10.806451612903226,33.74193548387097,10.96774193548387,3.967741935483871,1.5806451612903225,16.580645161290324,16.322580645161292,68.2,88.2,0.314,0.354,0.48,0.482,0.505,0.0579999999999999,0.39,0.45,0.209,0.299,0.203,NA,NA,NA,2018
Alabama State,31.0,8.0,23.0,0.258,-18.56,-8.62,8.0,10.0,4.0,8.0,4.0,13.0,68.6774193548387,78.61290322580645,1245.0,24.225806451612904,59.32258064516129,0.408,6.741935483870968,20.580645161290324,0.328,13.483870967741936,20.870967741935484,0.646,23.774193548387096,12.709677419354838,36.483870967741936,10.096774193548388,5.451612903225806,4.193548387096774,14.096774193548388,20.90322580645161,70.5,97.0,0.352,0.347,0.496,0.479,0.417,0.77,0.1119999999999999,0.465,0.1689999999999999,0.319,0.227,NA,NA,NA,2018
Albany (NY),32.0,22.0,10.0,0.688,0.02,-5.4,10.0,6.0,14.0,3.0,8.0,7.0,74.21875,68.1875,1280.0,26.21875,57.375,0.457,5.75,15.6875,0.367,16.03125,21.25,0.754,25.4375,11.78125,37.21875,12.65625,4.6875,2.84375,11.59375,16.5,67.3,110.3,0.37,0.273,0.55,0.552,0.483,0.07,0.79,0.507,0.147,0.349,0.279,NA,NA,NA,2018
Alcorn State,32.0,11.0,21.0,0.344,-18.07,-8.6,7.0,11.0,9.0,5.0,2.0,16.0,70.125,74.625,1285.0,24.71875,57.0,0.434,7.46875,21.78125,0.343,13.21875,18.6875,0.707,24.96875,9.53125,34.5,13.09375,6.25,2.65625,14.34375,19.15625,70.4,99.2,0.328,0.382,0.532,0.484,0.53,0.88,0.77,0.499,0.179,0.272,0.232,NA,NA,NA,2018
American,30.0,6.0,24.0,0.2,-14.63,-6.16,3.0,15.0,4.0,8.0,2.0,16.0,65.36666666666666,73.83333333333333,1205.0,23.266666666666666,53.833333333333336,0.432,7.966666666666667,23.633333333333333,0.337,10.866666666666667,16.366666666666667,0.664,20.9,8.066666666666666,28.966666666666665,12.233333333333333,7.233333333333333,3.2666666666666666,13.766666666666667,18.33333333333333,67.3,96.7,0.304,0.439,0.531,0.451,0.526,0.107,0.91,0.506,0.183,0.237,0.202,NA,NA,NA,2018
Appalachian State,33.0,15.0,18.0,0.455,-4.83,-2.67,9.0,9.0,9.0,4.0,4.0,11.0,76.36363636363636,74.18181818181819,1340.0,26.181818181818183,60.09090909090909,0.436,8.848484848484848,26.03030303030303,0.34,15.151515151515152,22.69696969696969,0.668,27.363636363636363,11.787878787878787,39.15151515151515,12.454545454545457,6.0,3.5454545454545454,13.848484848484848,19.0,72.0,104.6,0.378,0.433,0.539,0.523,0.476,0.0819999999999999,0.89,0.509,0.163,0.308,0.252,NA,NA,NA,2018
