School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
Abilene Christian,30.0,13.0,17.0,433.0,-2.5,1.2,5.0,11.0,9.0,5.0,4.0,8.0,74.96666666666667,71.1,1210.0,27.066666666666663,60.0,451.0,7.033333333333333,20.433333333333334,344.0,13.8,19.1,723.0,22.166666666666668,10.233333333333333,32.4,15.7,8.8,2.3666666666666667,12.633333333333333,20.566666666666663,70.9,104.9,318.0,341.0,543.0,491.0,0.58,123.0,0.07,0.51,155.0,286.0,0.23,,,,2023.0
Air Force,32.0,14.0,18.0,438.0,2.31,2.44,5.0,13.0,10.0,9.0,4.0,9.0,66.9375,67.0625,1295.0,23625.0,51125.0,462.0,8.15625,22.90625,356.0,11.53125,15.96875,722.0,22.90625,6.65625,29.5625,15.34375,5.75,3.96875,12.21875,17.0,63.6,104.0,312.0,448.0,0.57,477.0,649.0,89.0,0.11,542.0,172.0,223.0,226.0,,,,2023.0
Akron,33.0,22.0,11.0,667.0,4.52,-1.32,13.0,5.0,15.0,1.0,5.0,6.0,74.63636363636364,66.93939393939394,1330.0,25.57575757575757,57.51515151515152,445.0,9.090909090909092,25.60606060606061,355.0,14.393939393939394,19.484848484848484,739.0,25.545454545454547,10.151515151515152,35.696969696969695,13.424242424242424,6.03030303030303,2.636363636363636,11.212121212121213,16.03030303030303,67.2,110.3,339.0,445.0,559.0,521.0,525.0,89.0,72.0,524.0,144.0,299.0,0.25,,,,2023.0
Alabama,34.0,29.0,5.0,853.0,23.75,10.07,16.0,2.0,15.0,0.0,9.0,3.0,82.17647058823529,68.5,1390.0,27.764705882352946,62.20588235294117,446.0,10.058823529411764,29.764705882352946,338.0,16.58823529411765,22.852941176470587,726.0,31.58823529411765,12.764705882352942,44.35294117647059,15.205882352941176,6.0588235294117645,5.0588235294117645,14.088235294117649,18.61764705882353,72.7,110.6,367.0,478.0,562.0,545.0,0.5479999999999999,0.0819999999999999,113.0,527.0,162.0,0.3379999999999999,267.0,1.0,S16,SOUTH,2023.0
Alabama A&M,33.0,15.0,18.0,455.0,-10.51,-7.44,10.0,8.0,9.0,8.0,5.0,8.0,69.60606060606061,70.9090909090909,1336.0,24.939393939393938,56.60606060606061,441.0,6.848484848484849,18.484848484848484,0.37,12.87878787878788,19.666666666666668,655.0,22.57575757575757,10.12121212121212,32.696969696969695,12.696969696969695,8.0,4.03030303030303,15.090909090909092,18.90909090909091,69.9,98.9,347.0,327.0,528.0,478.0,509.0,114.0,0.12,501.0,186.0,0.3,228.0,,,,2023.0
Alabama State,31.0,8.0,23.0,258.0,-16.05,-6.02,6.0,12.0,5.0,5.0,2.0,18.0,63.32258064516129,72.64516129032258,1245.0,22.032258064516128,58.74193548387097,375.0,5.967741935483871,19.516129032258064,306.0,13.290322580645162,18.83870967741936,705.0,23.548387096774192,12.483870967741936,36.03225806451613,9.96774193548387,5.870967741935484,3.548387096774193,13.35483870967742,17.967741935483872,68.6,92.0,321.0,332.0,468.0,485.0,452.0,85.0,91.0,426.0,165.0,324.0,226.0,,,,2023.0
Albany (NY),31.0,8.0,23.0,258.0,-14.37,-4.54,3.0,13.0,5.0,6.0,2.0,16.0,67.29032258064517,75.2258064516129,1245.0,23.41935483870968,56.61290322580645,414.0,7.645161290322581,23.387096774193548,327.0,12.806451612903226,17.741935483870968,722.0,23.096774193548388,10.225806451612904,33.32258064516129,11.709677419354838,5.741935483870968,1.6451612903225807,13.35483870967742,18.580645161290324,67.9,98.8,313.0,413.0,517.0,498.0,0.5,84.0,45.0,481.0,0.17,288.0,226.0,,,,2023.0
Alcorn State,32.0,18.0,14.0,563.0,-8.49,-5.55,15.0,3.0,7.0,2.0,10.0,10.0,67.65625,70.59375,1301.0,23.84375,58375.0,408.0,5125.0,17.3125,296.0,14.84375,20.59375,721.0,21.96875,12.0,33.96875,9875.0,8.03125,2.5,12625.0,18.90625,67.8,98.2,353.0,297.0,496.0,502.0,414.0,0.1169999999999999,77.0,452.0,156.0,337.0,254.0,,,,2023.0
American,32.0,17.0,15.0,531.0,-8.31,-7.78,7.0,11.0,8.0,6.0,9.0,9.0,65.40625,65.9375,1300.0,24.53125,50.9375,482.0,6375.0,18.40625,346.0,9.96875,14.21875,701.0,22.21875,8.09375,30.3125,13625.0,7.4375,3.9375,14.0,15.0625,62.6,102.9,279.0,361.0,567.0,0.51,555.0,0.1169999999999999,114.0,544.0,195.0,283.0,196.0,,,,2023.0
Appalachian State,32.0,16.0,16.0,0.5,-1.41,-0.9,9.0,9.0,10.0,7.0,6.0,7.0,70.25,64.59375,1290.0,25.59375,57.9375,442.0,7.59375,22.6875,335.0,11.46875,16.96875,676.0,26.6875,9.0,35.6875,13.03125,6375.0,4.5625,11.0,13.8125,67.3,103.6,293.0,392.0,532.0,498.0,509.0,94.0,128.0,507.0,143.0,258.0,198.0,,,,2023.0
