School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
Abilene Christian,34.0,27.0,7.0,0.794,-1.91,-7.34,14.0,4.0,13.0,2.0,10.0,4.0,73.58823529411765,63.55882352941177,1370.0,26.38235294117647,56.20588235294117,0.469,7.382352941176471,19.41176470588235,0.38,13.441176470588236,18.88235294117647,0.712,23.08823529411765,9.558823529411764,32.64705882352941,15.441176470588236,8.735294117647058,2.735294117647059,11.970588235294118,18.676470588235293,67.2,108.6,0.336,0.345,0.565,0.503,0.585,0.129,0.08,0.535,0.155,0.288,0.239,15.0,R64,MIDWEST,2019
Air Force,32.0,14.0,18.0,0.438,-4.28,0.24,8.0,10.0,9.0,6.0,3.0,9.0,68.09375,71.6875,1300.0,25.0625,55.5,0.452,7.3125,22.21875,0.329,10.65625,15.71875,0.678,25.75,7.90625,33.65625,13.5625,4.8125,1.78125,13.21875,16.96875,67.4,99.5,0.283,0.4,0.541,0.501,0.541,0.07,0.0579999999999999,0.517,0.174,0.237,0.192,NA,NA,NA,2019
Akron,33.0,17.0,16.0,0.515,4.86,1.09,8.0,10.0,14.0,3.0,1.0,10.0,68.81818181818181,63.84848484848485,1325.0,24.151515151515152,59.03030303030303,0.409,9.0,28.151515151515152,0.32,11.515151515151516,16.333333333333332,0.705,27.03030303030303,9.454545454545457,36.48484848484848,12.090909090909092,5.606060606060606,3.212121212121212,11.757575757575758,17.242424242424242,68.5,100.1,0.277,0.477,0.515,0.482,0.501,0.0819999999999999,0.89,0.485,0.15,0.253,0.195,NA,NA,NA,2019
Alabama,34.0,18.0,16.0,0.529,9.45,9.01,8.0,10.0,10.0,6.0,4.0,8.0,72.0,71.55882352941177,1365.0,25.176470588235293,57.20588235294117,0.44,7.176470588235294,21.11764705882353,0.34,14.470588235294118,21.73529411764705,0.666,26.5,11.294117647058824,37.794117647058826,12.294117647058824,4.617647058823529,4.705882352941177,13.676470588235292,16.823529411764707,69.8,102.8,0.38,0.369,0.533,0.52,0.488,0.66,0.1159999999999999,0.503,0.168,0.315,0.253,NA,NA,NA,2019
Alabama A&M,32.0,5.0,27.0,0.156,-19.23,-8.38,4.0,14.0,4.0,7.0,0.0,18.0,60.5625,71.40625,1295.0,23.0,56.53125,0.407,5.6875,18.0625,0.315,8.875,14.15625,0.627,22.4375,9.8125,32.25,12.03125,7.3125,1.5625,15.21875,18.34375,67.5,88.7,0.25,0.32,0.479,0.471,0.523,0.107,0.47,0.457,0.1939999999999999,0.276,0.157,NA,NA,NA,2019
Alabama State,31.0,12.0,19.0,0.387,-15.6,-7.84,9.0,9.0,8.0,3.0,3.0,13.0,67.29032258064517,72.09677419354838,1250.0,22.967741935483872,56.903225806451616,0.404,6.967741935483871,21.70967741935484,0.321,14.387096774193548,22.06451612903226,0.652,23.516129032258064,11.774193548387096,35.29032258064516,10.096774193548388,6.548387096774194,3.290322580645161,14.548387096774194,18.225806451612904,69.6,95.9,0.388,0.382,0.499,0.49,0.44,0.93,0.93,0.465,0.178,0.309,0.253,NA,NA,NA,2019
Albany (NY),32.0,12.0,20.0,0.375,-9.38,-6.7,7.0,9.0,6.0,8.0,6.0,10.0,67.1875,69.25,1300.0,22.75,54.6875,0.416,8.5625,24.6875,0.347,13.125,17.625,0.745,24.59375,9.1875,33.78125,12.5625,6.09375,2.4375,14.1875,17.6875,66.7,99.2,0.322,0.451,0.533,0.497,0.552,0.09,0.71,0.494,0.184,0.271,0.24,NA,NA,NA,2019
Alcorn State,31.0,10.0,21.0,0.323,-22.08,-8.97,6.0,12.0,10.0,3.0,0.0,17.0,64.35483870967742,70.7741935483871,1245.0,22.870967741935484,55.516129032258064,0.412,6.806451612903226,20.83870967741936,0.327,11.806451612903226,17.516129032258064,0.674,24.032258064516128,10.774193548387096,34.806451612903224,12.612903225806452,7.387096774193548,3.4516129032258065,15.870967741935484,17.677419354838708,68.8,93.2,0.316,0.375,0.504,0.499,0.551,0.107,0.98,0.473,0.1989999999999999,0.301,0.213,NA,NA,NA,2019
American,30.0,15.0,15.0,0.5,-4.19,-7.23,9.0,9.0,8.0,7.0,6.0,8.0,72.03333333333333,69.0,1220.0,26.0,54.833333333333336,0.474,6.333333333333333,19.466666666666665,0.325,13.7,19.633333333333333,0.698,25.433333333333334,8.366666666666667,33.8,13.4,7.366666666666666,4.366666666666666,12.866666666666667,17.333333333333332,67.7,104.6,0.358,0.355,0.561,0.504,0.515,0.107,0.11,0.532,0.1669999999999999,0.261,0.25,NA,NA,NA,2019
Appalachian State,32.0,11.0,21.0,0.344,-3.73,0.1,6.0,12.0,9.0,5.0,2.0,12.0,79.90625,79.34375,1290.0,27.5,60.5625,0.454,9.125,25.4375,0.359,15.78125,22.0625,0.715,25.53125,9.6875,35.21875,12.6875,5.34375,2.8125,13.0625,18.28125,73.7,107.6,0.364,0.42,0.562,0.486,0.461,0.72,0.69,0.529,0.155,0.265,0.261,NA,NA,NA,2019
