School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
Abilene Christian,29.0,13.0,16.0,448.0,-11.86,-7.1,7.0,11.0,9.0,5.0,4.0,11.0,69.27586206896552,71.48275862068965,1180.0,24.86206896551724,53.62068965517241,464.0,7.137931034482759,18.96551724137931,376.0,12.413793103448276,18.724137931034484,663.0,23.517241379310345,7.655172413793103,31.17241379310345,14.06896551724138,7.241379310344827,2.862068965517241,14.20689655172414,21.75862068965517,68.0,100.1,349.0,354.0,554.0,471.0,0.5660000000000001,105.0,85.0,0.53,185.0,235.0,232.0,,,,2017.0
Air Force,33.0,12.0,21.0,364.0,-3.06,1.0,4.0,14.0,11.0,7.0,0.0,11.0,73.06060606060606,75.06060606060606,1335.0,24.75757575757576,56.84848484848485,436.0,8.0,22.060606060606062,363.0,15.545454545454543,21.666666666666668,717.0,25.424242424242426,9.393939393939394,34.81818181818182,14.969696969696969,5.96969696969697,1.7272727272727273,11.818181818181818,18.0,68.9,104.8,381.0,388.0,544.0,503.0,605.0,86.0,57.0,506.0,0.15,265.0,273.0,,,,2017.0
Akron,36.0,27.0,9.0,0.75,3.59,-1.21,14.0,4.0,13.0,2.0,7.0,6.0,77.0,70.83333333333333,1440.0,26.36111111111111,56.52777777777778,466.0,10.166666666666666,27.33333333333333,372.0,14.11111111111111,20.666666666666668,683.0,24.694444444444443,9.916666666666666,34.611111111111114,14.36111111111111,5.5,3.2777777777777777,11.72222222222222,18.13888888888889,68.0,113.1,366.0,484.0,0.58,512.0,545.0,81.0,86.0,556.0,0.15,298.0,0.25,,,,2017.0
Alabama,34.0,19.0,15.0,559.0,11.29,7.47,10.0,8.0,11.0,6.0,5.0,6.0,68.52941176470588,64.70588235294117,1380.0,23.794117647058822,56.14705882352941,424.0,6.617647058823529,20.88235294117647,317.0,14.323529411764708,21.94117647058824,653.0,26.73529411764705,12.294117647058824,39.02941176470589,11.470588235294118,5.882352941176471,4.147058823529412,13.941176470588236,19.529411764705884,67.4,100.3,391.0,372.0,515.0,0.5379999999999999,482.0,86.0,0.1159999999999999,483.0,173.0,341.0,255.0,,,,2017.0
Alabama A&M,29.0,2.0,27.0,69.0,-26.99,-11.09,2.0,16.0,1.0,9.0,1.0,18.0,61.86206896551724,77.75862068965517,1175.0,21.655172413793103,53.41379310344828,405.0,4.310344827586207,15.413793103448276,0.28,14.172413793103448,21.17241379310345,669.0,21.20689655172414,10.310344827586206,31.517241379310345,11.241379310344827,3.4482758620689653,1.7241379310344829,13.241379310344827,18.13793103448276,65.4,93.4,396.0,289.0,487.0,0.4639999999999999,519.0,52.0,44.0,446.0,173.0,0.3,265.0,,,,2017.0
Alabama State,31.0,8.0,23.0,258.0,-19.75,-10.75,6.0,12.0,6.0,5.0,1.0,17.0,65.87096774193549,74.35483870967742,1260.0,23.193548387096776,59.16129032258065,392.0,6.451612903225806,21.741935483870968,297.0,13.03225806451613,20.451612903225808,637.0,24.548387096774192,13.774193548387096,38.32258064516129,9.67741935483871,4.838709677419355,3.161290322580645,15.741935483870968,20.29032258064516,69.6,93.2,346.0,368.0,478.0,504.0,417.0,68.0,0.08,447.0,186.0,346.0,0.22,,,,2017.0
Albany (NY),35.0,21.0,14.0,0.6,-0.16,-4.69,10.0,6.0,11.0,5.0,9.0,8.0,71.31428571428572,65.74285714285715,1400.0,25.914285714285715,55.457142857142856,467.0,5.485714285714286,14.742857142857142,372.0,14.0,18.485714285714284,757.0,25.085714285714285,10.82857142857143,35.91428571428571,12.685714285714283,5.085714285714285,1.7142857142857142,11.885714285714286,17.62857142857143,65.3,109.2,333.0,266.0,555.0,555.0,0.49,78.0,0.0559999999999999,517.0,156.0,337.0,252.0,,,,2017.0
Alcorn State,32.0,18.0,14.0,563.0,-12.33,-10.95,13.0,5.0,11.0,2.0,6.0,11.0,69.40625,67.96875,1285.0,25.0,58.3125,429.0,6.9375,20.90625,332.0,12.46875,19125.0,652.0,26.75,12.09375,38.84375,13.28125,6.53125,3.59375,14125.0,19.0625,69.2,100.0,328.0,359.0,515.0,514.0,531.0,94.0,92.0,488.0,173.0,325.0,214.0,,,,2017.0
American,30.0,8.0,22.0,267.0,-10.3,-3.5,5.0,13.0,4.0,11.0,4.0,11.0,61.5,68.3,1205.0,23.066666666666663,51.4,449.0,5.6,17.633333333333333,318.0,9.766666666666667,15.8,618.0,22.133333333333333,6.8,28.933333333333334,11.3,6.966666666666667,2.433333333333333,13.2,18.266666666666666,65.2,94.0,307.0,343.0,522.0,466.0,0.49,106.0,69.0,503.0,183.0,217.0,0.19,,,,2017.0
Appalachian State,30.0,9.0,21.0,0.3,-8.67,-1.6,4.0,14.0,8.0,6.0,1.0,14.0,73.6,75.96666666666667,1205.0,24.966666666666665,59.36666666666667,421.0,8.366666666666667,24.73333333333333,338.0,15.3,22.466666666666665,681.0,26.23333333333333,11.3,37.53333333333333,13.8,5.566666666666666,3.033333333333333,13.8,21.366666666666667,72.1,101.7,378.0,417.0,525.0,507.0,0.5529999999999999,77.0,76.0,491.0,165.0,294.0,258.0,,,,2017.0
Arizona,37.0,32.0,5.0,865.0,18.25,7.63,16.0,2.0,15.0,1.0,9.0,1.0,76.56756756756756,65.94594594594595,1480.0,26.405405405405407,55.35135135135136,477.0,6.594594594594595,16.89189189189189,0.39,17.16216216216216,22.43243243243243,765.0,26.43243243243243,10.27027027027027,36.7027027027027,13.54054054054054,5.4324324324324325,3.216216216216216,11.16216216216216,16.89189189189189,67.3,113.8,405.0,305.0,0.58,551.0,513.0,81.0,88.0,537.0,145.0,331.0,0.31,2.0,S16,WEST,2017.0
Arizona State,33.0,15.0,18.0,455.0,4.02,7.11,7.0,11.0,9.0,7.0,4.0,6.0,78.57575757575758,81.66666666666667,1325.0,26.90909090909091,62.03030303030303,434.0,9.93939393939394,27.151515151515152,366.0,14.818181818181818,19.78787878787879,749.0,23.363636363636363,9.212121212121213,32.57575757575758,13.030303030303031,5.878787878787879,3.212121212121212,10.424242424242424,16.848484848484848,72.5,108.0,319.0,438.0,0.55,451.0,484.0,81.0,88.0,514.0,127.0,244.0,239.0,,,,2017.0
Arkansas,36.0,26.0,10.0,722.0,14.04,8.6,12.0,6.0,15.0,3.0,6.0,5.0,79.30555555555556,73.86111111111111,1440.0,27.694444444444443,60.138888888888886,461.0,6.472222222222222,17.72222222222222,365.0,17.444444444444443,22.916666666666668,761.0,24.916666666666668,11.13888888888889,36.05555555555556,13.805555555555555,7.722222222222222,4.722222222222222,11.88888888888889,20.52777777777778,71.7,110.7,381.0,295.0,558.0,495.0,498.0,108.0,124.0,514.0,143.0,317.0,0.29,8.0,R32,SOUTH,2017.0
Arkansas State,32.0,20.0,12.0,625.0,0.87,-2.1,11.0,7.0,12.0,1.0,7.0,9.0,73.3125,69.09375,1285.0,25.8125,56.0,461.0,6875.0,18.09375,0.38,14.8125,23.21875,638.0,25.53125,11.0,36.53125,12.40625,5375.0,2.59375,12.9375,20375.0,68.8,106.1,415.0,323.0,547.0,521.0,481.0,78.0,73.0,522.0,162.0,314.0,265.0,,,,2017.0
Arkansas-Pine Bluff,32.0,7.0,25.0,219.0,-22.81,-10.28,6.0,12.0,6.0,6.0,1.0,19.0,61.78125,72.5,1305.0,21.71875,53.90625,403.0,6.5,19.40625,335.0,11.84375,18.15625,652.0,21.1875,10.46875,31.65625,10.4375,8.71875,2.90625,18.0625,22.4375,68.7,88.2,337.0,0.36,494.0,0.4679999999999999,481.0,124.0,95.0,463.0,0.2239999999999999,298.0,0.22,,,,2017.0
Army,32.0,13.0,19.0,406.0,-5.84,-4.1,6.0,12.0,9.0,8.0,4.0,10.0,72625.0,73125.0,1295.0,26.3125,59.5625,442.0,9.09375,25.78125,353.0,10.90625,16.65625,655.0,28.0,9.90625,37.90625,16.25,5.5625,1.90625,15.09375,19375.0,72.0,99.7,0.28,433.0,538.0,518.0,618.0,76.0,49.0,518.0,183.0,271.0,183.0,,,,2017.0
Auburn,32.0,18.0,14.0,563.0,8.17,7.33,7.0,11.0,10.0,5.0,6.0,6.0,80.40625,79.5625,1290.0,26.90625,61.53125,437.0,9.03125,24.65625,366.0,17.5625,26125.0,672.0,25.0625,11.53125,36.59375,13.0,7.3125,5.0625,13.5625,20875.0,75.2,106.1,425.0,401.0,544.0,484.0,483.0,96.0,134.0,511.0,155.0,303.0,285.0,,,,2017.0
Austin Peay,30.0,11.0,19.0,367.0,-11.0,-2.32,7.0,9.0,5.0,8.0,4.0,11.0,77.7,83.83333333333333,1215.0,26.866666666666667,57.266666666666666,469.0,7.566666666666666,21.33333333333333,355.0,16.4,23.166666666666668,708.0,22.266666666666666,8.166666666666666,30.433333333333334,10.8,5.7,2.433333333333333,12.433333333333334,18.23333333333333,71.8,106.9,405.0,373.0,569.0,449.0,402.0,78.0,63.0,535.0,154.0,244.0,286.0,,,,2017.0
Ball State,34.0,21.0,13.0,618.0,-1.45,-3.57,11.0,7.0,11.0,5.0,7.0,7.0,78.73529411764706,75.5,1380.0,27.323529411764707,59.23529411764706,461.0,9.382352941176473,24.73529411764705,379.0,14.705882352941176,20.47058823529412,718.0,27.823529411764707,9.852941176470589,37.6764705882353,15.558823529411764,5.970588235294118,3.4705882352941178,14.588235294117649,19.352941176470587,72.7,106.7,346.0,418.0,571.0,512.0,569.0,81.0,88.0,0.54,175.0,283.0,248.0,,,,2017.0
Baylor,35.0,27.0,8.0,771.0,19.75,11.87,12.0,6.0,15.0,2.0,6.0,4.0,72.85714285714286,63.65714285714286,1400.0,26.31428571428572,55.885714285714286,471.0,6.571428571428571,18.31428571428572,359.0,13.657142857142857,18.88571428571429,723.0,25.085714285714285,12.885714285714286,37.97142857142857,15.542857142857144,5.142857142857143,4.742857142857143,13.4,17.62857142857143,65.3,111.5,338.0,328.0,562.0,565.0,591.0,79.0,0.13,0.53,171.0,402.0,244.0,3.0,S16,EAST,2017.0
Belmont,30.0,23.0,7.0,767.0,4.28,-1.69,15.0,1.0,12.0,1.0,11.0,4.0,76.73333333333333,69.26666666666667,1205.0,26.6,56.766666666666666,469.0,10.2,29.83333333333333,342.0,13.333333333333334,17.366666666666667,768.0,26.766666666666666,8.466666666666667,35.233333333333334,16.033333333333335,4.366666666666666,2.6666666666666665,12.666666666666666,17.7,69.0,110.7,306.0,526.0,0.59,521.0,603.0,63.0,68.0,558.0,163.0,263.0,235.0,,,,2017.0
Bethune-Cookman,32.0,10.0,22.0,313.0,-19.44,-11.21,6.0,10.0,7.0,7.0,2.0,13.0,71.09375,77.8125,1315.0,26.25,63.1875,415.0,7125.0,22.25,0.32,11.46875,17.3125,662.0,23.0625,12.40625,35.46875,14.0,7.65625,3.0,12.90625,20125.0,70.1,98.7,274.0,352.0,498.0,0.47,0.5329999999999999,106.0,79.0,472.0,153.0,311.0,182.0,,,,2017.0
Binghamton,32.0,12.0,20.0,375.0,-11.99,-5.79,3.0,13.0,7.0,7.0,4.0,13.0,67.96875,70.9375,1285.0,24.0,54.90625,437.0,7.75,21.40625,362.0,12.21875,17.34375,705.0,25125.0,7.84375,32.96875,12.8125,5.21875,2.4375,12.40625,17.03125,67.4,100.4,316.0,0.39,538.0,486.0,534.0,77.0,69.0,508.0,0.1639999999999999,0.2339999999999999,223.0,,,,2017.0
Boise State,32.0,20.0,12.0,625.0,5.52,2.72,12.0,6.0,11.0,3.0,8.0,7.0,75125.0,71.1875,1280.0,25.34375,56.3125,0.45,7.90625,22.6875,348.0,16.53125,23.21875,712.0,25.9375,9.65625,35.59375,12.09375,4.9375,2.40625,12.78125,20.6875,70.4,106.7,412.0,403.0,558.0,513.0,477.0,0.07,61.0,0.52,0.16,282.0,294.0,,,,2017.0
Boston College,32.0,9.0,23.0,281.0,2.2,8.08,2.0,16.0,8.0,10.0,0.0,9.0,72.5,78375.0,1280.0,26.34375,58.75,448.0,8.0,21.40625,374.0,11.8125,17375.0,0.68,25.84375,9125.0,34.96875,14.78125,5.59375,2.71875,14.59375,18.65625,72.5,100.0,296.0,364.0,541.0,502.0,561.0,77.0,73.0,516.0,179.0,257.0,201.0,,,,2017.0
Boston University,32.0,18.0,14.0,563.0,-2.43,-3.66,12.0,6.0,11.0,5.0,6.0,9.0,73.09375,70.75,1300.0,25.53125,57625.0,443.0,8.5625,24.15625,354.0,13.46875,19.34375,696.0,25625.0,10.03125,35.65625,14.03125,8.28125,2.53125,13875.0,19.0625,69.8,103.1,336.0,419.0,547.0,501.0,0.55,0.1169999999999999,77.0,517.0,172.0,282.0,234.0,,,,2017.0
Bowling Green State,32.0,13.0,19.0,406.0,-6.0,-2.0,7.0,11.0,10.0,7.0,3.0,12.0,73.59375,76.65625,1295.0,26.0,61.15625,425.0,6875.0,20125.0,342.0,14.71875,22.0625,667.0,25.0,11.03125,36.03125,12.1875,6.90625,2.71875,12.75,19.46875,72.7,100.1,361.0,329.0,514.0,488.0,469.0,94.0,71.0,481.0,151.0,282.0,241.0,,,,2017.0
Bradley,33.0,13.0,20.0,394.0,-2.84,2.94,7.0,11.0,8.0,7.0,3.0,10.0,65.54545454545455,70.6969696969697,1325.0,22.151515151515152,52.18181818181818,425.0,6.575757575757576,18.454545454545453,356.0,14.666666666666666,21.78787878787879,673.0,26.03030303030303,9.0,35.03030303030303,11.272727272727272,6.151515151515151,3.575757575757576,15.12121212121212,20.363636363636363,68.6,95.1,418.0,354.0,524.0,492.0,509.0,89.0,105.0,488.0,195.0,262.0,281.0,,,,2017.0
Brigham Young,34.0,22.0,12.0,647.0,8.22,1.87,12.0,6.0,14.0,4.0,5.0,4.0,80.61764705882354,74.26470588235294,1360.0,27.558823529411764,60.5,456.0,6.764705882352941,19.647058823529413,344.0,18.73529411764705,25.558823529411764,733.0,31.029411764705884,10.676470588235292,41.70588235294117,15.705882352941176,6.588235294117647,4.588235294117647,13.794117647058824,19.323529411764707,75.6,106.7,422.0,325.0,555.0,535.0,0.57,87.0,0.1169999999999999,511.0,0.16,292.0,0.31,,,,2017.0
Brown,30.0,13.0,17.0,433.0,-8.55,-4.08,4.0,10.0,9.0,7.0,4.0,8.0,75.83333333333333,77.93333333333334,1200.0,24.5,55.333333333333336,443.0,8.133333333333333,22.166666666666668,367.0,18.7,24.633333333333333,759.0,21.933333333333334,9.166666666666666,31.1,13.3,7.6,1.8666666666666667,14.333333333333334,19.9,72.1,105.1,445.0,401.0,566.0,478.0,0.5429999999999999,105.0,53.0,516.0,176.0,271.0,338.0,,,,2017.0
