School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
UC Santa Barbara,33.0,19.0,14.0,0.576,3.79,1.44,11.0,5.0,6.0,5.0,10.0,6.0,70.75757575757575,67.24242424242425,1325.0,26.03030303030303,58.90909090909091,0.442,7.606060606060606,21.12121212121212,0.36,11.090909090909092,15.818181818181818,0.701,26.96969696969697,10.454545454545457,37.42424242424242,15.030303030303031,5.909090909090909,2.9696969696969697,12.696969696969695,19.60606060606061,68.3,103.1,0.269,0.359,0.533,0.512,0.5770000000000001,0.86,0.91,0.506,0.16,0.292,0.188,NA,NA,NA,2016
UCLA,32.0,15.0,17.0,0.469,10.48,9.69,6.0,12.0,11.0,6.0,3.0,7.0,77.5,76.71875,1295.0,28.59375,63.0,0.454,6.25,17.21875,0.363,14.0625,20.34375,0.691,27.28125,12.28125,39.5625,15.6875,5.46875,3.4375,12.25,18.59375,71.6,106.9,0.323,0.273,0.533,0.516,0.5489999999999999,0.75,0.88,0.503,0.144,0.3279999999999999,0.223,NA,NA,NA,2016
UNC Asheville,34.0,22.0,12.0,0.647,1.1,-3.25,12.0,6.0,11.0,3.0,6.0,7.0,75.05882352941177,68.02941176470588,1370.0,26.41176470588235,58.02941176470589,0.455,5.735294117647059,17.735294117647058,0.323,16.5,23.764705882352946,0.694,25.94117647058824,11.647058823529411,37.588235294117645,12.411764705882351,9.176470588235292,3.294117647058824,13.058823529411764,17.264705882352942,70.4,105.8,0.41,0.306,0.541,0.515,0.47,0.129,0.09,0.505,0.159,0.319,0.284,15.0,R64,SOUTH,2016
UNC Greensboro,34.0,15.0,19.0,0.441,-6.01,-3.23,10.0,8.0,12.0,4.0,3.0,14.0,72.61764705882354,73.3529411764706,1370.0,26.176470588235293,58.73529411764706,0.446,8.705882352941176,23.97058823529412,0.363,11.558823529411764,17.029411764705884,0.679,24.852941176470587,9.470588235294118,34.3235294117647,12.941176470588236,6.117647058823529,2.5294117647058822,11.970588235294118,19.852941176470587,68.7,104.9,0.29,0.408,0.543,0.494,0.494,0.88,0.75,0.52,0.152,0.268,0.197,NA,NA,NA,2016
UNC Wilmington,33.0,25.0,8.0,0.758,6.25,0.35,14.0,4.0,12.0,2.0,8.0,5.0,79.39393939393939,72.0909090909091,1335.0,28.12121212121212,61.78787878787879,0.455,6.96969696969697,20.51515151515152,0.34,16.181818181818183,23.03030303030303,0.703,25.454545454545453,12.030303030303031,37.48484848484848,13.272727272727272,7.454545454545454,4.333333333333333,11.333333333333334,24.03030303030303,71.3,110.0,0.373,0.332,0.546,0.506,0.472,0.103,0.1119999999999999,0.512,0.135,0.322,0.262,13.0,R64,WEST,2016
UT Arlington,35.0,24.0,11.0,0.686,5.02,-3.42,13.0,7.0,13.0,2.0,10.0,8.0,78.91428571428571,69.05714285714286,1415.0,27.31428571428572,64.25714285714285,0.425,8.771428571428572,26.914285714285715,0.326,15.514285714285714,22.285714285714285,0.696,28.857142857142858,14.857142857142858,43.71428571428572,16.857142857142858,7.457142857142857,2.8285714285714287,13.771428571428572,20.857142857142858,72.8,107.2,0.347,0.419,0.527,0.5529999999999999,0.617,0.1009999999999999,0.85,0.493,0.155,0.37,0.241,NA,NA,NA,2016
Utah,36.0,27.0,9.0,0.75,15.5,8.79,13.0,5.0,16.0,1.0,5.0,5.0,77.16666666666667,69.5,1460.0,27.13888888888889,55.55555555555556,0.489,7.583333333333333,20.72222222222222,0.366,15.305555555555555,21.22222222222222,0.721,27.444444444444443,9.63888888888889,37.083333333333336,15.47222222222222,5.527777777777778,4.138888888888889,12.52777777777778,15.25,67.7,112.5,0.382,0.373,0.588,0.532,0.57,0.81,0.99,0.557,0.16,0.302,0.276,3.0,R32,MIDWEST,2016
Utah State,31.0,16.0,15.0,0.516,2.68,2.06,7.0,11.0,10.0,6.0,5.0,8.0,73.35483870967742,71.51612903225806,1240.0,25.870967741935484,57.38709677419355,0.451,8.290322580645162,22.41935483870968,0.37,13.32258064516129,19.258064516129032,0.692,25.451612903225808,10.290322580645162,35.74193548387097,14.64516129032258,5.516129032258065,2.6129032258064515,12.03225806451613,17.612903225806452,68.2,107.6,0.336,0.391,0.551,0.509,0.5660000000000001,0.81,0.71,0.523,0.153,0.297,0.232,NA,NA,NA,2016
Utah Valley,30.0,12.0,18.0,0.4,-9.58,-3.58,6.0,8.0,7.0,7.0,5.0,9.0,76.0,78.66666666666667,1210.0,26.166666666666668,61.1,0.428,8.533333333333333,24.3,0.351,15.133333333333333,20.933333333333334,0.723,27.433333333333334,9.233333333333333,36.66666666666666,14.5,5.866666666666666,3.1666666666666665,13.3,20.9,74.8,100.8,0.343,0.398,0.535,0.477,0.5539999999999999,0.78,0.71,0.498,0.158,0.243,0.248,NA,NA,NA,2016
UTEP,33.0,19.0,14.0,0.576,-3.81,-4.93,10.0,8.0,14.0,4.0,2.0,9.0,77.39393939393939,74.87878787878788,1335.0,27.151515151515152,58.36363636363637,0.465,6.757575757575758,18.727272727272727,0.361,16.333333333333332,24.51515151515152,0.666,27.21212121212121,9.06060606060606,36.27272727272727,15.515151515151516,5.96969696969697,3.515151515151515,12.636363636363637,20.363636363636363,72.8,105.2,0.42,0.321,0.553,0.481,0.5710000000000001,0.81,0.95,0.523,0.153,0.251,0.28,NA,NA,NA,2016
