School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
Abilene Christian,31.0,10.0,21.0,0.323,-17.2,-6.34,4.0,14.0,7.0,6.0,1.0,14.0,63.74193548387097,70.51612903225806,1240.0,22.41935483870968,54.32258064516129,0.413,7.483870967741935,19.677419354838708,0.38,11.419354838709678,15.709677419354838,0.727,20.096774193548388,8.838709677419354,28.93548387096774,12.709677419354838,6.548387096774194,1.2258064516129032,12.870967741935484,21.32258064516129,65.9,96.7,0.289,0.362,0.516,0.446,0.5670000000000001,0.99,0.36,0.482,0.172,0.255,0.21,NA,NA,NA,2015
Air Force,31.0,14.0,17.0,0.452,-1.85,-0.71,6.0,12.0,11.0,5.0,1.0,11.0,65.70967741935483,65.06451612903226,1245.0,23.93548387096774,50.483870967741936,0.474,7.483870967741935,20.161290322580644,0.371,10.35483870967742,15.709677419354838,0.659,21.451612903225808,8.548387096774194,30.0,15.580645161290322,6.290322580645161,2.096774193548387,11.806451612903226,17.806451612903224,61.1,107.1,0.311,0.399,0.567,0.494,0.6509999999999999,0.103,0.74,0.548,0.1689999999999999,0.291,0.205,NA,NA,NA,2015
Akron,35.0,21.0,14.0,0.6,3.65,-0.47,9.0,9.0,15.0,3.0,2.0,9.0,68.05714285714286,62.94285714285714,1406.0,23.542857142857144,56.62857142857143,0.416,9.371428571428572,26.77142857142857,0.35,11.6,17.62857142857143,0.658,23.685714285714287,12.0,35.68571428571428,12.428571428571429,6.571428571428571,4.428571428571429,12.057142857142855,18.685714285714287,64.7,104.8,0.311,0.473,0.523,0.505,0.528,0.1009999999999999,0.121,0.498,0.156,0.3339999999999999,0.205,NA,NA,NA,2015
Alabama,34.0,19.0,15.0,0.559,10.52,8.09,8.0,10.0,14.0,5.0,4.0,8.0,67.05882352941177,64.11764705882354,1371.0,22.352941176470587,50.70588235294117,0.441,6.5,20.5,0.317,15.852941176470589,22.11764705882353,0.717,23.44117647058824,9.558823529411764,33.0,10.294117647058824,6.441176470588236,3.676470588235294,11.970588235294118,19.23529411764705,63.1,105.4,0.436,0.404,0.548,0.497,0.461,0.1009999999999999,0.111,0.505,0.1639999999999999,0.3,0.313,NA,NA,NA,2015
Alabama A&M,29.0,9.0,20.0,0.31,-17.15,-9.62,8.0,10.0,4.0,7.0,5.0,12.0,61.96551724137931,68.55172413793103,1165.0,20.96551724137931,52.86206896551724,0.397,5.724137931034483,19.89655172413793,0.288,14.310344827586206,22.17241379310345,0.645,21.75862068965517,12.655172413793103,34.41379310344828,12.20689655172414,5.689655172413793,2.3448275862068964,14.241379310344827,19.75862068965517,64.5,95.6,0.419,0.376,0.489,0.495,0.5820000000000001,0.88,0.61,0.451,0.183,0.358,0.271,NA,NA,NA,2015
Alabama State,29.0,19.0,10.0,0.655,-8.97,-12.71,14.0,4.0,9.0,3.0,8.0,5.0,72.06896551724138,66.79310344827586,1165.0,26.24137931034483,59.93103448275862,0.438,5.931034482758621,16.551724137931036,0.358,13.655172413793103,21.0,0.65,26.27586206896552,13.413793103448276,39.689655172413794,13.551724137931034,6.344827586206897,4.206896551724138,13.689655172413794,17.93103448275862,69.8,102.9,0.35,0.276,0.515,0.535,0.516,0.91,0.106,0.487,0.1639999999999999,0.359,0.228,NA,NA,NA,2015
Albany (NY),33.0,24.0,9.0,0.727,-0.34,-5.18,15.0,1.0,12.0,3.0,12.0,5.0,65.33333333333333,60.48484848484848,1325.0,22.09090909090909,50.48484848484848,0.438,6.212121212121212,17.333333333333332,0.358,14.93939393939394,19.69696969696969,0.758,23.545454545454547,10.12121212121212,33.666666666666664,10.575757575757576,5.666666666666667,1.606060606060606,11.545454545454543,16.484848484848484,61.2,106.4,0.39,0.343,0.546,0.535,0.479,0.92,0.55,0.499,0.162,0.326,0.296,14.0,R64,EAST,2015
Alcorn State,32.0,6.0,26.0,0.188,-20.75,-9.95,4.0,14.0,4.0,7.0,1.0,15.0,64.5625,74.28125,1280.0,22.625,58.25,0.388,4.84375,17.28125,0.28,14.46875,22.0,0.658,20.6875,11.75,32.4375,8.90625,5.96875,2.6875,11.46875,17.84375,68.2,94.6,0.378,0.297,0.47,0.4639999999999999,0.3939999999999999,0.87,0.67,0.43,0.143,0.312,0.248,NA,NA,NA,2015
American,33.0,17.0,16.0,0.515,-3.56,-3.71,8.0,10.0,8.0,3.0,7.0,13.0,58.72727272727273,58.57575757575758,1339.0,20.69696969696969,44.81818181818182,0.462,6.454545454545454,17.303030303030305,0.373,10.87878787878788,15.424242424242424,0.705,19.363636363636363,5.696969696969697,25.060606060606062,12.363636363636363,5.9393939393939394,2.5454545454545454,11.212121212121213,14.666666666666666,57.1,101.5,0.344,0.386,0.563,0.457,0.597,0.103,0.08,0.534,0.177,0.214,0.243,NA,NA,NA,2015
Appalachian State,29.0,12.0,17.0,0.414,-9.81,-3.18,9.0,11.0,7.0,5.0,5.0,12.0,63.48275862068966,70.10344827586206,1160.0,21.96551724137931,55.241379310344826,0.398,6.413793103448276,20.27586206896552,0.316,13.137931034482758,18.517241379310345,0.709,23.48275862068965,11.344827586206897,34.827586206896555,10.96551724137931,4.206896551724138,2.103448275862069,13.689655172413794,19.0,66.5,95.4,0.335,0.367,0.496,0.499,0.499,0.63,0.54,0.456,0.176,0.312,0.238,NA,NA,NA,2015
Arizona,38.0,34.0,4.0,0.895,24.33,7.41,16.0,2.0,17.0,0.0,8.0,3.0,76.60526315789474,59.68421052631579,1525.0,26.55263157894737,54.42105263157895,0.488,5.078947368421052,14.105263157894736,0.36,18.42105263157895,25.63157894736842,0.719,26.0,10.81578947368421,36.81578947368421,13.894736842105264,7.236842105263157,3.4473684210526314,11.026315789473683,17.92105263157895,66.5,114.7,0.471,0.259,0.575,0.568,0.523,0.108,0.98,0.535,0.142,0.345,0.338,2.0,E8,WEST,2015
Arizona State,34.0,18.0,16.0,0.529,9.52,6.66,9.0,9.0,15.0,3.0,3.0,10.0,69.41176470588235,66.55882352941177,1385.0,23.794117647058822,53.47058823529412,0.445,6.794117647058823,19.41176470588235,0.35,15.029411764705882,22.529411764705884,0.667,24.08823529411765,10.735294117647058,34.8235294117647,12.676470588235292,5.852941176470588,2.323529411764706,13.941176470588236,18.764705882352946,66.0,103.3,0.421,0.363,0.541,0.529,0.5329999999999999,0.87,0.61,0.509,0.178,0.318,0.281,NA,NA,NA,2015
Arkansas,36.0,27.0,9.0,0.75,14.07,6.79,13.0,5.0,17.0,2.0,7.0,5.0,77.41666666666667,70.13888888888889,1450.0,27.166666666666668,61.0,0.445,6.611111111111111,18.916666666666668,0.349,16.47222222222222,22.75,0.724,22.77777777777778,13.055555555555555,35.833333333333336,16.083333333333332,7.694444444444445,4.666666666666667,11.944444444444445,19.0,70.1,109.6,0.373,0.31,0.539,0.502,0.5920000000000001,0.109,0.12,0.5,0.143,0.357,0.27,5.0,R32,WEST,2015
Arkansas State,29.0,11.0,18.0,0.379,-10.1,-3.81,6.0,14.0,5.0,9.0,6.0,9.0,64.44827586206897,69.58620689655173,1170.0,22.89655172413793,56.241379310344826,0.407,5.827586206896552,17.724137931034484,0.329,12.827586206896552,18.27586206896552,0.702,24.82758620689655,10.96551724137931,35.793103448275865,11.06896551724138,5.310344827586207,3.0689655172413794,13.448275862068966,17.103448275862068,66.9,95.5,0.325,0.315,0.496,0.491,0.483,0.79,0.81,0.459,0.172,0.303,0.228,NA,NA,NA,2015
Arkansas-Pine Bluff,32.0,12.0,20.0,0.375,-15.65,-8.61,9.0,9.0,5.0,4.0,5.0,13.0,59.75,66.875,1285.0,20.5,51.1875,0.4,6.34375,19.09375,0.332,12.40625,18.25,0.68,18.78125,10.1875,28.96875,10.09375,8.84375,3.375,15.28125,19.46875,64.7,92.1,0.357,0.373,0.499,0.45,0.492,0.136,0.107,0.462,0.203,0.305,0.242,NA,NA,NA,2015
Army,30.0,15.0,15.0,0.5,-6.5,-4.98,6.0,12.0,7.0,7.0,7.0,8.0,72.13333333333334,72.1,1215.0,25.966666666666665,58.93333333333333,0.441,7.566666666666666,23.23333333333333,0.326,12.633333333333333,18.566666666666663,0.68,23.6,10.833333333333334,34.43333333333333,14.566666666666666,6.4,3.533333333333333,13.2,20.4,69.0,103.2,0.315,0.394,0.532,0.493,0.561,0.92,0.88,0.505,0.163,0.304,0.214,NA,NA,NA,2015
Auburn,35.0,15.0,20.0,0.429,3.27,8.15,4.0,14.0,9.0,8.0,2.0,10.0,67.94285714285714,72.08571428571429,1415.0,21.714285714285715,53.71428571428572,0.404,7.2,20.77142857142857,0.347,17.314285714285713,26.0,0.666,21.37142857142857,10.17142857142857,31.542857142857144,10.742857142857142,6.8,2.5428571428571427,12.914285714285716,20.228571428571428,67.9,99.0,0.484,0.387,0.514,0.46,0.495,0.99,0.07,0.471,0.1639999999999999,0.28,0.322,NA,NA,NA,2015
Austin Peay,30.0,8.0,22.0,0.267,-12.45,-2.81,3.0,13.0,6.0,7.0,1.0,14.0,64.56666666666666,72.6,1200.0,22.1,55.56666666666667,0.398,5.166666666666667,17.1,0.302,15.2,22.83333333333333,0.666,22.33333333333333,12.433333333333334,34.766666666666666,12.0,6.366666666666666,4.133333333333334,14.266666666666667,17.133333333333333,68.2,94.6,0.411,0.308,0.486,0.503,0.5429999999999999,0.93,0.121,0.444,0.177,0.33,0.274,NA,NA,NA,2015
Ball State,30.0,7.0,23.0,0.233,-5.06,0.04,2.0,16.0,6.0,9.0,1.0,14.0,65.36666666666666,69.0,1226.0,22.3,52.66666666666666,0.423,7.8,22.8,0.342,12.966666666666669,18.7,0.693,22.566666666666663,10.1,32.666666666666664,12.766666666666667,5.3,2.3666666666666667,14.133333333333333,19.2,64.0,99.9,0.355,0.433,0.531,0.502,0.5720000000000001,0.81,0.68,0.497,0.187,0.302,0.246,NA,NA,NA,2015
Baylor,34.0,24.0,10.0,0.706,17.85,9.33,11.0,7.0,16.0,2.0,6.0,5.0,69.08823529411765,60.23529411764706,1370.0,23.91176470588235,55.11764705882353,0.434,6.941176470588236,18.41176470588235,0.377,14.323529411764708,21.264705882352946,0.674,24.58823529411765,14.617647058823527,39.20588235294117,14.617647058823527,7.735294117647059,3.882352941176471,12.764705882352942,16.61764705882353,62.8,109.2,0.386,0.334,0.53,0.5589999999999999,0.611,0.122,0.1119999999999999,0.497,0.1639999999999999,0.424,0.26,3.0,R64,WEST,2015
Belmont,33.0,22.0,11.0,0.667,0.35,-2.77,11.0,5.0,12.0,2.0,7.0,8.0,74.24242424242425,70.60606060606061,1320.0,26.0,54.63636363636363,0.476,9.969696969696969,26.24242424242424,0.38,12.272727272727272,17.727272727272727,0.692,23.818181818181817,9.303030303030305,33.121212121212125,15.272727272727272,6.333333333333333,2.0,13.666666666666666,16.636363636363637,67.5,109.9,0.324,0.48,0.589,0.503,0.5870000000000001,0.94,0.55,0.567,0.178,0.29,0.225,15.0,R64,EAST,2015
Bethune-Cookman,32.0,11.0,21.0,0.344,-15.52,-10.45,7.0,9.0,6.0,8.0,4.0,11.0,59.34375,62.59375,1280.0,19.59375,48.96875,0.4,5.09375,16.9375,0.301,15.0625,21.0,0.717,21.375,11.625,33.0,8.25,5.4375,2.625,14.03125,19.46875,61.3,96.7,0.429,0.346,0.503,0.511,0.421,0.89,0.81,0.452,0.192,0.356,0.308,NA,NA,NA,2015
Binghamton,32.0,6.0,26.0,0.188,-13.45,-3.49,5.0,11.0,5.0,9.0,1.0,15.0,57.65625,66.375,1285.0,19.78125,49.9375,0.396,5.34375,17.3125,0.309,12.75,19.3125,0.66,22.0,9.0,31.0,8.6875,5.8125,2.5,13.53125,18.03125,63.4,90.7,0.387,0.347,0.488,0.469,0.439,0.91,0.78,0.45,0.186,0.265,0.255,NA,NA,NA,2015
Boise State,34.0,25.0,9.0,0.735,10.01,1.38,14.0,4.0,13.0,1.0,8.0,5.0,70.29411764705883,60.14705882352941,1385.0,24.44117647058824,53.61764705882353,0.456,8.735294117647058,22.294117647058822,0.392,12.676470588235292,17.38235294117647,0.729,24.147058823529413,8.764705882352942,32.911764705882355,12.029411764705882,6.0588235294117645,2.323529411764706,10.235294117647058,17.11764705882353,62.4,110.5,0.324,0.416,0.568,0.521,0.492,0.95,0.07,0.537,0.142,0.284,0.236,11.0,R68,EAST,2015
Boston College,32.0,13.0,19.0,0.406,6.32,7.94,4.0,14.0,9.0,8.0,2.0,7.0,65.78125,67.40625,1300.0,23.21875,52.125,0.445,6.46875,19.9375,0.324,12.875,18.25,0.705,22.5,8.21875,30.71875,13.15625,5.71875,2.6875,12.15625,18.96875,63.9,101.4,0.35,0.382,0.541,0.48,0.5670000000000001,0.88,0.75,0.507,0.1669999999999999,0.261,0.247,NA,NA,NA,2015
Boston University,30.0,13.0,17.0,0.433,-5.63,-3.12,9.0,9.0,8.0,6.0,5.0,10.0,67.9,69.56666666666666,1210.0,22.266666666666666,49.93333333333333,0.446,7.733333333333333,21.03333333333333,0.368,15.633333333333333,22.466666666666665,0.696,23.0,8.766666666666667,31.766666666666666,12.266666666666667,5.666666666666667,1.8666666666666667,12.3,17.4,63.7,105.7,0.45,0.421,0.56,0.507,0.551,0.88,0.0579999999999999,0.523,0.1689999999999999,0.285,0.313,NA,NA,NA,2015
Bowling Green State,33.0,21.0,12.0,0.636,2.93,-1.25,11.0,7.0,11.0,6.0,10.0,5.0,66.54545454545455,62.90909090909091,1325.0,23.57575757575757,54.72727272727273,0.431,6.606060606060606,19.60606060606061,0.337,12.727272727272728,17.818181818181817,0.714,24.27272727272728,10.757575757575758,35.03030303030303,12.303030303030305,6.636363636363637,3.727272727272727,11.696969696969695,16.666666666666668,63.8,103.9,0.326,0.358,0.527,0.51,0.522,0.104,0.1119999999999999,0.491,0.156,0.314,0.233,NA,NA,NA,2015
Bradley,33.0,9.0,24.0,0.273,-4.3,1.52,3.0,15.0,7.0,9.0,1.0,10.0,57.03030303030303,61.39393939393939,1340.0,19.363636363636363,51.51515151515152,0.376,5.424242424242424,18.0,0.301,12.87878787878788,19.424242424242426,0.663,21.848484848484848,11.424242424242424,33.27272727272727,9.333333333333334,6.878787878787879,2.8181818181818183,12.666666666666666,19.545454545454547,61.1,91.9,0.377,0.349,0.469,0.505,0.482,0.111,0.96,0.429,0.173,0.325,0.25,NA,NA,NA,2015
Brigham Young,35.0,25.0,10.0,0.714,13.53,5.02,13.0,5.0,13.0,3.0,8.0,3.0,83.74285714285715,73.17142857142858,1420.0,27.88571428571429,59.71428571428572,0.467,8.571428571428571,21.8,0.393,19.4,25.31428571428572,0.766,26.51428571428572,12.028571428571428,38.54285714285714,16.97142857142857,7.3428571428571425,2.942857142857143,11.914285714285716,20.6,70.7,116.7,0.424,0.365,0.584,0.532,0.609,0.102,0.74,0.539,0.142,0.341,0.325,11.0,R68,WEST,2015
Brown,31.0,13.0,18.0,0.419,-7.23,-1.99,4.0,10.0,9.0,6.0,3.0,11.0,66.06451612903226,69.16129032258064,1245.0,22.12903225806452,52.354838709677416,0.423,5.645161290322581,17.70967741935484,0.319,16.161290322580644,23.451612903225808,0.689,25.967741935483872,10.451612903225806,36.41935483870968,11.903225806451612,4.483870967741935,4.451612903225806,14.838709677419354,19.06451612903226,67.6,97.3,0.448,0.338,0.52,0.511,0.5379999999999999,0.66,0.111,0.477,0.1889999999999999,0.306,0.309,NA,NA,NA,2015
Bryant,31.0,16.0,15.0,0.516,-6.28,-4.93,12.0,6.0,9.0,5.0,7.0,10.0,66.38709677419355,67.74193548387096,1255.0,22.870967741935484,54.29032258064516,0.421,7.290322580645161,21.06451612903226,0.346,13.35483870967742,17.806451612903224,0.75,23.32258064516129,9.870967741935484,33.193548387096776,12.290322580645162,5.064516129032258,2.4838709677419355,11.806451612903226,18.06451612903226,63.8,102.9,0.328,0.388,0.529,0.49,0.537,0.79,0.07,0.488,0.158,0.295,0.246,NA,NA,NA,2015
Bucknell,34.0,19.0,15.0,0.559,-3.66,-2.75,13.0,5.0,12.0,4.0,6.0,11.0,68.79411764705883,69.0,1380.0,23.529411764705884,53.76470588235294,0.438,6.852941176470588,17.794117647058822,0.385,14.882352941176473,21.352941176470587,0.697,23.676470588235293,10.0,33.6764705882353,13.117647058823527,4.088235294117647,2.794117647058824,11.088235294117649,18.558823529411764,64.1,105.8,0.397,0.331,0.538,0.516,0.5579999999999999,0.63,0.73,0.501,0.148,0.299,0.277,NA,NA,NA,2015
Buffalo,33.0,23.0,10.0,0.697,7.93,1.6,12.0,6.0,11.0,2.0,9.0,7.0,74.60606060606061,68.27272727272727,1320.0,25.363636363636363,58.24242424242424,0.435,6.03030303030303,17.666666666666668,0.341,17.848484848484848,24.818181818181817,0.719,25.454545454545453,12.727272727272728,38.18181818181818,13.12121212121212,7.515151515151516,4.0,11.454545454545457,18.57575757575757,68.7,108.5,0.426,0.303,0.533,0.52,0.517,0.109,0.113,0.487,0.141,0.345,0.306,12.0,R64,MIDWEST,2015
Butler,34.0,23.0,11.0,0.676,16.64,8.62,12.0,6.0,13.0,3.0,7.0,4.0,69.0,60.97058823529412,1380.0,23.94117647058824,55.35294117647059,0.433,5.647058823529412,15.882352941176473,0.356,15.470588235294118,22.558823529411764,0.686,24.44117647058824,12.0,36.44117647058823,11.382352941176473,6.382352941176471,3.0294117647058822,11.058823529411764,17.41176470588235,64.2,105.9,0.408,0.287,0.522,0.542,0.475,0.98,0.88,0.484,0.143,0.347,0.279,6.0,R32,MIDWEST,2015
Cal Poly,29.0,13.0,16.0,0.448,-0.57,0.43,6.0,10.0,7.0,4.0,5.0,10.0,60.41379310344828,59.3448275862069,1170.0,21.379310344827587,54.793103448275865,0.39,5.724137931034483,18.379310344827587,0.311,11.93103448275862,17.448275862068964,0.684,22.75862068965517,11.79310344827586,34.55172413793103,10.172413793103448,5.448275862068965,3.0,8.793103448275861,16.03448275862069,59.3,101.0,0.318,0.335,0.479,0.51,0.476,0.91,0.89,0.442,0.122,0.326,0.218,NA,NA,NA,2015
Cal State Bakersfield,33.0,14.0,19.0,0.424,-6.4,-5.8,7.0,7.0,9.0,5.0,3.0,10.0,63.63636363636363,61.45454545454545,1345.0,21.666666666666668,51.60606060606061,0.42,5.636363636363637,16.78787878787879,0.336,14.666666666666666,20.27272727272728,0.723,23.484848484848484,11.151515151515152,34.63636363636363,12.93939393939394,5.757575757575758,1.7878787878787878,12.393939393939394,20.393939393939394,61.2,102.1,0.393,0.325,0.52,0.5379999999999999,0.597,0.92,0.61,0.474,0.168,0.342,0.284,NA,NA,NA,2015
Cal State Fullerton,31.0,9.0,22.0,0.29,-8.58,-1.06,1.0,15.0,6.0,9.0,1.0,13.0,64.2258064516129,69.51612903225806,1255.0,22.516129032258064,54.67741935483871,0.412,5.387096774193548,16.870967741935484,0.319,13.806451612903226,20.096774193548388,0.687,24.677419354838708,10.419354838709678,35.096774193548384,9.838709677419354,5.032258064516129,2.0,12.612903225806452,18.258064516129032,65.6,96.7,0.368,0.309,0.5,0.507,0.437,0.76,0.55,0.461,0.1639999999999999,0.292,0.253,NA,NA,NA,2015
Cal State Northridge,33.0,9.0,24.0,0.273,-6.61,0.39,4.0,12.0,7.0,9.0,1.0,14.0,65.0909090909091,70.45454545454545,1330.0,22.424242424242426,52.78787878787879,0.425,3.333333333333333,10.212121212121213,0.326,16.90909090909091,22.09090909090909,0.765,24.484848484848484,9.848484848484848,34.333333333333336,13.424242424242424,5.454545454545454,3.787878787878788,13.181818181818182,18.09090909090909,65.9,98.0,0.418,0.193,0.514,0.504,0.599,0.0819999999999999,0.11,0.456,0.172,0.297,0.32,NA,NA,NA,2015
California,33.0,18.0,15.0,0.545,5.36,6.15,7.0,11.0,11.0,7.0,5.0,6.0,66.51515151515152,67.3030303030303,1330.0,24.87878787878788,56.60606060606061,0.44,5.606060606060606,15.606060606060606,0.359,11.151515151515152,17.181818181818183,0.649,26.393939393939394,9.06060606060606,35.45454545454545,12.484848484848484,4.151515151515151,3.8484848484848486,11.06060606060606,19.0,66.3,99.6,0.304,0.276,0.513,0.506,0.502,0.62,0.92,0.489,0.146,0.26,0.197,NA,NA,NA,2015
Campbell,32.0,10.0,22.0,0.313,-11.13,-5.3,4.0,14.0,9.0,6.0,1.0,15.0,63.90625,66.375,1285.0,22.03125,51.6875,0.426,8.1875,23.0,0.356,11.65625,18.65625,0.625,21.34375,9.53125,30.875,13.09375,7.0625,2.875,12.59375,18.0,63.3,100.6,0.361,0.445,0.528,0.484,0.594,0.111,0.83,0.505,0.172,0.285,0.226,NA,NA,NA,2015
Canisius,33.0,18.0,15.0,0.545,-0.04,-2.79,11.0,9.0,10.0,5.0,8.0,8.0,65.6969696969697,62.93939393939394,1330.0,23.09090909090909,56.48484848484848,0.409,6.515151515151516,20.51515151515152,0.318,13.0,18.060606060606062,0.72,22.90909090909091,12.151515151515152,35.06060606060606,14.090909090909092,6.757575757575758,3.272727272727273,11.909090909090908,18.424242424242426,64.2,101.5,0.32,0.363,0.505,0.504,0.61,0.104,0.1009999999999999,0.466,0.155,0.34,0.23,NA,NA,NA,2015
Central Arkansas,29.0,2.0,27.0,0.69,-22.84,-5.94,2.0,16.0,2.0,11.0,0.0,16.0,65.3103448275862,82.20689655172414,1160.0,22.27586206896552,52.55172413793103,0.424,6.758620689655173,19.17241379310345,0.353,14.0,20.655172413793103,0.678,21.724137931034484,9.413793103448276,31.13793103448276,12.448275862068966,6.275862068965517,3.931034482758621,18.24137931034483,20.82758620689655,71.3,91.6,0.393,0.365,0.524,0.4579999999999999,0.5589999999999999,0.88,0.94,0.488,0.226,0.28,0.266,NA,NA,NA,2015
Central Connecticut State,31.0,5.0,26.0,0.161,-16.56,-5.62,3.0,15.0,4.0,9.0,1.0,13.0,59.16129032258065,70.09677419354838,1245.0,21.741935483870968,54.03225806451613,0.402,4.709677419354839,14.64516129032258,0.322,10.96774193548387,15.451612903225806,0.71,23.032258064516128,10.709677419354838,33.74193548387097,10.96774193548387,4.935483870967742,3.5161290322580645,13.709677419354838,13.838709677419354,64.0,92.1,0.286,0.271,0.482,0.489,0.504,0.77,0.93,0.446,0.183,0.309,0.203,NA,NA,NA,2015
Central Florida,30.0,12.0,18.0,0.4,-5.73,0.78,5.0,13.0,10.0,8.0,2.0,9.0,66.03333333333333,71.76666666666667,1230.0,23.466666666666665,54.03333333333333,0.434,6.733333333333333,19.23333333333333,0.35,12.366666666666667,19.23333333333333,0.643,22.8,10.433333333333334,33.233333333333334,12.3,5.166666666666667,4.266666666666667,13.0,15.666666666666666,64.0,100.7,0.356,0.356,0.523,0.475,0.524,0.79,0.102,0.497,0.171,0.307,0.229,NA,NA,NA,2015
Central Michigan,32.0,23.0,9.0,0.719,5.56,-1.1,12.0,6.0,16.0,1.0,6.0,7.0,78.25,68.34375,1285.0,26.5,56.75,0.467,10.0625,27.0,0.373,15.1875,20.9375,0.725,23.53125,10.21875,33.75,13.96875,7.0625,2.625,10.15625,17.5625,66.6,117.0,0.369,0.476,0.587,0.5,0.527,0.106,0.75,0.556,0.132,0.303,0.268,NA,NA,NA,2015
Charleston Southern,31.0,19.0,12.0,0.613,-4.48,-5.23,13.0,5.0,13.0,2.0,6.0,9.0,73.45161290322581,68.70967741935483,1259.0,25.06451612903226,59.54838709677419,0.421,9.290322580645162,27.258064516129032,0.341,14.03225806451613,20.41935483870968,0.687,24.774193548387096,13.0,37.774193548387096,12.806451612903226,6.903225806451613,2.225806451612903,11.419354838709678,17.419354838709676,66.5,108.8,0.343,0.458,0.53,0.523,0.511,0.102,0.68,0.499,0.142,0.341,0.236,NA,NA,NA,2015
Charlotte,32.0,14.0,18.0,0.438,1.76,0.35,7.0,11.0,7.0,6.0,5.0,9.0,73.8125,72.40625,1320.0,26.8125,57.90625,0.463,6.28125,16.65625,0.377,13.90625,21.40625,0.65,24.5,11.9375,36.4375,13.65625,6.46875,2.5,13.59375,17.4375,67.2,106.5,0.37,0.288,0.542,0.514,0.509,0.93,0.68,0.517,0.166,0.3379999999999999,0.24,NA,NA,NA,2015
Chattanooga,32.0,22.0,10.0,0.688,-1.63,-4.06,15.0,3.0,15.0,2.0,7.0,7.0,72.65625,66.90625,1305.0,24.78125,54.8125,0.452,6.78125,19.40625,0.349,16.3125,23.8125,0.685,23.34375,11.59375,34.9375,12.0,6.5625,6.34375,13.0625,19.375,66.2,107.7,0.434,0.354,0.549,0.51,0.484,0.0969999999999999,0.162,0.514,0.165,0.3389999999999999,0.298,NA,NA,NA,2015
Chicago State,32.0,8.0,24.0,0.25,-14.76,-2.48,4.0,10.0,7.0,5.0,1.0,16.0,57.96875,66.09375,1285.0,20.59375,54.59375,0.377,6.0625,20.125,0.301,10.71875,16.0625,0.667,20.59375,12.21875,32.8125,9.21875,8.375,2.90625,14.71875,21.25,64.5,89.5,0.294,0.369,0.466,0.488,0.4479999999999999,0.129,0.98,0.433,0.191,0.3339999999999999,0.196,NA,NA,NA,2015
Cincinnati,34.0,23.0,11.0,0.676,10.72,4.4,13.0,5.0,15.0,3.0,6.0,5.0,62.14705882352941,55.8235294117647,1380.0,22.38235294117647,50.14705882352941,0.446,4.911764705882353,14.911764705882351,0.329,12.470588235294118,18.61764705882353,0.67,23.38235294117647,11.264705882352942,34.64705882352941,11.588235294117649,6.529411764705882,5.441176470588236,12.705882352941176,14.911764705882351,59.6,102.8,0.371,0.297,0.527,0.535,0.518,0.108,0.154,0.495,0.177,0.373,0.249,8.0,R32,MIDWEST,2015
Clemson,31.0,16.0,15.0,0.516,7.73,7.18,8.0,10.0,11.0,6.0,3.0,7.0,62.70967741935484,62.16129032258065,1250.0,22.225806451612904,54.354838709677416,0.409,5.516129032258065,18.451612903225808,0.299,12.741935483870968,18.677419354838708,0.682,24.29032258064516,11.903225806451612,36.193548387096776,10.64516129032258,5.419354838709677,4.774193548387097,11.774193548387096,16.193548387096776,62.8,99.1,0.344,0.339,0.496,0.515,0.479,0.86,0.129,0.46,0.157,0.341,0.234,NA,NA,NA,2015
Cleveland State,34.0,19.0,15.0,0.559,3.07,-0.78,11.0,5.0,12.0,3.0,6.0,12.0,67.52941176470588,61.70588235294117,1335.0,24.58823529411765,53.52941176470589,0.459,7.264705882352941,19.0,0.382,11.617647058823527,16.91176470588235,0.687,21.147058823529413,10.382352941176473,31.529411764705884,13.352941176470589,7.823529411764706,3.294117647058824,12.0,19.176470588235293,63.3,108.7,0.316,0.355,0.548,0.509,0.5429999999999999,0.126,0.107,0.527,0.163,0.332,0.217,NA,NA,NA,2015
Coastal Carolina,34.0,24.0,10.0,0.706,-1.02,-6.18,12.0,6.0,14.0,2.0,8.0,7.0,71.70588235294117,62.38235294117647,1360.0,24.58823529411765,55.85294117647059,0.44,6.705882352941177,18.61764705882353,0.36,15.823529411764708,22.94117647058824,0.69,26.205882352941178,13.147058823529411,39.35294117647059,11.323529411764708,7.0588235294117645,3.264705882352941,11.735294117647058,16.441176470588236,65.2,110.0,0.411,0.333,0.537,0.557,0.461,0.108,0.102,0.5,0.15,0.375,0.283,16.0,R64,WEST,2015
