,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
253,254,Rider,33,13,20,.394,-5.00,-3.60,8,12,7,6,4,12,2177,2223,1340,767,1862,.412,245,721,.340,444,603,.736,350,1173,418,223,90,400,610,65.6,101.1,.324,.387,.517,50.1,54.5,10.1,7.8,.478,15.7,29.4,.238
254,255,Robert Morris,32,10,22,.313,-13.53,-7.75,8,10,4,8,5,14,2082,2267,1285,800,1843,.434,222,662,.335,445,607,.733,392,1253,500,200,117,489,553,69.4,101.7,.329,.359,.532,54.6,62.5,9.0,10.3,.494,18.7,34.7,.241
255,256,Rutgers,32,7,25,.219,-7.06,6.43,1,17,7,11,0,11,2166,2571,1295,940,2074,.453,265,711,.373,426,625,.682,441,1334,512,230,131,374,573,71.3,111.4,.301,.343,.542,54.5,54.5,10.0,9.5,.517,13.6,35.6,.205
256,257,Sacramento State,31,14,17,.452,-8.63,-5.32,6,12,10,5,3,11,2210,2237,1245,789,1839,.429,216,684,.316,443,663,.668,366,1182,443,195,99,375,577,69.2,103.8,.361,.372,.519,51.5,56.1,9.0,8.5,.488,14.8,31.1,.241
257,258,Sacred Heart,30,12,18,.400,-13.01,-9.05,11,7,6,5,5,13,2217,2336,1210,811,1805,.449,222,618,.359,492,711,.692,359,1114,436,195,121,394,616,72.2,107.0,.394,.342,.545,49.7,53.8,8.9,9.7,.511,15.5,32.4,.273
258,259,Saint Francis (PA),30,13,17,.433,-12.57,-9.06,9,9,8,6,5,11,2110,2181,1210,796,1776,.448,204,642,.318,385,534,.721,329,1062,406,173,119,345,602,67.6,106.7,.301,.361,.537,49.3,51.0,8.5,10.9,.506,14.5,30.7,.217
259,260,Saint Joseph's NCAA,36,28,8,.778,12.10,4.93,13,5,12,4,10,2,2780,2522,1445,924,2218,.417,286,920,.311,388,555,.699,351,1277,454,161,103,410,706,70.1,99.5,.250,.415,.508,48.1,49.1,6.4,7.4,.481,14.2,25.7,.175
260,261,Saint Louis,32,11,21,.344,-2.73,3.49,5,13,7,11,3,8,2106,2305,1290,780,1800,.433,240,731,.328,505,708,.713,316,1196,447,191,138,414,641,69.4,103.0,.393,.406,.539,53.4,57.3,8.5,12.3,.500,16.2,27.9,.281
261,262,Saint Mary's (CA),35,29,6,.829,13.60,1.24,15,3,20,1,7,4,2576,2132,1400,804,1964,.409,204,621,.329,320,476,.672,332,1048,378,155,87,337,605,62.3,97.7,.242,.316,.487,46.1,47.0,7.1,7.6,.461,13.3,26.6,.163
262,263,Saint Peter's,30,14,16,.467,-5.00,-4.30,12,8,9,5,5,10,1966,1987,1210,693,1682,.412,221,649,.341,380,533,.713,278,1012,347,192,107,356,584,66.4,98.9,.317,.386,.513,47.9,50.1,9.6,9.7,.478,15.5,26.3,.226
263,264,Sam Houston State,34,18,16,.529,-6.06,-6.50,12,6,10,5,6,9,2551,2427,1370,796,1806,.441,255,716,.356,580,810,.716,259,1154,511,184,104,455,719,69.8,101.5,.449,.396,.554,47.8,64.2,7.7,8.4,.511,17.2,22.8,.321
264,265,Samford,33,14,19,.424,-5.94,-4.49,4,14,6,7,5,11,2440,2442,1345,820,1848,.444,247,682,.362,555,795,.698,369,1157,458,225,149,483,680,69.7,104.3,.430,.369,.549,50.3,55.9,9.6,11.4,.511,17.8,31.6,.300
