School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Temple,16,5,11,.313,2.57,5.57,4,10,3,5,2,5,1053,1101,640,348,868,.401,115,336,.342,242,338,.716,148,580,214,67,39,213,281,68.3,96.3,.389,.387,.512,49.5,61.5,6.1,6.7,.467,17.2,25.9,.279
Tennessee,27,18,9,.667,16.87,8.46,10,7,13,3,4,4,1941,1714,1080,682,1554,.439,178,538,.331,399,535,.746,294,968,401,196,130,337,444,68.7,104.6,.344,.346,.537,51.4,58.8,10.6,14.1,.496,15.7,31.3,.257
Tennessee State,23,4,19,.174,-14.10,-7.23,3,17,4,8,0,11,1573,1702,930,568,1342,.423,138,480,.288,299,438,.683,215,775,268,170,73,353,478,72.5,93.4,.326,.358,.507,46.9,47.2,10.1,8.9,.475,18.5,25.5,.223
Tennessee Tech,27,5,22,.185,-14.13,-3.84,5,15,5,6,0,16,1797,2075,1085,656,1517,.432,208,648,.321,277,410,.676,245,908,382,176,62,430,430,70.2,94.4,.270,.427,.525,49.4,58.2,9.2,6.2,.501,20.1,26.6,.183
Tennessee-Martin,24,8,16,.333,-19.41,-5.89,6,14,6,7,2,9,1571,1847,970,556,1393,.399,165,495,.333,294,409,.719,260,775,289,172,62,343,429,68.7,94.2,.294,.355,.495,46.7,52.0,10.3,8.0,.458,17.8,29.2,.211
Texas,27,19,8,.704,15.51,9.36,11,6,8,5,6,2,2008,1842,1095,702,1547,.454,232,652,.356,372,524,.710,291,1036,357,176,110,393,531,69.5,105.5,.339,.421,.559,52.7,50.9,9.2,10.4,.529,18.0,30.9,.240
Texas A&M,18,8,10,.444,2.20,4.86,2,8,6,4,2,4,1157,1205,720,401,966,.415,117,391,.299,238,328,.726,198,602,218,124,34,266,304,66.1,97.2,.340,.405,.516,50.9,54.4,10.4,6.7,.476,19.2,32.8,.246
Texas A&M-Corpus Christi,24,5,19,.208,-16.77,-6.10,2,13,4,8,1,10,1554,1716,960,542,1296,.418,153,463,.330,317,462,.686,206,815,308,165,74,401,425,71.3,90.9,.356,.357,.513,48.3,56.8,9.6,8.1,.477,20.9,24.6,.245
Texas Southern,26,17,9,.654,-6.15,-9.03,10,3,8,2,5,6,1921,1806,1045,695,1564,.444,117,424,.276,414,592,.699,313,1064,314,182,115,399,465,73.9,99.5,.379,.271,.521,53.4,45.2,9.4,12.1,.482,17.8,31.9,.265
Texas State,25,18,7,.720,-3.85,-7.37,12,3,8,3,9,3,1660,1543,1015,629,1361,.462,139,366,.380,263,372,.707,231,822,339,172,73,332,422,64.7,101.1,.273,.269,.540,52.5,53.9,10.5,9.6,.513,17.8,29.8,.193
Texas Tech,29,18,11,.621,16.59,7.28,9,8,11,4,5,4,2103,1833,1170,734,1672,.439,185,523,.354,450,634,.710,333,1014,377,207,116,313,502,67.1,107.1,.379,.313,.533,51.2,51.4,10.5,12.2,.494,13.7,32.8,.269
Texas-Rio Grande Valley,19,9,10,.474,-9.63,-5.23,2,5,8,3,1,6,1376,1287,760,476,1164,.409,126,429,.294,298,468,.637,256,743,289,169,81,281,409,74.5,97.2,.402,.369,.496,49.5,60.7,11.9,11.2,.463,16.9,32.4,.256
The Citadel,25,13,12,.520,-6.07,-1.45,5,11,11,3,1,8,2019,1959,1000,708,1566,.452,256,720,.356,347,495,.701,237,944,389,136,108,302,405,74.9,107.9,.316,.460,.560,50.3,54.9,7.3,10.2,.534,14.4,25.4,.222
Toledo,30,21,9,.700,6.59,-1.88,15,4,12,1,7,5,2433,2179,1215,852,1869,.456,314,843,.372,415,532,.780,322,1129,480,184,74,332,458,70.2,114.1,.285,.451,.573,50.2,56.3,8.6,6.5,.540,13.5,29.7,.222
Towson,18,4,14,.222,-9.83,-2.33,3,9,4,4,0,6,1214,1349,730,434,1055,.411,90,311,.289,256,352,.727,225,666,170,90,50,224,318,66.8,99.5,.334,.295,.497,51.5,39.2,7.4,7.9,.454,15.5,34.1,.243
Troy,28,11,17,.393,-12.06,-4.06,4,12,7,4,2,11,1829,1942,1125,636,1596,.398,171,619,.276,386,555,.695,302,1056,320,175,87,417,480,70.2,92.7,.348,.388,.492,51.2,50.3,8.9,8.7,.452,18.3,28.8,.242
Tulane,23,10,13,.435,1.03,3.59,4,12,6,6,3,6,1470,1529,920,486,1269,.383,151,507,.298,347,465,.746,191,752,269,172,71,258,361,67.8,94.3,.366,.400,.493,45.8,55.3,11.0,9.7,.442,14.8,22.9,.273
Tulsa,23,11,12,.478,4.19,5.43,7,9,7,5,4,4,1573,1509,920,566,1262,.448,159,504,.315,282,416,.678,204,781,327,146,46,307,379,68.0,100.5,.330,.399,.539,49.2,57.8,9.3,6.3,.511,17.4,26.9,.223
UAB,29,22,7,.759,5.80,-3.83,13,5,15,2,6,4,2105,1748,1160,788,1746,.451,147,475,.309,382,549,.696,311,1063,308,231,121,304,441,68.9,105.3,.314,.272,.524,51.7,39.1,11.6,12.1,.493,13.2,29.5,.219
UC Davis,18,10,8,.556,-5.83,-4.24,7,5,4,3,4,3,1295,1289,735,449,1020,.440,102,315,.324,295,376,.785,160,571,195,135,50,261,359,70.7,99.8,.369,.309,.540,48.9,43.4,10.4,8.0,.490,17.9,26.6,.289
UC Irvine,27,18,9,.667,3.46,-0.86,13,4,10,1,6,6,1950,1712,1090,729,1615,.451,132,390,.338,360,474,.759,303,1069,319,204,108,350,450,69.2,103.4,.293,.241,.530,55.4,43.8,10.8,11.6,.492,16.0,32.6,.223
UC Riverside,22,14,8,.636,4.12,-2.43,10,5,5,4,7,3,1544,1400,890,572,1280,.447,201,542,.371,199,282,.706,189,799,308,116,51,264,384,66.8,104.0,.220,.423,.546,52.5,53.8,7.8,6.2,.525,15.7,26.2,.155
UC San Diego,17,7,10,.412,-6.95,0.98,4,10,7,3,0,7,1214,1226,685,447,973,.459,188,500,.376,132,207,.638,99,501,294,116,37,225,232,70.2,101.0,.213,.514,.567,43.8,65.8,9.7,5.4,.556,17.4,17.3,.136
UC Santa Barbara,27,22,5,.815,7.80,-2.08,15,3,11,0,8,4,2051,1696,1090,739,1534,.482,181,522,.347,392,522,.751,251,951,438,199,75,294,429,67.2,112.0,.340,.340,.575,54.2,59.3,10.9,7.5,.541,14.2,29.5,.256
UCLA,32,22,10,.688,16.30,11.34,13,6,11,1,5,6,2349,2190,1325,856,1855,.461,218,586,.372,419,586,.715,312,1117,437,158,89,336,514,65.4,108.4,.316,.316,.551,52.6,51.1,7.3,7.9,.520,13.6,29.2,.226
UNC Asheville,20,10,10,.500,-6.99,-7.59,9,5,6,4,4,6,1468,1456,815,548,1152,.476,161,450,.358,211,348,.606,186,669,254,140,87,301,368,69.9,103.1,.302,.391,.557,47.2,46.4,9.8,10.6,.546,18.6,26.8,.183
UNC Greensboro,30,21,9,.700,3.48,-2.15,13,5,7,3,10,3,2189,2020,1205,822,1954,.421,228,763,.299,317,464,.683,377,1174,370,224,115,329,542,70.5,103.1,.237,.390,.503,51.8,45.0,10.6,11.9,.479,13.1,31.4,.162
UNC Wilmington,17,7,10,.412,-6.84,-6.47,1,6,3,4,3,4,1297,1253,685,442,1011,.437,128,371,.345,285,372,.766,162,548,206,103,60,190,306,70.7,107.2,.368,.367,.546,47.5,46.6,8.5,8.6,.500,13.8,27.0,.282
UT Arlington,26,13,13,.500,-7.23,-4.57,9,8,9,4,3,8,1916,1827,1045,677,1659,.408,235,659,.357,327,444,.736,303,973,356,215,124,311,434,71.6,102.4,.268,.397,.512,48.9,52.6,11.5,12.3,.479,14.3,29.3,.197
Utah,25,12,13,.480,11.86,9.54,8,11,8,5,3,7,1803,1745,1010,656,1398,.469,172,484,.355,319,403,.792,185,782,378,136,85,314,419,67.6,105.6,.288,.346,.567,47.9,57.6,8.0,9.2,.531,16.5,23.6,.228
Utah State,29,20,9,.690,10.99,1.32,13,4,10,2,5,3,2105,1808,1160,773,1732,.446,185,557,.332,374,518,.722,361,1180,469,193,145,403,436,69.5,104.5,.299,.322,.532,57.3,60.7,9.6,14.9,.500,16.9,35.4,.216
Utah Tech,21,8,13,.381,-14.01,-3.43,4,10,5,7,3,6,1461,1603,840,514,1227,.419,128,418,.306,305,427,.714,200,740,321,143,43,320,439,74.0,94.0,.348,.341,.511,47.0,62.5,9.2,5.3,.471,18.3,25.3,.249
Utah Valley,22,11,11,.500,-3.41,-1.61,9,4,8,4,3,6,1632,1635,885,592,1246,.475,116,335,.346,332,526,.631,239,854,370,115,101,329,431,72.0,102.5,.422,.269,.546,54.5,62.5,7.2,11.6,.522,18.0,31.5,.266
UTEP,24,12,12,.500,1.07,1.26,8,8,10,2,2,9,1698,1644,965,608,1432,.425,171,524,.326,311,416,.748,210,828,285,150,67,262,421,69.6,101.1,.291,.366,.521,49.4,46.9,8.9,7.5,.484,13.9,24.2,.217
UTSA,26,15,11,.577,-1.22,-0.17,9,7,12,2,2,8,2050,1906,1040,768,1717,.447,209,625,.334,305,401,.761,300,1001,383,161,83,302,475,73.4,107.4,.234,.364,.537,51.3,49.9,8.4,8.8,.508,13.7,29.9,.178
Valparaiso,28,10,18,.357,-4.21,1.14,7,11,6,6,4,11,1821,1902,1130,660,1576,.419,189,635,.298,312,429,.727,196,920,356,183,97,346,445,68.3,94.4,.272,.403,.512,47.1,53.9,9.5,9.4,.479,16.3,20.1,.198
Vanderbilt,25,9,16,.360,6.14,6.74,3,13,6,7,2,8,1794,1809,1000,609,1416,.430,233,667,.349,343,466,.736,246,843,318,175,65,346,440,69.6,103.0,.329,.471,.548,49.3,52.2,10.1,7.3,.512,17.4,28.1,.242
Vermont,15,10,5,.667,1.99,-7.61,10,4,6,3,4,2,1095,951,610,383,828,.463,116,337,.344,213,273,.780,126,524,211,75,39,183,266,66.4,108.1,.330,.407,.572,52.9,55.1,7.4,8.0,.533,16.0,26.6,.257
Villanova,25,18,7,.720,17.47,9.19,11,4,9,0,4,4,1870,1663,1005,655,1446,.453,229,648,.353,331,434,.763,232,847,374,127,47,227,387,65.7,113.3,.300,.448,.566,50.9,57.1,7.7,5.7,.532,12.1,27.5,.229
Virginia,25,18,7,.720,15.27,7.59,13,4,10,1,6,3,1705,1513,1005,629,1326,.474,212,566,.375,235,288,.816,162,791,345,123,111,229,323,60.8,111.5,.217,.427,.583,51.7,54.8,8.0,13.4,.554,13.5,22.6,.177
Virginia Commonwealth,27,19,7,.731,11.30,4.76,10,4,12,2,5,3,1864,1694,1085,659,1460,.451,168,510,.329,378,497,.761,238,890,347,240,140,380,485,67.9,101.2,.340,.349,.550,49.6,52.7,13.0,14.8,.509,18.3,28.0,.259
VMI,25,13,12,.520,-0.41,-0.78,7,7,11,1,1,10,2001,1897,1010,706,1517,.465,270,711,.380,319,413,.772,203,963,393,134,75,314,364,72.3,109.5,.272,.469,.584,51.3,55.7,7.3,8.0,.554,15.5,23.4,.210
Virginia Tech,22,15,7,.682,12.59,6.50,9,4,10,2,3,3,1585,1451,895,558,1240,.450,180,508,.354,289,414,.698,204,760,313,106,85,256,362,66.4,106.7,.334,.410,.552,51.8,56.1,7.1,11.5,.523,15.1,27.8,.233
Wagner,20,13,7,.650,-5.35,-7.90,13,5,7,3,6,4,1425,1374,815,533,1205,.442,117,368,.318,242,337,.718,247,713,258,147,51,246,406,66.8,104.8,.280,.305,.522,52.5,48.4,10.8,8.2,.491,15.3,34.8,.201
Wake Forest,22,6,16,.273,1.72,8.06,3,15,5,6,1,9,1458,1583,885,501,1222,.410,195,562,.347,261,359,.727,198,718,252,136,48,300,365,67.4,97.7,.294,.460,.524,48.9,50.3,9.1,6.2,.490,17.7,25.8,.214
Washington,26,5,21,.192,1.88,11.61,4,16,4,7,1,9,1759,2012,1040,641,1513,.424,197,593,.332,280,397,.705,213,811,280,158,95,355,472,71.0,95.3,.262,.392,.517,44.5,43.7,8.6,9.0,.489,17.3,23.4,.185
Washington State,27,14,13,.519,8.12,6.93,7,12,11,5,3,6,1853,1821,1110,633,1539,.411,208,610,.341,379,534,.710,304,1027,328,167,95,412,496,68.6,97.4,.347,.396,.517,52.3,51.8,8.8,9.0,.479,18.7,30.8,.246
Weber State,23,17,6,.739,3.14,-5.22,12,3,11,0,6,5,1881,1594,920,656,1300,.505,193,496,.389,376,478,.787,148,754,345,154,69,288,376,72.5,112.8,.368,.382,.616,51.4,52.6,9.2,8.0,.579,15.9,22.2,.289
West Virginia,29,19,10,.655,15.36,10.05,11,6,8,5,7,2,2243,2089,1175,769,1793,.429,216,593,.364,489,680,.719,389,1097,407,220,82,348,473,70.6,108.2,.379,.331,.530,51.8,52.9,10.6,7.7,.489,14.1,35.5,.273
Western Carolina,27,11,16,.407,-7.43,-2.03,4,13,6,5,4,9,2039,2129,1105,716,1577,.454,226,662,.341,381,525,.726,211,928,359,133,75,382,455,72.2,102.2,.333,.420,.558,49.6,50.1,6.7,7.4,.526,17.3,22.9,.242
Western Illinois,22,7,15,.318,-12.48,-4.62,5,9,2,5,4,9,1606,1746,880,550,1362,.404,157,497,.316,349,488,.715,258,838,225,116,67,286,444,73.5,99.3,.358,.365,.504,51.1,40.9,7.2,7.9,.461,15.2,29.1,.256
Western Kentucky,29,21,8,.724,5.19,0.50,11,3,11,2,5,3,2108,1972,1170,733,1634,.449,185,536,.345,457,580,.788,305,1093,395,187,134,413,410,69.1,104.4,.355,.328,.552,54.7,53.9,9.3,12.9,.505,17.8,31.8,.280
Western Michigan,21,5,16,.238,-11.51,-1.21,4,12,2,9,3,7,1325,1511,840,499,1153,.433,141,427,.330,186,291,.639,167,710,245,93,42,305,346,68.3,92.4,.252,.370,.513,48.2,49.1,6.5,5.3,.494,19.1,23.6,.161
Wichita State,22,16,6,.727,9.36,6.91,11,2,10,2,5,2,1572,1469,890,533,1317,.405,178,530,.336,328,482,.680,261,834,286,135,82,246,342,68.6,102.9,.366,.402,.508,49.0,53.7,8.8,10.0,.472,13.7,30.2,.249
William & Mary,17,7,10,.412,-11.23,-3.99,4,6,1,3,5,6,1101,1224,685,388,948,.409,98,342,.287,227,303,.749,170,574,183,90,56,232,265,67.2,95.7,.320,.361,.504,48.4,47.2,7.8,8.3,.461,17.5,28.6,.239
Winthrop,25,23,2,.920,4.69,-7.15,17,1,11,1,10,0,1972,1676,1000,695,1521,.457,210,597,.352,372,541,.688,321,1003,374,186,57,350,459,72.5,108.8,.356,.393,.555,56.1,53.8,10.3,6.5,.526,16.4,35.0,.245
Wisconsin,31,18,13,.581,17.22,11.93,10,10,11,5,5,6,2167,2003,1250,767,1806,.425,269,738,.364,364,474,.768,255,1042,414,175,123,280,500,65.8,105.4,.262,.409,.533,49.0,54.0,8.5,10.7,.499,12.1,23.6,.202
Wofford,24,15,9,.625,1.76,-0.24,12,5,9,3,6,4,1784,1627,965,646,1374,.470,246,692,.355,246,349,.705,216,829,351,160,48,306,380,67.6,109.4,.254,.504,.579,51.6,54.3,9.8,6.1,.560,16.6,27.7,.179
Wright State,24,18,6,.750,6.89,-7.65,16,4,9,4,9,2,1967,1618,965,710,1471,.483,179,484,.370,368,508,.724,284,1015,369,142,87,314,328,72.1,113.0,.345,.329,.574,56.2,52.0,8.2,8.4,.544,15.5,34.2,.250
Wyoming,25,14,11,.560,-1.23,-2.31,5,9,7,5,4,5,1915,1888,1010,649,1442,.450,251,704,.357,366,509,.719,203,816,351,145,54,281,468,69.9,108.4,.353,.488,.569,47.0,54.1,8.2,5.4,.537,14.3,22.9,.254
Xavier,21,13,8,.619,11.09,6.47,6,7,11,2,2,5,1571,1474,850,589,1285,.458,162,498,.325,231,333,.694,200,792,369,145,85,235,325,69.5,106.4,.259,.388,.544,50.8,62.6,9.8,10.3,.521,14.0,26.8,.180
Yale,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youngstown State,27,15,12,.556,-9.78,-8.17,9,11,10,5,5,7,2010,1950,1095,717,1672,.429,186,606,.307,390,537,.726,346,991,349,163,44,310,441,69.1,106.2,.321,.362,.522,51.3,48.7,8.6,4.6,.484,13.9,33.6,.233
