School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Oregon State,33,20,13,.606,11.48,10.82,10,10,10,6,4,6,2325,2232,1330,803,1842,.436,230,645,.357,489,642,.762,334,1133,480,191,116,383,620,66.2,105.7,.349,.350,.541,50.5,59.8,8.7,10.5,.498,15.1,29.9,.265
Pacific,18,9,9,.500,2.64,5.23,6,7,6,2,3,6,1256,1272,735,479,1093,.438,93,311,.299,205,302,.679,182,622,233,116,61,215,335,69.1,99.0,.276,.285,.508,51.7,48.6,9.1,10.3,.481,14.8,28.9,.188
Penn State,25,11,14,.440,13.53,13.89,7,12,7,5,3,8,1816,1825,1010,637,1562,.408,221,654,.338,321,435,.738,305,913,335,198,59,286,446,69.7,103.2,.278,.419,.513,51.8,52.6,11.3,6.9,.479,13.9,31.9,.206
Pennsylvania,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepperdine,27,15,12,.556,5.65,5.01,7,6,7,5,3,5,2076,1988,1100,744,1608,.463,187,573,.326,401,511,.785,218,949,440,175,87,354,513,72.2,104.5,.318,.356,.561,50.0,59.1,8.8,8.6,.521,16.1,24.0,.249
Pittsburgh,22,10,12,.455,7.80,6.75,6,10,7,6,3,5,1566,1543,880,554,1283,.432,144,426,.338,314,473,.664,279,843,321,133,83,277,381,68.5,103.8,.369,.332,.519,53.6,57.9,8.8,11.2,.488,15.5,34.5,.245
Portland,21,6,15,.286,-12.58,5.08,0,11,5,8,1,6,1459,1748,845,488,1187,.411,153,451,.339,330,426,.775,138,600,250,132,61,292,340,73.0,94.6,.359,.380,.525,42.4,51.2,8.6,7.9,.476,17.4,18.7,.278
Portland State,22,9,13,.409,-6.33,-4.66,6,8,7,6,2,6,1512,1463,885,532,1335,.399,152,517,.294,296,437,.677,287,832,247,182,66,305,443,70.6,96.8,.327,.387,.490,52.2,46.4,11.7,8.7,.455,16.5,32.4,.222
Prairie View,21,16,5,.762,-8.02,-15.07,13,0,8,0,5,3,1497,1349,840,567,1265,.448,139,457,.304,224,342,.655,235,739,333,202,89,288,437,70.7,100.9,.270,.361,.524,49.4,58.7,13.6,12.2,.503,16.8,30.9,.177
Presbyterian,22,7,15,.318,-13.96,-9.00,5,12,5,6,2,9,1411,1476,885,499,1199,.416,128,418,.306,285,416,.685,248,739,235,154,49,334,440,66.8,95.5,.347,.349,.505,51.2,47.1,10.4,6.9,.470,19.3,32.3,.238
Princeton,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence,26,13,13,.500,8.94,8.82,9,10,8,3,4,7,1816,1813,1060,657,1529,.430,164,513,.320,338,483,.700,275,928,350,147,78,306,441,67.2,102.0,.316,.336,.516,49.5,53.3,8.3,7.7,.483,14.8,29.1,.221
Purdue,28,18,10,.643,15.55,11.23,13,6,11,1,5,6,1989,1868,1130,714,1596,.447,201,603,.333,360,506,.711,312,1054,399,142,98,350,491,66.5,105.8,.317,.378,.542,54.5,55.9,7.6,11.4,.510,16.0,32.6,.226
Purdue-Fort Wayne,23,8,15,.348,-12.15,-8.63,6,14,5,6,3,9,1728,1809,955,631,1259,.501,204,510,.400,262,380,.689,177,721,328,156,64,393,413,69.4,104.2,.302,.405,.600,49.3,52.0,9.4,7.5,.582,21.4,26.2,.208
Quinnipiac,22,9,13,.409,-9.10,-7.60,7,10,8,5,1,5,1485,1518,895,505,1258,.401,169,522,.324,306,445,.688,170,793,279,123,100,313,420,72.0,92.2,.354,.415,.505,47.6,55.2,7.6,11.2,.469,17.6,21.2,.243
Radford,27,15,12,.556,-6.20,-6.60,12,6,9,5,6,6,1826,1745,1100,644,1408,.457,158,504,.313,380,558,.681,297,1000,301,164,48,403,425,64.7,102.6,.396,.358,.546,55.9,46.7,9.2,5.3,.513,19.4,34.5,.270
Rhode Island,25,10,15,.400,5.29,4.93,7,10,6,3,2,9,1786,1777,1020,635,1436,.442,143,458,.312,373,558,.668,266,962,303,164,114,353,444,70.3,99.6,.389,.319,.525,52.3,47.7,9.1,12.2,.492,17.2,29.7,.260
Rice,28,15,13,.536,-3.73,-1.49,6,10,9,3,3,9,2068,2062,1120,731,1660,.440,286,800,.358,320,438,.731,264,1036,427,153,60,424,388,72.5,101.9,.264,.482,.554,51.3,58.4,7.5,5.2,.527,18.5,26.9,.193
Richmond,23,14,9,.609,9.04,5.00,6,5,6,4,5,3,1717,1587,920,624,1321,.472,173,484,.357,296,407,.727,154,692,327,204,49,241,356,69.6,107.2,.308,.366,.567,46.2,52.4,12.7,6.0,.538,13.7,20.6,.224
Rider,23,6,17,.261,-12.24,-5.76,5,13,1,8,4,8,1553,1702,925,564,1318,.428,145,411,.353,280,382,.733,206,765,284,117,47,291,431,68.6,97.9,.290,.312,.518,49.4,50.4,7.4,6.0,.483,16.3,26.2,.212
Robert Morris,19,4,15,.211,-13.20,-5.53,3,12,3,6,1,9,1374,1494,790,518,1169,.443,142,394,.360,196,299,.656,207,646,299,124,57,254,348,68.5,101.6,.256,.337,.524,47.5,57.7,9.2,8.1,.504,16.2,29.5,.168
Rutgers,28,16,12,.571,14.14,12.50,10,10,10,4,4,6,1939,1893,1125,741,1652,.449,172,551,.312,285,448,.636,272,988,384,213,144,321,490,68.3,101.0,.271,.334,.520,49.2,51.8,11.1,13.9,.501,14.7,27.3,.173
Sacramento State,20,8,12,.400,-7.76,-3.65,5,9,5,3,3,8,1443,1442,815,531,1157,.459,133,362,.367,248,365,.679,187,627,255,138,45,202,356,66.2,107.0,.315,.313,.542,48.9,48.0,10.2,6.4,.516,13.2,27.3,.214
Sacred Heart,18,9,9,.500,-12.19,-7.47,9,7,4,3,5,6,1265,1350,735,431,1046,.412,143,434,.329,260,351,.741,195,647,241,88,38,233,299,68.0,101.3,.336,.415,.522,48.9,55.9,7.0,5.1,.480,16.1,29.5,.249
Saint Francis (PA),22,6,16,.273,-10.30,-5.80,5,13,4,6,2,10,1515,1614,890,541,1266,.427,129,417,.309,304,426,.714,228,779,282,127,47,312,378,69.7,97.6,.336,.329,.516,49.8,52.1,8.2,5.9,.478,17.5,28.8,.240
Saint Joseph's,20,5,15,.250,-4.56,5.89,3,9,3,3,1,9,1443,1652,825,506,1238,.409,191,609,.314,240,331,.725,165,675,287,120,36,281,358,73.0,95.8,.267,.492,.517,44.9,56.7,8.0,4.5,.486,16.8,21.5,.194
Saint Louis,21,14,7,.667,11.76,2.19,6,4,12,1,1,4,1575,1374,840,586,1269,.462,137,394,.348,266,378,.704,259,806,369,155,69,255,358,68.7,109.2,.298,.310,.544,56.4,63.0,10.7,10.0,.516,15.0,35.6,.210
Saint Mary's (CA),24,14,10,.583,8.05,6.43,4,6,9,3,2,3,1542,1503,960,562,1331,.422,148,503,.294,270,368,.734,203,825,257,145,74,270,400,65.9,97.5,.276,.378,.512,52.1,45.7,9.2,7.8,.478,15.2,25.7,.203
Saint Peter's,25,14,11,.560,-5.48,-7.20,10,8,8,3,4,7,1580,1537,1000,555,1386,.400,154,477,.323,316,453,.698,275,926,292,201,133,371,500,68.0,92.9,.327,.344,.493,51.3,52.6,11.8,16.0,.456,18.8,30.4,.228
Sam Houston State,28,19,9,.679,-3.29,-4.87,13,3,12,1,7,6,2229,1969,1120,797,1758,.453,255,715,.357,380,549,.692,320,1033,435,237,88,402,565,74.7,106.5,.312,.407,.552,49.7,54.6,11.3,8.7,.526,16.6,30.5,.216
Samford,19,6,13,.316,-8.93,-1.63,2,9,4,5,2,7,1460,1510,775,541,1218,.444,151,484,.312,227,331,.686,222,755,283,129,47,308,397,75.0,100.4,.272,.397,.531,52.4,52.3,8.9,8.1,.506,18.3,30.4,.186
San Diego,14,3,11,.214,-5.22,5.64,2,7,0,5,3,5,927,1079,565,352,847,.416,82,270,.304,141,217,.650,112,469,185,94,48,185,252,72.2,90.9,.256,.319,.488,46.2,52.6,9.2,8.5,.464,16.3,20.9,.166
San Diego State,28,23,5,.821,14.36,2.99,14,3,13,2,6,2,2062,1713,1125,719,1596,.451,240,651,.369,384,534,.719,274,1003,390,229,78,310,515,66.9,109.6,.335,.408,.557,52.8,54.2,12.2,9.9,.526,14.4,29.0,.241
San Francisco,25,11,14,.440,6.00,3.84,4,9,3,5,4,6,1786,1732,1000,647,1515,.427,259,762,.340,233,324,.719,226,831,298,179,83,292,483,69.5,102.8,.214,.503,.535,48.6,46.1,10.3,8.6,.513,14.9,24.9,.154
San Jose State,21,5,16,.238,-17.50,0.98,2,12,4,6,0,8,1381,1708,840,493,1257,.392,157,494,.318,238,364,.654,173,722,213,99,57,265,349,72.4,90.9,.290,.393,.483,43.4,43.2,6.5,6.7,.455,15.6,20.6,.189
Santa Clara,20,12,8,.600,-0.05,2.16,4,5,6,3,4,3,1393,1412,800,486,1121,.434,110,359,.306,311,455,.684,164,729,240,88,78,260,357,72.1,96.6,.406,.320,.521,50.2,49.4,6.1,10.1,.483,16.3,23.2,.277
Seattle,23,12,11,.522,-5.24,-3.51,4,5,6,3,3,6,1677,1578,925,593,1426,.416,186,593,.314,305,416,.733,238,776,264,151,80,246,434,70.5,102.8,.292,.416,.516,47.2,44.5,9.3,9.9,.481,13.2,27.2,.214
Seton Hall,27,14,13,.519,11.12,9.53,10,9,7,4,6,7,1924,1881,1095,673,1525,.441,180,561,.321,398,544,.732,276,941,347,170,118,350,442,67.8,103.7,.357,.368,.539,50.1,51.6,9.2,11.4,.500,16.4,29.7,.261
Siena,17,12,5,.706,-3.99,-8.58,12,4,6,2,6,2,1149,1071,680,411,894,.460,108,314,.344,219,333,.658,152,594,215,94,56,219,264,66.2,102.1,.372,.351,.546,51.7,52.3,8.4,8.4,.520,17.2,28.0,.245
South Alabama,28,17,11,.607,-6.03,-5.86,10,7,10,5,6,5,2075,1985,1135,715,1621,.441,256,707,.362,389,542,.718,269,996,314,200,91,333,434,68.4,106.9,.334,.436,.552,48.4,43.9,10.3,11.0,.520,15.1,27.2,.240
South Carolina,21,6,15,.286,3.39,10.01,4,12,3,6,2,7,1523,1662,840,566,1364,.415,142,466,.305,249,381,.654,268,755,280,176,77,313,401,75.4,96.1,.279,.342,.493,48.7,49.5,11.1,10.0,.467,16.8,31.7,.183
South Carolina State,18,1,17,.056,-24.90,-7.56,1,7,1,6,0,11,1102,1414,720,401,1033,.388,123,388,.317,177,285,.621,175,563,178,106,50,312,334,72.5,84.4,.276,.376,.472,44.6,44.4,8.1,7.6,.448,21.1,25.8,.171
South Carolina Upstate,23,5,18,.217,-13.70,-5.20,5,11,3,8,2,10,1515,1712,920,538,1269,.424,171,508,.337,268,372,.720,186,717,276,143,57,325,426,68.9,95.6,.293,.400,.524,46.5,51.3,9.0,7.1,.491,18.4,23.7,.211
South Dakota,25,14,11,.560,-1.25,-3.50,11,4,7,2,5,4,1899,1805,1000,674,1438,.469,186,478,.389,365,468,.780,180,870,349,114,61,268,467,70.2,108.1,.325,.332,.572,50.5,51.8,6.5,6.9,.533,13.9,22.1,.254
South Dakota State,23,16,7,.696,3.27,-2.05,9,3,8,1,4,2,1850,1690,920,655,1315,.498,185,458,.404,355,496,.716,178,822,327,127,71,283,370,71.9,111.9,.377,.348,.597,53.5,49.9,7.7,8.5,.568,15.4,24.4,.270
South Florida,22,9,13,.409,-0.02,6.27,4,10,4,6,3,4,1449,1571,885,516,1277,.404,138,422,.327,279,438,.637,275,831,251,116,62,308,378,68.3,95.9,.343,.330,.488,52.8,48.6,7.7,8.6,.458,17.2,33.2,.218
Southeast Missouri State,27,11,16,.407,-10.18,-7.51,9,11,7,6,3,9,1864,1936,1110,630,1468,.429,205,582,.352,399,595,.671,258,949,374,185,64,415,513,68.9,97.5,.405,.396,.532,51.6,59.4,9.7,6.7,.499,19.2,27.6,.272
Southeastern Louisiana,26,8,18,.308,-17.40,-8.02,5,11,3,4,4,13,1775,2019,1055,591,1498,.395,177,607,.292,416,614,.678,314,887,261,180,64,414,509,71.6,94.1,.410,.405,.496,48.5,44.2,9.5,7.3,.454,18.8,31.2,.278
Southern,19,8,11,.421,-13.49,-13.07,8,6,5,2,3,7,1327,1335,775,465,1077,.432,104,322,.323,293,436,.672,184,690,267,155,49,309,391,72.9,94.0,.405,.299,.517,51.5,57.4,11.0,6.6,.480,19.4,27.9,.272
Southern California,33,25,8,.758,20.50,10.65,15,5,13,2,7,3,2473,2148,1340,904,1916,.472,214,594,.360,451,695,.649,384,1282,458,157,168,408,498,67.7,109.0,.363,.310,.551,54.4,50.7,6.9,12.9,.528,15.4,34.4,.235
Southern Illinois,26,12,14,.462,-3.56,0.72,5,13,8,5,3,8,1704,1770,1050,614,1362,.451,210,560,.375,266,400,.665,139,772,352,160,48,311,370,65.8,98.7,.294,.411,.549,46.5,57.3,9.3,5.6,.528,16.7,17.0,.195
SIU Edwardsville,26,9,17,.346,-14.94,-6.02,7,12,2,8,6,7,1709,1897,1040,619,1403,.441,156,490,.318,315,463,.680,226,852,337,153,121,413,438,69.8,94.2,.330,.349,.527,48.4,54.4,8.4,13.1,.497,20.3,26.5,.225
Southern Methodist,17,11,6,.647,10.97,4.44,7,4,6,2,5,2,1269,1158,680,456,999,.456,130,371,.350,227,312,.728,176,624,260,104,77,238,298,70.8,105.5,.312,.371,.553,51.2,57.0,8.6,12.9,.522,17.2,30.1,.227
Southern Mississippi,25,8,17,.320,-6.88,-2.10,4,13,6,7,2,9,1605,1668,1005,603,1396,.432,134,421,.318,265,392,.676,208,878,303,148,52,352,398,68.5,93.3,.281,.302,.507,50.8,50.2,8.6,6.7,.480,18.2,24.4,.190
Southern Utah,24,20,4,.833,0.63,-5.69,12,2,14,0,5,3,2021,1669,965,699,1475,.474,211,618,.341,412,551,.748,263,946,338,168,63,290,405,73.1,114.6,.374,.419,.582,55.5,48.4,9.5,7.2,.545,14.3,31.7,.279
St. Bonaventure,21,16,5,.762,13.44,4.49,11,4,8,1,4,3,1471,1283,840,542,1224,.443,134,390,.344,253,343,.738,238,775,306,123,83,225,322,65.3,107.3,.280,.319,.530,52.3,56.5,9.0,12.5,.498,14.0,32.7,.207
St. Francis (NY),19,9,10,.474,-10.23,-8.38,9,9,4,6,5,4,1476,1511,765,542,1215,.446,118,356,.331,274,373,.735,216,688,271,153,66,229,383,73.6,104.9,.307,.293,.530,49.4,50.0,10.9,8.9,.495,14.1,30.2,.226
St. John's (NY),27,16,11,.593,9.41,7.19,10,9,11,3,4,6,2132,2072,1095,779,1744,.447,200,580,.345,374,499,.749,302,971,440,246,105,340,493,74.1,105.1,.286,.333,.538,48.7,56.5,12.1,10.2,.504,14.6,29.1,.214
Stanford,27,14,13,.519,10.15,10.01,10,10,5,4,6,6,1883,1879,1100,678,1461,.464,145,451,.322,382,533,.717,209,905,332,191,92,403,448,69.7,98.3,.365,.309,.549,50.0,49.0,10.0,9.5,.514,19.0,25.1,.261
Stephen F. Austin,21,16,5,.762,-1.63,-8.46,13,3,10,1,6,4,1686,1484,850,622,1195,.521,100,297,.337,342,503,.680,243,749,331,199,73,348,419,72.7,109.1,.421,.249,.588,55.4,53.2,12.9,10.0,.562,19.5,36.8,.286
Stetson,27,12,15,.444,-7.26,-4.51,7,9,7,5,3,8,1925,1896,1090,687,1587,.433,246,667,.369,305,438,.696,282,957,370,188,74,357,443,68.4,103.2,.276,.420,.536,51.0,53.9,10.1,7.6,.510,16.6,29.4,.192
Stony Brook,23,9,14,.391,-6.14,-4.73,7,9,5,5,4,8,1522,1509,930,543,1318,.412,140,473,.296,296,434,.682,262,875,278,129,114,318,387,67.7,96.6,.329,.359,.499,51.7,51.2,8.2,14.5,.465,17.3,30.8,.225
Syracuse,28,18,10,.643,13.27,8.59,9,7,13,1,2,7,2095,1964,1125,743,1681,.442,237,678,.350,372,476,.782,285,990,419,227,141,317,409,69.3,107.5,.283,.403,.549,48.3,56.4,11.7,14.7,.512,14.3,28.8,.221
Tarleton State,20,10,10,.500,-7.28,-3.02,5,7,6,3,4,7,1467,1246,800,530,1129,.469,110,291,.378,297,412,.721,170,639,294,209,53,231,391,69.2,106.1,.365,.258,.554,48.7,55.5,15.1,10.0,.518,14.8,26.0,.263
TCU,26,12,14,.462,2.61,6.99,5,11,6,7,3,6,1738,1852,1045,625,1428,.438,175,518,.338,311,463,.672,255,900,338,157,90,369,407,67.6,98.4,.324,.363,.527,50.2,54.1,8.9,9.0,.499,18.3,28.9,.218
